License Number,Facility Name,Address,City,Zip Code,County,Licensee,Phone Number,Capacity
101314,ANTHOLOGY OF LOUISVILLE,1105 DORSEY LANE,LOUISVILLE,40223,JEFFERSON,"CA SENIOR LOUISVILLE OPERATOR, LLC",(502) 792-7922,101
100030,ARTRIPS PERSONAL CARE HOME,3000 CENTRAL AVENUE,ASHLAND,41101,BOYD,"ARTRIP HEALTH CARE, INC.",(606) 325-3244,22
100932,BARTON HOUSE OF LOUISVILLE #1,6830 OVERLOOK DRIVE,LOUISVILLE,40241,JEFFERSON,"ST. MATTHEWS SENIOR LIVING, LLC",(502) 423-7177,20
100891,BELMONT VILLAGE,4600 BOWLING BOULEVARD,LOUISVILLE,40207,JEFFERSON,BELMONT VILLAGE LIMITED PARTNERSHIP,(502) 721-7500,128
100398,"BETTER SENIOR LIVING, LLC",66 SHELBY STREET,CADIZ,42211,TRIGG,"OHANA HEALTHCARE, LLC",(270) 522-3711,68
101338,"BLUEGRASS SENIOR LIVING SOMERSET, LLC",145 TOWER CIRCLE,SOMERSET,42503,PULASKI,"BLUEGRASS SENIOR LIVING SOMERSET, LLC",(606) 679-4578,72
101294,BLUEGRASS WAY,100 GARDEN WAY,CAMPBELLSVILLE,42718,TAYLOR,"BLUEGRASS VILLAGE OF CAMPBELLSVILLE, LLC",(270) 789-1200,24
101367,BOONESBORO TRAIL SENIOR LIVING,2101 BOONESBORO ROAD,WINCHESTER,40391,CLARK,"WINCHESTER SENIOR PARTNERS, LLC",(859) 236-9466,83
101175,BRIDGEPOINTE AT ASHGROVE WOODS,5220 GREY OAK LANE,NICHOLASVILLE,40356,JESSAMINE,"CHRISTIAN CARE SERVICES, INC.",(859) 971-4902,78
101104,BROOKDALE STONESTREET,9251 STONESTREET ROAD,LOUISVILLE,40272,JEFFERSON,EMERITUS CORPORATION,(502) 935-5884,20
100432,CARROLLTON MANOR,205 FIFTH STREET,CARROLLTON,41008,CARROLL,"CARROLLTON MANOR, INC.",(502) 732-5528,32
101271,CEDARHURST OF BEAUMONT,1165 MONARCH STREET,LEXINGTON,40513,FAYETTE,"CH BEAUMONT CENTER MANAGEMENT KY, LLC",(859) 687-6587,130
101354,CEDARHURST OF OWENSBORO,1900 PLEASANT VALLEY ROAD,OWENSBORO,42302,DAVIESS,"CEDARHURST OF OWENSBORO REAL ESTATE, LLC",(270) 276-1601,90
101181,"CENTRAL KENTUCKY RECOVERY CENTER, UNIT 1",1358 BULL LEA ROAD,LEXINGTON,40511,FAYETTE,CABINET FOR HEALTH AND FAMILY SERVICES,(859) 246-8620,16
101182,"CENTRAL KY RECOVERY CENTER, UNIT 2",1366 BULL LEA ROAD,LEXINGTON,40511,FAYETTE,CABINET FOR HEALTH AND FAMILY SERVICES,(859) 246-8610,16
100903,CHARTER SENIOR LIVING OF EDGEWOOD,2950 TURKEYFOOT ROAD,EDGEWOOD,41017,KENTON,"S-H OPCO EDGEWOOD, LLC",(859) 426-1888,113
100064,"CHRISTIAN COUNTY MANOR, LLC",2820 RICHARD STREET,HOPKINSVILLE,42240,CHRISTIAN,"OHANA HEALTHCARE, LLC",(270) 886-9900,78
100945,COLONIAL GARDENS,6910 HOPEFUL ROAD,FLORENCE,41042,BOONE,"BLUEGRASS RHF HOUSING, INC.",(859) 525-6900,80
100382,COLONIAL HALL MANOR,920 HENRY CLAY STREET,SHELBYVILLE,40065,SHELBY,"COLONIAL HALL MANOR, INC.",(502) 633-4762,57
100044,COLONIAL HOUSE OF SHEPHERDSVILLE,1516 HIGHWAY 44E,SHEPHERDSVILLE,40165,BULLITT,"RANSDALL & ROYALTY, INC.",(502) 543-7042,62
101366,COOPER TRAIL SENIOR LIVING,325 LINCOLN WAY,BARDSTOWN,40004,NELSON,"BARDSTOWN SENIOR PARTNERS, LLC",(502) 572-4329,83
100007,"CORNERSTONE MANOR, LLC",515 WATER STREET ,SCOTTSVILLE,42164,ALLEN,"CORNERSTONE MANOR, LLC",(270) 237-3485,36
100267,COVINGTON LADIES HOME,702 GARRARD STREET,COVINGTON,41011,KENTON,"COVINGTON LADIES HOME, INC.",(859) 431-6913,32
100370,CRESTVIEW PERSONAL CARE HOME,235 SOUTH RICHARDSON DRIVE,SOMERSET,42502,PULASKI,"THE PATARY, INC.",(606) 678-8927,30
100314,CUMBERLAND MANOR REST HOME,1930 HIGHWAY 90,PARKERS LAKE,42634,MCCREARY,"CUMBERLAND MANOR REST HOME, INC.",(606) 376-5951,49
101340,DAISY HILL SENIOR LIVING,1001 CROSSFIELD DRIVE,VERSAILLES,40383,WOODFORD,"VERSAILLES SENIOR LIVING, LLC",(615) 790-7041,24
100084,"DAVCO REST HOME, LLC",2526 WEST 10TH STREET,OWENSBORO,42301,DAVIESS,"DAVCO REST HOME, LLC.",(270) 684-1705,92
100413,DISHMAN PERSONAL CARE HOME,220 WORSHAM LANE,MONTICELLO,42633,WAYNE,CHRISTINE GOFF,(606) 348-6201,49
101318,DOMINION SENIOR LIVING OF FLORENCE,4009 SELIGMAN DRIVE,FLORENCE,41042,BOONE,"DOMINION FLORENCE, LLC",(859) 594-9970,84
101301,DOMINION SENIOR LIVING OF FRANKFORT,122 LEONARDWOOD DR,FRANKFORT,40601,FRANKLIN,"DOMINION FRANKFORT, LLC",(502) 892-0819,84
101353,DOMINION SENIOR LIVING OF LOUISVILLE,6000 HUNTING ROAD,LOUISVILLE,40222,JEFFERSON,"DOMINION AND EVERLAN OF LOUISVILLE OPCO, LLC",(502) 812-1556,80
101283,DOMINION SENIOR LIVING OF RICHMOND,200 MERIDIAN WAY,RICHMOND,40475,MADISON,"DOMINION RICHMOND, LLC",(859) 353-6777,84
