LICENSE #,NAME,ADDRESS,CITY,ZIP,COUNTY,OWNER,"ADM
FIRST","ADM
LAST",TELEPHONE,BEDS,"LICENSE
EXPIRATION"
101314,ANTHOLOGY OF LOUISVILLE,1105 DORSEY LANE,LOUISVILLE,40223,JEFFERSON,"CA SENIOR LOUISVILLE OPERATOR, LLC",ANASTASIA,NOFFSINGER,(502) 792-7922,101,10/31/21
100030,ARTRIPS PERSONAL CARE HOME,3000 CENTRAL AVENUE,ASHLAND,41101,BOYD,"ARTRIP HEALTH CARE, INC.",MAGGIE,ARTRIP,(606) 325-3244,22,Pending Renewal
100932,BARTON HOUSE OF LOUISVILLE #1,6830 OVERLOOK DRIVE,LOUISVILLE,40241,JEFFERSON,"ST. MATTHEWS SENIOR LIVING, LLC",AMY,CLARK,(502) 423-7177,20,6/30/22
100891,BELMONT VILLAGE,4600 BOWLING BOULEVARD,LOUISVILLE,40207,JEFFERSON,BELMONT VILLAGE LIMITED PARTNERSHIP,THEODORE,BURFICT,(502) 721-7500,128,11/30/21
100398,"BETTER SENIOR LIVING, LLC",66 SHELBY STREET,CADIZ,42211,TRIGG,"OHANA HEALTHCARE, LLC",MARIA,ESTEP,(270) 522-3711,68,12/31/21
101338,"BLUEGRASS SENIOR LIVING SOMERSET, LLC",145 TOWER CIRCLE,SOMERSET,42503,PULASKI,"BLUEGRASS SENIOR LIVING SOMERSET, LLC",SAMUEL,HUTCHINSON,(606) 679-4578,72,1/31/22
101294,BLUEGRASS WAY,100 GARDEN WAY,CAMPBELLSVILLE,42718,TAYLOR,"BLUEGRASS VILLAGE OF CAMPBELLSVILLE, LLC",MARGARET,PARSON,(270) 789-1200,24,11/30/21
101367,BOONESBORO TRAIL SENIOR LIVING,2101 BOONESBORO ROAD,WINCHESTER,40391,CLARK,"WINCHESTER SENIOR PARTNERS, LLC",KEVIN,TRENT,(859) 236-9466,83,3/31/22
101175,BRIDGEPOINTE AT ASHGROVE WOODS,5220 GREY OAK LANE,NICHOLASVILLE,40356,JESSAMINE,"CHRISTIAN CARE SERVICES, INC.",DENISE,CATON,(859) 971-4902,78,5/31/22
101104,BROOKDALE STONESTREET,9251 STONESTREET ROAD,LOUISVILLE,40272,JEFFERSON,EMERITUS CORPORATION,CLIFTON,LAKE,(502) 935-5884,20,7/31/21
100432,CARROLLTON MANOR,205 FIFTH STREET,CARROLLTON,41008,CARROLL,"CARROLLTON MANOR, INC.",MELISSA,TUCKER,(502) 732-5528,32,12/31/21
101271,CEDARHURST OF BEAUMONT,1165 MONARCH STREET,LEXINGTON,40513,FAYETTE,"CH BEAUMONT CENTER MANAGEMENT KY, LLC",AMY,ABSHIRE,(859) 687-6587,130,6/30/21
101354,CEDARHURST OF OWENSBORO,1900 PLEASANT VALLEY ROAD,OWENSBORO,42302,DAVIESS,"CEDARHURST OF OWENSBORO REAL ESTATE, LLC",JENNY,RAKERS,(270) 276-1601,90,3/31/22
101181,"CENTRAL KENTUCKY RECOVERY CENTER, UNIT 1",1358 BULL LEA ROAD,LEXINGTON,40511,FAYETTE,CABINET FOR HEALTH AND FAMILY SERVICES,JENNIFER,SMITH,(859) 246-8620,16,9/30/21
101182,"CENTRAL KY RECOVERY CENTER, UNIT 2",1366 BULL LEA ROAD,LEXINGTON,40511,FAYETTE,CABINET FOR HEALTH AND FAMILY SERVICES,JENNIFER,SMITH,(859) 246-8610,16,9/30/21
100903,CHARTER SENIOR LIVING OF EDGEWOOD,2950 TURKEYFOOT ROAD,EDGEWOOD,41017,KENTON,"S-H OPCO EDGEWOOD, LLC",JANET,MOXLEY,(859) 426-1888,113,Pending Renewal
100064,"CHRISTIAN COUNTY MANOR, LLC",2820 RICHARD STREET,HOPKINSVILLE,42240,CHRISTIAN,"OHANA HEALTHCARE, LLC",BRENDA,WHITE,(270) 886-9900,78,12/31/21
100945,COLONIAL GARDENS,6910 HOPEFUL ROAD,FLORENCE,41042,BOONE,"BLUEGRASS RHF HOUSING, INC.",APRIL,SCOGGINS,(859) 525-6900,80,3/31/22
100382,COLONIAL HALL MANOR,920 HENRY CLAY STREET,SHELBYVILLE,40065,SHELBY,"COLONIAL HALL MANOR, INC.",LATONIA,DUGLE,(502) 633-4762,57,3/31/22
100044,COLONIAL HOUSE OF SHEPHERDSVILLE,1516 HIGHWAY 44E,SHEPHERDSVILLE,40165,BULLITT,"RANSDALL & ROYALTY, INC.",AMANDA,PUGH,(502) 543-7042,62,9/30/21
101366,COOPER TRAIL SENIOR LIVING,325 LINCOLN WAY,BARDSTOWN,40004,NELSON,"BARDSTOWN SENIOR PARTNERS, LLC",MARY KATHERINE,FRANK,(502) 572-4329,83,11/30/21
100007,"CORNERSTONE MANOR, LLC",515 WATER STREET ,SCOTTSVILLE,42164,ALLEN,"CORNERSTONE MANOR, LLC",WANDA,MEADOR,(270) 237-3485,36,8/31/21
100267,COVINGTON LADIES HOME,702 GARRARD STREET,COVINGTON,41011,KENTON,"COVINGTON LADIES HOME, INC.",CARRIE,VANDERZEE,(859) 431-6913,32,1/31/22
100370,CRESTVIEW PERSONAL CARE HOME,235 SOUTH RICHARDSON DRIVE,SOMERSET,42502,PULASKI,"THE PATARY, INC.",MELISSA,CREEKMORE,(606) 678-8927,30,9/30/21
