State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Email Address,Phone Number,License Number,Date Accessed
ADULT RESIDENTIAL CARE,A & D Adult Residential Care - Westbank - Level 1 ,3081 ELMWOOD PARK DRIVE ,New Orleans,LA,70114,Orleans,adultresidential@yahoo.com,(504) 361-0365,14584,6/25/21
ADULT RESIDENTIAL CARE,Academy House - Level 1 ,4324 ACADEMY DR. ,Metairie,LA,70003,Jefferson,stahlsp@bellsouth.net,(504) 884-1063,13319,6/25/21
ADULT RESIDENTIAL CARE,Almor Ponderosa - Level 2 ,830 MCKEITHEN DRIVE ,Alexandria,LA,71303,Rapides,patricia@almorenterprises.com,(318) 787-6320,14224,6/25/21
ADULT RESIDENTIAL CARE,Anderson Memory Care Llc - Level 3,4108 DAUPHINE ST.,Slidell,LA,70458,St. Tammany,terri@lifeatsummerfield.com,(985) 646-4677,2203782072,6/25/21
ADULT RESIDENTIAL CARE,Arbor Rose Assisted Living - Level 3 ,243 SISTRUNK ROAD,Farmerville,LA,71241,Union,gfutch@paramounthcla.com,(318) 368-1848,13917,6/25/21
ADULT RESIDENTIAL CARE,Ashton Manor Assisted Living & Memory Care - Level 2 ,270 ASHTON PLANTATION BLVD,Luling,LA,70070,St. Charles,stephanie@ashton-manor.com,(985) 785-8288,2203781391,6/25/21
ADULT RESIDENTIAL CARE,Audubon Care Homes Dreyfous House - Level 2,4713 DREYFOUS AVE,Metairie,LA,70006,Jefferson,info@auduboncarehomes.com,(504) 252-2640,2203784621,6/25/21
ADULT RESIDENTIAL CARE,Avanti Senior Living At Covington - Level 3,2234 WATERCROSS PARKWAY,Covington,LA,70433,St. Tammany,lalford@avanti-sl.com,(985) 317-6110,2203783452,6/25/21
ADULT RESIDENTIAL CARE,Avanti Senior Living At Lafayette - Level 3,5522 AMBASSADOR CAFFERY PARKWAY,Youngsville,LA,70592,Lafayette,lalford@avanti-sl.com,(337) 703-6300,2203784346,6/25/21
ADULT RESIDENTIAL CARE,Azalea Estates Of Gonzales - Level 3 ,2305 SOUTH PURPERA AVENUE ,Gonzales,LA,70737,Ascension,lisal@ssmgrp.com,(225) 644-1028,2203784561,6/25/21
ADULT RESIDENTIAL CARE,Azalea Estates Of Monroe -Level 3 ,4380 OLD STERLINGTON RD. ,Monroe,LA,71203,Ouachita,pjames@ssmgrp.com,(318) 343-1626,2203784562,6/25/21
ADULT RESIDENTIAL CARE,Azalea Estates Of New Iberia-Level 3 ,1318 ANDRE STREET ,New Iberia,LA,70563,Iberia,cthibodeaux@ssmgrp.com,(337) 364-1695,2203784563,6/25/21
ADULT RESIDENTIAL CARE,Azalea Estates Of Shreveport - Level 3,516 EAST FLOURNOY LUCAS ROAD ,Shreveport,LA,71115,Caddo,lnunley@ssmgrp.com,(318) 797-2408,2203784565,6/25/21
ADULT RESIDENTIAL CARE,Azalea Estates Of Slidell -Level 3,354 ROBERT BOULEVARD ,Slidell,LA,70458,St. Tammany,pguidry@ssmgrp.com,(985) 641-2827,2203784559,6/25/21
ADULT RESIDENTIAL CARE,Bailey Place - Level 3,650 PERSHING AVENUE ,Bunkie,LA,71322,Avoyelles,legalhelp@enlivant.com,(318) 346-8400,2203781717,6/25/21
ADULT RESIDENTIAL CARE,Beau Maison - Level 2 ,3520 CLEARY AVENUE,Metairie,LA,70002,Jefferson,jasonhemel@gmail.com,(504) 259-0326,2203783047,6/25/21
ADULT RESIDENTIAL CARE,Beau Provence Memory Care Assisted Living - Level 2 ,100 BEAU WEST DRIVE,Mandeville,LA,70471,St. Tammany,jasonhemel@gmail.com,(985) 778-0755,2203784921,6/25/21
ADULT RESIDENTIAL CARE,Beehive Homes Of Youngsville - Level 2,500 COPPER MEADOWS BLVD,Youngsville,LA,70592,Lafayette,davis@beehivehomes.com,(337) 451-8070,2203783862,6/25/21
ADULT RESIDENTIAL CARE,Bloom At Bossier - Level 3 ,4828 MEDICAL DRIVE,Bossier City,LA,71112,Bossier,admin@bloomatbossier.com,(318) 746-0470,2203782473,6/25/21
ADULT RESIDENTIAL CARE,Brookdale Alexandria-Level 3,351 WINDERMERE BOULEVARD ,Alexandria,LA,71303,Rapides,splunkettwuerger@brookdale.com,(318) 443-6770,10656,6/25/21
ADULT RESIDENTIAL CARE,Brookdale Bossier City -Level 3,2540 BEENE BOULEVARD ,Bossier City,LA,71111,Bossier,mhennigan@brookdale.com,(318) 747-2114,2203781799,6/25/21
ADULT RESIDENTIAL CARE,Brookdale Lafayette-Level 3 ,215 W. FARREL ROAD ,Lafayette,LA,70508,Lafayette,splunkettwuerger@brookdale.com,(337) 993-0077,10662,6/25/21
ADULT RESIDENTIAL CARE,Brookdale Lake Charles - Level 3 ,2420 COUNTRY CLUB ROAD ,Lake Charles,LA,70605,Calcasieu,jeremy.fontenot@brookdale.com,(337) 478-4030,10658,6/25/21
ADULT RESIDENTIAL CARE,Brookdale Mandeville - Level 2 ,1414 NORTH CAUSEWAY BOULEVARD ,Mandeville,LA,70471,St. Tammany,splunkettwuerger@brookdale.com,(985) 727-4011,10380,6/25/21
ADULT RESIDENTIAL CARE,Brookdale Shreveport - Level 3 ,7110 UNIVERSITY DRIVE ,Shreveport,LA,71105,Caddo,maliphares@brookdale.com,(318) 524-2100,10659,6/25/21
ADULT RESIDENTIAL CARE,Camelot Of Broussard - Level 3,418 ALBERTSONS PKWY ,Broussard,LA,70518,Lafayette,sguilbeaux@cci.la,(337) 839-9005,13262,6/25/21
ADULT RESIDENTIAL CARE,Canterbury House - Level 3,1101 SIXTEENTH STREET,Alexandria,LA,71301,Rapides,admn.canterburyhouse@gmail.com,(318) 445-7715,2203781146,6/25/21
ADULT RESIDENTIAL CARE,Carriage House At The Verandah - Level 3 ,5847 GRAY MARKET DRIVE,Lake Charles,LA,70605,Calcasieu,propertymgmt@sunshineret.com,(337) 478-0859,2203781985,6/25/21
ADULT RESIDENTIAL CARE,Cedar Crest Memory Care-Level 3 ,161 SOUTH BEADLE ROAD,Lafayette,LA,70508,Lafayette,khayes@omegasrliving.com,(337) 261-8811,2203784275,6/25/21
