State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Email Address,Phone Number,License Number
Abortion Clinic,"Delta Clinic of Baton Rouge, Inc.",756 Colonial Drive Suite B ,BATON ROUGE,LA,70806,EAST BATON ROUGE,,(225) 923-3242,7
Abortion Clinic,Hope Medical Group for Women ,210 Kings Highway,SHREVEPORT,LA,71104,CADDO,,(318) 221-5500,6
Abortion Clinic,"Womens Health Care Center, Inc.",2701 General Pershing Street ,NEW ORLEANS,LA,70115,ORLEANS,,(504) 899-6010,3
Adult Brain Injury,Acadiana Brain Injury Center,101 Guillot Rd,YOUNGSVILLE,LA,70592,LAFAYETTE,audreyjosey@abicenter.com,(337) 856-1964,1
Adult Brain Injury,Neuro RehabCare of Hammond,41238 Adams Road,HAMMOND,LA,70403,TANGIPAHOA,DANTE@NEURORC.COM ,(985) 272-1299,2203783410
Adult Brain Injury,Neuro Restorative Louisiana Hammond Place,46406 West Lee Hughes Road ,HAMMOND,LA,70401,TANGIPAHOA,Miriam.travis@neurorestorative.com ,(225) 567-4392,4
Adult Brain Injury,Neurological Rehabilitation Living Center Louisiana,614 West 18th Avenue ,COVINGTON,LA,70433,ST. TAMMANY,nford@remed.com,(985) 875-3100,2203783609
Adult Brain Injury,TASS Brain Injury Rehabilitation Center,42215 Pleasant Ridge Extension Road ,PONCHATOULA,LA,70454,TANGIPAHOA,dana@tassbraininjury.com ,(985) 370-0323,5
Adult Day Health Care,"A & L Adult Day Health Care, Inc.","706 Bayard Street, STE-A",NEW IBERIA,LA,70560,IBERIA,alpca@att.net,(337) 364-7411,2203783113
Adult Day Health Care,Abundant Life Adult Day Health Care Center,2401 Prentiss Blvd,NEW ORLEANS,LA,70122,ORLEANS,Abundantlife1@cox.net,(504) 240-2900,2203783396
Adult Day Health Care,Active Adult Day HealthCare,333 East Prudhomme Lane,OPELOUSAS,LA,70570,ST. LANDRY,activepcs@yahoo.com,(337) 948-9067,5031
Adult Day Health Care,"Adult Day Health Care of Carencro, Inc.",403 Veterans Dr. ,CARENCRO,LA,70520,LAFAYETTE,adhcofcarencro@bellsouth.net,(337) 886-0108,4444
Adult Day Health Care,Adult Day Healthcare Center of Hammond,44129 S. Airport Rd. ,HAMMOND,LA,70403,TANGIPAHOA,adhcofhammond@yahoo.com,(985) 345-5996,5061
Adult Day Health Care,Agape Adult Day Healthcare,111 Faith Drive ,OPELOUSAS,LA,70570,ST. LANDRY,agapetotal@aol.com,(337) 942-5535,5052
Adult Day Health Care,Allen & Riley Healthcare Services LLC,501 Rue De Sante Ste 2,LA PLACE,LA,70068,ST. JOHN THE BAPTIST,Allen.Rileyhealthcare@gmail.com,(985) 359-4046,2203784873
Adult Day Health Care,At Home Adult Day Care,76 Hood Street ,LAKE PROVIDENCE,LA,71254,EAST CARROLL,athomecare3524@aol.com,(318) 559-3959,5080
Adult Day Health Care,Ballington Center at South Pointe Place,1133 Southpoint Parkway,SHREVEPORT,LA,71104,CADDO,andrew.twyman@voanorthla.org,(318) 212-1703,2203782378
Adult Day Health Care,Best Kare Journey Adult Day Health Care,282 Sheppard Street ,MINDEN,LA,71055,WEBSTER,bestkarejourney@att.net,(318) 382-1110,5079
Adult Day Health Care,Chez-Elma Adult Day Health Care Center,154 North Hollywood Road,HOUMA,LA,70364,TERREBONNE,chezelmaadhc@gmail.com,(985) 601-3157,2203784156
Adult Day Health Care,"Crescent City Adult Day Health Care, LLC",1819 Franklin Avenue,GRETNA,LA,70053,JEFFERSON,crescentcityadhc@yahoo.com,(504) 367-3580,2203781766
Adult Day Health Care,Friendship House ADHC,114 Sixth Street ,ALEXANDRIA,LA,71301,RAPIDES,director@friendship-house.net,(318) 473-9504,2669
Adult Day Health Care,Hansberry ADHC,1606 I-49 N. Frontage Road ,GRAND COTEAU,LA,70541,ST. LANDRY,hansberryadhc@atvci.net,(337) 662-5944,5043
Adult Day Health Care,Hope Haven Adult Day Healthcare Center,1131 Barataria Blvd. ,MARRERO,LA,70072,JEFFERSON,wmarkase@ccano.org,(504) 267-9692,2203782047
Adult Day Health Care,Kingsley House Adult Day Health Care,901 Richard Street,NEW ORLEANS,LA,70130,ORLEANS,acosey@kingsleyhouse.org,(504) 523-6221,2203782908
Adult Day Health Care,Maison de Williams ADHC,828 Latiolais Dr ,BREAUX BRIDGE,LA,70517,ST. MARTIN,maisondewilliams@yahoo.com,(337) 332-5329,2675
Adult Day Health Care,Mary Lee''s House of Love Adult Day Health Care,403 Church Street,MELVILLE,LA,71353,ST. LANDRY,maryleehouseoflove@yahoo.com,(337) 623-4411,2203784235
Adult Day Health Care,Pace Baton Rouge,7436 Bishop Ott Drive ,BATON ROUGE,LA,70806,EAST BATON ROUGE,karen.allen@fmolhs.org,(225) 490-0604,5048
Adult Day Health Care,Pace Greater New Orleans ADHC,4201 N. Rampart Street ,NEW ORLEANS,LA,70117,ORLEANS,rbarbe@ccano.org,(504) 941-6057,5020
Adult Day Health Care,PACE Lafayette,501 W. Saint Mary Blvd. Suite 200,LAFAYETTE,LA,70506,LAFAYETTE,Karen.Allen@FMOLHS.ORG,(337) 470-4500,2203782325
Adult Day Health Care,Poydras Home Activity Services for the Elderly (PHASE),5354 Magazine Street ,NEW ORLEANS,LA,70115,ORLEANS,ekolb@poydrashome.com,(504) 897-0535,2662
Adult Day Health Care,Promise Pride Adult Day Healthcare Center,5100 Groom Road Suite B ,BAKER,LA,70714,EAST BATON ROUGE,promisepride707@gmail.com,(225) 774-3385,5039
Adult Day Health Care,Red River Council on Aging Adult Day Health Care,1825 Front Street ,COUSHATTA,LA,71019,RED RIVER,rrcoa2@bellsouth.net,(318) 932-5721,2668
Adult Day Health Care,Silver Lining ADHC,3419 NW Evangeline Thruway,CARENCRO,LA,70520,LAFAYETTE,silverliningADHC@gmail.com,(337) 592-3178,2203784672
Adult Day Health Care,Slidell Adult Day Health Care,2768 SGT. Alfred Dr. ,SLIDELL,LA,70458,ST. TAMMANY,slidelladultdayh@bellsouth.net,(985) 643-1112,2203782273
Adult Day Health Care,Success Adult Day Health Care Center,211 North Thomas Drive,SHREVEPORT,LA,71107,CADDO,successadult18@gmail.com,(318) 779-0197,2203784477
Adult Day Health Care,Sunny Days Adult Day Health Care LLC,1562 West Main Street,VILLE PLATTE,LA,70586,EVANGELINE,sunnydaysadultday@gmail.com,(337) 459-8246,2203784749
Adult Day Health Care,"The Center, Inc. ADHC",2271 Mason Avenue ,BATON ROUGE,LA,70805,EAST BATON ROUGE,info@thecenterbr.org,(225) 357-8977,2664
Adult Day Health Care,"The Comforts of Home Adult Day Health Care, LLC",2701 Manhattan Blvd. Suite 14 & 15 ,HARVEY,LA,70058,JEFFERSON,comfortsofhomeadhc@gmail.com,(504) 367-0889,5059
Adult Day Health Care,"Touch of Grace, ADHC, LTC, L.L.C.",500 Royal Street ,NATCHITOCHES,LA,71457,NATCHITOCHES,touchofgraceadhc@yahoo.com,(318) 356-5855,5078
Adult Residential Care,A & D Adult Residential Care - Westbank - Level 1 ,3081 Elmwood Park Drive ,NEW ORLEANS,LA,70114,ORLEANS,adultresidential@yahoo.com,(504) 361-0365,14584
Adult Residential Care,Academy House - Level 1 ,4324 Academy Dr. ,METAIRIE,LA,70003,JEFFERSON,stahlsp@bellsouth.net,(504) 884-1063,13319
Adult Residential Care,Almor Ponderosa - Level 2 ,830 McKeithen Drive ,ALEXANDRIA,LA,71303,RAPIDES,patricia@almorenterprises.com,(318) 787-6320,14224
Adult Residential Care,Anderson Memory Care LLC - Level 3,4108 Dauphine St.,SLIDELL,LA,70458,ST. TAMMANY,terri@lifeatsummerfield.com,(985) 646-4677,2203782072
Adult Residential Care,Arbor Rose Assisted Living - Level 3 ,243 Sistrunk Road,FARMERVILLE,LA,71241,UNION,gfutch@paramounthcla.com,(318) 368-1848,13917
Adult Residential Care,Ashton Manor Assisted Living & Memory Care - Level 2 ,270 Ashton Plantation Blvd,LULING,LA,70070,ST. CHARLES,Stephanie@ashton-manor.com,(985) 785-8288,2203781391
Adult Residential Care,Audubon Care Homes Dreyfous House - Level 2,4713 Dreyfous Ave,METAIRIE,LA,70006,JEFFERSON,INFO@AUDUBONCAREHOMES.COM,(504) 252-2640,2203784621
Adult Residential Care,Avanti Senior Living at Covington - Level 3,2234 Watercross Parkway,COVINGTON,LA,70433,ST. TAMMANY,lalford@avanti-sl.com,(985) 317-6110,2203783452
Adult Residential Care,Avanti Senior Living at Lafayette - Level 3,5522 Ambassador Caffery Parkway,YOUNGSVILLE,LA,70592,LAFAYETTE,lalford@avanti-sl.com,(337) 703-6300,2203784346
Adult Residential Care,Azalea Estates of Gonzales - Level 3 ,2305 South Purpera Avenue ,GONZALES,LA,70737,ASCENSION,lisal@ssmgrp.com,(225) 644-1028,2203784561
Adult Residential Care,Azalea Estates of Monroe -Level 3 ,4380 Old Sterlington Rd. ,MONROE,LA,71203,OUACHITA,pjames@ssmgrp.com,(318) 343-1626,2203784562
Adult Residential Care,Azalea Estates of New Iberia-Level 3 ,1318 Andre Street ,NEW IBERIA,LA,70563,IBERIA,cthibodeaux@ssmgrp.com,(337) 364-1695,2203784563
Adult Residential Care,Azalea Estates of Shreveport - Level 3,516 East Flournoy Lucas Road ,SHREVEPORT,LA,71115,CADDO,lnunley@ssmgrp.com,(318) 797-2408,2203784565
Adult Residential Care,Azalea Estates of Slidell -Level 3,354 Robert Boulevard ,SLIDELL,LA,70458,ST. TAMMANY,pguidry@ssmgrp.com,(985) 641-2827,2203784559
Adult Residential Care,Bailey Place - Level 3,650 Pershing Avenue ,BUNKIE,LA,71322,AVOYELLES,LegalHelp@enlivant.com,(318) 346-8400,2203781717
Adult Residential Care,Beau Maison - Level 2 ,3520 Cleary Avenue,METAIRIE,LA,70002,JEFFERSON,jasonhemel@gmail.com,(504) 259-0326,2203783047
Adult Residential Care,Beau Provence Memory Care Assisted Living - Level 2 ,100 Beau West Drive,MANDEVILLE,LA,70471,ST. TAMMANY,jasonhemel@gmail.com,(985) 778-0755,2203784921
Adult Residential Care,BeeHive Homes of Youngsville - Level 2,500 Copper Meadows Blvd,YOUNGSVILLE,LA,70592,LAFAYETTE,davis@beehivehomes.com,(337) 451-8070,2203783862
Adult Residential Care,Bloom at Bossier - Level 3 ,4828 Medical Drive,BOSSIER CITY,LA,71112,BOSSIER,admin@bloomatbossier.com,(318) 746-0470,2203782473
Adult Residential Care,Brookdale Alexandria-Level 3,351 Windermere Boulevard ,ALEXANDRIA,LA,71303,RAPIDES,splunkettwuerger@brookdale.com,(318) 443-6770,10656
Adult Residential Care,Brookdale Bossier City -Level 3,2540 Beene Boulevard ,BOSSIER CITY,LA,71111,BOSSIER,mhennigan@brookdale.com,(318) 747-2114,2203781799
Adult Residential Care,Brookdale Lafayette-Level 3 ,215 W. Farrel Road ,LAFAYETTE,LA,70508,LAFAYETTE,splunkettwuerger@brookdale.com,(337) 993-0077,10662
Adult Residential Care,Brookdale Lake Charles - Level 3 ,2420 Country Club Road ,LAKE CHARLES,LA,70605,CALCASIEU,Jeremy.Fontenot@brookdale.com,(337) 478-4030,10658
Adult Residential Care,Brookdale Mandeville - Level 2 ,1414 North Causeway Boulevard ,MANDEVILLE,LA,70471,ST. TAMMANY,splunkettwuerger@brookdale.com,(985) 727-4011,10380
Adult Residential Care,Brookdale Shreveport - Level 3 ,7110 University Drive ,SHREVEPORT,LA,71105,CADDO,maliphares@brookdale.com,(318) 524-2100,10659
Adult Residential Care,Camelot of Broussard - Level 3,418 Albertsons Pkwy ,BROUSSARD,LA,70518,LAFAYETTE,sguilbeaux@cci.la,(337) 839-9005,13262
Adult Residential Care,Canterbury House - Level 3,1101 Sixteenth Street,ALEXANDRIA,LA,71301,RAPIDES,admn.canterburyhouse@gmail.com,(318) 445-7715,2203781146
Adult Residential Care,Carriage House At The Verandah - Level 3 ,5847 Gray Market Drive,LAKE CHARLES,LA,70605,CALCASIEU,propertymgmt@sunshineret.com,(337) 478-0859,2203781985
Adult Residential Care,Cedar Crest Memory Care-Level 3 ,161 South Beadle Road,LAFAYETTE,LA,70508,LAFAYETTE,khayes@omegasrliving.com,(337) 261-8811,2203784275
Adult Residential Care,Chateau de Notre Dame Assisted Living-Level 3 ,2820 Burdette Street ,NEW ORLEANS,LA,70125,ORLEANS,acedor@arch-no.org,(504) 866-2741,14259
Adult Residential Care,Christwood Retirement Community - Level 3,100 Christwood Blvd.,COVINGTON,LA,70433,ST. TAMMANY,athompson@christwoodrc.com,(985) 898-0515,2203783013
Adult Residential Care,Christwood-Level 4 ,100 Christwood Boulevard ,COVINGTON,LA,70433,ST. TAMMANY,jball@christwoodrc.com,(985) 292-1224,2203781597
Adult Residential Care,"Courtyard Retirement & Assisted Living, Inc.-Level 3",308 Sidney Martin Road ,LAFAYETTE,LA,70507,LAFAYETTE,nick@courtyard306and308.com,(337) 237-3040,13143
