PROGRAM_DESCRIPTION,FACILITY_NAME,GEOGRAPHIC_STREET,GEOGRAPHIC_CITY,GEOGRAPHIC_STATE,GEOGRAPHIC_ZIP_CODE,PARISH,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ORIGINAL_LICENSURE_DATE,LICENSURE_EXPIRATION_DATE,ADMINISTRATOR,EMAIL_ADDRESS,TELEPHONE_NUMBER,FAX_PHONE_NUMBER,LDH_REGION_CODE,LICENSURE_NUM
Abortion Clinic,"Delta Clinic of Baton Rouge, Inc.",756 Colonial Drive Suite B ,BATON ROUGE,LA,70806,EAST BATON ROUGE,"756 COLONIAL DRIVE , SUITE B",BATON ROUGE,LA,70806,9/24/04,8/31/21,,,(225) 923-3242,(225) 924-4465,2,07
Abortion Clinic,Hope Medical Group for Women ,210 Kings Highway,SHREVEPORT,LA,71104,CADDO,210 KINGS HIGHWAY ,SHREVEPORT,LA,71104,6/15/04,5/31/22,,,(318) 221-5500,(318) 221-0432,7,06
Abortion Clinic,"Womens Health Care Center, Inc.",2701 General Pershing Street ,NEW ORLEANS,LA,70115,ORLEANS,2701 GENERAL PERSHING ST. ,NEW ORLEANS,LA,70115,4/8/04,6/30/21,,,(504) 899-6010,(504) 896-2302,1,03
Adult Brain Injury,Acadiana Brain Injury Center,101 Guillot Rd,YOUNGSVILLE,LA,70592,LAFAYETTE,P.O. BOX 23 ,YOUNGSVILLE,LA,70592,7/29/05,1/31/22,AUDREY  JOSEY,audreyjosey@abicenter.com,(337) 856-1964,(337) 856-5272,4,001
Adult Brain Injury,Neuro RehabCare of Hammond,41238 Adams Road,HAMMOND,LA,70403,TANGIPAHOA,"10800 FARLEY STREET, SUITE 265",OVERLAND PARK,KS,66210,8/3/17,7/31/21,RHONDA  COFFEE,DANTE@NEURORC.COM ,(985) 272-1299,(985) 272-1257,9,2203783410
Adult Brain Injury,Neuro Restorative Louisiana Hammond Place,46406 West Lee Hughes Road ,HAMMOND,LA,70401,TANGIPAHOA,46406 WEST LEE HUGHES ROAD,HAMMOND,LA,70401,7/8/03,2/28/22,Miriam  Travis,Miriam.travis@neurorestorative.com ,(225) 567-4392,(225) 567-6670,9,004
Adult Brain Injury,Neurological Rehabilitation Living Center Louisiana,614 West 18th Avenue ,COVINGTON,LA,70433,ST. TAMMANY,"16 INDUSTRIAL BLVD, STE 203",PAOLI,PA,19301,3/1/98,10/31/21,NORAMIA  FORD,nford@remed.com,(985) 875-3100,(985) 875-3103,9,2203783609
Adult Brain Injury,TASS Brain Injury Rehabilitation Center,42215 Pleasant Ridge Extension Road ,PONCHATOULA,LA,70454,TANGIPAHOA,42215 PLEASANT RIDGE EXTENSION ROAD ,PONCHATOULA,LA,70454,6/21/11,6/30/21,DANA  MCKINNEY,dana@tassbraininjury.com ,(985) 370-0323,(985) 370-0324,9,005
Adult Day Health Care,"A & L Adult Day Health Care, Inc.","706 Bayard Street, STE-A",NEW IBERIA,LA,70560,IBERIA,"706 BAYARD STREET, STE-A",NEW IBERIA,LA,70560,8/26/11,2/28/22,Devri  Anthony,alpca@att.net,(337) 364-7411,(337) 364-7842,4,2203783113
Adult Day Health Care,Abundant Life Adult Day Health Care Center,2401 Prentiss Blvd,NEW ORLEANS,LA,70122,ORLEANS,2401 PRENTISS BLVD,NEW ORLEANS,LA,70122,4/30/10,6/30/21,Herlanius  Tate,Abundantlife1@cox.net,(504) 240-2900,(504) 241-2900,1,2203783396
