Facility Name,Address,City,Phone Number,Date Accessed,State Facility Type 1 Literal,Capacity,State
Adelaide Of Newton Centre,157 HERRICK ROAD,Newton,(617) 544-3454,6/28/21,ASSISTED LIVING RESIDENCE,50,MA
All American Assisted Living At Hanson,1074 WEST WASHINGTON STREET,Hanson,(781) 447-4100,6/28/21,ASSISTED LIVING RESIDENCE,48,MA
All American Assisted Living At Raynham,1084 BROADWAY STREET,Raynham,(508) 822-9400,6/28/21,ASSISTED LIVING RESIDENCE,58,MA
All American Assisted Living At Wareham,300 ROSEBROOK WAY,Wareham,(774) 678-0513,6/28/21,ASSISTED LIVING RESIDENCE,58,MA
All American Assisted Living At Wrentham,30 LEDGEVIEW WAY,Wrentham,(774) 210-8108,6/28/21,ASSISTED LIVING RESIDENCE,58,MA
Allerton House At Central Park,43 SCHOOLHOUSE RD.,Weymouth,(781) 335-8666,6/28/21,ASSISTED LIVING RESIDENCE,96,MA
Allerton House At Harbor Park,15 CONDITO ROAD,Hingham,(781) 749-3322,6/28/21,ASSISTED LIVING RESIDENCE,69,MA
Allerton House At Proprietors Green,10 VILLAGE GREEN WAY,Marshfield,(781) 834-7885,6/28/21,ASSISTED LIVING RESIDENCE,70,MA
Allerton House At The Village At Duxbury,290 KINGSTOWN WAY,Duxbury,(781) 585-2334,6/28/21,ASSISTED LIVING RESIDENCE,34,MA
Armbrook Assisted Living,551 NORTH STREET,Westfield,(413) 568-0000,6/28/21,ASSISTED LIVING RESIDENCE,84,MA
Artis Senior Living Of Lexington,430 CONCORD STREET,Lexington,(781) 538-4534,6/28/21,ASSISTED LIVING RESIDENCE,72,MA
Artis Senior Living Of Reading,1100 MAIN STREET,Reading,(781) 872-1907,6/28/21,ASSISTED LIVING RESIDENCE,64,MA
Artisan At Hudson,253 WASHINGTON STREET,Hudson,(978) 763-7111,6/28/21,ASSISTED LIVING RESIDENCE,88,MA
Ashland Farms At North Andover,700 CHICKERING ROAD,North Andover,(978) 683-1300,6/28/21,ASSISTED LIVING RESIDENCE,98,MA
Assisted Living Center Of Salisbury,19 BEACH ROAD,Salisbury,(978) 463-9809,6/28/21,ASSISTED LIVING RESIDENCE,30,MA
Atria Draper Place,25 HOPEDALE STREET,Hopedale,(508) 482-5995,6/28/21,ASSISTED LIVING RESIDENCE,68,MA
Atria Fairhaven,391 ALDEN ROAD,Fairhaven,(508) 994-9238,6/28/21,ASSISTED LIVING RESIDENCE,60,MA
Atria Longmeadow Place,42 MALL ROAD,Burlington,(781) 270-9008,6/28/21,ASSISTED LIVING RESIDENCE,110,MA
Atria Maplewood Place,295 BROADWAY,Malden,(781) 218-3308,6/28/21,ASSISTED LIVING RESIDENCE,98,MA
Atria Marina Place,4 SEAPORT DRIV,Quincy,(617) 770-3264,6/28/21,ASSISTED LIVING RESIDENCE,110,MA
Atria Marland Place,15 STEVENS STREET,Andover,(978) 475-4225,6/28/21,ASSISTED LIVING RESIDENCE,141,MA
Atria Merrimack Place,85 STOREY AVENUE,Newburyport,(978) 462-7324,6/28/21,ASSISTED LIVING RESIDENCE,129,MA
Atria Woodbriar Park,339 GIFFORD STREET,Falmouth,(508) 540-1600,6/28/21,ASSISTED LIVING RESIDENCE,95,MA
Atria Woodbriar Place,389 GIFFORD STREET,Falmouth,(508) 497-5500,6/28/21,ASSISTED LIVING RESIDENCE,125,MA
Atrium At Cardinal Drive,153 CARDINAL DRIVE,Agawam,(413) 821-9911,6/28/21,ASSISTED LIVING RESIDENCE,44,MA
Atrium At Drum Hill,2 TECHNOLOGY DRIVE,Chelmsford,(978) 674-5295,6/28/21,ASSISTED LIVING RESIDENCE,44,MA
Atrium At Faxon Woods,2003 FALLS BLVD.,Quincy,(617) 471-5595,6/28/21,ASSISTED LIVING RESIDENCE,54,MA
