Massachusetts Certified Assisted Living Residences: As of 3-1-21,,,,,
Name of Residence,Address,City,Phone Number,Total # Traditional Units,Total # Special Care Residences (SCR) UNITS
Adelaide of Newton Centre,157 Herrick Road,Newton,(617) 544-3454,0,50
All American Assisted Living at Hanson,1074 West Washington Street,Hanson,(781) 447-4100,40,8
All American Assisted Living at Raynham,1084 Broadway Street,Raynham,(508) 822-9400,45,13
All American Assisted Living at Wareham,300 Rosebrook Way,Wareham,(774) 678-0513,45,13
All American Assisted Living at Wrentham,30 Ledgeview Way,Wrentham,(774) 210-8108,45,13
Allerton House at Central Park,43 Schoolhouse Rd.,Weymouth,(781) 335-8666,80,16
Allerton House at Harbor Park,15 Condito Road,Hingham,(781) 749-3322,56,13
Allerton House at Proprietors Green,10 Village Green Way,Marshfield,(781) 834-7885,46,24
Allerton House at The Village at Duxbury,290 Kingstown Way,Duxbury,(781) 585-2334,34,0
Armbrook Assisted Living,551 North Street,Westfield,(413) 568-0000,63,21
Artis Senior Living of Lexington,430 Concord Street,Lexington,(781) 538-4534,0,72
Artis Senior Living of Reading,1100 Main Street,Reading,(781) 872-1907,0,64
Artisan at Hudson,253 Washington Street,Hudson,(978) 763-7111,65,23
Ashland Farms at North Andover,700 Chickering Road,North Andover,(978) 683-1300,77,21
Assisted Living Center of Salisbury,19 Beach Road,Salisbury,(978) 463-9809,30,0
Atria Draper Place,25 Hopedale Street,Hopedale,(508) 482-5995,50,18
Atria Fairhaven,391 Alden Road,Fairhaven,(508) 994-9238,50,10
Atria Longmeadow Place,42 Mall Road,Burlington,(781) 270-9008,97,13
Atria Maplewood Place,295 Broadway,Malden,(781) 218-3308,88,10
Atria Marina Place,4 Seaport Driv,Quincy,(617) 770-3264,89,21
Atria Marland Place,15 Stevens Street,Andover,(978) 475-4225,103,38
Atria Merrimack Place,85 Storey Avenue,Newburyport,(978) 462-7324,106,23
Atria Woodbriar Park,339 Gifford Street,Falmouth,(508) 540-1600,45,50
Atria Woodbriar Place,389 Gifford Street,Falmouth,(508) 497-5500,125,0
