Facility Name,License Number,State Facility Type 2 Literal,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity,Date Accessed
10 Elizabeth Farms Lane Unit #5,RCA39311,LEVEL I RESIDENTIAL CARE FACILITY,10 ELIZABETH FARMS LN UNIT 5,Gray,ME,04039-4412,Cumberland,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
10 Elizabeth Farms Lane Unit #6,RCA39310,LEVEL I RESIDENTIAL CARE FACILITY,10 ELIZABETH FARMS LN UNIT 6,Gray,ME,04039-4412,Cumberland,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
10 Elizabeth Farms Lane Unit #7,RCA39313,LEVEL I RESIDENTIAL CARE FACILITY,10 ELIZABETH FARMS LN UNIT 7,Gray,ME,04039-4412,Cumberland,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
10 Elizabeth Farms Lane Unit #8,RCA39312,LEVEL I RESIDENTIAL CARE FACILITY,10 ELIZABETH FARMS LN UNIT 8,Gray,ME,04039-4412,Cumberland,+1 (207) 878-3221,ASSISTED HOUSING,2,7/12/21
10 Legion Drive,PNC2326,PNMI LEVEL III RESIDENTIAL CARE FACILITY,10 LEGION DR,Augusta,ME,04330-6850,Kennebec,+1 (207) 582-8021,ASSISTED HOUSING,5,7/12/21
10 N Group Home,RCA39185,LEVEL I RESIDENTIAL CARE FACILITY,10 N ST,Bangor,ME,04401-2561,Penobscot,+1 (800) 434-3000,ASSISTED HOUSING,1,7/12/21
10 Pine,RCC39225,LEVEL III RESIDENTIAL CARE FACILITY,10 PINE ST,Auburn,ME,04210-5432,Androscoggin,+1 (207) 241-8023,ASSISTED HOUSING,3,7/12/21
1033 High Street,RCA38921,LEVEL I RESIDENTIAL CARE FACILITY,1033 HIGH ST,Bath,ME,04530-2216,Sagadahoc,+1 (207) 504-5683,ASSISTED HOUSING,2,7/12/21
11 Branch Road,RCA39008,LEVEL I RESIDENTIAL CARE FACILITY,11 BRANCH RD,Sanford,ME,04073-4450,York,+1 (207) 608-0800,ASSISTED HOUSING,2,7/12/21
11 Susan Lane,RCC39130,LEVEL III RESIDENTIAL CARE FACILITY,11 SUSAN LN,Falmouth,ME,04105-2527,Cumberland,+1 (207) 536-4937,ASSISTED HOUSING,3,7/12/21
111 Prospect Ave,RCA39235,LEVEL I RESIDENTIAL CARE FACILITY,111 PROSPECT AVE,Lewiston,ME,04240-8718,Androscoggin,+1 (207) 241-2810,ASSISTED HOUSING,2,7/12/21
