Facility Name,License Number,State Facility Type 2 Literal,Status,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity
10 ELIZABETH FARMS LANE UNIT #5,RCA39311,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 ELIZABETH FARMS LN UNIT 5,GRAY,ME,04039-4412,CUMBERLAND,+1 (207) 878-3221,ASSISTED HOUSING,2
10 ELIZABETH FARMS LANE UNIT #6,RCA39310,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 ELIZABETH FARMS LN UNIT 6,GRAY,ME,04039-4412,CUMBERLAND,+1 (207) 878-3221,ASSISTED HOUSING,2
10 ELIZABETH FARMS LANE UNIT #7,RCA39313,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 ELIZABETH FARMS LN UNIT 7,GRAY,ME,04039-4412,CUMBERLAND,+1 (207) 878-3221,ASSISTED HOUSING,2
10 ELIZABETH FARMS LANE UNIT #8,RCA39312,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 ELIZABETH FARMS LN UNIT 8,GRAY,ME,04039-4412,CUMBERLAND,+1 (207) 878-3221,ASSISTED HOUSING,2
10 LEGION DRIVE,PNC2326,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,10 LEGION DR,AUGUSTA,ME,04330-6850,KENNEBEC,+1 (207) 582-8021,ASSISTED HOUSING,5
10 N GROUP HOME,RCA39185,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 N ST,BANGOR,ME,04401-2561,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,1
10 PINE,RCC39225,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,10 PINE ST,AUBURN,ME,04210-5432,ANDROSCOGGIN,+1 (207) 241-8023,ASSISTED HOUSING,3
1033 HIGH STREET,RCA38921,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1033 HIGH ST,BATH,ME,04530-2216,SAGADAHOC,+1 (207) 504-5683,ASSISTED HOUSING,2
11 BRANCH ROAD,RCA39008,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,11 BRANCH RD,SANFORD,ME,04073-4450,YORK,+1 (207) 608-0800,ASSISTED HOUSING,2
11 SUSAN LANE,RCC39130,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,11 SUSAN LN,FALMOUTH,ME,04105-2527,CUMBERLAND,+1 (207) 536-4937,ASSISTED HOUSING,3
111 PROSPECT AVE,RCA39235,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,111 PROSPECT AVE,LEWISTON,ME,04240-8718,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,2
112 BIRCH HILL GROUP HOME,RCA39183,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,112 BIRCH HILL EST,BANGOR,ME,04401-2558,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,1
113 CENTER STREET,ALP38775,ASSISTED LIVING PROGRAM,ACTIVE,113 CENTER ST,BANGOR,ME,04401-5072,PENOBSCOT,+1 (207) 907-7898,ASSISTED HOUSING,5
115 CENTER STREET,ALP38776,ASSISTED LIVING PROGRAM,ACTIVE,115 CENTER ST,BANGOR,ME,04401-5073,PENOBSCOT,+1 (207) 907-7898,ASSISTED HOUSING,3
116 SUMMER ST,RCC39239,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,116 SUMMER ST,LEWISTON,ME,04240-7529,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,3
12 A RIVERVIEW STREET,RCC2313,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,12A RIVERVIEW ST,SANFORD,ME,04073-2812,YORK,+1 (207) 324-8755,ASSISTED HOUSING,3
12 CLEAVES,RCA39237,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,12 CLEAVES ST,AUBURN,ME,04210-4218,ANDROSCOGGIN,+1 (207) 241-8023,ASSISTED HOUSING,2
12 KATANA DRIVE,RCA39379,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,12 KATANA DR,SOUTH PORTLAND,ME,04106-5528,CUMBERLAND,+1 (207) 878-3221,ASSISTED HOUSING,2
12 PRIMROSE,RCA39286,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,12 PRIMROSE LN,GORHAM,ME,04038-1139,CUMBERLAND,+1 (207) 222-0605,ASSISTED HOUSING,2
129 FOSS STREET,RCB39124,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,129 FOSS ST,BIDDEFORD,ME,04005-3516,YORK,+1 (207) 939-1009,ASSISTED HOUSING,3
13 A GROUP HOME,RCA39140,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,13 A ST,BANGOR,ME,04401-2516,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
13 D GROUP HOME,RCA39184,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,13 D ST,BANGOR,ME,04401-2539,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,1
13 LAWN AVE,RCA39277,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,13 LAWN AVE,GORHAM,ME,04038-1118,CUMBERLAND,+1 (207) 222-0068,ASSISTED HOUSING,2
130 DOUGLAS STREET,RCA39131,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,130 DOUGLASS ST,PORTLAND,ME,04102-2584,CUMBERLAND,+1 (207) 855-0416,ASSISTED HOUSING,2
1324 HOTEL ROAD,RCA39030,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1324 HOTEL RD,AUBURN,ME,04210-4025,ANDROSCOGGIN,+1 (207) 782-2726,ASSISTED HOUSING,2
133 BOLLING GROUP HOME,RCC39091,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,133 BOLLING DR,BANGOR,ME,04401-2808,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,3
134 SOUTH AVE,RCC39224,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,134 SOUTH AVE,LEWISTON,ME,04240-5759,ANDROSCOGGIN,+1 (207) 241-2810,ASSISTED HOUSING,3
135 BOLLING GROUP HOME,RCC39092,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,135 BOLLING DR,BANGOR,ME,04401-2808,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,3
1375 HOTEL RD,RCC39226,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1375 HOTEL RD,AUBURN,ME,04210-4082,ANDROSCOGGIN,+1 (207) 241-8023,ASSISTED HOUSING,3
14 E GROUP HOME,RCA39181,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,14 E ST,BANGOR,ME,04401-2549,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
