Sort Name,Mailing Name,License Number,Profession,Status,Address Line 1,Address Line 2,Address Line 3,Address Line 4,City,State,Zip,County FIPS,County,Country,Phone,Fax,Address Directions,Mailing Care Of,Mailing Address Line 1,Mailing Address Line 2,Mailing Address Line 3,Mailing Address Line 4,Mailing City,Mailing State,Mailing Zip,Mailing County FIPS,Mailing County,Mailing Country,Mailing Address Directions,NAIC Code,Expiration Date,Responsible Individual,RI License Number,Authorities,Department,Agency,Board,EmailAddress,CE Required By Date,Bed Count,Primary Administrator
10 ELIZABETH FARMS LANE UNIT #5,10 ELIZABETH FARMS LANE UNIT #5,RCA39311,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 ELIZABETH FARMS LN UNIT 5,,,,GRAY,ME,04039-4412,23005,CUMBERLAND,,+1 (207) 878-3221,+1 (207) 878-3019,,,,,,,,,,,,,,,6/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,JAMES C. HATHAWAY
10 ELIZABETH FARMS LANE UNIT #6,10 ELIZABETH FARMS LANE UNIT #6,RCA39310,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 ELIZABETH FARMS LN UNIT 6,,,,GRAY,ME,04039-4412,23005,CUMBERLAND,,+1 (207) 878-3221,+1 (207) 878-3019,,,,,,,,,,,,,,,6/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,JAMES C. HATHAWAY
10 ELIZABETH FARMS LANE UNIT #7,10 ELIZABETH FARMS LANE UNIT #7,RCA39313,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 ELIZABETH FARMS LN UNIT 7,,,,GRAY,ME,04039-4412,23005,CUMBERLAND,,+1 (207) 878-3221,+1 (207) 878-3019,,,,,,,,,,,,,,,6/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,JAMES C. HATHAWAY
10 ELIZABETH FARMS LANE UNIT #8,10 ELIZABETH FARMS LANE UNIT #8,RCA39312,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 ELIZABETH FARMS LN UNIT 8,,,,GRAY,ME,04039-4412,23005,CUMBERLAND,,+1 (207) 878-3221,+1 (207) 878-3019,,,,,,,,,,,,,,,6/8/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,JAMES C. HATHAWAY
10 LEGION DRIVE,10 LEGION DRIVE,PNC2326,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,10 LEGION DR,,,,AUGUSTA,ME,04330-6850,23011,KENNEBEC,,+1 (207) 582-8021,+1 (207) 582-2457,,,,,,,,,,,,,,,9/22/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,JASON FEATHERSON
10 N GROUP HOME,10 N GROUP HOME,RCA39185,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 N ST,,,,BANGOR,ME,04401-2561,23019,PENOBSCOT,,+1 (800) 434-3000,+1 (207) 294-4465,,,,,,,,,,,,,,,3/22/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,1,DEBRA D TAYLOR
10 PINE,10 PINE,RCC39225,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,10 PINE ST,,,,AUBURN,ME,04210-5432,23001,ANDROSCOGGIN,,+1 (207) 241-8023,+1 (207) 241-7280,,,,,,,,,,,,,,,6/23/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,AMANDA KAROMBA
1033 HIGH STREET,1033 HIGH STREET,RCA38921,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1033 HIGH ST,,,,BATH,ME,04530-2216,23023,SAGADAHOC,,+1 (207) 504-5683,+1 (207) 725-1416,,,,,,,,,,,,,,,11/3/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,AMY L DAVIS
11 BRANCH ROAD,11 BRANCH ROAD,RCA39008,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,11 BRANCH RD,,,,SANFORD,ME,04073-4450,23031,YORK,,+1 (207) 608-0800,+1 (207) 512-1478,,,,,,,,,,,,,,,8/24/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,ANGIE MARQUIS
11 SUSAN LANE,11 SUSAN LANE,RCC39130,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,11 SUSAN LN,,,,FALMOUTH,ME,04105-2527,23005,CUMBERLAND,,+1 (207) 536-4937,+1 (207) 489-9040,,,,,,,,,,,,,,,1/18/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,JOSEPH BUTOYI
