State Facility Type 2 Literal,License Number,Facility Name,City,State,Zip Code,Phone Number,Capacity,Licensee,Date Accessed,State Facility Type 1 Literal,Address
SMALL GROUP,AS240260286,Gentle Harbor Transition Home,Petoskey,MI,49770,2313475444.0,6,NORTH COUNTRY CMH,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2677 HOWARD RD
LARGE GROUP,AL810007460,Saint Joseph Hall,Chelsea,MI,48118,7344758430.0,20,ST. LOUIS CENTER FOR EXCEPTIONAL CHILDREN & ADULTS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,16195 OLD US-12
SMALL GROUP,AS810405903,Jerry And Alice D'Adamo House,Chelsea,MI,48118,7344758430.0,6,ST. LOUIS CENTER FOR EXCEPTIONAL CHILDREN & ADULTS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"16195 OLD US 12, SUITE 20"
SMALL GROUP,AS410011582,Homewards North,Grand Rapids,MI,495083605,6164867280.0,6,SPECTRUM HEALTH WORTH RESIDENTIAL SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"4122 KALAMAZOO AVENUE, SE"
SMALL GROUP,AS790300778,Gun Club Home,Caro,MI,48723,9896721031.0,5,TUSCOLA BEHAVIORAL HEALTH SYSTEM,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1345 GUN CLUB ROAD
LARGE GROUP,AL180079112,Mcbride Main Street Living,Farwell,MI,48622,9895883520.0,14,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,360 E MAIN
SMALL GROUP,AS370088136,Mcbride Harmony House,Mount Pleasant,MI,48858,9897730628.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"1407 ELM STREET, UNIT B"
SMALL GROUP,AS560311053,Jefferson St. Afc,Midland,MI,48640,9894868333.0,4,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2720 JEFFERSON AVE.
SMALL GROUP,AS580014763,North Monroe Afc,Monroe,MI,48161,7344573259.0,4,SAMARITAS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,930 N MONROE
SMALL GROUP,AS580015100,Ninth Clf,Monroe,MI,48161,7344573467.0,4,SAMARITAS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,930 NINTH STREET
SMALL GROUP,AS610016310,Hansen Safe,North Muskegon,MI,494451237,2317448213.0,4,SAMARITAS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1635 HANSEN STREET
MEDIUM GROUP,AM300083877,Summit House,Hillsdale,MI,49242,5174370679.0,9,THE MANOR,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,425 SUMMIT ST.
MEDIUM GROUP,AM410272020,Nana'S House,Kentwood,MI,495086236,6168271377.0,12,MERLE D. HAINES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"5721 CHRISTY AVENUE, SE"
FAMILY HOME,AF500286756,White-Cth,Warren,MI,48089,5867749559.0,2,BRENDA WHITE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,21180 GENTNER
FAMILY HOME,AF630286663,Carol Pitcher Home,White Lake,MI,48386,2486982935.0,1,CAROL PITCHER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,315 TOWER
MEDIUM GROUP,AM810298263,Memory Support Center @ Brecon Village #2,Saline,MI,48176,7342959811.0,12,EVANGELICAL HOMES OF MICHIGAN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,101 BRECON DRIVE
LARGE GROUP,AL470260177,Sanctuary At Woodland #1,Brighton,MI,48114,8108447477.0,20,TRINITY CONTINUING CARE SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"7533 GRAND RIVER, LST FLOOR"
LARGE GROUP,AL810261123,St. Joseph'S Village #2,Ypsilanti,MI,48197,7347121600.0,19,TRINITY CONTINUING CARE SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"5341 MCAULEY DR., 2ND FLOOR"
HOME FOR THE AGED,AH810236789,The Manor At Glacier Hills Home For The Aged,Ann Arbor,MI,48105,7347696410.0,331,GLACIER HILLS INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1200 EARHART
HOME FOR THE AGED,AH630236844,Sanctuary At Bellbrook,Rochester Hills,MI,48307,2486563239.0,54,MERCY SERVICES FOR AGING,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,873 W AVON RD.
HOME FOR THE AGED,AH500236755,Beechwood Manor Inc.,St. Clair Shores,MI,48080,5867735950.0,98,BEECHWOOD MANOR INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,24600 GREATER MACK
HOME FOR THE AGED,AH700236766,Christian Haven Home,Grand Haven,MI,49417,6168420170.0,60,CHRISTIAN HAVEN INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,704 PENNOYER
SMALL GROUP,AS090391943,Birchwood,Bay City,MI,48706,9896710866.0,6,RIVERSBEND REHABILITATION INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3336 WILDER RD
FAMILY HOME,AF800244794,Serenity Afc,South Haven,MI,49090,2697673359.0,5,SHARON WILSON,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,67223 M 43
SMALL GROUP,AS820077160,Family Tyes Iii,Detroit,MI,48206,3138950906.0,6,FAMILY TYES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7640 DEXTER
MEDIUM GROUP,AM390076322,Mohney 1 Afc,Kalamazoo,MI,49007,2693434433.0,12,MOHNEY 1 AND 2 AFC CORP.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,616 WALNUT ST
SMALL GROUP,AS820311284,Woodruff Home,Rockwood,MI,48134,7342364791.0,6,O & B COMMUNITY HOMES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,21886 WOODRUFF
FAMILY HOME,AF500071281,Shannon Afc,Mt Clemens,MI,48043,5864654996.0,3,RUBY AND GEORGE SHANNON,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,27 MICHIGAN
LARGE GROUP,AL390381477,Beacon Pointe Memory Care,Portage,MI,49002,2697751430.0,20,"DOCKERTY HEALTH CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,732 E. CENTRE STREET
MEDIUM GROUP,AM240072650,Maveric Manor,Pellston,MI,49769,2315398351.0,12,MAVERIC MANOR INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1410 N. MACKINAW TRAIL
SMALL GROUP,AS820304672,Brighter Day,Detroit,MI,48205,3139245514.0,6,INNER PEACE ADULT FOSTER CARE HOME INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,16310 EAST 8 MILE ROAD
SMALL GROUP,AS810074120,Maple House,Ypsilanti,MI,48197,7345289215.0,4,RAINBOW REHABILITATION CENTERS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3439 MAPLE DRIVE
SMALL GROUP,AS810084927,Carpenter House,Ypsilanti,MI,48197,7345281798.0,6,RAINBOW REHABILITATION CENTERS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6180 CARPENTER ROAD
SMALL GROUP,AS810087713,Talladay,Milan,MI,48160,7344398398.0,6,RAINBOW REHABILITATION CENTERS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6312 TALLADAY RD.
SMALL GROUP,AS820014079,Elwell House,Belleville,MI,48111,7346977131.0,6,RAINBOW REHABILITATION CENTERS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17100 ELWELL ROAD
SMALL GROUP,AS810237291,Brookside Ii,Milan,MI,48160,7344390986.0,6,RAINBOW REHABILITATION CENTERS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11354 STONEY CREEK
SMALL GROUP,AS820246953,Bemis,Belleville,MI,48111,7346973893.0,6,RAINBOW REHABILITATION CENTERS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,48722 BEMIS
SMALL GROUP,AS810295001,Birchwood,Ypsilanti,MI,48197,7345479545.0,6,RAINBOW REHABILITATION CENTERS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7160 TEXTILE
SMALL GROUP,AS820066519,Cowan,Westland,MI,48185,7344228680.0,6,"SAINTS,  INCORPORATED",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,32275 COWAN ROAD
SMALL GROUP,AS820013601,Beverly House,Romulus,MI,48174,7347214712.0,6,"SAINTS,  INCORPORATED",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6380 MERRIMAN
SMALL GROUP,AS820249056,Fallow Court Home,Romulus,MI,48184,7343268622.0,6,"SAINTS,  INCORPORATED",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7983 FALLOW COURT
SMALL GROUP,AS500091550,New Port Court,New Baltimore,MI,48047,7344080112.0,6,ADULT LEARNING SYSTEMS-LOWER MICHIGAN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,35050 NEW PORT COURT
SMALL GROUP,AS500092396,St. Clair,New Baltimore,MI,48047,5867258950.0,6,ADULT LEARNING SYSTEMS-LOWER MICHIGAN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,36440 ST. CLAIR
SMALL GROUP,AS500258194,Leelane Ct,Richmond,MI,48062,5867277101.0,6,ADULT LEARNING SYSTEMS-LOWER MICHIGAN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,67799 LEELANE COURT
SMALL GROUP,AS810279052,Seybold,Ypsilanti,MI,48197,7345289004.0,6,ADULT LEARNING SYSTEMS-LOWER MICHIGAN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4922 MUNGER RD.
FAMILY HOME,AF320071117,Rink Afc Home,Port Hope,MI,48468,9899757244.0,2,ROTHE DARLENE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6587 E KINDE RD
LARGE GROUP,AL410280502,Villa East Group Home,Grandville,MI,494181173,6164060853.0,16,THRESHOLDS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"3000 PORTER STREET, SW"
LARGE GROUP,AL410083023,Sojourners Transitional Living,Grand Rapids,MI,495064336,6169400040.0,20,HOPE NETWORK REHABILITATION SERV,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1490 E BELTLINE AVENUE SE
SMALL GROUP,AS410254891,Hnrs Ada House,Grand Rapids,MI,495462360,6169400040.0,6,HOPE NETWORK REHABILITATION SERV,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"940 CLIFFORD AVENUE, SE"
SMALL GROUP,AS390295914,Hnrs - Southwood House,Kalamazoo,MI,49008,2694927842.0,6,HOPE NETWORK REHABILITATION SERV,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,925 PARKER AVE.
SMALL GROUP,AS410352086,Hnrs Maryland House,Grand Rapids,MI,49505,6166449467.0,6,HOPE NETWORK REHABILITATION SERV,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,891 MARYLAND
SMALL GROUP,AS410389238,Hnrs Forest Glen Iii,Grand Rapids,MI,49546,6169400040.0,6,HOPE NETWORK REHABILITATION SERV,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4220 BURTON ST. SE
SMALL GROUP,AS120383698,Hope Network - Lakewood,Coldwater,MI,49036,5172785933.0,6,HOPE NETWORK REHABILITATION SERV,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,265 N. MICHIGAN AVENUE
SMALL GROUP,AS480082012,Hamilton,Newberry,MI,49868,9062933280.0,6,"ADULT LEARNING SYSTEMS - UP, INC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,14180 SOUTH COOPER
SMALL GROUP,AS520300046,Als Wright,Marquette,MI,49855,9062731212.0,6,"ADULT LEARNING SYSTEMS - UP, INC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1803 WRIGHT ST.
FAMILY HOME,AF630079558,Hill Top House,White Lake,MI,48386,2482524344.0,3,CHARMAINE WICHMANN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,420 HILL TOP
FAMILY HOME,AF430091452,Hendrick Afc,Reed City,MI,49677,2318321330.0,6,BRENDA L HENDRICK,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10121 S. SADDLER ROAD
SMALL GROUP,AS730364361,Sandra Court,Saginaw,MI,48602,9897939125.0,6,"BEACON HARBOR HOMES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,45 SANDRA COURT
SMALL GROUP,AS730249985,Shattuck Rd Home,Saginaw,MI,48603,9894979847.0,6,"BEACON HARBOR HOMES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2585 SHATTUCK
SMALL GROUP,AS730077429,Hunter Afc,Saginaw,MI,48601,9897555079.0,5,MARY HUNTER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2312 OWEN
LARGE GROUP,AL110077442,Caretel Inns Of Royalton  - Dover,Saint Joseph,MI,49085,2483309598.0,20,CLIFFSIDE COMPANY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3905 LORRAINE PATH
MEDIUM GROUP,AM130077460,Harvard House,Battle Creek,MI,49017,2699643134.0,12,CHOICE CARE III INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,26 HARVARD STREET
FAMILY HOME,AF380077498,Garden Estates,Jackson,MI,49201,5178411750.0,6,LAURY LYNN GRIDER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3140 SHIRLEY DRIVE
LARGE GROUP,AL580382350,Alice Lorraine Care Center - 2,Monroe,MI,48162,7342434000.0,18,A.L.C.C. INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2590 N. MONROE STREET
SMALL GROUP,AS820071227,Willow Cove Home,Allen Park,MI,48101,3133590778.0,6,CREATIVE IMAGES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,23610 WILLOW COVE
SMALL GROUP,AS820065005,Bellcreek,Livonia,MI,48154,7342664048.0,6,CREATIVE IMAGES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,15557 INKSTER ROAD
SMALL GROUP,AS820071446,Pams Norwood,Detroit,MI,48234,3136050641.0,6,PAMS NORWOOD CARE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,19272 NORWOOD
SMALL GROUP,AS820064382,Mary Street Home,Romulus,MI,48174,7347291270.0,6,"JOAK AMERICAN HOMES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,35630 MARY
SMALL GROUP,AS810401660,Country Lane,Ann Arbor,MI,48108,7349750385.0,6,"JOAK AMERICAN HOMES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5623 THOMAS RD
FAMILY HOME,AF690310401,Tobias Afc,Gaylord,MI,49735,9897324379.0,6,PATRICIA TOBIAS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,586 HAYES TOWER ROAD
SMALL GROUP,AS330092644,Cedar Cottage,Lansing,MI,48910,5173935203.0,6,"TURNING LEAF RES REHAB SVCS., INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,621 E. JOLLY ROAD
LARGE GROUP,AL390392504,Birch Cottage Ii,Vicksburg,MI,49097,2695858762.0,20,"TURNING LEAF RES REHAB SVCS., INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,13326 N. BOULEVARD ST.
SMALL GROUP,AS700317947,Blue Spruce Cottage,Holland,MI,49424,6164666885.0,6,"TURNING LEAF RES REHAB SVCS., INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5418 120TH AVE.
MEDIUM GROUP,AM530087768,Grancare,Custer,MI,49405,2317570042.0,12,GRANCARE OF CUSTER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2110 EAST US-10
SMALL GROUP,AS630086106,L & W Adult Foster Care Home,Southfield,MI,48075,2483552294.0,6,JULIE WILEY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,23845 LEE BAKER
SMALL GROUP,AS090254908,Wilson House,Bay City,MI,48708,9898948592.0,6,LIBERTY LIVING INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,500 WILSON STREET
SMALL GROUP,AS150383742,Bedford North,Boyne City,MI,49712,2314594051.0,4,BEDFORD SPECIALIZED CARE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,00095 ADDIS ROAD
FAMILY HOME,AF140067706,Millers Assisted Living,Dowagiac,MI,49047,2697826826.0,6,PAUL E. MILLER AND SHEILA  MILLER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,25073 MARCELLUS HWY
SMALL GROUP,AS630285885,Echols Support Services #1,Southfield,MI,48034,2482455252.0,6,"ECHOLS, RICHARD & MILLER-ECHOLS, TAHATIA",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,25971 W. TEN MILE ROAD
