State Facility Type 2 Literal,License Number,Facility Name,Address 2,Address 1,City,State,Zip Code,Phone Number,Capacity,Licensee
AS,AS240260286,Gentle Harbor Transition Home,2677 Howard Rd,,Petoskey,MI,49770,2313475444,6,North Country CMH
AL,AL810007460,Saint Joseph Hall,16195 Old US-12,,Chelsea,MI,48118,7344758430,20,St. Louis Center for Exceptional Children & Adults
AS,AS810405903,Jerry and Alice D'Adamo House,Suite 20,16195 Old US 12,Chelsea,MI,48118,7344758430,6,St. Louis Center for Exceptional Children & Adults
AS,AS410011582,Homewards North,"4122 Kalamazoo Avenue, SE",,Grand Rapids,MI,495083605,6164867280,6,Spectrum Health Worth Residential Services
AS,AS790300778,Gun Club Home,1345 Gun Club Road,,Caro,MI,48723,9896721031,5,Tuscola Behavioral Health System
AL,AL180079112,McBride Main Street Living,360 E Main,,Farwell,MI,48622,9895883520,14,"McBride Quality Care Services, Inc."
AS,AS370088136,McBride Harmony House,"1407 Elm Street, Unit B",,Mount Pleasant,MI,48858,9897730628,6,"McBride Quality Care Services, Inc."
AS,AS560311053,Jefferson St. AFC,2720 Jefferson Ave.,,Midland,MI,48640,9894868333,4,"McBride Quality Care Services, Inc."
AS,AS580014763,North Monroe AFC,930 N Monroe,,Monroe,MI,48161,7344573259,4,Samaritas
AS,AS580015100,Ninth Clf,930 Ninth Street,,Monroe,MI,48161,7344573467,4,Samaritas
AS,AS610016310,Hansen Safe,1635 Hansen Street,,North Muskegon,MI,494451237,2317448213,4,Samaritas
AM,AM300083877,Summit House,425 Summit St.,,Hillsdale,MI,49242,5174370679,9,The Manor
AM,AM410272020,Nana's House,"5721 Christy Avenue, SE",,Kentwood,MI,495086236,6168271377,12,Merle D. Haines
AF,AF500286756,White-CTH,21180 Gentner,,Warren,MI,48089,5867749559,2,Brenda White
AF,AF630286663,Carol Pitcher Home,315 Tower,,White Lake,MI,48386,2486982935,1,Carol Pitcher
AM,AM810298263,Memory Support Center @ Brecon Village #2,101 Brecon Drive,,Saline,MI,48176,7342959811,12,Evangelical Homes of Michigan
AL,AL470260177,Sanctuary at Woodland #1,lst Floor,7533 Grand River,Brighton,MI,48114,8108447477,20,Trinity Continuing Care Services
AL,AL810261123,St. Joseph's Village #2,2nd Floor,5341 McAuley Dr.,Ypsilanti,MI,48197,7347121600,19,Trinity Continuing Care Services
AH,AH810236789,The Manor at Glacier Hills Home for the Aged,1200 Earhart,,Ann Arbor,MI,48105,7347696410,331,Glacier Hills Inc.
AH,AH630236844,Sanctuary at Bellbrook,873 W Avon Rd.,,Rochester Hills,MI,48307,2486563239,54,Mercy Services for Aging
AH,AH500236755,Beechwood Manor Inc.,24600 Greater Mack,,St. Clair Shores,MI,48080,5867735950,98,Beechwood Manor Inc.
AH,AH700236766,Christian Haven Home,704 Pennoyer,,Grand Haven,MI,49417,6168420170,60,Christian Haven Inc.
AS,AS090391943,Birchwood,3336 Wilder Rd,,Bay City,MI,48706,9896710866,6,Riversbend Rehabilitation Inc
AF,AF800244794,Serenity AFC,67223 M 43,,South Haven,MI,49090,2697673359,5,Sharon Wilson
AS,AS820077160,Family Tyes III,7640 Dexter,,Detroit,MI,48206,3138950906,6,Family Tyes Inc
AM,AM390076322,Mohney 1 AFC,616 Walnut St,,Kalamazoo,MI,49007,2693434433,12,Mohney 1 and 2 AFC Corp.
AS,AS820311284,Woodruff Home,21886 Woodruff,,Rockwood,MI,48134,7342364791,6,O & B Community Homes Inc
AF,AF500071281,Shannon AFC,27 Michigan,,Mt Clemens,MI,48043,5864654996,3,Ruby and George Shannon
AL,AL390381477,Beacon Pointe Memory Care,732 E. Centre Street,,Portage,MI,49002,2697751430,20,"Dockerty Health Care Services, Inc."
AM,AM240072650,Maveric Manor,1410 N. Mackinaw Trail,,Pellston,MI,49769,2315398351,12,Maveric Manor Inc
AS,AS820304672,Brighter Day,16310 East 8 Mile Road,,Detroit,MI,48205,3139245514,6,Inner Peace Adult Foster Care Home Inc
AS,AS810074120,Maple House,3439 Maple Drive,,Ypsilanti,MI,48197,7345289215,4,Rainbow Rehabilitation Centers
AS,AS810084927,Carpenter House,6180 Carpenter Road,,Ypsilanti,MI,48197,7345281798,6,Rainbow Rehabilitation Centers
AS,AS810087713,Talladay,6312 Talladay Rd.,,Milan,MI,48160,7344398398,6,Rainbow Rehabilitation Centers
AS,AS820014079,Elwell House,17100 Elwell Road,,Belleville,MI,48111,7346977131,6,Rainbow Rehabilitation Centers
AS,AS810237291,Brookside II,11354 Stoney Creek,,Milan,MI,48160,7344390986,6,Rainbow Rehabilitation Centers
AS,AS820246953,Bemis,48722 Bemis,,Belleville,MI,48111,7346973893,6,Rainbow Rehabilitation Centers
AS,AS810295001,Birchwood,7160 Textile,,Ypsilanti,MI,48197,7345479545,6,Rainbow Rehabilitation Centers
AS,AS820066519,Cowan,32275 Cowan Road,,Westland,MI,48185,7344228680,6,"Saints,  Incorporated"
AS,AS820013601,Beverly House,6380 Merriman,,Romulus,MI,48174,7347214712,6,"Saints,  Incorporated"
AS,AS820249056,Fallow Court Home,7983 Fallow Court,,Romulus,MI,48184,7343268622,6,"Saints,  Incorporated"
AS,AS500091550,New Port Court,35050 New Port Court,,New Baltimore,MI,48047,7344080112,6,Adult Learning Systems-Lower Michigan
AS,AS500092396,St. Clair,36440 St. Clair,,New Baltimore,MI,48047,5867258950,6,Adult Learning Systems-Lower Michigan
AS,AS500258194,LeeLane Ct,67799 Leelane Court,,Richmond,MI,48062,5867277101,6,Adult Learning Systems-Lower Michigan
AS,AS810279052,Seybold,4922 Munger Rd.,,Ypsilanti,MI,48197,7345289004,6,Adult Learning Systems-Lower Michigan
AF,AF320071117,Rink Afc Home,6587 E Kinde Rd,,Port Hope,MI,48468,9899757244,2,Rothe Darlene
