Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Ownership Type,State Facility Type 2 Literal,State Facility Type 1 Literal,Date Accessed
35003,Safari Services Llc,5827 PELLER AVENUE NORTH,Stillwater,MN,55802,Washington,None,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
34328,1-0 Granny'S Helpful Hands Llc,5915 CHICAGO AVENUE,Minneapolis,MN,55417,Hennepin,612-824-1177,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
34395,1-0 Granny'S Helpful Hands Llc,4301 WELCOME AVENUE NORTH,Crystal,MN,55422,Hennepin,612-824-1177,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
32951,1-0 Granny'S Helpful Hands Llc,516 STEWART AVENUE,South St. Paul,MN,55075,Dakota,612-824-1177,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
34431,1-0 Granny'S Helpful Hands Llc,3057 14TH AVENUE SOUTH,Minneapolis,MN,55407,Hennepin,612-824-1177,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
36177,1-Belevo Health Services,1064 DALE STREET,St. Paul,MN,55107,Ramsey,651-448-4221,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
37600,12Th Ave Residence,8327 12TH AVENUE SOUTH,Bloomington,MN,55425,Hennepin,952-426-1629,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36921,14Th Street House,2710 14TH STREET SOUTH,Moorhead,MN,56560,Clay,701-866-9835,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36559,1St Attentive Services Llc,8101 VINCENT AVENUE NORTH,Brooklyn Park,MN,55444,Hennepin,612-532-6423,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
37101,1St Attentive Services Llc,1717 THOMAS AVENUE NORTH,Minneapolis,MN,55411,Hennepin,612-688-7600,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
36301,1St Care Inc,8801 10TH AVENUE SOUTH,Bloomington,MN,55420,Hennepin,651-246-7209,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36924,1St Choice Home Llc,1440 EAST OLD SHAKOPEE ROAD,Bloomington,MN,55425,Hennepin,952-201-4493,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
33962,2 Caring Hands,13220 HUMBOLDT AVENUE SOUTH,Burnsville,MN,55337,Dakota,952-736-5464,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
31747,2 Caring Hands Inc,18712 EUCLID PATH,Farmington,MN,55024,Dakota,651-344-8627,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
35690,2016 Home,2016 123RD AVENUE NW,Coon Rapids,MN,55448,Anoka,612-203-4758,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
34709,24 Seven Home Care Inc,9120 CAMBRIDGE AVENUE,Brooklyn Park,MN,55443,Hennepin,612-886-2828,CORPORATION,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
36987,"24-Seven Home Care, Inc.",10774 REGENT AVENUE NORTH,Brooklyn Park,MN,55443,Hennepin,612-886-2828,CORPORATION,,HOUSING WITH SERVICES,7/12/21
37213,"24-Seven Home Care, Inc.",5629 80TH AVENUE NORTH,Brooklyn Park,MN,55443,Hennepin,612-886-2828,CORPORATION,,HOUSING WITH SERVICES,7/12/21
36299,3Care Health Llc,6273 WEST 144TH STREET,Savage,MN,55378,Scott,952-297-1393,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES,HOUSING WITH SERVICES,7/12/21
37301,"611 Flats, Llc",611 MONROE STREET NE,Minneapolis,MN,55113,Hennepin,612-584-4163,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
35874,83Rd Place,7808 83RD AVENUE NORTH,Brooklyn Park,MN,55445,Hennepin,763-493-5067,LIMITED LIABILITY COMPANY,,HOUSING WITH SERVICES,7/12/21
36178,A Caring Home Llc,6231 BLOOMINGTON AVENUE,Richfield,MN,55423,Hennepin,612-750-5968,LIMITED LIABILITY COMPANY,ASSISTED LIVING SERVICES AND DEMENTIA UNIT/DEMENTIA PROGRAM,HOUSING WITH SERVICES,7/12/21
