Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Ownership Type,State Facility Type 1 Literal,State Facility Type 2 Literal
35003,SAFARI SERVICES LLC,5827 PELLER AVENUE NORTH,STILLWATER,MN,55802,WASHINGTON,None,LIMITED LIABILITY COMPANY,Housing With Services,
34328,1-0 GRANNY'S HELPFUL HANDS LLC,5915 CHICAGO AVENUE,MINNEAPOLIS,MN,55417,HENNEPIN,612-824-1177,LIMITED LIABILITY COMPANY,Housing With Services,
34395,1-0 GRANNY'S HELPFUL HANDS LLC,4301 WELCOME AVENUE NORTH,CRYSTAL,MN,55422,HENNEPIN,612-824-1177,LIMITED LIABILITY COMPANY,Housing With Services,
32951,1-0 GRANNY'S HELPFUL HANDS LLC,516 STEWART AVENUE,SOUTH ST. PAUL,MN,55075,DAKOTA,612-824-1177,LIMITED LIABILITY COMPANY,Housing With Services,
34431,1-0 GRANNY'S HELPFUL HANDS LLC,3057 14TH AVENUE SOUTH,MINNEAPOLIS,MN,55407,HENNEPIN,612-824-1177,LIMITED LIABILITY COMPANY,Housing With Services,
36177,1-BELEVO HEALTH SERVICES,1064 DALE STREET,ST. PAUL,MN,55107,RAMSEY,651-448-4221,LIMITED LIABILITY COMPANY,Housing With Services,
37600,12TH AVE RESIDENCE,8327 12TH AVENUE SOUTH,BLOOMINGTON,MN,55425,HENNEPIN,952-426-1629,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
36921,14TH STREET HOUSE,2710 14TH STREET SOUTH,MOORHEAD,MN,56560,CLAY,701-866-9835,CORPORATION,Housing With Services,Assisted Living Services
36559,1ST ATTENTIVE SERVICES LLC,8101 VINCENT AVENUE NORTH,BROOKLYN PARK,MN,55444,HENNEPIN,612-532-6423,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
37101,1ST ATTENTIVE SERVICES LLC,1717 THOMAS AVENUE NORTH,MINNEAPOLIS,MN,55411,HENNEPIN,612-688-7600,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
36301,1ST CARE INC,8801 10TH AVENUE SOUTH,BLOOMINGTON,MN,55420,HENNEPIN,651-246-7209,CORPORATION,Housing With Services,Assisted Living Services
36924,1ST CHOICE HOME LLC,1440 EAST OLD SHAKOPEE ROAD,BLOOMINGTON,MN,55425,HENNEPIN,952-201-4493,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
33962,2 CARING HANDS,13220 HUMBOLDT AVENUE SOUTH,BURNSVILLE,MN,55337,DAKOTA,952-736-5464,CORPORATION,Housing With Services,Assisted Living Services
31747,2 CARING HANDS INC,18712 EUCLID PATH,FARMINGTON,MN,55024,DAKOTA,651-344-8627,CORPORATION,Housing With Services,Assisted Living Services
35690,2016 HOME,2016 123RD AVENUE NW,COON RAPIDS,MN,55448,ANOKA,612-203-4758,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
34709,24 SEVEN HOME CARE INC,9120 CAMBRIDGE AVENUE,BROOKLYN PARK,MN,55443,HENNEPIN,612-886-2828,CORPORATION,Housing With Services,Assisted Living Services
36987,"24-SEVEN HOME CARE, INC.",10774 REGENT AVENUE NORTH,BROOKLYN PARK,MN,55443,HENNEPIN,612-886-2828,CORPORATION,Housing With Services,
37213,"24-SEVEN HOME CARE, INC.",5629 80TH AVENUE NORTH,BROOKLYN PARK,MN,55443,HENNEPIN,612-886-2828,CORPORATION,Housing With Services,
36299,3CARE HEALTH LLC,6273 WEST 144TH STREET,SAVAGE,MN,55378,SCOTT,952-297-1393,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
37301,"611 FLATS, LLC",611 MONROE STREET NE,MINNEAPOLIS,MN,55113,HENNEPIN,612-584-4163,LIMITED LIABILITY COMPANY,Housing With Services,
35874,83RD PLACE,7808 83RD AVENUE NORTH,BROOKLYN PARK,MN,55445,HENNEPIN,763-493-5067,LIMITED LIABILITY COMPANY,Housing With Services,
36178,A CARING HOME LLC,6231 BLOOMINGTON AVENUE,RICHFIELD,MN,55423,HENNEPIN,612-750-5968,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
37271,A CARING HOME LLC,712 EAST 152ND STREET,BURNSVILLE,MN,55306,DAKOTA,612-750-5968,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
33676,A DAUGHTER'S LOVE SUITES,510 4TH STREET NE,STAPLES,MN,56479,TODD,218-296-2090,CORPORATION,Housing With Services,Assisted Living Services
33677,A DAUGHTER'S LOVE SUITES,512 4TH STREET NE,STAPLES,MN,56479,TODD,218-296-2090,CORPORATION,Housing With Services,Assisted Living Services
33678,A DAUGHTER'S LOVE SUITES,514 4TH STREET NE,STAPLES,MN,56479,TODD,218-296-2090,CORPORATION,Housing With Services,Assisted Living Services
36902,"A DAUGHTERS LOVE, INC.",25184 THUNDER ROAD,STAPLES,MN,56479,TODD,218-296-2090,CORPORATION,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
33206,A HELPING HAND SENIOR CARE SER,2527 14TH AVENUE SOUTH,MINNEAPOLIS,MN,55404,HENNEPIN,612-255-3110,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
33208,A HELPING HAND SENIOR CARE SER,2446 15TH AVENUE SOUTH,MINNEAPOLIS,MN,55404,HENNEPIN,612-255-3110,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
33209,A HELPING HAND SENIOR CARE SER,778 BLAIR AVENUE,ST. PAUL,MN,55104,RAMSEY,612-255-3110,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
30713,A TOUCH OF HOME NORTH,915 21ST STREET NW,BEMIDJI,MN,56601,BELTRAMI,218-444-5878,CORPORATION,Housing With Services,Assisted Living Services
32825,A-1 RELIABLE HOME CARE INC,5716 42ND AVENUE NORTH,ROBBINSDALE,MN,55422,HENNEPIN,952-393-7857,CORPORATION,Housing With Services,
33963,A-1 RELIABLE HOME CARE INC,5824 42ND AVENUE NORTH,ROBBINSDALE,MN,55422,HENNEPIN,952-393-7857,CORPORATION,Housing With Services,
33415,A-1 RELIABLE HOME CARE INC,1608 CARROLL AVENUE,ST PAUL,MN,55104,RAMSEY,952-393-7857,CORPORATION,Housing With Services,
33981,A-A-H MERCY HOME HEALTH,3554 JUNE AVENUE NORTH,ROBBINSDALE,MN,55422,HENNEPIN,952-201-9645,LIMITED LIABILITY COMPANY,Housing With Services,
36039,AARAN CARE INC,660 JESSAMINE AVENUE EAST,ST. PAUL,MN,55106,RAMSEY,612-250-3371,CORPORATION,Housing With Services,
32750,ABIITAN MILL CITY,428 SOUTH 2ND STREET,MINNEAPOLIS,MN,55401,HENNEPIN,612-378-0020,NONPROFIT CORPORATION,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
24053,ABILIT HOLDINGS PRAIRIE MEADOW,800 5TH AVE NW,KASSON,MN,55944,DODGE,507-634-9500,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
35624,ABRAHAM'S BOSOM CARE LLC,437 TOWER STREET,ST PAUL,MN,55119,RAMSEY,651-428-9170,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
36793,ABSOLUTE HOMES INC,3045 CENTRAL AVENUE NORTH EAST,MINNEAPOLIS,MN,55418,HENNEPIN,612-229-9512,CORPORATION,Housing With Services,Assisted Living Services
35571,ACCESS MINNESOTA LLC,335 37TH AVENUE NORTH,ST. CLOUD,MN,56303,STEARNS,612-501-0484,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
37611,ACCESS MINNESOTA LLC,1528 7TH STREET,ST. CLOUD,MN,56301,STEARNS,612-501-0484,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
36916,ACCESS RECOVERY CENTER INC.,17365 FONTANA PATH,FARMINGTON,MN,55024,DAKOTA,763-400-1366,CORPORATION,Housing With Services,Assisted Living Services
35744,ACCURATE HOMES LLC,13605 GRAND AVENUE,BURNSVILLE,MN,55337,DAKOTA,612-703-9332,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
35375,ACE HOMES INC,3425 77TH AVENUE NORTH,BROOKLYN PARK,MN,55443,HENNEPIN,612-323-0315,CORPORATION,Housing With Services,
37570,ACE HOMES INC,5820 5TH STREET NORTHEAST,FRIDLEY,MN,55432,ANOKA,612-702-3012,CORPORATION,Housing With Services,Assisted Living Services
28372,ADAGIO MANOR ASSISTED LIVING,5230 CIRCLE DOWN,GOLDEN VALLEY,MN,55416,HENNEPIN,763-229-1993,CORPORATION,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
35359,ADAMS HEALTH CARE SERVICES,10036 WASHBURN AVENUE SOUTH,BLOOMINGTON,MN,55431,HENNEPIN,612-501-1331,LIMITED LIABILITY COMPANY,Housing With Services,
33762,ADAPTA,2020 5TH STREET SW,ROCHESTER,MN,55902,OLMSTED,507-282-0868,NONPROFIT CORPORATION,Housing With Services,Assisted Living Services
36552,ADAPTA,2509 55TH STREET NW,ROCHESTER,MN,55901,OLMSTED,507-282-0868,NONPROFIT CORPORATION,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
36944,ADEG GROUP HOME LLC,3229 2ND AVENUE SOUTH,MINNEAPOLIS,MN,55408,HENNEPIN,612-756-5533,LIMITED LIABILITY COMPANY,Housing With Services,
35883,ADEQUATE HOME CARE LLC,5680 HADLEY AVENUE NORTH,OAKDALE,MN,55128,WASHINGTON,651-367-9906,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
20147,ADITH MILLER MANOR,885 MANKATO AVENUE,WINONA,MN,55987,WINONA,507-454-0179,NONPROFIT CORPORATION,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
37564,ADNA HOMES LLC,7025 KNOX AVENUE NORTH,BROOKLYN CENTER,MN,55430,HENNEPIN,704-252-4716,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
35731,ADNA HOMES LLC,7733 ABBOTT AVENUE NORTH,BROOKLYN PARK,MN,55443,HENNEPIN,763-208-6626,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
30740,ADRIAN COUNTRY LIVING COTTAGES,200 WEST 7TH STREET,ADRIAN,MN,56110,NOBLES,507-483-2511,CITY,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
36624,ADVANCE GROUP HOME INC,9118 BLAISDELL AVENUE SOUTH,MINNEAPOLIS,MN,55420,HENNEPIN,615-710-3715,CORPORATION,Housing With Services,Assisted Living Services
37673,ADVANCED ONE CARE CENTER,515 16TH AVENUE NORTH,ST. CLOUD,MN,56302,SHERBURNE,612-703-0269,CORPORATION,Housing With Services,Assisted Living Services
35674,ADVANCED ONE CARE CENTER,4618 CLINTON AVENUE SOUTH,MINNEAPOLIS,MN,55419,HENNEPIN,612-703-0264,CORPORATION,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
36100,ADVANCED ONE CARE CENTER INC,4552 MANOR BROOK NW,ROCHESTER,MN,55901,OLMSTED,507-208-4863,CORPORATION,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
25520,AEON,1822 PARK AVENUE,MINNEAPOLIS,MN,55404,HENNEPIN,612-871-5800,NONPROFIT CORPORATION,Housing With Services,
35648,AFFINITY RESIDENTIAL CARE LLC,9213 ELLIOT AVENUE SOUTH,BLOOMINGTON,MN,55420,HENNEPIN,612-386-0942,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program
36233,AFFINITY RESIDENTIAL CARE LLC,11021 OAK KNOLL TERRACE NORTH,MINNETONKA,MN,55305,HENNEPIN,612-386-0942,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
36407,AFFINITY RESIDENTIAL CARE LLC,9230 13TH STREET,BLOOMINGTON,MN,55420,HENNEPIN,952-217-4750,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
37017,AFFINITY RESIDENTIAL CARE LLC,6604 4TH AVENUE SOUTH,RICHFIELD,MN,55423,HENNEPIN,612-386-0942,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
37562,AGAPECARE SERVICES LLC,3818 61ST AVENUE,BROOKLYN CENTER,MN,55429,HENNEPIN,763-432-3949,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
35672,AGAPECARE SERVICES LLC,2701 OHENRY ROAD,BROOKLYN CENTER,MN,55430,HENNEPIN,952-994-5356,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
30324,"AGATE BAY ASSISTED LIVING, LLC",414 1ST AVENUE,TWO HARBORS,MN,55616,LAKE,218-834-6174,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
30550,AGELESS CARE INCORPORATED,702 7TH STREET SW,ROSEAU,MN,56751,ROSEAU,218-463-3695,CORPORATION,Housing With Services,
34704,AGILITY ADVANTAGE HHC LLC,10339 QUAIL CIRCLE NORTH,BROOKLYN PARK,MN,55443,HENNEPIN,612-212-9212,LIMITED LIABILITY COMPANY,Housing With Services,Assisted Living Services
