Your selection for all Housing With Services found 2557 providers .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,TELEPHONE,FAX,ADMINISTRATOR,LIC_TYPE,HOSP_BEDS,BASS_BEDS,PSY_HOSP_BEDS,NH_BEDS,BCH_BEDS,SLFA_BEDS,SLFB_BEDS,OTHER_BEDS,HCP_TYPE,HWS,HWS_TYPE,OPS,HOSP18_BEDS,CAH,DEEMED,SWING,PSY18_BEDS,SNF_BEDS,SNFNF_BEDS,NF1_BEDS,NF2_BEDS,ICFMR_BEDS,HHA,HOSPICE,CMHC,CORF,ESRD,ASC,PPSP,PPSR,REHAB,RHC,XRAY,BLSS,MOBHES,BC,ICFMR,HCBS_PRV,SE_PRV,SNSA_PRV
35003,SAFARI SERVICES LLC,5827 PELLER AVENUE NORTH,STILLWATER,MN,55802,82,WASHINGTON,None,None,ASHA ABUKAR,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
34328,1-0 GRANNY'S HELPFUL HANDS LLC,5915 CHICAGO AVENUE,MINNEAPOLIS,MN,55417,27,HENNEPIN,612-824-1177,612-824-1177,MS ROBIN STEPNEY,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
34395,1-0 GRANNY'S HELPFUL HANDS LLC,4301 WELCOME AVENUE NORTH,CRYSTAL,MN,55422,27,HENNEPIN,612-824-1177,612-824-1177,MS ROBIN STEPNEY,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
32951,1-0 GRANNY'S HELPFUL HANDS LLC,516 STEWART AVENUE,SOUTH ST. PAUL,MN,55075,19,DAKOTA,612-824-1177,612-824-1177,MS. ROBIN STEPNEY,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
34431,1-0 GRANNY'S HELPFUL HANDS LLC,3057 14TH AVENUE SOUTH,MINNEAPOLIS,MN,55407,27,HENNEPIN,612-824-1177,612-824-1177,MS ROBIN STEPNEY,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
36177,1-BELEVO HEALTH SERVICES,1064 DALE STREET,ST. PAUL,MN,55107,62,RAMSEY,651-448-4221,651-448-4221,BRITTANY MCMILLEN,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
37600,12TH AVE RESIDENCE,8327 12TH AVENUE SOUTH,BLOOMINGTON,MN,55425,27,HENNEPIN,952-426-1629,952-241-1325,ABDULAHI MOHAMED,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
36921,14TH STREET HOUSE,2710 14TH STREET SOUTH,MOORHEAD,MN,56560,14,CLAY,701-866-9835,612-249-8749,SAM KRAI,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
36559,1ST ATTENTIVE SERVICES LLC,8101 VINCENT AVENUE NORTH,BROOKLYN PARK,MN,55444,27,HENNEPIN,612-532-6423,612-871-2161,SAMSAM MOHAMED,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
37101,1ST ATTENTIVE SERVICES LLC,1717 THOMAS AVENUE NORTH,MINNEAPOLIS,MN,55411,27,HENNEPIN,612-688-7600,612-429-5742,SAMSAM MOHAMED,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
36301,1ST CARE INC,8801 10TH AVENUE SOUTH,BLOOMINGTON,MN,55420,27,HENNEPIN,651-246-7209,None,ABDIKARIM KALID,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
36924,1ST CHOICE HOME LLC,1440 EAST OLD SHAKOPEE ROAD,BLOOMINGTON,MN,55425,27,HENNEPIN,952-201-4493,612-314-8711,SHAKUR ABDISALAM,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
33962,2 CARING HANDS,13220 HUMBOLDT AVENUE SOUTH,BURNSVILLE,MN,55337,19,DAKOTA,952-736-5464,952-344-8628,MRS ANN MURGASEN,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
31747,2 CARING HANDS INC,18712 EUCLID PATH,FARMINGTON,MN,55024,19,DAKOTA,651-344-8627,651-344-8628,MRS ANN RAMNARAIN,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
35690,2016 HOME,2016 123RD AVENUE NW,COON RAPIDS,MN,55448,2,ANOKA,612-203-4758,763-757-1187,MATILDA AGYAPONG,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
34709,24 SEVEN HOME CARE INC,9120 CAMBRIDGE AVENUE,BROOKLYN PARK,MN,55443,27,HENNEPIN,612-886-2828,612-886-2861,MR OVIE AVWENAGHAGHA,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
36987,"24-SEVEN HOME CARE, INC.",10774 REGENT AVENUE NORTH,BROOKLYN PARK,MN,55443,27,HENNEPIN,612-886-2828,612-886-2861,OVIE AVWENAGHAGHA,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
37213,"24-SEVEN HOME CARE, INC.",5629 80TH AVENUE NORTH,BROOKLYN PARK,MN,55443,27,HENNEPIN,612-886-2828,612-886-2861,OVIE AVWENAGHAGHA,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
36299,3CARE HEALTH LLC,6273 WEST 144TH STREET,SAVAGE,MN,55378,70,SCOTT,952-297-1393,844-644-1200,MS MERCY KIAI,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
37301,"611 FLATS, LLC",611 MONROE STREET NE,MINNEAPOLIS,MN,55113,27,HENNEPIN,612-584-4163,952-303-4664,DARSHAE UNDERWOOD,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
35874,83RD PLACE,7808 83RD AVENUE NORTH,BROOKLYN PARK,MN,55445,27,HENNEPIN,763-493-5067,763-493-5138,RITA WILLIAMS,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
36178,A CARING HOME LLC,6231 BLOOMINGTON AVENUE,RICHFIELD,MN,55423,27,HENNEPIN,612-750-5968,612-500-4887,DIRECO FARDOWSA MOHAMED,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
37271,A CARING HOME LLC,712 EAST 152ND STREET,BURNSVILLE,MN,55306,19,DAKOTA,612-750-5968,612-500-4887,FARDOWSA MOHAMED,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
33676,A DAUGHTER'S LOVE SUITES,510 4TH STREET NE,STAPLES,MN,56479,77,TODD,218-296-2090,218-414-2606,MRS. CHRISTINE TOLLEFSON,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
33677,A DAUGHTER'S LOVE SUITES,512 4TH STREET NE,STAPLES,MN,56479,77,TODD,218-296-2090,218-296-5049,MRS. CHRISTINE TOLLEFSON,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
33678,A DAUGHTER'S LOVE SUITES,514 4TH STREET NE,STAPLES,MN,56479,77,TODD,218-296-2090,218-414-2606,MRS CHRISTINE TOLLEFSON,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
36902,"A DAUGHTERS LOVE, INC.",25184 THUNDER ROAD,STAPLES,MN,56479,77,TODD,218-296-2090,218-228-7881,CARLA PLATZER,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services and Dementia Unit/Dementia Program,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
33206,A HELPING HAND SENIOR CARE SER,2527 14TH AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-255-3110,612-255-3115,MS. FATIMA MOHAMUD,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
33208,A HELPING HAND SENIOR CARE SER,2446 15TH AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-255-3110,612-255-3115,MR. JAMA MOHAMOD,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
33209,A HELPING HAND SENIOR CARE SER,778 BLAIR AVENUE,ST. PAUL,MN,55104,62,RAMSEY,612-255-3110,612-255-3115,MR. JAMA MOHAMOD,LIMITED LIABILITY COMPANY,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
30713,A TOUCH OF HOME NORTH,915 21ST STREET NW,BEMIDJI,MN,56601,4,BELTRAMI,218-444-5878,218-444-5114,MS. MELANIE BURNS,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,Assisted Living Services,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
32825,A-1 RELIABLE HOME CARE INC,5716 42ND AVENUE NORTH,ROBBINSDALE,MN,55422,27,HENNEPIN,952-393-7857,651-766-5275,MS. DEBORAH OJOGWU,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
33963,A-1 RELIABLE HOME CARE INC,5824 42ND AVENUE NORTH,ROBBINSDALE,MN,55422,27,HENNEPIN,952-393-7857,651-766-5275,MANAGE DEBORAH OJOGWU,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
33415,A-1 RELIABLE HOME CARE INC,1608 CARROLL AVENUE,ST PAUL,MN,55104,62,RAMSEY,952-393-7857,651-766-5275,MS. DEBORAH OJOGWU,CORPORATION,0,0,0,0,0,0,0,0,,Housing With Services,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
