Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Ownership Type,State Facility Type 2 Literal,State Facility Type 1 Literal
1611,ABLE INC HOUSTON,105 WEST ELM STREET BOX 245,HOUSTON,MN,55943,HOUSTON,507-896-3040,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1419,ABLE INC LA CRESCENT,1700 LANCER BOULEVARD,LA CRESCENT,MN,55947,HOUSTON,507-895-8111,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1378,ACR HOME ON CUMMINGS,1385 CUMMINGS LANE,ARDEN HILLS,MN,55112,RAMSEY,651-636-7537,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1620,ACR HOME ON DAWN,191 DAWN AVENUE,SHOREVIEW,MN,55126,RAMSEY,651-486-0380,CORPORATION,Intermediate Care Facility,Supervised Living Facility
20743,ACR HOME ON FALLGOLD,9719 FALLGOLD PARKWAY,BROOKLYN PARK,MN,55443,HENNEPIN,763-424-0352,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1576,ACR HOME ON LYDIA WEST,2528 LYDIA AVENUE WEST,ROSEVILLE,MN,55113,RAMSEY,651-636-7172,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1573,ACR HOME ON REDWOOD,862 REDWOOD LANE,NEW BRIGHTON,MN,55112,RAMSEY,651-635-9060,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1628,ACR HOME ON ROBIN,4404 ROBIN AVENUE,ROBBINSDALE,MN,55422,HENNEPIN,763-535-1022,CORPORATION,Intermediate Care Facility,Supervised Living Facility
24142,ACR ON DALE COURT,1822 DALE COURT,ROSEVILLE,MN,55113,RAMSEY,651-488-1088,CORPORATION,Intermediate Care Facility,Supervised Living Facility
33236,AFTON PLACE,2715 UPPER AFTON ROAD,MAPLEWOOD,MN,55119,RAMSEY,651-254-0500,NONPROFIT CORPORATION,,Supervised Living Facility
1667,ALLENDALE HOUSE,2847 19TH AVENUE NW,ROCHESTER,MN,55901,OLMSTED,507-288-7195,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1668,AMERICAN INDIAN COMM DEVLP,1800 CHICAGO AVENUE SOUTH,MINNEAPOLIS,MN,55404,HENNEPIN,612-879-3562,NONPROFIT CORPORATION,,Supervised Living Facility
4,ANOKA METRO REG TREATMENT CTR,3301 7TH AVENUE NORTH,ANOKA,MN,55303,ANOKA,651-431-5252,STATE,,Supervised Living Facility
1400,ANTHONY LOUIS CENTER,1000 PAUL PARKWAY,BLAINE,MN,55434,ANOKA,763-757-2906,CORPORATION,,Supervised Living Facility
1222,ARLINGTON HOME,1505 ARLINGTON STREET SOUTH,FERGUS FALLS,MN,56537,OTTER TAIL,218-739-2045,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
1110,ATWATER ICFIID,110 5TH STREET NORTH,ATWATER,MN,56209,KANDIYOHI,320-974-8070,CORPORATION,Intermediate Care Facility,Supervised Living Facility
23246,AXIS ON BELMONT,692 BELMONT LANE WEST,ROSEVILLE,MN,55113,RAMSEY,651-489-4630,CORPORATION,Intermediate Care Facility,Supervised Living Facility
22846,AXIS ON ELDRIDGE,651 ELDRIDGE AVENUE WEST,ROSEVILLE,MN,55113,RAMSEY,651-488-2237,CORPORATION,Intermediate Care Facility,Supervised Living Facility
22370,AXIS ON GLENHILL,1083 GLENHILL ROAD,SHOREVIEW,MN,55126,RAMSEY,651-482-0562,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1325,AXIS ON SENECA,1586 SENECA TRAIL,WHITE BEAR TOWNSHIP,MN,55110,RAMSEY,651-426-3546,CORPORATION,Intermediate Care Facility,Supervised Living Facility
23393,AXIS ON ST. MICHAEL,5533 ST. MICHAEL STREET,MOUNDS VIEW,MN,55112,RAMSEY,763-717-4967,CORPORATION,Intermediate Care Facility,Supervised Living Facility
22847,AXIS ON WHITE BEAR AVENUE,3516 WHITE BEAR AVENUE NORTH,WHITE BEAR LAKE,MN,55110,RAMSEY,651-779-4301,CORPORATION,Intermediate Care Facility,Supervised Living Facility
1546,BELL HILL RECOVERY CENTER,ROUTE 2 PO BOX 206,WADENA,MN,56482,WADENA,218-631-3610,NONPROFIT CORPORATION,,Supervised Living Facility
1538,BETHESDA LUTHERAN COMM COT 5,2483 109TH AVENUE NW,COON RAPIDS,MN,55433,ANOKA,952-443-2756,NONPROFIT CORPORATION,Intermediate Care Facility,Supervised Living Facility
