Your selection for all Supervised Living Facilities found 214 providers .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,TELEPHONE,FAX,ADMINISTRATOR,LIC_TYPE,HOSP_BEDS,BASS_BEDS,PSY_HOSP_BEDS,NH_BEDS,BCH_BEDS,SLFA_BEDS,SLFB_BEDS,OTHER_BEDS,HCP_TYPE,HWS,HWS_TYPE,OPS,HOSP18_BEDS,CAH,DEEMED,SWING,PSY18_BEDS,SNF_BEDS,SNFNF_BEDS,NF1_BEDS,NF2_BEDS,ICFMR_BEDS,HHA,HOSPICE,CMHC,CORF,ESRD,ASC,PPSP,PPSR,REHAB,RHC,XRAY,BLSS,MOBHES,BC,ICFMR,HCBS_PRV,SE_PRV,SNSA_PRV
1611,ABLE INC HOUSTON,105 WEST ELM STREET BOX 245,HOUSTON,MN,55943,28,HOUSTON,507-896-3040,507-895-4505,MS. GAIL MEYER,NONPROFIT CORPORATION,0,0,0,0,0,0,6,0,,,,,0,,,,0,0,0,0,0,6,,,,,,,,,,,,,,,Intermediate Care Facility,N,N,
1419,ABLE INC LA CRESCENT,1700 LANCER BOULEVARD,LA CRESCENT,MN,55947,28,HOUSTON,507-895-8111,507-895-4505,MS. GAIL MEYER,NONPROFIT CORPORATION,0,0,0,0,0,0,15,0,,,,,0,,,,0,0,0,0,0,15,,,,,,,,,,,,,,,Intermediate Care Facility,N,N,
1378,ACR HOME ON CUMMINGS,1385 CUMMINGS LANE,ARDEN HILLS,MN,55112,62,RAMSEY,651-636-7537,651-697-1724,MR. GENE LEISTICO,CORPORATION,0,0,0,0,0,0,4,0,,,,,0,,,,0,0,0,0,0,4,,,,,,,,,,,,,,,Intermediate Care Facility,N,N,
1620,ACR HOME ON DAWN,191 DAWN AVENUE,SHOREVIEW,MN,55126,62,RAMSEY,651-486-0380,651-486-7767,GENE LEISTICO,CORPORATION,0,0,0,0,0,0,4,0,,,,,0,,,,0,0,0,0,0,4,,,,,,,,,,,,,,,Intermediate Care Facility,N,N,
20743,ACR HOME ON FALLGOLD,9719 FALLGOLD PARKWAY,BROOKLYN PARK,MN,55443,27,HENNEPIN,763-424-0352,763-424-6544,GENE LEISTICO,CORPORATION,0,0,0,0,0,0,6,0,,,,,0,,,,0,0,0,0,0,6,,,,,,,,,,,,,,,Intermediate Care Facility,N,N,
1576,ACR HOME ON LYDIA WEST,2528 LYDIA AVENUE WEST,ROSEVILLE,MN,55113,62,RAMSEY,651-636-7172,651-636-7205,GENE LEISTICO,CORPORATION,0,0,0,0,0,0,4,0,,,,,0,,,,0,0,0,0,0,4,,,,,,,,,,,,,,,Intermediate Care Facility,N,N,
1573,ACR HOME ON REDWOOD,862 REDWOOD LANE,NEW BRIGHTON,MN,55112,62,RAMSEY,651-635-9060,651-635-4392,MR. GENE LEISTICO,CORPORATION,0,0,0,0,0,0,4,0,,,,,0,,,,0,0,0,0,0,4,,,,,,,,,,,,,,,Intermediate Care Facility,N,N,
1628,ACR HOME ON ROBIN,4404 ROBIN AVENUE,ROBBINSDALE,MN,55422,27,HENNEPIN,763-535-1022,763-535-2107,GENE LEISTICO,CORPORATION,0,0,0,0,0,0,5,0,,,,,0,,,,0,0,0,0,0,5,,,,,,,,,,,,,,,Intermediate Care Facility,N,N,
24142,ACR ON DALE COURT,1822 DALE COURT,ROSEVILLE,MN,55113,62,RAMSEY,651-488-1088,651-488-1544,MR. GENE LEISTICO,CORPORATION,0,0,0,0,0,0,4,0,,,,,0,,,,0,0,0,0,0,4,,,,,,,,,,,,,,,Intermediate Care Facility,N,N,
33236,AFTON PLACE,2715 UPPER AFTON ROAD,MAPLEWOOD,MN,55119,62,RAMSEY,651-254-0500,651-731-5847,MS. JAYNE QUINLAN,NONPROFIT CORPORATION,0,0,0,0,0,16,0,0,,,,,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,N,N,
