Facility ID,State Facility Type 2 Literal,Facility Name,Address,City,Zip Code,County,Capacity,Phone Number,Licensee,Ownership Type,Date Accessed,State Facility Type 1 Literal,State
78,D,"Akins Health Care, Inc",4432 WEST BELLE PL,Saint Louis,63108-2617,Saint Louis City,20,(314) 652-8908,"AKINS HEALTH CARE, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
144,M,Spring Valley Assisted Living,2915 SOUTH FREMONT AVE,Springfield,65804-3608,Greene,40,(417) 883-4022,"MC FREMONT HEALTHCARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
185,M,Silver Spur,3300 TEXAS AVE,Saint Louis,63118-3111,Saint Louis City,37,(314) 773-3408,"ARENA MANOR, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
199,M,Armour Oaks Senior Living Community,8100 WORNALL RD,Kansas City,64114-5806,Jackson,47,(816) 363-5141,"WOMEN'S CHRISTIAN ASSOCIATION OF KANSAS CITY, MO",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
256,D,Bailey Street Residential Care I,102 BAILEY ST,Farmington,63640-1819,Saint Francois,12,(573) 756-6374,"FRANKS, DEBORAH K",SOLE PROPRIETOR,6/29/21,RESIDENTIAL CARE FACILITY,MO
274,M,"Baptist Home, The",101 RIGGS-SCOTT LN,Ironton,63650-4338,Iron,56,(573) 546-7429,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
329,C,Beacon Hill Residential Care,2905 CAMPBELL,Kansas City,64109-1417,Jackson,37,(816) 531-6168,"JOLET II, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
342,M,Beautiful Savior Home,1003 SOUTH CEDAR ST,Belton,64012-3703,Cass,55,(816) 331-0781,BEAUTIFUL SAVIOR HOME,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
546,C,Big Bend Retreat,620 NORTH EMMERSON,Slater,65349-1157,Saline,10,(660) 529-2237,"BIG BEND RETREAT, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
633,D,Georgia Brown Blosser Home For The Aged,1210 EAST EASTWOOD ST,Marshall,65340-1510,Saline,11,(660) 886-5020,GEORGIA BROWN BLOSSER HOME FOR THE AGED,NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
