Facility ID,Level of Care Code,Level of Care,Facility Name,Address,City,Zip Code,County,Capacity,Phone Number,Licensee,Ownership Type
78,D,RCF,"AKINS HEALTH CARE, INC",4432 WEST BELLE PL,SAINT LOUIS,63108-2617,SAINT LOUIS CITY,20,(314) 652-8908,"AKINS HEALTH CARE, INC",PROFIT CORPORATION
137,A,SNF,"ESTATES OF PERRYVILLE, LLC, THE",430 NORTH WEST ST,PERRYVILLE,63775-1359,PERRY,156,(573) 547-1011,"THE ESTATES OF PERRYVILLE, LLC",LIMITED LIABILITY COMPANY
144,M,ALF,SPRING VALLEY ASSISTED LIVING,2915 SOUTH FREMONT AVE,SPRINGFIELD,65804-3608,GREENE,40,(417) 883-4022,"MC FREMONT HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
144,A,SNF,SPRING VALLEY HEALTH & REHABILITATION CENTER,2915 SOUTH FREMONT AVE,SPRINGFIELD,65804-3608,GREENE,194,(417) 883-4022,"MC FREMONT HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
154,A,SNF,FLORISSANT VALLEY HEALTH & REHABILITATION CENTER,1200 GRAHAM RD,FLORISSANT,63031-8015,SAINT LOUIS COUNTY,98,(314) 838-6555,"FLORISSANT HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
185,M,ALF,SILVER SPUR,3300 TEXAS AVE,SAINT LOUIS,63118-3111,SAINT LOUIS CITY,37,(314) 773-3408,"ARENA MANOR, INC",PROFIT CORPORATION
199,A,SNF,ARMOUR OAKS SENIOR LIVING COMMUNITY,8100 WORNALL RD,KANSAS CITY,64114-5806,JACKSON,38,(816) 363-5141,"WOMEN'S CHRISTIAN ASSOCIATION OF KANSAS CITY, MO",NOT FOR PROFIT CORPORATION
199,M,ALF,ARMOUR OAKS SENIOR LIVING COMMUNITY,8100 WORNALL RD,KANSAS CITY,64114-5806,JACKSON,47,(816) 363-5141,"WOMEN'S CHRISTIAN ASSOCIATION OF KANSAS CITY, MO",NOT FOR PROFIT CORPORATION
200,A,SNF,ASH GROVE HEALTHCARE FACILITY,401 NORTH MEDICAL DR,ASH GROVE,65604-1004,GREENE,82,(417) 751-2575,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
216,A,SNF,ASHLEY MANOR CARE CENTER,1630 RADIO HILL RD,BOONVILLE,65233-1957,COOPER,52,(660) 882-6584,"ASHLEY MANOR, INC",PROFIT CORPORATION
