Facility Number,Level of Care Code,Level of Care,Facility Name,Address,City,Zip Code,County,First Name Administrator,Last Name Administrator,Certification,Certification,Capacity,Alzheimer's SCU,DMH Licensed,Facility Phone Number,Facility Fax Number,Region,Facility Mailing Address,Facility Mailing City,Facility Mailing Zip,Operator Name,Operator Type
00078,D,RCF,"AKINS HEALTH CARE, INC",4432 WEST BELLE PL,SAINT LOUIS,63108-2617,SAINT LOUIS CITY,CALVIN,AKINS,,,20,No,TRUE,(314) 652-8908,3146528819,7,4432 WEST BELLE PL,SAINT LOUIS,63108-2617,"AKINS HEALTH CARE, INC",PROFIT CORPORATION
00137,A,SNF,"ESTATES OF PERRYVILLE, LLC, THE",430 NORTH WEST ST,PERRYVILLE,63775-1359,PERRY,CYNTHIA,WOODLEY,Medicare/Medicaid,265704,156,No,FALSE,(573) 547-1011,5735477763,2,430 N WEST ST,PERRYVILLE,63775-1359,"THE ESTATES OF PERRYVILLE, LLC",LIMITED LIABILITY COMPANY
00144,M,ALF,SPRING VALLEY ASSISTED LIVING,2915 SOUTH FREMONT AVE,SPRINGFIELD,65804-3608,GREENE,KYLE,JONES,,,40,No,FALSE,(417) 883-4022,4178875276,1,2915 S FREMONT,SPRINGFIELD,65804-3608,"MC FREMONT HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
00144,A,SNF,SPRING VALLEY HEALTH & REHABILITATION CENTER,2915 SOUTH FREMONT AVE,SPRINGFIELD,65804-3608,GREENE,KYLE,JONES,Medicare/Medicaid,265188,194,Yes,FALSE,(417) 883-4022,4178875276,1,2915 S FREMONT,SPRINGFIELD,65804-3608,"MC FREMONT HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
00154,A,SNF,FLORISSANT VALLEY HEALTH & REHABILITATION CENTER,1200 GRAHAM RD,FLORISSANT,63031-8015,SAINT LOUIS COUNTY,JESSICA,PEBBLES,Medicare/Medicaid,265112,98,No,FALSE,(314) 838-6555,3148384000,7,1200 GRAHAM RD,FLORISSANT,63031-8015,"FLORISSANT HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
00185,M,ALF,SILVER SPUR,3300 TEXAS AVE,SAINT LOUIS,63118-3111,SAINT LOUIS CITY,KIMBERLY,MILLER,,,37,No,TRUE,(314) 773-3408,(314) 771-8699,7,3300 TEXAS AVE,SAINT LOUIS,63118-3111,"ARENA MANOR, INC",PROFIT CORPORATION
00199,A,SNF,ARMOUR OAKS SENIOR LIVING COMMUNITY,8100 WORNALL RD,KANSAS CITY,64114-5806,JACKSON,ISAAC,SMITH,Medicare/Medicaid,265802,38,No,FALSE,(816) 363-5141,8163631857,3,8100 WORNALL RD,KANSAS CITY,64114-5806,"WOMEN'S CHRISTIAN ASSOCIATION OF KANSAS CITY, MO",NOT FOR PROFIT CORPORATION
00199,M,ALF,ARMOUR OAKS SENIOR LIVING COMMUNITY,8100 WORNALL RD,KANSAS CITY,64114-5806,JACKSON,ISAAC,SMITH,,,47,No,FALSE,(816) 363-5141,8163631857,3,8100 WORNALL RD,KANSAS CITY,64114-5806,"WOMEN'S CHRISTIAN ASSOCIATION OF KANSAS CITY, MO",NOT FOR PROFIT CORPORATION
00200,A,SNF,ASH GROVE HEALTHCARE FACILITY,401 NORTH MEDICAL DR,ASH GROVE,65604-1004,GREENE,DEBRA,MCQUAY,Medicare/Medicaid,265571,82,Yes,FALSE,(417) 751-2575,4177512833,1,PO BOX 247,ASH GROVE,65604-0247,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
00216,A,SNF,ASHLEY MANOR CARE CENTER,1630 RADIO HILL RD,BOONVILLE,65233-1957,COOPER,CHRISTINA,MEEK,Medicare/Medicaid,265738,52,No,FALSE,(660) 882-6584,6608822267,6,1630 RADIO HILL RD,BOONVILLE,65233-1957,"ASHLEY MANOR, INC",PROFIT CORPORATION
00234,A,SNF,AURORA NURSING CENTER,1700 SOUTH HUDSON AVE,AURORA,65605-2717,LAWRENCE,CHARLES,ALBIN,Medicare/Medicaid,265182,125,Yes,FALSE,(417) 678-2165,4176782164,1,1700 S HUDSON AVE,AURORA,65605-2717,"COMMUNITY CARE CENTER OF AURORA, INC",PROFIT CORPORATION
00244,A,SNF,AVALON GARDEN,4359 TAFT AVE,SAINT LOUIS,63116-1533,SAINT LOUIS CITY,MARYCAROL,JONES,Medicare/Medicaid,265828,77,No,FALSE,(314) 752-2022,3147527679,7,4359 TAFT AVE,SAINT LOUIS,63116-1533,"JPAM MANAGEMENT & CONSULTING, INC",PROFIT CORPORATION
00256,D,RCF,BAILEY STREET RESIDENTIAL CARE I,102 BAILEY ST,FARMINGTON,63640-1819,SAINT FRANCOIS,DEBORAH,FRANKS,,,12,No,TRUE,(573) 756-6374,5737561823,2,102 BAILEY ST,FARMINGTON,63640-1819,"FRANKS, DEBORAH K",SOLE PROPRIETOR
00274,M,ALF,"BAPTIST HOME, THE",101 RIGGS-SCOTT LN,IRONTON,63650-4338,IRON,RONALD,MACKEY,,,56,No,FALSE,(573) 546-7429,5735466212,2,PO BOX 87,IRONTON,63650-0087,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION
00274,B,ICF,"BAPTIST HOME, THE",101 RIGGS-SCOTT LN,IRONTON,63650-4338,IRON,RONALD,MACKEY,,,53,No,FALSE,(573) 546-7429,5735466212,2,PO BOX 87,IRONTON,63650-0087,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION
00274,A,SNF,"BAPTIST HOME, THE",101 RIGGS-SCOTT LN,IRONTON,63650-4338,IRON,RONALD,MACKEY,,,3,No,FALSE,(573) 546-7429,5735466212,2,PO BOX 87,IRONTON,63650-0087,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION
00329,C,RCF*,BEACON HILL RESIDENTIAL CARE,2905 CAMPBELL,KANSAS CITY,64109-1417,JACKSON,ALFREDO,EGBADON,,,37,No,TRUE,(816) 531-6168,8165315970,3,2905 CAMPBELL,KANSAS CITY,64109-1417,"JOLET II, INC",NOT FOR PROFIT CORPORATION
00342,A,SNF,BEAUTIFUL SAVIOR HOME,1003 SOUTH CEDAR ST,BELTON,64012-3703,CASS,BRENDA,BUFORD,Medicare/Medicaid,265782,126,No,FALSE,(816) 331-0781,8163316143,3,1003 S CEDAR ST,BELTON,64012-3703,BEAUTIFUL SAVIOR HOME,NOT FOR PROFIT CORPORATION
00342,M,ALF,BEAUTIFUL SAVIOR HOME,1003 SOUTH CEDAR ST,BELTON,64012-3703,CASS,BRENDA,BUFORD,,,55,No,FALSE,(816) 331-0781,8163316143,3,1003 S CEDAR ST,BELTON,64012-3703,BEAUTIFUL SAVIOR HOME,NOT FOR PROFIT CORPORATION
00382,A,SNF,BELLEVIEW VALLEY NURSING HOME,23144 HIGHWAY 32,BELLEVIEW,63623-6346,IRON,BRANDY,JONES,Medicare/Medicaid,265258,122,No,FALSE,(573) 697-5311,5736975389,2,23144 HIGHWAY 32,BELLEVIEW,63623-6346,"BELLEVIEW INVESTMENT GROUP, LLC",LIMITED LIABILITY COMPANY
00411,A,SNF,HERITAGE CARE CENTER,4401 NORTH HANLEY RD,SAINT LOUIS,63134-2710,SAINT LOUIS COUNTY,WILLIE,SWAYZE,Medicare/Medicaid,265534,120,No,FALSE,(314) 521-7471,3145217533,7,4401 NORTH HANLEY RD,SAINT LOUIS,63134-2710,"HERITAGE CARE CENTER OF BERKELEY, LLC",LIMITED LIABILITY COMPANY
00436,A,SNF,BERNARD CARE CENTER,4335 WEST PINE BLVD,SAINT LOUIS,63108-2205,SAINT LOUIS CITY,LAJUANA,JOHNSON,Medicare/Medicaid,265500,141,No,FALSE,(314) 371-0200,3143712326,7,4335 WEST PINE BLVD,SAINT LOUIS,63108-2205,"BERNARD CARE CENTER, LLC",LIMITED LIABILITY COMPANY
00440,A,SNF,BERTRAND NURSING AND REHAB CENTER,603 WEST HIGHWAY 62,BERTRAND,63823-9738,MISSISSIPPI,DON,CHANCE,Medicare/Medicaid,265678,60,No,FALSE,(573) 683-4290,(573) 683-4304,2,603 WEST HIGHWAY 62,BERTRAND,63823-9738,BERTRAND NURSING AND REHAB CENTER LLC,LIMITED LIABILITY COMPANY
00469,A,SNF,BETH HAVEN NURSING HOME,2500 PLEASANT ST,HANNIBAL,63401-2600,MARION,KERRI,LAUTERBACH,Medicare/Medicaid,265108,105,Yes,FALSE,(573) 221-6000,5732216172,5,2500 PLEASANT ST,HANNIBAL,63401-2600,"MENNONITE HOME ASSOCIATION, INC",NOT FOR PROFIT CORPORATION
00494,A,SNF,TARKIO REHABILITATION & HEALTH CARE,300 CEDAR ST,TARKIO,64491-1174,ATCHISON,FELISHA,SLEMP,Medicare/Medicaid,265537,95,No,FALSE,(660) 736-4116,6607365792,4,300 CEDAR ST,TARKIO,64491-1174,"TARKIO HCO, LLC",LIMITED LIABILITY COMPANY
00508,A,SNF,BETHESDA DILWORTH,9645 BIG BEND BLVD,SAINT LOUIS,63122-6521,SAINT LOUIS COUNTY,CARRIE,VAHLDIECK,Medicare/Medicaid,265764,400,Yes,FALSE,(314) 968-5460,3149685253,7,9645 BIG BEND BLVD,SAINT LOUIS,63122-6521,"BETHESDA LONG TERM CARE, INC",NOT FOR PROFIT CORPORATION
00526,A,SNF,ST JOSEPH SENIOR LIVING,1317 NORTH 36TH ST,SAINT JOSEPH,64506-2359,BUCHANAN,BEVERLY,MILLER,Medicare/Medicaid,265762,110,No,FALSE,(816) 676-1630,8162325862,4,1317 N  36TH ST,SAINT JOSEPH,64506-2359,"ST JOSEPH SENIOR LIVING, LLC",LIMITED LIABILITY COMPANY
