Facility Name,Address,Capacity,County,Phone Number,Licensee,State Facility Type 1 Literal,State Facility Type 2 Literal,City,Zip Code,Date Accessed,State
"Alden Pointe, Llc",2 COURTLAND DRIVE,45,Lamar,(601) 296-9711,DAVID SCHONBERG,PERSONAL CARE HOME,ASSISTED LIVING,Hattiesburg,39402,8/11/21,MS
Aldersgate Assisted Living,6600 POPLAR SPRINGS DRIVE        (PO BOX 3846),58,Lauderdale,(601) 485-9484,"ALDERSGATE PERSONAL CARE, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Meridian,39305,8/11/21,MS
Alpha & Omega Personal Care Home,"131 SOUTH PRENTISS STREET                  (PO BOX 3628, JACKSON, MS 39207)",13,Hinds,(601) 354-0783,ARTHUR BROWN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Jackson,39203,8/11/21,MS
Amelia'S Garden,145 MILL STREET EXT.,15,George,(601) 947-0202,AUDREY AMELIA HARWOOD,PERSONAL CARE HOME,ASSISTED LIVING,Lucedale,39452,8/11/21,MS
Annie'S House I,1696 SOUTH COLORADO STREET,13,Washington,(662) 537-4608,NICOLE WATKINS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Greenville,38703,8/11/21,MS
Annie'S House Ii,916 EAST GRAND AVENUE,26,Sunflower,(662) 830-1276,NICOLE WATKINS,PERSONAL CARE HOME,ASSISTED LIVING,Inverness,38753,8/11/21,MS
Annie'S House Iii,321 SOUTH SHARPE AVENUE,20,Bolivar,(662) 207-4610,NICOLE WATKINS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Cleveland,38732,8/11/21,MS
Aston Court Retirement Community,222 ASTON AVENUE,50,Pike,(601) 249-0023,"ASTON COURT RETIREMENT COMMUNITY, INC.",PERSONAL CARE HOME,RESIDENTIAL LIVING,Mccomb,39648,8/11/21,MS
Atwood Personal Care Home,328 GOODMAN STREET                  (PO BOX 906),34,Attala,(662) 289-2547,DEBRA F. ATWOOD,PERSONAL CARE HOME,RESIDENTIAL LIVING,Kosciusko,39090,8/11/21,MS
Atwood Personal Care Home - Philadelphia,101 PILOT STREET,38,Neshoba,(601) 656-7394,MARK ATWOOD,PERSONAL CARE HOME,RESIDENTIAL LIVING,Philadelphia,39350,8/11/21,MS
Autumn Light Personal Care Home,1458 MONCURE MARBLE ROAD,23,Hinds,(601) 878-9684,JEROME TALBERT,PERSONAL CARE HOME,RESIDENTIAL LIVING,Terry,39170,8/11/21,MS
Avonlea Assisted Living & Retirement Community,2429 LAWNDALE DRIVE,72,Lee,(662) 840-6163,"VERITAS SENIOR LIVING, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Tupelo,38801,8/11/21,MS
Bay Cove Assisted Living,680 BAY COVE DRIVE,142,Harrison,(228) 702-0142,DAVID SCHONBERG,PERSONAL CARE HOME,ASSISTED LIVING,Biloxi,39532,8/11/21,MS
Beau Ridge,650 HIGHLAND COLONY PARKWAY,74,Madison,(601) 605-9494,"RIDGELAND PLACE, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Ridgeland,39157,8/11/21,MS
Bee Hive Homes Of Brookhaven,1031 WEST CONGRESS STREET,16,Lincoln,(601) 990-2141,NATHAN LANCE NEWMAN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Brookhaven,39601,8/11/21,MS
Bee Hive Homes Of Carthage,"704 HIGHWAY 16 EAST                  (PO BOX 1883, MERIDIAN, MS 39302)",16,Leake,(601) 267-8222,JOHN M. MAYFIELD,PERSONAL CARE HOME,RESIDENTIAL LIVING,Carthage,39051,8/11/21,MS
Bee Hive Homes Of Forest,"410 TOWNSEND ROAD                   (PO BOX 1883, MERIDIAN, MS 39302)",16,Scott,(601) 469-9476,JOHN M. MAYFIELD,PERSONAL CARE HOME,RESIDENTIAL LIVING,Forest,39074,8/11/21,MS
Bee Hive Homes Of Louisville,"541 A EAST MAIN STREET              (PO BOX 1883, MERIDIAN, MS 39302)",20,Winston,(662) 773-0000,JOHN M. MAYFIELD,PERSONAL CARE HOME,RESIDENTIAL LIVING,Louisville,39339,8/11/21,MS
