Facility Name,Assisted Living,Address,Location,Capacity,County,Phone Number,Licensee
"Alden Pointe, LLC",X,2 Courtland Drive,"Hattiesburg, MS 39402",45,Lamar,(601) 296-9711,David Schonberg
Aldersgate Assisted Living,X,6600 Poplar Springs Drive        (PO Box 3846),"Meridian, MS 39305",58,Lauderdale,(601) 485-9484,"Aldersgate Personal Care, Inc."
Alpha & Omega Personal Care Home,,"131 South Prentiss Street                  (PO Box 3628, Jackson, MS 39207)","Jackson, MS 39203",13,Hinds,(601) 354-0783,Arthur Brown
Amelia's Garden,X,145 Mill Street Ext.,"Lucedale, MS 39452",15,George,(601) 947-0202,Audrey Amelia Harwood
Annie's House I,,1696 South Colorado Street,"Greenville, MS  38703",13,Washington,(662) 537-4608,Nicole Watkins
Annie's House II,x,916 East Grand Avenue,"Inverness, MS 38753",26,Sunflower,(662) 830-1276,Nicole Watkins
Annie's House III,,321 South Sharpe Avenue,"Cleveland, MS 38732",20,Bolivar,(662) 207-4610,Nicole Watkins
Aston Court Retirement Community,,222 Aston Avenue,"McComb, MS 39648",50,Pike,(601) 249-0023,"Aston Court Retirement Community, Inc."
Atwood Personal Care Home,,328 Goodman Street                  (PO Box 906),"Kosciusko, MS 39090",34,Attala,(662) 289-2547,Debra F. Atwood
Atwood Personal Care Home - Philadelphia,,101 Pilot Street,"Philadelphia, MS 39350",38,Neshoba,(601) 656-7394,Mark Atwood
Autumn Light Personal Care Home,,1458 Moncure Marble Road,"Terry, MS 39170",23,Hinds,(601) 878-9684,Jerome Talbert
Avonlea Assisted Living & Retirement Community,X,2429 Lawndale Drive,"Tupelo, MS 38801",72,Lee,(662) 840-6163,"Veritas Senior Living, LLC"
Bay Cove Assisted Living,X,680 Bay Cove Drive,"Biloxi, MS 39532",142,Harrison,(228) 702-0142,David Schonberg
Beau Ridge,X,650 Highland Colony Parkway,"Ridgeland, MS 39157",74,Madison,(601) 605-9494,"Ridgeland Place, LLC"
Bee Hive Homes of Brookhaven,,1031 West Congress Street,"Brookhaven, MS 39601",16,Lincoln,(601) 990-2141,Nathan Lance Newman
Bee Hive Homes of Carthage,,"704 Highway 16 East                  (PO Box 1883, Meridian, MS 39302)","Carthage, MS 39051",16,Leake,(601) 267-8222,John M. Mayfield
Bee Hive Homes of Forest,,"410 Townsend Road                   (PO Box 1883, Meridian, MS 39302)","Forest, MS 39074",16,Scott,(601) 469-9476,John M. Mayfield
Bee Hive Homes of Louisville,,"541 A East Main Street              (PO Box 1883, Meridian, MS 39302)","Louisville, MS 39339",20,Winston,(662) 773-0000,John M. Mayfield
Bee Hive Homes of Marion,,"5750 Dale Drive                           (PO Box 1883, Meridian, MS 39302)","Marion, MS 39342",16,Lauderdale,(601) 482-8800,John M. Mayfield
Bee Hive Homes of Newton,,"601 South Main Street              (PO Box 1883, Meridian, MS 39302)","Newton, MS 39345",13,Newton,(601) 683-0000,John M. Mayfield
Bee Hive Homes of Petal,,"503 South Main Street (1031 West Congress Street, Brookhaven, MS  39601)","Petal, MS  39465",16,Forrest,(601) 602-4929,"Magnolia Bee Hive Homes Business, LLC"
Bee Hive Homes of Philadelphia,,"708 Columbus Avenue              (PO Box 1883; Meridian, MS 39302)","Philadelphia, MS 39350",15,Neshoba,(601) 656-0220,John M. Mayfield
Bee Hive Homes of Picayune,,"4000 Wildwood Drive            (1031 West Congress Street, Brookhaven, MS 39601)","Picayune, MS 39466",16,Pearl River,(769) 242-2344,Nathan Lance Newman
Bee Hive Homes of Starkville,,"2156 Old West Point Road       (PO Box 1883, Meridian, MS 39302)","Starkville, MS 39759",16,Oktibbeha,(662) 323-2883,"Audrey Trulove, Licensee"
Bellevue Assisted Living,X,34 Graham Road,"Hattiesburg, MS 39402",50,Lamar,(601) 818-2016,"Bellevue Assisted Living, Inc. "
