State Facility Type 1 Literal,License Number,Facility Name,Phone Number,Capacity,County,Address,City,State,Zip Code,Date Accessed,State
ASSISTED LIVING FACILITY,12728,Shipp'S Assisted Living,406-328-7361,10,Stillwater,103 SOUTH BROOKE AVENUE,Absarokee,MT,59001.0,8/2/21,MT
ASSISTED LIVING FACILITY,13417,"Caslen Living Centers Inc, Dba New Horizons- Anaconda",406-563-7008,19,Deer Lodge,402 CHRISTINE CT,Anaconda,MT,59711.0,8/2/21,MT
ASSISTED LIVING FACILITY,13400,Heritage Living Center,406-784-2840,40,Rosebud,5982 TONGUE RIVER RD,Ashland,MT,59003.0,8/2/21,MT
ASSISTED LIVING FACILITY,13163,Superior Care Villa Llc,406-778-3201,27,Fallon,109 S 2ND ST W,Baker,MT,59313.0,8/2/21,MT
ASSISTED LIVING FACILITY,13212,Edgewood Belgrade Senior Living Llc,406-388-9439,14,Gallatin,1011 CARDINAL DR,Belgrade,MT,59714.0,8/2/21,MT
ASSISTED LIVING FACILITY,31511,"Highland Assisted Living, Inc Dba Bee Hive Homes Of Belgrade",406-388-9473,12,Gallatin,1107 HAPPY LANE,Belgrade,MT,59714.0,8/2/21,MT
ASSISTED LIVING FACILITY,31493,Liberty Place At Boot Strap Ranch,406-533-5102,16,Gallatin,8977 DRY CREEK RD,Belgrade,MT,59714.0,8/2/21,MT
ASSISTED LIVING FACILITY,12922,Open Arms Elder Care,406-388-1052,7,Gallatin,505 MINNESOTA,Belgrade,MT,59714.0,8/2/21,MT
ASSISTED LIVING FACILITY,13381,Boulder Meadows Assisted Living,406-932-4603,18,Sweet Grass,302 W 8TH AVE,Big Timber,MT,59011.0,8/2/21,MT
ASSISTED LIVING FACILITY,31468,Rising Mountains Assisted Living,406-837-2698,35,Flathead,225 COVERDELL ROAD,Bigfork,MT,59911.0,8/2/21,MT
ASSISTED LIVING FACILITY,31502,Aspen Meadows Assisted Living,406-656-8818,55,Yellowstone,3155 AVENUE C,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,13477,Autumn Care Center Personal Care,406-656-2434,10,Yellowstone,4739 RIMROCK RD,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,13531,Autumn Springs Assisted Living,406-656-0422,66,Yellowstone,3758 AVENUE B,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,13436,Bills Assisted Living Dba Casmur Assisted Living,406-534-4585,12,Yellowstone,930 AVE E,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,13534,Butterfly Homes,406-245-0334,13,Yellowstone,77 LILY VALLEY CIRCLE,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,13533,Butterfly Homes Ii,406-245-0334,28,Yellowstone,72 LILY VALLEY CIRCLE,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,13432,Canyon Creek Memory Care Community,406-281-8455,67,Yellowstone,1785 MAJESTIC LANE,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,13017,Chapel Court,406-655-5695,110,Yellowstone,3940 RIMROCK RD,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,12786,"Edgewood Billings Senior Living, Llc",406-256-5398,30,Yellowstone,1225 WICKS LN,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,31470,Gallaghers Assisted Living,406-969-3322,9,Yellowstone,1142 PARKHILL,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,31534,Gallagher'S Assisted Living Ii,406-969-3322,8,Yellowstone,1115 PARKHILL,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,13050,Highgate Billings Lp,406-651-4833,130,Yellowstone,3980 PARKHILL DR,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,13189,Langemo Cottage At St Johns,406-655-5600,12,Yellowstone,2625 SHILOH ROAD,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,31476,Lasting Legacy Assisted Living,406-534-8770,19,Yellowstone,1636 INVERNESS DR,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,31499,Lasting Legacy Assisted Living Llc,406-534-8770,19,Yellowstone,1630 INVERNESS,Billings,MT,59105.0,8/2/21,MT
