State Facility Type 1 Literal,License Number,Facility Name,Phone Number,Capacity,County,Address,"City
","State
","Zip Code
"
Assisted Living Facility,12728,SHIPP'S ASSISTED LIVING,406-328-7361,10,Stillwater,103 SOUTH BROOKE AVENUE,Absarokee,MT,59001
Assisted Living Facility,13417,"CASLEN LIVING CENTERS INC, DBA NEW HORIZONS- ANACONDA",406-563-7008,19,Deer Lodge,402 CHRISTINE CT,Anaconda,MT,59711
Assisted Living Facility,13400,HERITAGE LIVING CENTER,406-784-2840,40,Rosebud,5982 TONGUE RIVER RD,Ashland,MT,59003
Assisted Living Facility,13163,SUPERIOR CARE VILLA LLC,406-778-3201,27,Fallon,109 S 2ND ST W,Baker,MT,59313
Assisted Living Facility,13212,Edgewood Belgrade Senior Living LLC,406-388-9439,14,Gallatin,1011 CARDINAL DR,Belgrade,MT,59714
Assisted Living Facility,31511,"Highland Assisted Living, INC dba Bee Hive Homes of Belgrade",406-388-9473,12,Gallatin,1107 Happy Lane,Belgrade,MT,59714
Assisted Living Facility,31493,Liberty Place at Boot Strap Ranch,406-533-5102,16,Gallatin,8977 Dry Creek Rd,Belgrade,MT,59714
Assisted Living Facility,12922,OPEN ARMS ELDER CARE,406-388-1052,7,Gallatin,505 MINNESOTA,Belgrade,MT,59714
Assisted Living Facility,13381,BOULDER MEADOWS ASSISTED LIVING,406-932-4603,18,Sweet Grass,302 W 8TH AVE,Big Timber,MT,59011
Assisted Living Facility,31468,RISING MOUNTAINS ASSISTED LIVING,406-837-2698,35,Flathead,225 COVERDELL ROAD,Bigfork,MT,59911
Assisted Living Facility,31502,Aspen Meadows Assisted Living,406-656-8818,55,Yellowstone,3155 Avenue C,Billings,MT,59102
Assisted Living Facility,13477,AUTUMN CARE CENTER PERSONAL CARE,406-656-2434,10,Yellowstone,4739 RIMROCK RD,Billings,MT,59102
Assisted Living Facility,13531,AUTUMN SPRINGS ASSISTED LIVING,406-656-0422,66,Yellowstone,3758 AVENUE B,Billings,MT,59102
Assisted Living Facility,13436,BILLS ASSISTED LIVING DBA CASMUR ASSISTED LIVING,406-534-4585,12,Yellowstone,930 AVE E,Billings,MT,59102
Assisted Living Facility,13534,BUTTERFLY HOMES,406-245-0334,13,Yellowstone,77 LILY VALLEY CIRCLE,Billings,MT,59105
Assisted Living Facility,13533,BUTTERFLY HOMES II,406-245-0334,28,Yellowstone,72 LILY VALLEY CIRCLE,Billings,MT,59105
Assisted Living Facility,13432,CANYON CREEK MEMORY CARE COMMUNITY,406-281-8455,67,Yellowstone,1785 MAJESTIC LANE,Billings,MT,59102
Assisted Living Facility,13017,CHAPEL COURT,406-655-5695,110,Yellowstone,3940 RIMROCK RD,Billings,MT,59102
Assisted Living Facility,12786,"Edgewood Billings Senior Living, LLC",406-256-5398,30,Yellowstone,1225 WICKS LN,Billings,MT,59105
Assisted Living Facility,31470,GALLAGHERS ASSISTED LIVING,406-969-3322,9,Yellowstone,1142 PARKHILL,Billings,MT,59102
Assisted Living Facility,31534,Gallagher's Assisted Living II,406-969-3322,8,Yellowstone,1115 Parkhill,Billings,MT,59102
Assisted Living Facility,13050,Highgate Billings LP,406-651-4833,130,Yellowstone,3980 PARKHILL DR,Billings,MT,59102
Assisted Living Facility,13189,LANGEMO COTTAGE AT ST JOHNS,406-655-5600,12,Yellowstone,2625 SHILOH ROAD,Billings,MT,59102
Assisted Living Facility,31476,LASTING LEGACY ASSISTED LIVING,406-534-8770,19,Yellowstone,1636 INVERNESS DR,Billings,MT,59105
Assisted Living Facility,31499,Lasting Legacy Assisted Living LLC,406-534-8770,19,Yellowstone,1630 Inverness,Billings,MT,59105
Assisted Living Facility,13190,MOORBERG COTTAGE AT ST JOHNS,406-655-5600,12,Yellowstone,2621 SHILOH ROAD,Billings,MT,59102
Assisted Living Facility,12763,POWERS COTTAGE AT ST JOHNS,406-655-7740,12,Yellowstone,2506 MISSION CIRCLE,Billings,MT,59102
Assisted Living Facility,31553,Primrose Gardens Assisted Living,406-601-1106,11,Yellowstone,1349 Lake Elmo Drive,Billings,MT,59105
Assisted Living Facility,31513,Primrose II,406-256-0168,7,Yellowstone,106 Erickson Court,Billings,MT,59105
Assisted Living Facility,13044,PRIMROSE PERSONAL CARE HOME,406-248-9943,9,Yellowstone,1228 MAURINE ST,Billings,MT,59105
Assisted Living Facility,31518,River Ridge Assisted Living,406-245-9330,26,Yellowstone,1415 Yellowstone River Road,Billings,MT,59105
Assisted Living Facility,31557,Sunflower Gardens DBA Nancy's Place,406-695-1144,8,Yellowstone,118 Stillwater Lane,Billings,MT,59105
Assisted Living Facility,31467,TENDERNEST 6B,406-655-9100,16,Yellowstone,4040 PARKHILL DR #3,Billings,MT,59106
Assisted Living Facility,31475,TENDERNEST 7B,406-655-9100,16,Yellowstone,4040 PARKHILL DRIVE,Billings,MT,59106
Assisted Living Facility,13325,TENDERNEST LLC 2B,406-855-9990,17,Yellowstone,4003 PARKHILL DR,Billings,MT,59106
Assisted Living Facility,13326,TENDERNEST LLC 3B,406-655-9100,16,Yellowstone,4005 PARKHILL DRIVE,Billings,MT,59106
Assisted Living Facility,13158,TENDERNEST LLC 4B,406-655-9100,16,Yellowstone,4040 PARKHILL DRIVE Unit #2,Billings,MT,59106
Assisted Living Facility,13480,TENDERNEST LLC 5B,406-655-9100,16,Yellowstone,4040 PARKHILL DRIVE Unit #3,Billings,MT,59106
Assisted Living Facility,31537,The Legacy Assisted Living LLC,406252-0042,40,Yellowstone,810 Wicks Lane,Billings,MT,59105
Assisted Living Facility,31482,THE SPRINGS AT GRAND PARK,406-652-6989,65,Yellowstone,1221 28TH ST. WEST,Billings,MT,59102
Assisted Living Facility,12579,THE VISTA AT MISSION RIDGE,406-655-5300,70,Yellowstone,3840 RIMROCK RD,Billings,MT,59102
Assisted Living Facility,31530,TLC Assisted Living,406-320-0203,24,Yellowstone,1341 Rosebud Lane,Billings,MT,59101
Assisted Living Facility,13164,TSMM MANAGEMENT LLC DBA SWEETWATER RETIREMENT COMMUNITY,406-651-8111,90,Yellowstone,3140 SWEETWATER DRIVE,Billings,MT,59102
Assisted Living Facility,31494,WyndStone,406-655-7700,36,Yellowstone,1920 WyndStone Way,Billings,MT,59105
Assisted Living Facility,31542,Your Home Away From Home Assisted Living,949-293-0877,8,Yellowstone,1839 Venus Circle,Billings,MT,59105
Assisted Living Facility,13524,BEARGRASS SUITES,406-225-3101,9,Jefferson,400 W THOMPSON ST,Boulder,MT,59632
Assisted Living Facility,31550,BIRCHWOOD AT HILLCREST,406-414-2000,47,Gallatin,1201 HIGHLAND BLVD,Bozeman,MT,59715
Assisted Living Facility,31546,BOZEMAN LODGE,406-522-5452,135,Gallatin,1547 N HUNTERS WAY,Bozeman,MT,59718
Assisted Living Facility,13376,BROOKDALE SPRING MEADOWS,406-587-4570,85,Gallatin,3175 GRAF ST,Bozeman,MT,59715
Assisted Living Facility,13277,HAMILTON HOUSE,406-586-9459,8,Gallatin,9430 HAGGERTY LN,Bozeman,MT,59715
Assisted Living Facility,12587,HIGH COUNTRY CARE,406-582-9068,7,Gallatin,8659 HAGGERTY LANE,Bozeman,MT,59715
Assisted Living Facility,12855,HIGHGATE SENIOR LIVING,406-587-5100,120,Gallatin,2219 WEST OAK STREET,Bozeman,MT,59718
Assisted Living Facility,31539,HSRE Springs VII LLC dba Springs at Bozeman,406-556-8000,105,Gallatin,2632 Catron Street,Bozeman,MT,59718
Assisted Living Facility,12744,HYALITE COUNTRY CARE,406-219-3241,12,Gallatin,6040 S 3RD AVENUE,Bozeman,MT,59715
Assisted Living Facility,12826,SPRING CREEK INN MEMORY CARE COMMUNITY,406-586-0074,67,Gallatin,1641 HUNTERS WAY,Bozeman,MT,59718
Assisted Living Facility,12642,THE CHALET,406-587-5100,24,Gallatin,2223 WEST OAK STREET,Bozeman,MT,59718
Assisted Living Facility,13186,"BEE HIVE HOMES OF BUTTE, INC.",406-723-6663,12,Silver Bow,2900 ELM ST,Butte,MT,59701
Assisted Living Facility,13188,"BEE HIVE HOMES OF BUTTE, INC.",406-723-6665,11,Silver Bow,2920 ELM ST,Butte,MT,59701
Assisted Living Facility,13481,"BEE HIVE HOMES OF BUTTE, INC.",406-723-5556,13,Silver Bow,2930 ELM ST,Butte,MT,59701
Assisted Living Facility,31458,Big Sky Senior Living on Waterford Way,406-494-4900,130,Silver Bow,3701 ELIZABETH WARREN AVE,Butte,MT,59701
Assisted Living Facility,13160,GREENWOOD ASSISTED LIVING,406-782-9004,9,Silver Bow,# 5 E GREENWOOD,Butte,MT,59701
Assisted Living Facility,31481,THE SPRINGS AT BUTTE,406-494-0083,65,Silver Bow,300 MOUNT HIGHLAND DRIVE,Butte,MT,59701
Assisted Living Facility,13538,THE VILLAGE SENIOR RESIDENCE,406-549-1300,117,Missoula,2815 OLD FORT RD,Missoula,MT,59804
Assisted Living Facility,12964,WESTPARK VILLAGE,406-652-4886,181,Yellowstone,2351 SOLOMON AVE,Billings,MT,59102
Assisted Living Facility,13406,WHEAT COUNTRY ESTATE,406-759-5787,18,Liberty,111 6TH ST W,Chester,MT,59522
Assisted Living Facility,31527,"Montana Quality Living, LLC dba Bee Hive Homes of Choteau",406-466-5559,11,Teton,1006 W Division,Choteau,MT,59422
Assisted Living Facility,31552,Teton Peak Assisted Living,406-466-3033,20,Teton,24 Main Ave N,Choteau,MT,59422
Assisted Living Facility,31549,Conroy Care Assisted Living,406-740-1820,10,Mc Cone,806 11th Street,Circle,MT,59215
Assisted Living Facility,31522,Golden Options,406-422-5431,15,Jefferson,12 Bessler RD,Montana City,MT,
Assisted Living Facility,13253,BEE HIVE HOMES OF COLUMBIA FALLS - GRINELL,406-892-4100,15,Flathead,1660 13TH STREET WEST,Columbia Falls,MT,59912
Assisted Living Facility,13471,BEE HIVE HOMES OF COLUMBIA FALLS - SWIFTCURRENT,406-892-4100,19,Flathead,1660 13TH ST WEST,Columbia Falls,MT,59912
Assisted Living Facility,31540,Great Northern Assisted Living BeeHive Homes of Columbia Falls,(406)892-4102,19,Flathead,1660 13th St W,Columbia Falls,MT,59912
Assisted Living Facility,31524,Hidden Meadow Assisted LIving,406-897-1017,8,Flathead,240 Hidden Meadow Lane,Columbia Falls,MT,59912
Assisted Living Facility,31523,Hidden Meadow Memory Care,406-897-1017,32,Flathead,240 Hidden Meadow Lane,Columbia Fls,MT,59912
Assisted Living Facility,13159,TIMBER CREEK VILLAGE,406-892-3400,39,Flathead,375 MEADOW LAKE BLVD,Columbia Fls,MT,59912
Assisted Living Facility,13555,MEADOWLARK ASSISTED LIVING AND RETIREMENT,406-322-6150,16,Stillwater,443 QUARRY STREET,Columbus,MT,59019
Assisted Living Facility,31528,Montana Quality Living LLC dba Bee Hive Homes of Conrad,406-271-9171,11,Pondera,205 N Wisconsin,Conrad,MT,59425
Assisted Living Facility,13497,ARRON CARE HOME,406-961-3458,13,Ravalli,777 OILWELL,Corvallis,MT,59828
Assisted Living Facility,31538,"Montana Quality Living, LLC DBA Bee Hive Homes of Cut Bank",406-370-3507,11,Glacier,318 East Main St,Cut Bank,MT,59427
Assisted Living Facility,31519,WEL-Life at Glacier,406-873-5600,16,Glacier,707 3rd ST  SE,Cut Bank,MT,59427
Assisted Living Facility,12774,RENAISSANCE SENIOR CARE - DEER LODGE,406-846-3342,14,Powell,702 TUMBLEWEED LN,Deer Lodge,MT,59722
Assisted Living Facility,12889,"RENAISSANCE SENIOR CARE, DILLON SOUTH",406-683-4200,15,Beaverhead,329 SOUTHSIDE BLVD,Dillon,MT,59725
Assisted Living Facility,13049,RENAISSANCE SENIOR CARE-DILLON,406-683-4002,15,Beaverhead,1025 EAST CENTER,Dillon,MT,59725
Assisted Living Facility,13475,THE LEGACY,406-683-6867,11,Beaverhead,1000 HWY 91 SOUTH,Dillon,MT,59725
Assisted Living Facility,31465,THE LEGACY ASSISTED LIVING LLC,406-683-6867,15,Beaverhead,1000 HWY 91 SOUTH,Dillon,MT,59725
Assisted Living Facility,13048,HOME SWEET HOME,406-889-5915,8,Lincoln,144 TOBACCO VALLEY VIEW DRIVE,Eureka,MT,59917
Assisted Living Facility,31531,Front Range Assisted Living,406-231-0917,26,Chouteau,2511 Front Street,Fort Benton,MT,59442
Assisted Living Facility,13559,FRONT RANGE ASSISTED LIVING INC,406-467-2407,27,Teton,615 5TH AVE NORTH,Fairfield,MT,59436
Assisted Living Facility,13434,KATHY'S PLACE,406-273-6826,10,Ravalli,328 FESCUE SLOPE,Florence,MT,59833
Assisted Living Facility,12703,Tender Loving Care (TLC) Assisted Living,406-232-0104,15,Rosebud,200 VINE STREET,Forsyth,MT,59327
Assisted Living Facility,13482,PRAIRIE RIDGE VILLAGE,406-228-2208,59,Valley,521 4TH AVE S,Glasgow,MT,59230
Assisted Living Facility,13399,THE HERITAGE,406-377-7700,16,Dawson,1313 N MERRILL AVE,Glendive,MT,59330
Assisted Living Facility,13183,AZALEA PLACE ADULT FAMILY HOME INC,406-452-4500,8,Cascade,1 PROSPECT DRIVE,Great Falls,MT,59405
Assisted Living Facility,13274,BEE HIVE HOMES GREAT FALLS CLOVER HOME,406-268-1391,17,Cascade,2816 15TH AVE S,Great Falls,MT,59405
Assisted Living Facility,31558,Bee Hive Homes of  Great Falls - Pine Tree Home,406-721-4142,19,Cascade,1404 25th Street South,Great Falls,MT,59405
Assisted Living Facility,13442,BEE HIVE HOMES OF GREAT FALLS FIREWEED HOME,406-799-4142,15,Cascade,2300 15TH AVENUE SOUTH,Great Falls,MT,59405
Assisted Living Facility,13077,BEE HIVE HOMES OF GREAT FALLS LINDEN HOUSE,406-761-3080,23,Cascade,2320 15TH AVE SOUTH,Great Falls,MT,59405
Assisted Living Facility,13276,BEE HIVE HOMES OF GREAT FALLS MAPLE HOME,406-315-3143,19,Cascade,2420 15TH AVE SOUTH,Great Falls,MT,59405
Assisted Living Facility,13192,BEE HIVE HOMES OF GREAT FALLS MESQUITE HOME,406-315-2510,19,Cascade,2400 15TH AVE SOUTH,Great Falls,MT,59405
Assisted Living Facility,13275,BEE HIVE HOMES OF GREAT FALLS SAGE HOME,406-727-2528,15,Cascade,2824 15TH AVE S,Great Falls,MT,59405
Assisted Living Facility,13207,BLUEBIRD ASSISTED LIVING,406-453-5800,10,Cascade,1101 24TH AVENUE SW,Great Falls,MT,59404
Assisted Living Facility,13369,Great Falls Plaza DBA Golden Eagle Plaza,406-268-0100,42,Cascade,1615 9TH ST S,Great Falls,MT,59405
Assisted Living Facility,13435,HIGHGATE GREAT FALLS,406-454-0991,68,Cascade,3000 - 11TH AVE S,Great Falls,MT,59405
Assisted Living Facility,13336,HOSANNA ASSISTED LIVING HOME,406-453-1171,27,Cascade,1521 3RD AVE NORTH,Great Falls,MT,59401
Assisted Living Facility,13218,MEADOWLARK ASSISTED LIVING,406-452-6400,21,Cascade,1009 3RD AVENUE NORTH,Great Falls,MT,59401
Assisted Living Facility,13655,MT GEMS INC. DBA RUBY HOUSE,406-453-0607,19,Cascade,811 2ND AVE SOUTH,Great Falls,MT,59405
Assisted Living Facility,13279,MT GEMS INC. DBA SAPPHIRE HOUSE,406-453-5720,12,Cascade,815 2ND AVENUE SOUTH,Great Falls,MT,59406
Assisted Living Facility,13379,PARK VIEW ASSISTED LIVING,406-452-5812,14,Cascade,2201 11TH ST SW,Great Falls,MT,59404
Assisted Living Facility,31461,RAINBOW SENIOR LIVING OF GREAT FALLS,406-761-6661,106,Cascade,20 3RD ST N,Great Falls,MT,59401
Assisted Living Facility,12603,RENAISSANCE SENIOR CARE - CLARK,406-453-2882,9,Cascade,2010 16TH AVE SOUTH,Great Falls,MT,59405
Assisted Living Facility,12602,RENAISSANCE SENIOR CARE - LEWIS,406-771-0374,11,Cascade,2000 16TH AVE S,Great Falls,MT,59405
Assisted Living Facility,13210,RIVERS EDGE ASSISTED LIVING,406-952-0262,14,Cascade,4800 LOWER RIVER RD,Great Falls,MT,59405
Assisted Living Facility,12787,THE GOLDSTONE,406-452-1239,14,Cascade,5200 9TH AVE S,Great Falls,MT,59405
Assisted Living Facility,31545,The Lodge Senior Living Community,406-771-7440,112,Cascade,1801 9th St. South,Great Falls,MT,59405
Assisted Living Facility,31463,The Timbers and Reflections at the Grandview at Benefis,406-455-5960,71,Cascade,3015 18th Avenue South,Great Falls,MT,59405
Assisted Living Facility,13503,BEE HIVE HOMES OF HAMILTON,406-529-7855,18,Ravalli,842 NEW YORK AVE,Hamilton,MT,59840
Assisted Living Facility,31479,Bee Hive Homes of Hamilton #2,406-375-5464,18,Ravalli,836 New York Ave,Hamilton,MT,59840
Assisted Living Facility,31514,Bee Hive Homes of Hamilton #3,406-545-5737,18,Ravalli,816 New York Ave,Hamilton,MT,59840
Assisted Living Facility,13187,SAPPHIRE LUTHERAN HOMES,406-363-2800,13,Ravalli,501 NORTH 10TH STREET,Hamilton,MT,59840
Assisted Living Facility,13540,THE DISCOVERY CARE CENTER PC,406-363-2273,35,Ravalli,601 10TH AVE NORTH,Hamilton,MT,59840
Assisted Living Facility,31517,The Hamilton Assisted Living and Memory Care,406-363-5683,16,Ravalli,235 Old Corvallis Road,Hamilton,MT,59840
Assisted Living Facility,13124,THE REMINGTON AT SAPPHIRE LUTHERAN HOME,406-375-9047,35,Ravalli,841 RUNNING CREEK,Hamilton,MT,59840
Assisted Living Facility,31484,West Hills,406-363-4673,8,Ravalli,121 West Hills Way,Hamilton,MT,59840
Assisted Living Facility,12785,Big Horn Senior Living,406-665-2802,11,Big Horn,200 N MITCHELL,Hardin,MT,59034
Assisted Living Facility,12818,CARE & COMFORT HOME,406-265-2800,10,Hill,1204 CLEVELAND AVE,Havre,MT,59501
Assisted Living Facility,31535,Care & Comfort Home Building 2,406-262-7504,7,Hill,607 4th Street,Havre,MT,59501
Assisted Living Facility,13402,NORTHERN MONTANA CARE CENTER,406-265-2238,10,Hill,24 13TH ST,Havre,MT,59501
Assisted Living Facility,31471,TIMBER CREEK VILLAGE,406-265-3111,40,Hill,155 34TH AVENUE WEST,Havre,MT,59501
Assisted Living Facility,31491,Caslen Living Centers Inc. DBA Son Heaven Assisted Living I,406-449-0229,15,Lewis And Clark,2510 FERNDALE,Helena,MT,59601
Assisted Living Facility,31492,Caslen Living Centers Inc. DBA Son Heaven Assisted Living II,406-495-0436,16,Lewis And Clark,2540 FERNDALE,Helena,MT,59601
Assisted Living Facility,31509,Edgewood Helena Senior Living LLC,406-502-1001,80,Lewis And Clark,3207 Colonial Dr,Helena,MT,59601
Assisted Living Facility,13380,MASONIC HOME OF MONTANA,406-458-5431,50,Lewis And Clark,2010 MASONIC HOME RD,Helena,MT,59601
Assisted Living Facility,31504,Quality Senior Care LLC DBA Bee Hive Homes of Helena 11,406-495-8173,12,Lewis And Clark,11 Bumble Bee Ct,Helena,MT,59601
Assisted Living Facility,31505,Quality Senior Care LLC DBA Bee Hive Homes of Helena 13,406-495-9005,13,Lewis And Clark,13 Bumble Bee Ct,Helena,MT,59601
Assisted Living Facility,31506,Quality Senior Care LLC DBA Bee Hive Homes of Helena 16,406-457-9626,12,Lewis And Clark,16 Bumble Bee Ct,Helena,MT,59601
Assisted Living Facility,31507,Quality Senior Care LLC DBA Bee Hive Homes of Helena 18,406-457-0092,11,Lewis And Clark,18 Bumble Bee Ct,Helena,MT,59601
