County,Facility Name,Capacity,Licensee,Address,City,State,Zip Code,Phone Number,License Number,Facility ID,State Facility Type 1 Literal,State Facility Type 2 Literal,Date Accessed
Alamance,A Vision Come True,12,Vision Come True Inc.,220 Hatch Street,Burlington,NC,27217,(336)227-4960,HAL-001-103,30407,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Alamance House,94,"Burlington AL Holdings I, LLC",2766 Grand Oaks Boulevard,Burlington,NC,27215-8100,(336)261-0021,HAL-001-148,100775,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Blakey Hall Assisted Living,72,"Blakey Hall Associates, a NC Limited Partnership",501 Blakey Hall Lane,Elon,NC,27244,(336)506-2300,HAL-001-023,980084,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Brookdale Burlington,52,"Southern Assisted Living, LLC",3619 South Mebane Street,Burlington,NC,27215,(336)584-9636,HAL-001-028,980270,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Brookdale Burlington AL (NC),84,"Southern Assisted Living, LLC",3615 South Mebane Street,Burlington,NC,27215,(336)584-9066,HAL-001-024,970513,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Burlington Care Center,12,LaWanda J. Ray,2201 Burch Bridge Road,Burlington,NC,27217,(336)222-1077,HAL-001-002,920146,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Elon Village Home,12,"Elon Village Homes, Inc",715 East Haggard Avenue,Elon,NC,27244,(336)584-7930,HAL-001-128,921291,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Golden Years Assisted Living,12,A. Evelyn Love,209 E. Sixth Street,Burlington,NC,27215-5730,(336)229-5165,HAL-001-026,921138,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Golden Years Assisted Living II,12,A. Evelyn Love,205-B East 6th Street,Burlington,NC,27215-5730,(336)222-9131,HAL-001-099,970514,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Homeplace of Burlington,67,SNH SE Burlington Tenant LLC,118 Alamance Road,Burlington,NC,27215,(336)227-2328,HAL-001-141,970680,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Mebane Ridge Assisted Living,100,"Mebane Ridge Assisted Living, LLC",1999 South NC Hwy. 119,Mebane,NC,27302,(919)568-0083,HAL-001-159,130248,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Pleasant Grove Retirement Home,12,Robert F. McCormick 'et al',4516 N NC Highway 49,Burlington,NC,27217,(336)578-0441,HAL-001-008,920953,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Springview - Brock Building,12,"Springview Senior Living, Inc.",1032 C N. Mebane Street,Burlington,NC,27217-4133,(336)227-3808,HAL-001-161,955712,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Springview - Crouse Building,12,"Springview Senior Living, Inc.",613 W. Whitsett Street,Graham,NC,27253-1635,(336)222-6999,HAL-001-162,980775,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Springview - Ross Building,12,"Springview Senior Living, Inc.",1032 B North Mebane Street,Burlington,NC,27217-4133,(336)227-4417,HAL-001-164,960837,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,Springview - Stewart Building,12,"Springview Senior Living, Inc.",611 W. Whitsett Street,Graham,NC,27253-1635,(336)222-1888,HAL-001-163,279,Assisted Living Residence,Adult Care Home,6/29/21
Alamance,The Oaks of Alamance,69,The Oaks of Alamance LLC,1670 Westbrook Avenue,Burlington,NC,27215,(336)584-3070,HAL-001-134,921211,Assisted Living Residence,Adult Care Home,6/29/21
Alexander,A New Outlook of Taylorsville,34,"A New Outlook of Taylorsville, Inc",668 Wood Road,Taylorsville,NC,28681,(828)635-8350,HAL-002-007,920080,Assisted Living Residence,Adult Care Home,6/29/21
Alexander,Faith Assisted Living Facility,32,"Faith Assisted Living Facility, LLC","3032 N.C. Highway 16, South",Taylorsville,NC,28681,(828)303-8343,HAL-002-008,921096,Assisted Living Residence,Adult Care Home,6/29/21
Alexander,Taylorsville House,60,"Taylorsville House, LLC",350 School Drive,Taylorsville,NC,28681-2340,(828)635-8989,HAL-002-003,971401,Assisted Living Residence,Adult Care Home,6/29/21
Anson,Meadowview Terrace of Wadesboro,60,"JFC Meridian Opco-Wadesboro, LLC",123 Anson High School Road,Wadesboro,NC,28170,(704)994-9050,HAL-004-003,40187,Assisted Living Residence,Adult Care Home,6/29/21
Ashe,Ashe Assisted Living and Memory Care,55,"Ashe Services for Aging, Inc",182 ChattyRob Lane,West Jefferson,NC,28694,(336)846-6200,HAL-005-013,70051,Assisted Living Residence,Adult Care Home,6/29/21
Ashe,Forest Ridge,60,"Forest Ridge Assisted Living , LLC",151 Village Park Drive,West Jefferson,NC,28694,(336)846-1008,HAL-005-015,20751,Assisted Living Residence,Adult Care Home,6/29/21
Avery,Cranberry House,60,"WP-Newland Health Holdings, LLC",6215 N.  US 19 E Highway,Newland,NC,28657-9447,(828)733-5558,HAL-006-007,980293,Assisted Living Residence,Adult Care Home,6/29/21
Avery,The Heritage of Sugar Mountain,40,"The Heritage of Sugar Mountain, LLC",264 Sugar Mtn. #2 Road,Newland,NC,28657-9998,(828)733-6249,HAL-006-005,921117,Assisted Living Residence,Adult Care Home,6/29/21
Beaufort,Autumnfield of Belhaven,64,Billie Albritton,1345 Seed Tick Neck Road,Pinetown,NC,27865,(252)964-2490,HAL-007-001,920053,Assisted Living Residence,Adult Care Home,6/29/21
Beaufort,Clara Manor,20,Sovereign Healthcare LLC,1218 Pamlico Street,Washington,NC,27889,(252)946-2481,HAL-007-014,920354,Assisted Living Residence,Adult Care Home,6/29/21
Beaufort,Pantego Rest Home,30,"Sovereign Healthcare, LLC",143 Swamp Road,Pantego,NC,27860,(252)944-0075,HAL-007-015,921132,Assisted Living Residence,Adult Care Home,6/29/21
Beaufort,Washington Manor,9,John S. Asby & Kimberly Ann Asby,609 West 2nd Street,Washington,NC,27889,(252)946-1701,HAL-007-019,941309,Assisted Living Residence,Adult Care Home,6/29/21
Beaufort,Willow Manor,34,Eakes Investment LP,4288 Highway 17 South,Chocowinity,NC,27817,(910)458-5635,HAL-007-023,920959,Assisted Living Residence,Adult Care Home,6/29/21
Bertie,Windsor House,60,"WP-Windsor Health Holdings, LLC",336 South Rhodes Avenue,Windsor,NC,27983-9611,(252)794-9333,HAL-008-034,971515,Assisted Living Residence,Adult Care Home,6/29/21
Bertie,Winston Gardens,25,"Sovereign Healthcare, LLC",205 Watson Street,Windsor,NC,27983,(252)484-1048,HAL-008-041,921362,Assisted Living Residence,Adult Care Home,6/29/21
Bladen,Bladen Manor Assisted Living,60,"Bladen Manor Assisted Living, LLC",53 South Smith Street,Clarkton,NC,28433,(910)647-2421,HAL-009-029,920162,Assisted Living Residence,Adult Care Home,6/29/21
Bladen,West Bladen Assisted Living,60,"West Bladen Assisted Living, LLC",714 Bladen Street,Bladenboro,NC,28320,(910)863-4500,HAL-009-025,920537,Assisted Living Residence,Adult Care Home,6/29/21
Brunswick,Coastal Pointe,110,"The Brunswick Community, LLC",5220 Ocean Hwy W,Shallotte,NC,28470,(910)713-1717,HAL-010-012,150394,Assisted Living Residence,Adult Care Home,6/29/21
Brunswick,Elmcroft of Southport,96,"EC Opco Southport, LP",1125 E Leonard Street,Southport,NC,28461,(910)454-4001,HAL-010-010,459,Assisted Living Residence,Adult Care Home,6/29/21
Brunswick,Leland House,78,"Leland House, LLC",1935 Lincoln Road,Leland,NC,28451-9187,(910)383-6235,HAL-010-007,960422,Assisted Living Residence,Adult Care Home,6/29/21
Brunswick,Ocean Isle Operations,40,"Ocean Isle Operations, LLC",5490 Arbor Branch Drive,Shallotte,NC,28470,(910)754-8080,HAL-010-011,150390,Assisted Living Residence,Adult Care Home,6/29/21
Brunswick,Shallotte Assisted Living,80,"Johnson Adult Care, LLC",520 Mulberry Street,Shallotte,NC,28470,(910)754-6621,HAL-010-008,940164,Assisted Living Residence,Adult Care Home,6/29/21
Brunswick,The Landings of Oak Island,0,"Brunswick Opco Holdings, LLC",2910 Pine Plantation Parkway,Oak Island,NC,28461,(910)540-2578,HAL-010-013,150395,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Arbor Terrace of Asheville,70,"ARHC ATASHNC01 TRS, LLC",3199 Sweeten Creek Road,Asheville,NC,28803,(404)237-4026,HAL-011-338,970842,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Becky's Rest Home #1,15,"Becky's Rest Home #1, Inc",316 Lower Brush Creek Road,Fletcher,NC,28732,(828)628-3395,HAL-011-002,920075,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Becky's Rest Home #2,15,"Becky's Rest Home, Inc",316 Lower Brush Creek Road,Fletcher,NC,28732,(828)628-1943,HAL-011-003,920076,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Brookdale Asheville Overlook,79,"Southern Assisted Living, LLC",308 Overlook Road,Asheville,NC,28803,(828)684-1982,HAL-011-036,920036,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Brookdale Asheville Walden Ridge,38,"Brookdale Senior Living Communities, Inc.",4 Walden Ridge Drive,Asheville,NC,28803,(828)687-0155,HAL-011-035,980697,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Candler Living Center,29,"Integrity - Candler Living Center, LLC",136 Robinson Cove Road,Candler,NC,28715,(828)667-4453,HAL-011-369,920447,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Chase Samaritan Assisted Living,54,"Davis & Davis Associates, LLC",30 Dalea Drive,Asheville,NC,28805,(828)298-7592,HAL-011-133,921153,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Chunn's Cove Assisted Living,67,"Chunn's Cove of Asheville, LLC",67 Mountain Brook Road,Asheville,NC,28805,(828)258-8787,HAL-011-262,960749,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Flesher's Fairview Rest Home,64,"Flesher's Fairview Rest Home, Inc",3016 Cane Creek Road,Fairview,NC,28730,(828)628-1066,HAL-011-005,920387,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Harmony at Reynolds Mountain,99,"Buncombe Operations, LLC",41 Cobbler's Way,Asheville,NC,28804,(828)575-0627,HAL-011-361,140015,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Heather Glen At Ardenwoods,60,"Arden Retirement, LLC",103 Appalachian Boulevard,Arden,NC,28704,(828)687-7321,HAL-011-371,980995,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Hominy Valley Retirement Center,30,"Integrity - Hominy Valley, LLC",2189 Smokey Park Highway,Candler,NC,28715,(828)667-0158,HAL-011-370,921323,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Marjorie McCune Memorial Center,64,Western North Carolina Lion's Inc,101 Lions Way,Black Mountain,NC,28711,(828)669-8452,HAL-011-011,920722,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,"Richard A. Wood, Jr. Assisted Living Center",56,"Givens Estates, Inc.",100 Wesley Drive,Asheville,NC,28803,(828)274-4800,HAL-011-130,10236,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Richmond Hill Rest Home #1,12,Asheville Geriatric. LLC,95 Richmond Hill Road,Asheville,NC,28806,(828)252-6229,HAL-011-376,921006,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Richmond Hill Rest Home #2,12,"Asheville Geriatric, LLC",95 Richmond Hill Road,Asheville,NC,28806,(828)252-6229,HAL-011-375,921007,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Richmond Hill Rest Home #3,12,"Asheville Geriatric, LLC",95 Richmond Hill Road,Asheville,NC,28806,(828)252-6229,HAL-011-374,921008,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Richmond Hill Rest Home #4,12,"Asheville Geriatric, LLC",95 Richmond Hill Road,Asheville,NC,28806,(828)252-6229,HAL-011-373,921009,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Richmond Hill Rest Home #5,12,"Asheville Geriatric, LLC",95 Richmond Hill Road,Asheville,NC,28806,(828)252-6229,HAL-011-372,921010,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Trinity View,24,"Lutheran Retirement Center at Lutheridge, Inc.",2533 Hendersonville Road,Arden,NC,28704,(828)687-0068,HAL-011-022,920279,Assisted Living Residence,Adult Care Home,6/29/21
Buncombe,Windwood Assisted Living,12,Mountain Area Enterprises Inc,6 Windwood Dr,Candler,NC,28715,(828)665-1021,HAL-011-296,921358,Assisted Living Residence,Adult Care Home,6/29/21
Burke,Burke Long Term Care,24,"Burke Rest Home, Inc",125 Camellia Garden Street,Morganton,NC,28655,(828)433-5875,HAL-012-042,920145,Assisted Living Residence,Adult Care Home,6/29/21
Burke,Cambridge House,60,"DePaul Adult Care Communities, Inc",114 Tenth Street NE,Hildebran,NC,28637,(828)325-4980,HAL-012-010,971201,Assisted Living Residence,Adult Care Home,6/29/21
Burke,Jonas Ridge Adult Care,57,"RenCare Solutions, Inc",9051 Hwy 181,Jonas Ridge,NC,28641,(828)733-2224,HAL-012-040,920610,Assisted Living Residence,Adult Care Home,6/29/21
Burke,McAlpine Adult Care,60,"Integrity-McAlpine Adult Care, LLC",3806 Kathy Road,Morganton,NC,28655,(828)584-4513,HAL-012-041,940740,Assisted Living Residence,Adult Care Home,6/29/21
