XFCOUNTY,XFACILITY,XCAP,LLICENSEE,XSADDR,XSCITY,XSSTATE,XSZIP,XFADDR1,XFADDR2,XFCITY,XFSTATE,XFZIP,XFPHONE,XFFAX,LLICENSNO,XFID,XSTATUS,STARS
Alamance,A Vision Come True,12,Vision Come True Inc.,220 Hatch Street,Burlington,NC,27217,220 Hatch Street,,Burlington,NC,27217,(336)227-4960,(336)227-4960,HAL-001-103,30407,Active,3
Alamance,Alamance House,94,"Burlington AL Holdings I, LLC",2766 Grand Oaks Boulevard,Burlington,NC,27215-8100,PO Box 26255,,Winston Salem,NC,27114,(336)261-0021,(336)261-0153,HAL-001-148,100775,Active,3
Alamance,Blakey Hall Assisted Living,72,"Blakey Hall Associates, a NC Limited Partnership",501 Blakey Hall Lane,Elon,NC,27244,501 Blakey Hall Lane,,Elon,NC,27244,(336)506-2300,(336)506-2455,HAL-001-023,980084,Active,4
Alamance,Brookdale Burlington,52,"Southern Assisted Living, LLC",3619 South Mebane Street,Burlington,NC,27215,3619 South Mebane Street,,Burlington,NC,27215,(336)584-9636,(336)584-9091,HAL-001-028,980270,Active,4
Alamance,Brookdale Burlington AL (NC),84,"Southern Assisted Living, LLC",3615 South Mebane Street,Burlington,NC,27215,3615 South Mebane Street,,Burlington,NC,27215,(336)584-9066,(336)584-9026,HAL-001-024,970513,Active,4
Alamance,Burlington Care Center,12,LaWanda J. Ray,2201 Burch Bridge Road,Burlington,NC,27217,P O Box 4094,,Burlington,NC,27215,(336)222-1077,(336)421-0435,HAL-001-002,920146,Active,2
Alamance,Elon Village Home,12,"Elon Village Homes, Inc",715 East Haggard Avenue,Elon,NC,27244,P. O. Box 245,,Elon,NC,27244,(336)584-7930,(336)584-0220,HAL-001-128,921291,Active,3
Alamance,Golden Years Assisted Living,12,A. Evelyn Love,209 E. Sixth Street,Burlington,NC,27215-5730,PO BOX 2828,,Burlington,NC,27216-2828,(336)229-5165,(336)222-9068,HAL-001-026,921138,Active,3
Alamance,Golden Years Assisted Living II,12,A. Evelyn Love,205-B East 6th Street,Burlington,NC,27215-5730,PO Box 2828,,Burlington,NC,27216-2828,(336)222-9131,(336)222-9068,HAL-001-099,970514,Active,3
Alamance,Homeplace of Burlington,67,SNH SE Burlington Tenant LLC,118 Alamance Road,Burlington,NC,27215,400 Centre St,,Newton,MA,2458,(336)227-2328,(336)227-2329,HAL-001-141,970680,Active,3
