Facility Name,Address,Phone Number,Capacity,City,Zip Code,State,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal,County,Licensee,License Number,Facility ID
Zenith Manor,515 LEE AVENUE,(803)448-0251,3.0,Wadesboro,28170,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Pathways Supported Living,1215 CHARLES TAYLOR ROAD,(252) 325-2977,4.0,Aulander,27805,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Arbor Landing At Ocean Isle,5490 ARBOR BRANCH DR SW,(910) 754-8080,48.0,Shallotte,28470,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Silverbell Homestead, Llc",765 CANE CREEK ROAD,(828) 844-0010,41.0,Fletcher,28732,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Kingston Residence Of Hickory,904 2ND   STREET NE,(828) 327-9955,110.0,Hickory,28601,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Essie Mae Humphrey’S House, Llc",523 SOUTH COOL SPRING STREET,(910) 491-8345,3.0,Fayetteville,28305,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Bermuda Village Retirement Center,142 BERMUDA VILLAGE DR,(336) 998-6112,93.0,Bermuda Run Nc 27006,27006,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Burrison Manor #1,1405 PLANTER STREET, ,15.0,Rocky Mount,27803,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
E & J Multi-Unit Facility,2420 LIRIOPE ROAD,(252) 314-2530,3.0,Rocky Mount,27801,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
"Garrison  Manor, Llc",1414  SPRINGFIELD RD,(252) 360-9806,7.0,Rocky Mount,27801,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Mcneil Manor #1,289 EAST RALEIGH BLVD,(252) 972-0090,3.0,Rocky Mount,27801,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Mcneil Manor #2,543 AVENT ST,(252) 451-0255,2.0,Rocky Mount,27804,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Mcneil Manor #3,504 NORTH MERCER STREET, ,12.0,Rocky Mount,27801,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
My Guardian Angel  Multi-Unit,321 COLEMAN AVE,(252) 813-1939,3.0,Rocky Mount,27801,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
The House Of Refuge  Multi-Unit Home,1302 ST. ANDREW  STREET,"                            (252) 377-3748
                        ",3.0,Tarboro,27886,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
Tlc Housing,626 TARBORO ST,(252) 469-3247,7.0,Rocky Mount,27801,NC,8/17/21,ASSISTED LIVING RESIDENCE,MULTI-UNIT ASSISTED HOUSING WITH SERVICES FACILITIES,,,,
