Lisbon,Beverly Anne Assisted Living Center,,400 Jackson Avenue  East,,,58054      Jennifer Kleingartner,,701-68W092            24,
Mandan,,"Edgewood Mandan, LLC",,2801 39th Ave SE,58554,,Damie Handt,701-663-5664,92
Mandan,,"Lakewood Landing, Inc.",,4401 21st St SE,58554,,Sherri Anderson,701-936-9680,30
Mayville,,Luther Memorial Home Sun Center,,"30,34,36 8th Ave SE",58257,,Brett Ulrich,701-786-3401,41
McVille,,The Summerfield - NCHS Assisted Living Apartments,,514 N Olsgard Street,58254,,Steve Forde,701-3224328,12
Minot,,"Edgewood Minot Senior Living, LLC",,800 16th Avenue SE,58701,,Carrna McLaughlln,701-852-1389,107
Minot,,Elmcroft of Minot,,3515 10th Street SW,58701,,Arran Tumquist,701-839-3320,85
Minot,,ProHealth Home Care Assisted Living,,700•702 33rd Avenue SW,58701,,Judy HoP,701-721-1126,10
Minot,,Somerset Court,,1900 28th Street SW,58701,,Melissa Van Deventer,701-838-4500,137
Minot,,The View,,2905 Elk Drive,58701,,Amanda Anfinson,701-852-7700,61
Minot,,The Wellington,,601 24th Avenue SW,58701,,Dawn Anderson,701-858-9800,67
Minot,,"UnSong's Assisted Living, LLC",,1608 16th Street NW,58703,,UnSong Ringuette,701-839-5646,5
Napoleon,,Napoleon Congregate / AL Apartments,,320 East Sth Street,58561,,Richard Regner,701-7W2381,10
New Rockford,,Heñtage House,,215 13th Street N,58356,,Katlyn Smith,701-947-2944,16
New Salem,,Elm Crest Assisted Living,,309 N 2nd Street,58563,,Janessa Vogel,701W3-7526,19
Northwood,,Northward Deaconess Heakh Center,,4 N Park Street,58267,,Pete Antonson,701-587-60G0,6
Oakes,,Good Samaritan Society - Royal Oakes,,301 North 8th Street,58474,,Patricia Bergh,701-742-3274,14
Rolla,,Park View Manor,,618 8th Avenue NE,58367,,Toni Gladue,701-477-8888,29
Rugby,,Haaland Estates Assisted Living,,406 10th Street SE,58368,,Kelly Clements,701-776-5203,37
Manley,,Rosen Place on 8th,,607 8th Ave SE,58784,,Lauren Hysjulien,701-628-8653,14
Valley City,,"Bridgeview Estates, Inc.",,1120 Sth Street NE,58072,,Pat Hansen,701-845-4300,45
Valtey Why,,"The Legacy Place, LLC",,570 13th Street NE,58072,,Nlkki Grebel,701-845-8945,43
Velva,,Valley View Manor,,302 Main Street S,58780,,Emily Tescher Schmaltz,701-33&2727,16
Wahpeton,,Siena Court,,711 14th Ave N,58075,,James Cornelius,701-642•6667,16
Watford  Gity,,Horizon Assisted Living Center,,705 4th Avenue NE,58854,,Julie Dragseth,701-444-8681,15
West Fargo,,Klnd-er Care Home,,2235 Shiloh St,58078,,Melanie Klinkhammer,701-261-3246,10
West Fargo,,Kind-er Care Home II,,120 23rd Ave SE,58078,,Melanie Klinkhammer,701-261-3246,12
West Fargo,,New Perspective - West Fargo,,645 33rd Ave E,58078,,Alex Massopust,852-241-8211,119
West Fargo,,Sheyenne Crossings,,225 13th Avenue West,58078,,Brady Johnson,701-478-6000,103
Williston,,Arbor House,,1705 3rd Avenue West,58801,,Tammra Peterson,701-572-6766,33
,,Hills,,4th,,,,,19
Beach,,"Golden Valley Manor, Inc.",,260 Sth Street SW,58621,,Vicki Braden,701-872-4282,40
Bismarck,,Augusta Place - A Prospers Community,,316 Versailles Avenue,58503,,Kathy Greff,701-255-1084,16
Bismarck,,"Benedictine Living Communities - Bismarck Housing, LLC",,4580 Coleman Streeet,58503,,Laura Roller,701-751-5102,56
Bismarck,,"Edgewood Bismamk Senior Living, LLC",,3406 Dominion Street,58SD3,,Trlfany Boehm,701-258-7489,51
Bismarck,,Edgewood Vista - Carefree Independent Living Apts.,,3124 Colorado Lane,58503,,April Bishop,701-751-5300,85
Bismarck,,"Edgewood Bismamk Senior Living, LLC",,3124 Colorado Lane,58503,,April Bishop,701-751-5300,70
Bismarck,,Prairie Pointe,,3330 Nebraska Drive,58503,,Melanie Soupir,701-401-5770,36
Bismarck,,Primrose Retirement Community of Bismarck,,1144 College Drive,58M1,,Becky Dutenhoffer,605-725-3859,48
Bismarck,,Touchmark on West Century,,1000 West Century Avenue,58503,,Destiny Sisk,701-3267000,75
Bismarck,,Missouri Slope Lutheran Care Center,,2500 Valley View Avenue,58501,,Kaitlyn Green,701-221-3018,
Bowman,,Sunrise Village,,203 11th Avenue NW,58623,,Amy Smyle,701-52  -3003,12
Carrington,,Golden Acres Estates,,50 Poplar Ave,58421,,Mitchell Page,701-652-5181,16
Cooperstown,,Park Place,,1204 Park Avenue NE,58425,,Nicole Johnson,701-797-2M1,12
Crosby,,Northern LigMs Villa,,608 McAnders Street,58730,,Geralyn Johnson,701670-3573,14
Devils Lake,,Heartland Courts,,620 14th Avenue NE,58301,,Gregory Stamp,701-662-9170,56
Dickinson,,Benedict Court Assisted Living,,830 2nd Avenue East,58601,,Tayter Chock,701-456-7320,26
Dickinson,,"Edgewood Dickinson, LLC",,1266 Signal Butte,58601,,Carrie Zimmerman,701-M69173,75
Dicklnson,,"Evergreen Dickinson, LLC",,2143 6th Avenue West,58601,,Darta Baranko,701-483-6606,28
Dickinson,,Park Avenue Villa,,1050 Park Avenue,58601,,Beth Urbanec,701-456-8268,37
Ellendale,,Evergreen Place and Assisted Living,,241 Main Street,58436,,Naomi Grueneich,701-535-0579,5
Fargo,,Bethany Gables,,4255 30th Avenue South,58104,,Shawn Stuhaug,701-23&3523,40
Fargo,,Bethany Towers II,,201 South University Drive,58103,,ShawnStuhaug,701-239-3523,
Far9o,,CHI Riverview,,5300 12th Street South,58104,,KañDew,701-237-4700,65
Fargo,,"Edgewood Fargo Senior Living, LLC",,4420 37th Avenue South,58104,,Mitch Peters,701-365-8200,70
Fargo,,"Edgewood Fargo Senior Living, LLC - Carefree Condos",,4420 37th Avenue South,58104,,Mitch Peters,701665-8200,68
Fargo,,Eventide Fargo,,5250 32nd Avenue South,58104,,Chris Gilson,701-478•1801,76
Far9o,,Good Samaritan Society - Fargo,,4502 37th Avenue South,58104,,Pattie Middendorp,701-282-2651,5
Fargo,,Pioneer Heuse Assisted Living for Seniors,,3540 S. University Drive,58104,,Renee Muhonen,701-271-1862,48
Far9o,,Touchmark at Harwood Groves,,1200 Harwood Drive S,58104,,Anne-Marie Fitz,701-476-1200,80
Forman,,"Feur Seasons Villas, LLC",,586 Sth Street SW,58032,,MaryAnn Sommertand,701-724-5421,12
Garrison,,The Meadows,,719 4th Avenue NE,58540,,Scott Foss,701-4662226,18
Grafton,,Leisure Estates,,405 Eastern Avenue,58237,,Trevor Tompkins,701-352-1901,26
Grand Forks,,"Edgewood Parkwood Place, LLC",,749 S 30th Street,58201,,Chivon Kapphahn,701-757-2727,132
Grand Forks,,Wheatland Terrace,,4006 24th Avenue S,58201,,Cheryt Ekren,701-787-7566,59
Hatton,,Hatton Prairie Village Apartments,,930 Dakota Avenue,58240,,Cindy Tredwell,701W3-3102,19
Hettinger,,Western Horizons Assisted Living,,700 North 4th Street,58639,,Dawn Bunn,701-567-6015,16
Hillsboro,,Sanford Health - Cornstock Comer,,12 3rd Street SE,58045,,Joyce Smelden,701-636-3266,16
Jamestown,,"Edgewood Jamestown, LLC",,1104 25th Street SW,58401,,Jason Hoshad,701-952-8750,13
Jamestown,,Eventide Jamestown Senior Living,,114 12th Avenue NE,58401,,Douglas Panchot,701-952-3420,43
Jamestown,,"Heritage Centre of Jamestown, Inc.",,421 18th Street NE,58401,,Timothy Burchill,701-252-5660,58
Jamestown,,Prairie Hills,,1221 Sth Street NE,58401,,Nancy Williams,701-952-4455,35
Killdeer,,Legacy Lodge Assisted Livtng,,105 Legacy Drive,58640,,Pamela Paul,701-764-7116,17
LaMoure,,Rosewood Court Assisted Living Center,,320 2nd Street SE,58458,,Kelsey Peterson,701-8865363,12
Linton,,Prairie Rese Assisted Living,,516 North Broadway,58552,,Jackie Goldade,701-254-3178,10
