Facility Name,Licensee,Facility ID,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity
GOOD SAMARITAN SOCIETY - ARTHUR (PRAIRIE VILLA),GOOD SAMARITAN SOCIETY - ARTHUR (PRAIRIE VILLA),8062A,mvangeru@good-sam.com,(701) 967-8316,150 COUNTY RD 34,ARTHUR,ND,58006,CASS,56
EDGEWOOD BISMARCK SENIOR LIVING,"Edgewood Bismarck Senior Living, LLC ",8058A,deniselutz@edgewoodvista.com,(701) 400-1829,3406 DOMINION ST,bismarck,ND,58503,burleigh,44
the terrace,The Terrace ,8055A,deniselutz@edgewoodvista.com,(701) 258-7491,901 e bowen ave,BIsmarck,ND,58504,burleigh,40
TOUCHMARK ON WEST CENTURY,Touchmark On West Century LLC,8072a,tnf@touchmark.com,(701) 258-8022,1000 W CENTURY AVE,bismarck,nd,58503,burleigh,52
maple view,Maple View ,8101a,lanac@lifeattheview.com,(701) 223-4133,4217 montreal st,bismarck,nd,58503,burleigh,36
Edgewood Vista At Edgewood Village,EDGEWOOD VISTA AT EDGEWOOD VILLAGE,8081a,april.bishop@edgewoodvista.com,(701) 751-5300,3124 COLORADO LANE,bismarck,nd,58503,burleigh,27
AUGUSTA PLACE - A PROSPERA COMMUNITY,AUGUSTA PLACE - A PROSPERA COMMUNITY,8084a,bkallis@good-sam.com,(701) 255-1084,316 VERSAILLES AVE,bismarck,nd,58503,burleigh,18
BENEDICTINE LIVING COMMUNITIES,"BISMARCK HOUSING, LLC",8202,,(701) 751-4224,4580 COLEMAN STREET,bismarck,nd,58503,burleigh,41
ST FRANCIS RESIDENCE,ST FRANCIS RESIDENCE,8048a,benb@tcmedcenter.org,(701) 968-2600,701 11TH STREET,cando,nd,58324,towner,5
ST LUKES SUNRISE CARE CENTER,ST LUKES SUNRISE CARE CENTER,8106a,jnelsont@dcstlukes.org,(701) 965-6086,705 SE 4TH ST,crosby,nd,58730,divide,11
ODD FELLOWS HOME,ODD FELLOWS HOME,8007a,ndioof@gondtc.com,(701) 662-3330,1107 WALNUT ST E,devils lake,nd,58301,ramsey,43
EVENTIDE LAKE COUNTRY MANOR BASIC CARE,EVENTIDE LAKE COUNTRY MANOR BASIC CARE,8091b,ntrottier@good-sam.com,(701) 662-1880,1332 10TH ST NE,devils lake,nd,58301,ramsey,27
EVERGREEN,evergreen,8054a,dbaranko@kensington-evergreen.com,(701) 483-6606,2143 6TH AVE W,dickinson,nd,58601,stark,51
DICKINSON COUNTRY HOUSE,DICKINSON COUNTRY HOUSE,8066a,tjohnson@countryhouse.net,(701) 483-2266,628 24TH ST W,dickinson,nd,58601,stark,30
MANOR ST JOSEPH,MANOR ST JOSEPH,8009a,stjoseph@drtel.net,(701) 493-2477,404 4TH AVE W,edgeley,nd,58433,lamoure,28
EDMORE MEMORIAL REST HOME,EDMORE MEMORIAL REST HOME,8010a,tammyberg@dvl.midco.net,(701) 644-2202,301 E 4TH AVE,edmore,nd,58330,ramsey,14
