City,Facility Name,Address,Zip Code,Phone Number,Capacity,State Facility Type 1 Literal,Date Accessed,Licensee,Facility ID,Email Address,State,County
Lisbon,Beverly Anne Assisted Living Center,400 JACKSON AVENUE  EAST,58054,701-683-4092 ,24.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Mandan,"Edgewood Mandan, Llc",2801 39TH AVE SE,58554,701-663-5664,92.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Mandan,"Lakewood Landing, Inc.",4401 21ST ST SE,58554,701-936-9680,30.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Mayville,Luther Memorial Home Sun Center,"30,34,36 8TH AVE SE",58257,701-786-3401,41.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Mcville,The Summerfield - Nchs Assisted Living Apartments,514 N OLSGARD STREET,58254,701-3224328,12.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Minot,"Edgewood Minot Senior Living, Llc",800 16TH AVENUE SE,58701,701-852-1389,107.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Minot,Elmcroft Of Minot,3515 10TH STREET SW,58701,701-839-3320,85.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Minot,Prohealth Home Care Assisted Living,700•702 33RD AVENUE SW,58701,701-721-1126,10.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Minot,Somerset Court,1900 28TH STREET SW,58701,701-838-4500,137.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Minot,The View,2905 ELK DRIVE,58701,701-852-7700,61.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Minot,The Wellington,601 24TH AVENUE SW,58701,701-858-9800,67.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Minot,"Unsong'S Assisted Living, Llc",1608 16TH STREET NW,58703,701-839-5646,5.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Napoleon,Napoleon Congregate / Al Apartments,320 EAST STH STREET,58561,701-7W2381,10.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
New Rockford,Heñtage House,215 13TH STREET N,58356,701-947-2944,16.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
New Salem,Elm Crest Assisted Living,309 N 2ND STREET,58563,701W3-7526,19.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Northwood,Northward Deaconess Heakh Center,4 N PARK STREET,58267,701-587-60G0,6.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Oakes,Good Samaritan Society - Royal Oakes,301 NORTH 8TH STREET,58474,701-742-3274,14.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Rolla,Park View Manor,618 8TH AVENUE NE,58367,701-477-8888,29.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Rugby,Haaland Estates Assisted Living,406 10TH STREET SE,58368,701-776-5203,37.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Manley,Rosen Place On 8Th,607 8TH AVE SE,58784,701-628-8653,14.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Valley City,"Bridgeview Estates, Inc.",1120 STH STREET NE,58072,701-845-4300,45.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Valtey Why,"The Legacy Place, Llc",570 13TH STREET NE,58072,701-845-8945,43.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Velva,Valley View Manor,302 MAIN STREET S,58780,701-33&2727,16.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Wahpeton,Siena Court,711 14TH AVE N,58075,701-642•6667,16.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Watford  Gity,Horizon Assisted Living Center,705 4TH AVENUE NE,58854,701-444-8681,15.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
West Fargo,Klnd-Er Care Home,2235 SHILOH ST,58078,701-261-3246,10.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
West Fargo,Kind-Er Care Home Ii,120 23RD AVE SE,58078,701-261-3246,12.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
West Fargo,New Perspective - West Fargo,645 33RD AVE E,58078,852-241-8211,119.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
West Fargo,Sheyenne Crossings,225 13TH AVENUE WEST,58078,701-478-6000,103.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Williston,Arbor House,1705 3RD AVENUE WEST,58801,701-572-6766,33.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Wishek ,Prairie Hills Assisted Living ,400 4TH STREET S ,58495,701-452-2333 ,19.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Beach,"Golden Valley Manor, Inc.",260 STH STREET SW,58621,701-872-4282,40.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Bismarck,Augusta Place - A Prospers Community,316 VERSAILLES AVENUE,58503,701-255-1084,16.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Bismarck,"Benedictine Living Communities - Bismarck Housing, Llc",4580 COLEMAN STREEET,58503,701-751-5102,56.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
Bismarck,"Edgewood Bismamk Senior Living, Llc",3406 DOMINION STREET,58SD3,701-258-7489,51.0,ASSISTED LIVING FACILITY,8/17/21,,,,ND,
