Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Phone Number,Date Accessed
Homestead Of Hastings,ASSISTED-LIVING FACILITY,1116 NORTH SYCAMORE,Hastings,NE,68901,Adams,(402) 461-3841,6/29/21
The Kensington,ASSISTED-LIVING FACILITY,233 NORTH HASTINGS AVENUE,Hastings,NE,68901,Adams,(402) 461-3149,6/29/21
"Edgewood Hastings Senior Living, Llc",ASSISTED-LIVING FACILITY,2400 WEST 12TH STREET,Hastings,NE,68901,Adams,(402) 462-4633,6/29/21
Good Samaritan Society - Villa,ASSISTED-LIVING FACILITY,931 EAST F STREET,Hastings,NE,68901,Adams,(402) 463-3181,6/29/21
Highland Park Assisted Living,ASSISTED-LIVING FACILITY,150 WEST 24TH STREET,Alliance,NE,69301,Box Butte,(308) 762-1615,6/29/21
Cottonwood Villa,ASSISTED-LIVING FACILITY,450 SOUTH MAIN STREET,Ainsworth,NE,69210,Brown,(402) 387-1000,6/29/21
Cambridge Court,ASSISTED-LIVING FACILITY,4107 CENTRAL AVENUE,Kearney,NE,68847,Buffalo,(308) 237-3773,6/29/21
Wel-Life At Kearney,ASSISTED-LIVING FACILITY,5616 4TH AVENUE,Kearney,NE,68847,Buffalo,(308) 234-9905,6/29/21
Good Samaritan Society - Prairie View Gardens,ASSISTED-LIVING FACILITY,1705 PRAIRIE VIEW PLACE,Kearney,NE,68845,Buffalo,(308) 865-2650,6/29/21
Off Broadway Apartments,ASSISTED-LIVING FACILITY,403 SOUTH 1ST AVENUE,Broken Bow,NE,68822,Custer,(308) 872-2522,6/29/21
The Waterford At Woodbridge,ASSISTED-LIVING FACILITY,1913 HWY 34 EAST,Plattsmouth,NE,68048,Cass,(402) 296-5133,6/29/21
Colonial Estates,ASSISTED-LIVING FACILITY,"PO BOX 67, 811 SOUTH MAIN",Randolph,NE,68771,Cedar,(402) 337-0444,6/29/21
Sloan Estates Assisted Living,ASSISTED-LIVING FACILITY,2550 CRAIG AVENUE,Sidney,NE,69162,Cheyenne,(308) 254-4801,6/29/21
St. Joseph'S Retirement Community,ASSISTED-LIVING FACILITY,320 EAST DECATUR STREET,West Point,NE,68788,Cuming,(402) 372-3477,6/29/21
Wisner Care Center,ASSISTED-LIVING FACILITY,1105 9TH STREET,Wisner,NE,68791,Cuming,(402) 529-3286,6/29/21
Azria Health Regency Square,ASSISTED-LIVING FACILITY,3501 DAKOTA AVENUE,South Sioux City,NE,68776,Dakota,(402) 494-4273,6/29/21
Prairie Pines Lodge,ASSISTED-LIVING FACILITY,900 WEST 7TH,Chadron,NE,69337,Dawes,(308) 432-4305,6/29/21
Avamere At Lexington,ASSISTED-LIVING FACILITY,1811 RIDGEWAY,Lexington,NE,68850,Dawson,(308) 324-5490,6/29/21
Wel-Life At Plum Creek,ASSISTED-LIVING FACILITY,1505 NORTH ADAMS STREET,Lexington,NE,68850,Dawson,(308) 324-5531,6/29/21
Emerald Nursing & Rehab Cozad,ASSISTED-LIVING FACILITY,318 WEST 18TH STREET,Cozad,NE,69130,Dawson,(308) 784-3715,6/29/21
Wakefield Health Care Center,ASSISTED-LIVING FACILITY,306 ASH STREET,Wakefield,NE,68784,Dixon,(402) 287-2244,6/29/21
Nye Square,ASSISTED-LIVING FACILITY,655 WEST 23RD STREET,Fremont,NE,68025,Dodge,(402) 721-9224,6/29/21
"Edgewood Fremont Senior Living, Llc",ASSISTED-LIVING FACILITY,2910 NORTH CLARKSON STREET,Fremont,NE,68025,Dodge,(402) 753-8800,6/29/21
Pathfinder Place,ASSISTED-LIVING FACILITY,3010 NORTH CLARKSON,Fremont,NE,68025,Dodge,(402) 721-7714,6/29/21
