Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Phone Number
HOMESTEAD OF HASTINGS,ASSISTED-LIVING FACILITY,1116 NORTH SYCAMORE,HASTINGS,NE,68901,ADAMS,(402) 461-3841
THE KENSINGTON,ASSISTED-LIVING FACILITY,233 NORTH HASTINGS AVENUE,HASTINGS,NE,68901,ADAMS,(402) 461-3149
"EDGEWOOD HASTINGS SENIOR LIVING, LLC",ASSISTED-LIVING FACILITY,2400 WEST 12TH STREET,HASTINGS,NE,68901,ADAMS,(402) 462-4633
GOOD SAMARITAN SOCIETY - VILLA,ASSISTED-LIVING FACILITY,931 EAST F STREET,HASTINGS,NE,68901,ADAMS,(402) 463-3181
HIGHLAND PARK ASSISTED LIVING,ASSISTED-LIVING FACILITY,150 WEST 24TH STREET,ALLIANCE,NE,69301,BOX BUTTE,(308) 762-1615
COTTONWOOD VILLA,ASSISTED-LIVING FACILITY,450 SOUTH MAIN STREET,AINSWORTH,NE,69210,BROWN,(402) 387-1000
CAMBRIDGE COURT,ASSISTED-LIVING FACILITY,4107 CENTRAL AVENUE,KEARNEY,NE,68847,BUFFALO,(308) 237-3773
WEL-LIFE AT KEARNEY,ASSISTED-LIVING FACILITY,5616 4TH AVENUE,KEARNEY,NE,68847,BUFFALO,(308) 234-9905
GOOD SAMARITAN SOCIETY - PRAIRIE VIEW GARDENS,ASSISTED-LIVING FACILITY,1705 PRAIRIE VIEW PLACE,KEARNEY,NE,68845,BUFFALO,(308) 865-2650
OFF BROADWAY APARTMENTS,ASSISTED-LIVING FACILITY,403 SOUTH 1ST AVENUE,BROKEN BOW,NE,68822,CUSTER,(308) 872-2522
THE WATERFORD AT WOODBRIDGE,ASSISTED-LIVING FACILITY,1913 HWY 34 EAST,PLATTSMOUTH,NE,68048,CASS,(402) 296-5133
COLONIAL ESTATES,ASSISTED-LIVING FACILITY,"PO BOX 67, 811 SOUTH MAIN",RANDOLPH,NE,68771,CEDAR,(402) 337-0444
SLOAN ESTATES ASSISTED LIVING,ASSISTED-LIVING FACILITY,2550 CRAIG AVENUE,SIDNEY,NE,69162,CHEYENNE,(308) 254-4801
ST. JOSEPH'S RETIREMENT COMMUNITY,ASSISTED-LIVING FACILITY,320 EAST DECATUR STREET,WEST POINT,NE,68788,CUMING,(402) 372-3477
WISNER CARE CENTER,ASSISTED-LIVING FACILITY,1105 9TH STREET,WISNER,NE,68791,CUMING,(402) 529-3286
Azria Health Regency Square,ASSISTED-LIVING FACILITY,3501 DAKOTA AVENUE,SOUTH SIOUX CITY,NE,68776,DAKOTA,(402) 494-4273
PRAIRIE PINES LODGE,ASSISTED-LIVING FACILITY,900 WEST 7TH,CHADRON,NE,69337,DAWES,(308) 432-4305
AVAMERE AT LEXINGTON,ASSISTED-LIVING FACILITY,1811 RIDGEWAY,LEXINGTON,NE,68850,DAWSON,(308) 324-5490
WEL-LIFE AT PLUM CREEK,ASSISTED-LIVING FACILITY,1505 NORTH ADAMS STREET,LEXINGTON,NE,68850,DAWSON,(308) 324-5531
EMERALD NURSING & REHAB COZAD,ASSISTED-LIVING FACILITY,318 WEST 18TH STREET,COZAD,NE,69130,DAWSON,(308) 784-3715
WAKEFIELD HEALTH CARE CENTER,ASSISTED-LIVING FACILITY,306 ASH STREET,WAKEFIELD,NE,68784,DIXON,(402) 287-2244
NYE SQUARE,ASSISTED-LIVING FACILITY,655 WEST 23RD STREET,FREMONT,NE,68025,DODGE,(402) 721-9224
"EDGEWOOD FREMONT SENIOR LIVING, LLC",ASSISTED-LIVING FACILITY,2910 NORTH CLARKSON STREET,FREMONT,NE,68025,DODGE,(402) 753-8800
PATHFINDER PLACE,ASSISTED-LIVING FACILITY,3010 NORTH CLARKSON,FREMONT,NE,68025,DODGE,(402) 721-7714
WESTGATE ASSISTED LIVING,ASSISTED-LIVING FACILITY,3030 SOUTH 80TH STREET,OMAHA,NE,68124,DOUGLAS,(402) 391-8566
GOLDEN MANOR ASSISTED LIVING,ASSISTED-LIVING FACILITY,3853 DECATUR STREET,OMAHA,NE,68111,DOUGLAS,(402) 551-2484
NEW CASSEL RETIREMENT CENTER,ASSISTED-LIVING FACILITY,900 NORTH 90TH STREET,OMAHA,NE,68114,DOUGLAS,(402) 393-2277
PRINCESS ANNE,ASSISTED-LIVING FACILITY,2020-2024 BINNEY STREET,OMAHA,NE,68110,DOUGLAS,(402) 681-5018
REMINGTON HEIGHTS,ASSISTED-LIVING FACILITY,12606 WEST DODGE ROAD,OMAHA,NE,68154,DOUGLAS,(402) 493-5807
ROYALE OAKS/HOUSE OF HOPE ALZHEIMERS CARE,ASSISTED-LIVING FACILITY,4801 NORTH 52ND STREET,OMAHA,NE,68104,DOUGLAS,(402) 557-6861
KEYSTONE VILLAS SENIOR  LIVING,ASSISTED-LIVING FACILITY,7350 GRACELAND DRIVE,OMAHA,NE,68134,DOUGLAS,(402) 572-5750
OMAHA SUPPORTIVE LIVING,ASSISTED-LIVING FACILITY,514-524 SOUTH 38TH AVENUE,OMAHA,NE,68105,DOUGLAS,(402) 346-6585
BRIGHTON GARDENS OF OMAHA,ASSISTED-LIVING FACILITY,9220 WESTERN AVENUE,OMAHA,NE,68114,DOUGLAS,(402) 393-7313
LEGATO LIVING,ASSISTED-LIVING FACILITY,4503 EASTRIDGE DRIVE,OMAHA,NE,68134,DOUGLAS,(402) 445-4474
SOUTHVIEW HEIGHTS,ASSISTED-LIVING FACILITY,"5110 SOUTH 49TH STREET, STE 105",OMAHA,NE,68117,DOUGLAS,(402) 731-2118
PARSONS HOUSE ON EAGLE RUN,ASSISTED-LIVING FACILITY,14325 EAGLE RUN DRIVE,OMAHA,NE,68164,DOUGLAS,(402) 498-9554
ST. JOSEPH TOWER ASSISTED LIVING,ASSISTED-LIVING FACILITY,2205 SOUTH 10TH STREET,OMAHA,NE,68108,DOUGLAS,(402) 952-5000
OMAHA I BICKFORD COTTAGE,ASSISTED-LIVING FACILITY,11308 BLONDO,OMAHA,NE,68124,DOUGLAS,(402) 491-0400
THE WATERFORD AT MIRACLE HILLS,ASSISTED-LIVING FACILITY,11909 MIRACLE HILLS DRIVE,OMAHA,NE,68154,DOUGLAS,(402) 431-0011
