License Number,Facility Name,Address,City,State,Zip Code,Phone Number,Capacity,County,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal
4305,American House Keene,197 WATER ST,Keene,NH,3431,(603) 352-1282,144.0,Cheshire,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3111,Artaban House,40 PLOWSHARE LANE,Greenfield,NH,3047,(603) 547-3717,6.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4480,Assisted Living At Pine Hill,35 NORTH LOWELL RD,Windham,NH,3087,(603) 506-6626,16.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
2923,Austin Home,532 WHITE PLAINS ROAD,Webster,NH,3303,(603) 456-3525,15.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4481,Beaver Lake Lodge,38 NORTH SHORE ROAD,Derry,NH,3038,(603) 434-5683,16.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3096,Bellamy Fields,150 GARRISON ROAD,Dover,NH,3820,(603) 516-8888,52.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3348,Bentley Commons At Bedford,66 HAWTHORNE DRIVE,Bedford,NH,3110,(603) 644-2200,100.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3118,Birch,61 LUKAS DRIVE,Temple,NH,3084,(603) 878-4796,5.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3996,"Colonial Fox Den, Llc",208 NORTH ROAD,Sandown,NH,3873,(603) 887-6333,44.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
857,Crossroad Farm,37 MEMORIAL DRIVE,Temple,NH,3084,(603) 878-4322,5.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3495,Desiree'S Place,93 CHARLES STREET,Rochester,NH,3867,(603) 332-6455,16.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
2422,Echo Farm,63 MEMORIAL HIGHWAY,Temple,NH,3084,(603) 878-2761,5.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3147,Four Winds Community-St Oran House,32 COLBURN ROAD,Temple,NH,3084,(603) 878-2325,3.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
2801,Fox Meadow Retirement Home,1151 SUMMER STREET,Bristol,NH,3222,(603) 744-5020,16.0,Grafton,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
1337,Friendship Manor,151 MAIN STREET,New Ipswich,NH,3071,(603) 878-2315,22.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3794,Harmony Homes Llc,1 STAGECOACH RD,Durham,NH,3824,(603) 292-6087,24.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3601,Jovis House,12 WHITNEY DRIVE,Greenfield,NH,3047,(603) 547-6803,6.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3061,Ledgewood,62 LUKAS DRIVE,Temple,NH,3084,(603) 878-0090,5.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4322,Ledgewood Bay Assisted Living And Memory Care,43 LEDGEWOOD DRIVE,Milford,NH,3055,(603) 672-5037,150.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3871,Lilac View Corp,18 HEALTH CARE DRIVE,Rochester,NH,3867,(603) 332-7004,40.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
