License Number,TYPE,Facility Name,Address,City,State,Zip Code,Phone Number,Capacity,County
2437,Acute Psychiatric Res Treatment,CYPRESS CENTER (THE),401 CYPRESS STREET,MANCHESTER,NH,3103,(603) 206-8562,16,HILLSBOROUGH
4391,Adult Day Care,ADULT DAY CARE OF NASHUA,12 MURPHY DR UNIT 2A,NASHUA,NH,3062,(603) 589-9570,,Hillsborough
2914,Adult Day Care,CASTLE CENTER FOR ADULT GROUP DAY CARE,312 MARLBORO STREET,KEENE,NH,3431,(603) 355-8281,,CHESHIRE
1779,Adult Day Care,EASTER SEAL SOCIETY NEW HAMPSHIRE INC,555 AUBURN STREET,MANCHESTER,NH,3103,(603) 623-8863,,HILLSBOROUGH
4288,Adult Day Care,"EASTER SEALS NH, INC",215 ROCHESTER HILL RD,ROCHESTER,NH,3867,(603) 335-1770,,Strafford
2752,Adult Day Care,GATEWAYS ADULT DAY SERVICE PROGRAM,200 DERRY ROAD,HUDSON,NH,3051,(603) 882-6333,,HILLSBOROUGH
4194,Adult Day Care,GLOBAL ADULT DAY CARE HEALTH CENTER,472 AMHERST ST UNIT 19 & 20,NASHUA,NH,3062,(603) 233-0709,,Hillsborough
3477,Adult Day Care,KEARSARGE GOOD DAY RESPITE PROGRAM,82 KING HILL RD,NEW LONDON,NH,3257,(603) 526-4077,,MERRIMACK
4279,Adult Day Care,MAINTAINING INDEPENDENCE ADULT DAY SERVICES,"11 KIMBALL DR, UNIT 110-113",HOOKSETT,NH,3106,(603) 782-5622,,Merrimack
3299,Adult Day Care,MONADNOCK ADULT CARE CENTER,22 NORTH STREET,JAFFREY,NH,3452,(603) 532-2427,,CHESHIRE
4446,Adult Day Care,MOUNT WASHINGTON VALLEY ADULT DAY CENTER,987 EAST MAIN ST,Center Conway,NH,3813,(603) 356-4980,,Carroll
4333,Adult Day Care,NASHUA ADULT DAY HEALTH,32 DANIEL WEBSTER HIGHWAY,Merrimack,NH,3054,(603) 568-9237,,Hillsborough
3209,Adult Day Care,SENIOR CLASS ADULT DAY SERVICES,201 STATE ROUTE 111,HAMPSTEAD,NH,3841,(603) 329-4401,,ROCKINGHAM
2616,Adult Day Care,SILVERTHORNE ADULT DAY CARE CENTER,23 GEREMONTY DRIVE,SALEM,NH,3079,(603) 893-4799,,ROCKINGHAM
4176,Adult Day Care,"THAT PLACE YOU KNOW, LLC",28 RIDGE RD,HOLLIS,NH,3049,(603) 465-3400,,Hillsborough
3802,Adult Day Care,UPPER VALLEY GOOD DAY RESPITE PROGRAM,18 SCHOOL STREET,LEBANON,NH,3766,(603) 526-4077,,Grafton
AF006,Adult Family Care,NORTH BARNSTEAD RD (853),853 NORTH BARNSTEAD RD,Center Barnstead,NH,3225,(603) 776-0001,1,Belknap
AF013,Adult Family Care,WATER ST (55),55 WATER ST,Boscawen,NH,3303,(603) 796-2496,1,Merrimack
4249,Ambulatory Surgical Center,ACCESS AMBULATORY SURGERY CENTER,45 DARTMOUTH DR,AUBURN,NH,3032,(603) 518-7190,,Rockingham
2552,Ambulatory Surgical Center,AMBULATORY SURGERY CENTER (MANCHESTER),100 HITCHCOCK WAY,MANCHESTER,NH,3104,(603) 629-1800,,HILLSBOROUGH
2579,Ambulatory Surgical Center,ATLANTIC PLASTIC SURGERY,"100 GRIFFIN ROAD., STE B",PORTSMOUTH,NH,3801,(603) 431-8819,,ROCKINGHAM
3537,Ambulatory Surgical Center,"BARRINGTON SURGICAL CARE, LLC",944 CALEF HIGHWAY,BARRINGTON,NH,3825,(603) 664-0100,,STRAFFORD
2756,Ambulatory Surgical Center,BEDFORD AMBULATORY SURGICAL CENTER,11 WASHINGTON PLACE,BEDFORD,NH,3110,(603) 622-3670,,HILLSBOROUGH
2943,Ambulatory Surgical Center,CENTER FOR OUTPATIENT CARE,5 ALUMNI DRIVE,EXETER,NH,3833,(603) 778-7311,,ROCKINGHAM
2841,Ambulatory Surgical Center,CENTERS FOR PAIN SOLUTIONS,"280 MAIN STREET, SUITE 420",NASHUA,NH,3060,(603) 577-3003,,HILLSBOROUGH
4278,Ambulatory Surgical Center,CONCORD AMBULATORY SURGERY CENTER,1 COMMERCIAL CENTER@HORSESHOE POND 60 COMMERCIAL ST STE 301,CONCORD,NH,3301,(603) 415-9460,,Belknap
4494,Ambulatory Surgical Center,CONCORD ENDOSCOPY CENTER,60 COMMERCIAL ST,Concord,NH,3301,(603) 415-9450,,Merrimack
2786,Ambulatory Surgical Center,CONCORD EYE SURGERY LLC,"246 PLEASANT STREET, STE 105B",CONCORD,NH,3301,(603) 224-6503,,MERRIMACK
3823,Ambulatory Surgical Center,DARTMOUTH-HITCHCOCK NASHUA ENDOSCOPY CTR,2300 SOUTHWOOD DRIVE,NASHUA,NH,3063,(603) 577-4180,,HILLSBOROUGH
3693,Ambulatory Surgical Center,ELLIOT 1-DAY SURGERY CENTER@ RIVERS EDGE,185 QUEEN CITY AVENUE,MANCHESTER,NH,3103,(603) 669-5900,,Hillsborough
4135,Ambulatory Surgical Center,GRANITE STATE SURGICENTER,255 ROUTE 108,SOMERSWORTH,NH,3878,(603) 692-3166,,Strafford
4136,Ambulatory Surgical Center,GRANITE STATE SURGICENTER-MERRIMACK,1 MOUND CT,MERRIMACK,NH,3054,(603) 424-8866,,Hillsborough
