LICENSE #,TYPE,SUBTYPE,FACILITY,ADDRESS,CITY,STATE,ZIP,ADMINISTRATOR,PHONE,EFFECTIVE,EXPIRATION,BEDS,COUNTY
02437,Acute Psychiatric Res Treatment,,CYPRESS CENTER (THE),401 CYPRESS STREET,MANCHESTER,NH,03103,JENNIFER CONLEY,(603) 206-8562,02/01/21,01/31/22,16,HILLSBOROUGH
04391,Adult Day Care,,ADULT DAY CARE OF NASHUA,12 MURPHY DR UNIT 2A,NASHUA,NH,03062,ANN PRUSSEL,(603) 589-9570,01/01/21,12/31/21,,Hillsborough
02914,Adult Day Care,,CASTLE CENTER FOR ADULT GROUP DAY CARE,312 MARLBORO STREET,KEENE,NH,03431,MARY E LUCAS,(603) 355-8281,09/01/20,08/31/21,,CHESHIRE
01779,Adult Day Care,,EASTER SEAL SOCIETY NEW HAMPSHIRE INC,555 AUBURN STREET,MANCHESTER,NH,03103,LAURIE DUFF,(603) 623-8863,04/01/21,03/31/22,,HILLSBOROUGH
04288,Adult Day Care,,"EASTER SEALS NH, INC",215 ROCHESTER HILL RD,ROCHESTER,NH,03867,LAURIE DUFF,(603) 335-1770,09/01/21,08/31/22,,Strafford
02752,Adult Day Care,,GATEWAYS ADULT DAY SERVICE PROGRAM,200 DERRY ROAD,HUDSON,NH,03051,NZENALU OBINELO,(603) 882-6333,04/01/21,03/31/22,,HILLSBOROUGH
04194,Adult Day Care,,GLOBAL ADULT DAY CARE HEALTH CENTER,472 AMHERST ST UNIT 19 & 20,NASHUA,NH,03062,KIRIT MALAVIYA,(603) 233-0709,12/01/20,11/30/21,,Hillsborough
03477,Adult Day Care,,KEARSARGE GOOD DAY RESPITE PROGRAM,82 KING HILL RD,NEW LONDON,NH,03257,"CATHERINE WELLS, RN",(603) 526-4077,01/01/21,12/31/21,,MERRIMACK
04279,Adult Day Care,,MAINTAINING INDEPENDENCE ADULT DAY SERVICES,"11 KIMBALL DR, UNIT 110-113",HOOKSETT,NH,03106,Sara Giannasca,(603) 782-5622,12/01/20,11/30/21,,Merrimack
03299,Adult Day Care,,MONADNOCK ADULT CARE CENTER,22 NORTH STREET,JAFFREY,NH,03452,"CHRISTINE SELMER, RN",(603) 532-2427,10/01/21,09/30/22,,CHESHIRE
04446,Adult Day Care,,MOUNT WASHINGTON VALLEY ADULT DAY CENTER,987 EAST MAIN ST,Center Conway,NH,03813,LYNN M COYLE,(603) 356-4980,10/01/21,09/30/22,,Carroll
04333,Adult Day Care,,NASHUA ADULT DAY HEALTH,32 DANIEL WEBSTER HIGHWAY,Merrimack,NH,03054,KYLE WORTH,(603) 568-9237,05/01/21,04/30/22,,Hillsborough
03209,Adult Day Care,,SENIOR CLASS ADULT DAY SERVICES,201 STATE ROUTE 111,HAMPSTEAD,NH,03841,LINDA STEIR,(603) 329-4401,11/01/20,10/31/21,,ROCKINGHAM
02616,Adult Day Care,,SILVERTHORNE ADULT DAY CARE CENTER,23 GEREMONTY DRIVE,SALEM,NH,03079,MARIA CAMERLENGO,(603) 893-4799,12/01/20,11/30/21,,ROCKINGHAM
