State Facility Type 2 Literal,Facility ID,License Number,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Capacity,Licensee,Ownership Type,Latitude,Longitude,Date Accessed,State Facility Type 1 Literal
ASSISTED LIVING PROGRAM,NJ11A006,11A006,"Assisted Living, Inc",1015 WHITEHEAD ROAD EXTENSION,Ewing,NJ,8638,Mercer,(609) 883-8502,rlynn@assistedlivinginc.org,0,"ASSISTED LIVING, INC",NONPROFIT - CORPORATION,40.261732,-74.756751,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ04A005,04A005,Bentley Alp,7999 NORTH ROUTE 130,Pennsauken,NJ,8110,Camden,(856) 488-5557,stlee@prioritylc.com,0,"KDG OPERATING COMPANY, LLC",PROFIT - LLC,39.9751041,-75.0352624,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ12A024,12A024,Care Strategies,201 CROSSWICKS STREET,Bordentown,NJ,8505,Burlington,(609) 656-4205,dmanzi@cisnj.com,0,"STATEWIDE CARE, LLC",PROFIT - LLC,40.1460849,-74.7052432,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ20A004,20A004,Care Strategies,201 CROSSWICKS STREET,Bordentown,NJ,8505,Burlington,(609) 656-4205,dmanzi@clsnj.com,0,"STATEWIDE CARE, LLC",PROFIT - LLC,40.5991762,-74.271745,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ01A007,01A007,"Caring Senior Living, Inc",227 NORTH VERMONT AVENUE,Atlantic City,NJ,8401,Atlantic,(609) 345-3089,jdougherty@caringinc.org,0,"CARING SENIOR LIVING, INC",PROFIT - CORPORATION,39.3714226,-74.4161296,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ90A100,90A100,Center For Hope Hospice  Inc.,1900 RARITAN ROAD,Scotch Plains,NJ,7076,Union,(908) 889-7780,nrager@centerforhope.com,0,CENTER FOR HOPE HOSPICE,NONPROFIT - CORPORATION,40.6216,-74.353,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ10A101,10A101,The Clare Estate,201 CROSSWICKS STREET,Bordentown,NJ,8505,Burlington,(609) 298-6628,dmanzi@cisnj.com,0,"CROSSWICKS, LLC",,40.1460982,-74.7052391,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ04A015,04A105,Dpsp Health Care,102 HEARTHSTONE DRIVE,Berlin,NJ,8009,Camden,(856) 308-2163,dpsp.healthcare@gmail.com,0,"DPSP HEALTH CARE, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ50A110,50A110,Heritage Of Clara Barton,1015 AMBOY AVENUE,Edison,NJ,8837,Middlesex,(732) 225-5990,administrator@hofcb.com,0,HERITAGE OF CLARA BARTON CORP.,,40.534699,-74.3370112,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ85A100,85A100,Knoll View Corp,8 KNOLL ROAD,Sparta,NJ,7871,Sussex,(973) 729-4311,fmckernan@knollcommunities.org,0,KNOLL VIEW CORP,NONPROFIT - CORPORATION,41.0390298,-74.643422,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ07A031,07A031,"Mc Properties Associates, Alp",285 ROSEVILLE AVENUE,Newark,NJ,7107,Essex,(908) 343-1429,mary_07205@yahoo.com,0,MC PROPERTIES ASSOCIATES ALP,,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ02A021,02A021,Portable Assisted Living Services (Pals),300 TEANECK ROAD,Teaneck,NJ,7666,Bergen,(201) 692-1000,elizabethdavis@brightsidemanor.org,0,"GERIATRIC LIVING SOLUTIONS, INC.",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ15A101,15A101,Spring Oak Of Toms River,2145 WHITESVILLE ROAD,Toms River,NJ,8755,Ocean,(732) 905-9222,hrunne@springoak.net,0,"THE RESIDENCE AT LAKE RIDGE, LLC",PROFIT - LLC,40.0403214,-74.244409,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ11A015,11A015,St. Francis Assisted Living Program,601 HAMILTON AVENUE,Trenton,NJ,8629,Mercer,(609) 599-5261,jromano@stfrancismedical.org,0,ST. FRANCIS MEDICAL CENTER,NON-PROFIT - HOSPITAL,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING PROGRAM,NJ04A023,04A023,"Watson Street Assisted Living Program, Llc","2021 WATSON STREET, 2ND FLOOR",Camden,NJ,8105,Camden,(856) 968-2700,vfigueroa@camdenhousing.org,0,HOUSING AUTHORITY CITY OF CAMDEN ALP PROGRAM,,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ47A102,47A102,Abrams Residence,50 WALTER STREET,Ewing,NJ,8628,Mercer,(609) 883-5391,dkatz@greenwoodhouse.org,29,GREENWOOD HOUSE HOME FOR THE JEWISH AGED,NONPROFIT - RELIGIOUS AFFILIATION,40.26109,-74.80053,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJAL02007,AL02007,"Actors Fund Home, The",155-175 WEST HUDSON AVENUE,Englewood,NJ,7631,Bergen,(201) 871-8882,jstrohl@actorsfund.org,41,"ACTORS' FUND OF AMERICA, INC.",NONPROFIT - CORPORATION,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ7U0NFD,7U0NFD,Alaris Health At The Atrium,330 NINTH STREET,Jersey City,NJ,7302,Hudson,(201) 716-8000,derek. froiran@atrium.com,113,"HAMILTON PARK ATRIUM OPCO, LLC",PROFIT - LLC,40.7287462,-74.0486926,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ18A113,18A113,All American Assisted Living At Hillsborough,351 ROUTE 206,Hillsborough,NJ,8844,Somerset,(516) 496-1505,rdioguardi@kapdev.com,112,"SHI-II HILLSBOROUGH, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ08A012,08A012,All American Assisted Living At Washington Township,339 GREENTREE ROAD,Sewell,NJ,8080,Gloucester,(856) 553-6694,dpetrone@allamericanatwashington.com,112,"SHI-III WASHINGTON TOWNSHIP, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90A120,90A120,"Amber Court Of Elizabeth, Llc",1155 EAST JERSEY STREET,Elizabeth,NJ,7201,Union,(908) 352-9200,sdasilva@ambercourtal.com,120,"AMBER COURT OF ELIZABETH, LLC",,40.6651115,-74.2139377,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ13A003,13A003,Applewood Estates Assisted Living Residence,ONE APPLEWOOD DRIVE,Freehold,NJ,7728,Monmouth,(732) 780-7370,sawad@centrastate.com,50,"CENTER FOR AGING, INC.",NONPROFIT - CORPORATION,40.2474765,-74.3151645,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ80A000,80a000,Arbor At Laurel Circle,100 MONROE STREET,Bridgewater,NJ,8807,Somerset,(908) 595-6500,akuiken@foxtrailseniorliving.com,35,LCS BRIDGEWATER OPERATIONS LLC,,40.573708,-74.592159,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ13A012,13A012,Arbor Terrace Morris Plains,361 SPEEDWELL AVENUE,Morris Plains,NJ,7950,Morris,(973) 718-3636,kevin.seidel@arborcompany.com,100,SHP VI MORRIS PLAINS LLC,,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ03A014,03A014,Arbor Terrace Mount Laurel,785  CENTERTON ROAD,Mount Laurel,NJ,8054,Burlington,(908) 461-5108,jfix@arborcompany.com,110,"CSH MOUNT LAUREL LICENSEE, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ20A013,AL20001,Arbor Terrace Mountainside,1050 SPRINGFIELD AVENUE,Mountainside,NJ,7092,Union,(908) 760-0599,kelly.adams@arborcompany.com,100,SHP VI MOUNTAINSIDE LLC,,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ13A303,13A303,Arbor Terrace Of Middletown,1800 HIGHWAY 35 SOUTH,Middletown,NJ,7748,Monmouth,(732) 957-0083,charles.dixon@arborcompany.com,104,SHP V MIDDLETOWN LLC,,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ07015,7015,Arbor Terrace Roseland,345 EAGLE ROCK AVENUE,Roseland,NJ,7068,Essex,(973) 618-1888,rfiorese@arborcompany.com,100,"SHP V ROSELAND, LLC",PROFIT - LLC,40.8196965,-74.310598,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,Q4VDWW,Q4VDWW,Arbor Terrace Shrewsbury,864 SHREWSBURY AVENUE,Tinton Falls,NJ,7724,Monmouth,(732) 784-2400,mwindrem@arborcompany.com,124,SHP V SHREWSBURY LLC,,40.316272,-74.073334,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ15A001,15A001,Arden Courts Of Cherry Hill,2700 CHAPEL AVENUE,Cherry Hill,NJ,8002,Camden,(856) 667-6543,365-admin@hcr-manorcare.com,54,"ARDEN COURTS OF CHERRY HILL NJ, LLC",PROFIT - LLC,39.929201,-75.012051,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ70A002,70a002,Arden Courts Of Wayne,800 HAMBURG TURNPIKE,Wayne,NJ,7470,Passaic,(973) 942-5600,katherine.harrison@hcr-manorcare.com,56,"ARDEN COURTS OF WAYNE NJ, LLC",PROFIT - LLC,40.9581624,-74.2248547,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ30A002,30a002,Arden Courts Of West Orange,510 PROSPECT AVENUE,West Orange,NJ,7052,Essex,(973) 736-3100,westorange@arden-courts.com,56,"ARDEN COURTS OF W. ORANGE NJ, LLC",PROFIT - LLC,40.7928873,-74.2565823,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ60A003,60a003,Arden Courts Of Whippany,18 EDEN LANE,Whippany,NJ,7981,Morris,(973) 581-1800,judith.wittler@hcr-manorcare.com,60,"ARDEN COURTS OF WHIPPANY NJ, LLC",PROFIT - LLC,40.8205558,-74.4309421,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ15A116,15A116,Artis Senior Living Of Brick,466 JACK MARTIN BOULEVARD,Brick,NJ,8724,Ocean,(732) 475-7040,jyencarelli@artismgmt.com,72,"ARTIS SENIOR LIVING OF BRICK TOWNSHIP, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ03A008,03A008,"Artis Senior Living Of Evesham, Llc",302 LIPPINCOTT DRIVE,Evesham,NJ,8053,Burlington,(856) 810-0007,awilson@artismgmt.com,68,"ARTIS SENIOR LIVING OF EVESHAM, LLC",PROFIT - LLC,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ11A013,11A013,Artis Senior Living Of Princeton Junction,861 ALEXANDER ROAD,Princeton,NJ,8540,Middlesex,(609) 454-3360,mbarroso@artismgmt.com,64,"ARTIS SENIOR LIVING OF PRINCTON JUNCTION,  LLC",PROFIT - LLC,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ82436,82436,Assisted Living At Fellowship Village,9000 FELLOWSHIP ROAD,Basking Ridge,NJ,7920,Somerset,(908) 580-3824,jellias@fellowshipsl.org,81,"FELLOWSHIP SENIOR LIVING, INC.",NONPROFIT - CORPORATION,40.6564527,-74.5836926,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ15A002,15A002,Atria Cherry Hill,1979 ROUTE 70 EAST,Cherry Hill,NJ,8003,Camden,(856) 424-7227,nikkia.sharpe@atriaseniorliving.com,132,"HCP CHERRY HILL NJ OPCO, LLC",,39.898748,-74.957464,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ02A026,02A026,Atria Norwood,545 TAPPAN ROAD,Norwood,NJ,7648,Bergen,(201) 249-6104,charlene.yerkovich@atriaseniorliving.com,100,"CSH NORWOOD LICENSEE, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
