State Facility Type 2 Literal,Facility ID,License Number,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Capacity,Licensee,Ownership Type,Latitude,Longitude
ASSISTED LIVING PROGRAM,NJ11A006,11A006,"Assisted Living, Inc",1015 WHITEHEAD ROAD EXTENSION,EWING,NJ,8638,MERCER,(609) 883-8502,rlynn@assistedlivinginc.org,0,"ASSISTED LIVING, INC",NonProfit - Corporation,40.261732,-74.756751
ASSISTED LIVING PROGRAM,NJ04A005,04A005,Bentley ALP,7999 NORTH ROUTE 130,PENNSAUKEN,NJ,8110,CAMDEN,(856) 488-5557,stlee@prioritylc.com,0,"KDG OPERATING COMPANY, LLC",Profit - LLC,39.9751041,-75.0352624
ASSISTED LIVING PROGRAM,NJ12A024,12A024,Care Strategies,201 CROSSWICKS STREET,BORDENTOWN,NJ,8505,BURLINGTON,(609) 656-4205,dmanzi@cisnj.com,0,"STATEWIDE CARE, LLC",Profit - LLC,40.1460849,-74.7052432
ASSISTED LIVING PROGRAM,NJ20A004,20A004,Care Strategies,201 CROSSWICKS STREET,BORDENTOWN,NJ,8505,BURLINGTON,(609) 656-4205,dmanzi@clsnj.com,0,"STATEWIDE CARE, LLC",Profit - LLC,40.5991762,-74.271745
ASSISTED LIVING PROGRAM,NJ01A007,01A007,"Caring Senior Living, Inc",227 NORTH VERMONT AVENUE,ATLANTIC CITY,NJ,8401,ATLANTIC,(609) 345-3089,jdougherty@caringinc.org,0,"CARING SENIOR LIVING, INC",Profit - Corporation,39.3714226,-74.4161296
ASSISTED LIVING PROGRAM,NJ90A100,90A100,Center for Hope Hospice  Inc.,1900 RARITAN ROAD,SCOTCH PLAINS,NJ,7076,UNION,(908) 889-7780,nrager@centerforhope.com,0,CENTER FOR HOPE HOSPICE,NonProfit - Corporation,40.6216,-74.353
ASSISTED LIVING PROGRAM,NJ10A101,10A101,The Clare Estate,201 CROSSWICKS STREET,BORDENTOWN,NJ,8505,BURLINGTON,(609) 298-6628,dmanzi@cisnj.com,0,"CROSSWICKS, LLC",,40.1460982,-74.7052391
ASSISTED LIVING PROGRAM,NJ04A015,04A105,DPSP Health Care,102 HEARTHSTONE DRIVE,BERLIN,NJ,8009,CAMDEN,(856) 308-2163,DPSP.Healthcare@gmail.com,0,"DPSP HEALTH CARE, LLC",,,
ASSISTED LIVING PROGRAM,NJ50A110,50A110,Heritage of Clara Barton,1015 AMBOY AVENUE,EDISON,NJ,8837,MIDDLESEX,(732) 225-5990,administrator@hofcb.com,0,HERITAGE OF CLARA BARTON CORP.,,40.534699,-74.3370112
ASSISTED LIVING PROGRAM,NJ85A100,85A100,Knoll View Corp,8 KNOLL ROAD,SPARTA,NJ,7871,SUSSEX,(973) 729-4311,fmckernan@knollcommunities.org,0,KNOLL VIEW CORP,NonProfit - Corporation,41.0390298,-74.643422
ASSISTED LIVING PROGRAM,NJ07A031,07A031,"MC Properties Associates, ALP",285 ROSEVILLE AVENUE,NEWARK,NJ,7107,ESSEX,(908) 343-1429,Mary_07205@yahoo.com,0,MC PROPERTIES ASSOCIATES ALP,,,
ASSISTED LIVING PROGRAM,NJ02A021,02A021,Portable Assisted Living Services (PALS),300 TEANECK ROAD,TEANECK,NJ,7666,BERGEN,(201) 692-1000,elizabethdavis@brightsidemanor.org,0,"GERIATRIC LIVING SOLUTIONS, INC.",,,
ASSISTED LIVING PROGRAM,NJ15A101,15A101,Spring Oak Of Toms River,2145 WHITESVILLE ROAD,TOMS RIVER,NJ,8755,OCEAN,(732) 905-9222,hrunne@springoak.net,0,"THE RESIDENCE AT LAKE RIDGE, LLC",Profit - LLC,40.0403214,-74.244409
ASSISTED LIVING PROGRAM,NJ11A015,11A015,St. Francis Assisted Living Program,601 HAMILTON AVENUE,TRENTON,NJ,8629,MERCER,(609) 599-5261,jromano@stfrancismedical.org,0,ST. FRANCIS MEDICAL CENTER,Non-Profit - Hospital,,
ASSISTED LIVING PROGRAM,NJ04A023,04A023,"Watson Street Assisted Living Program, LLC","2021 WATSON STREET, 2ND FLOOR",CAMDEN,NJ,8105,CAMDEN,(856) 968-2700,vfigueroa@camdenhousing.org,0,HOUSING AUTHORITY CITY OF CAMDEN ALP PROGRAM,,,
ASSISTED LIVING RESIDENCE,NJ47A102,47A102,Abrams Residence,50 WALTER STREET,EWING,NJ,8628,MERCER,(609) 883-5391,dkatz@greenwoodhouse.org,29,GREENWOOD HOUSE HOME FOR THE JEWISH AGED,NonProfit - Religious Affiliation,40.26109,-74.80053
ASSISTED LIVING RESIDENCE,NJAL02007,AL02007,"Actors Fund Home, The",155-175 WEST HUDSON AVENUE,ENGLEWOOD,NJ,7631,BERGEN,(201) 871-8882,jstrohl@actorsfund.org,41,"ACTORS' FUND OF AMERICA, INC.",NonProfit - Corporation,,
ASSISTED LIVING RESIDENCE,NJ7U0NFD,7U0NFD,Alaris Health at The Atrium,330 NINTH STREET,JERSEY CITY,NJ,7302,HUDSON,(201) 716-8000,Derek. Froiran@atrium.com,113,"HAMILTON PARK ATRIUM OPCO, LLC",Profit - LLC,40.7287462,-74.0486926
ASSISTED LIVING RESIDENCE,NJ18A113,18A113,All American Assisted Living at Hillsborough,351 ROUTE 206,HILLSBOROUGH,NJ,8844,SOMERSET,(516) 496-1505,rdioguardi@kapdev.com,112,"SHI-II HILLSBOROUGH, LLC",,,
ASSISTED LIVING RESIDENCE,NJ08A012,08A012,All American Assisted Living at Washington Township,339 GREENTREE ROAD,SEWELL,NJ,8080,GLOUCESTER,(856) 553-6694,DPetrone@allamericanatwashington.com,112,"SHI-III WASHINGTON TOWNSHIP, LLC",,,
ASSISTED LIVING RESIDENCE,NJ90A120,90A120,"Amber Court of Elizabeth, LLC",1155 EAST JERSEY STREET,ELIZABETH,NJ,7201,UNION,(908) 352-9200,sdasilva@ambercourtal.com,120,"AMBER COURT OF ELIZABETH, LLC",,40.6651115,-74.2139377
ASSISTED LIVING RESIDENCE,NJ13A003,13A003,Applewood Estates Assisted Living Residence,ONE APPLEWOOD DRIVE,FREEHOLD,NJ,7728,MONMOUTH,(732) 780-7370,Sawad@centrastate.com,50,"CENTER FOR AGING, INC.",NonProfit - Corporation,40.2474765,-74.3151645
ASSISTED LIVING RESIDENCE,NJ80A000,80a000,Arbor at Laurel Circle,100 MONROE STREET,BRIDGEWATER,NJ,8807,SOMERSET,(908) 595-6500,Akuiken@foxtrailseniorliving.com,35,LCS BRIDGEWATER OPERATIONS LLC,,40.573708,-74.592159
ASSISTED LIVING RESIDENCE,NJ13A012,13A012,Arbor Terrace Morris Plains,361 SPEEDWELL AVENUE,MORRIS PLAINS,NJ,7950,MORRIS,(973) 718-3636,kevin.seidel@arborcompany.com,100,SHP VI MORRIS PLAINS LLC,,,
ASSISTED LIVING RESIDENCE,NJ03A014,03A014,Arbor Terrace Mount Laurel,785  CENTERTON ROAD,MOUNT LAUREL,NJ,8054,BURLINGTON,(908) 461-5108,jfix@arborcompany.com,110,"CSH MOUNT LAUREL LICENSEE, LLC",,,
ASSISTED LIVING RESIDENCE,NJ20A013,AL20001,Arbor Terrace Mountainside,1050 SPRINGFIELD AVENUE,MOUNTAINSIDE,NJ,7092,UNION,(908) 760-0599,kelly.adams@arborcompany.com,100,SHP VI MOUNTAINSIDE LLC,,,
ASSISTED LIVING RESIDENCE,NJ13A303,13A303,Arbor Terrace Of Middletown,1800 HIGHWAY 35 SOUTH,MIDDLETOWN,NJ,7748,MONMOUTH,(732) 957-0083,charles.dixon@arborcompany.com,104,SHP V MIDDLETOWN LLC,,,
ASSISTED LIVING RESIDENCE,NJ07015,7015,Arbor Terrace Roseland,345 EAGLE ROCK AVENUE,ROSELAND,NJ,7068,ESSEX,(973) 618-1888,rfiorese@arborcompany.com,100,"SHP V ROSELAND, LLC",Profit - LLC,40.8196965,-74.310598
ASSISTED LIVING RESIDENCE,Q4VDWW,Q4VDWW,Arbor Terrace Shrewsbury,864 SHREWSBURY AVENUE,TINTON FALLS,NJ,7724,MONMOUTH,(732) 784-2400,mwindrem@arborcompany.com,124,SHP V SHREWSBURY LLC,,40.316272,-74.073334
ASSISTED LIVING RESIDENCE,NJ15A001,15A001,Arden Courts of Cherry Hill,2700 CHAPEL AVENUE,CHERRY HILL,NJ,8002,CAMDEN,(856) 667-6543,365-admin@hcr-manorcare.com,54,"ARDEN COURTS OF CHERRY HILL NJ, LLC",Profit - LLC,39.929201,-75.012051
ASSISTED LIVING RESIDENCE,NJ70A002,70a002,Arden Courts of Wayne,800 HAMBURG TURNPIKE,WAYNE,NJ,7470,PASSAIC,(973) 942-5600,katherine.harrison@hcr-manorcare.com,56,"ARDEN COURTS OF WAYNE NJ, LLC",Profit - LLC,40.9581624,-74.2248547
ASSISTED LIVING RESIDENCE,NJ30A002,30a002,Arden Courts of West Orange,510 PROSPECT AVENUE,WEST ORANGE,NJ,7052,ESSEX,(973) 736-3100,westorange@arden-courts.com,56,"ARDEN COURTS OF W. ORANGE NJ, LLC",Profit - LLC,40.7928873,-74.2565823
ASSISTED LIVING RESIDENCE,NJ60A003,60a003,Arden Courts of Whippany,18 EDEN LANE,WHIPPANY,NJ,7981,MORRIS,(973) 581-1800,judith.wittler@hcr-manorcare.com,60,"ARDEN COURTS OF WHIPPANY NJ, LLC",Profit - LLC,40.8205558,-74.4309421
ASSISTED LIVING RESIDENCE,NJ15A116,15A116,Artis Senior Living Of Brick,466 JACK MARTIN BOULEVARD,BRICK,NJ,8724,OCEAN,(732) 475-7040,jyencarelli@artismgmt.com,72,"ARTIS SENIOR LIVING OF BRICK TOWNSHIP, LLC",,,
ASSISTED LIVING RESIDENCE,NJ03A008,03A008,"Artis Senior Living Of Evesham, LLC",302 LIPPINCOTT DRIVE,EVESHAM,NJ,8053,BURLINGTON,(856) 810-0007,Awilson@artismgmt.com,68,"ARTIS SENIOR LIVING OF EVESHAM, LLC",Profit - LLC,,
ASSISTED LIVING RESIDENCE,NJ11A013,11A013,Artis Senior Living Of Princeton Junction,861 ALEXANDER ROAD,PRINCETON,NJ,8540,MIDDLESEX,(609) 454-3360,mbarroso@artismgmt.com,64,"ARTIS SENIOR LIVING OF PRINCTON JUNCTION,  LLC",Profit - LLC,,
ASSISTED LIVING RESIDENCE,NJ82436,82436,Assisted Living at Fellowship Village,9000 FELLOWSHIP ROAD,BASKING RIDGE,NJ,7920,SOMERSET,(908) 580-3824,jellias@fellowshipsl.org,81,"FELLOWSHIP SENIOR LIVING, INC.",NonProfit - Corporation,40.6564527,-74.5836926
ASSISTED LIVING RESIDENCE,NJ15A002,15A002,Atria Cherry Hill,1979 ROUTE 70 EAST,CHERRY HILL,NJ,8003,CAMDEN,(856) 424-7227,nikkia.sharpe@atriaseniorliving.com,132,"HCP CHERRY HILL NJ OPCO, LLC",,39.898748,-74.957464
ASSISTED LIVING RESIDENCE,NJ02A026,02A026,Atria Norwood,545 TAPPAN ROAD,NORWOOD,NJ,7648,BERGEN,(201) 249-6104,charlene.yerkovich@atriaseniorliving.com,100,"CSH NORWOOD LICENSEE, LLC",,,
ASSISTED LIVING RESIDENCE,NJ65A002,65a002,Atria Stafford,1275 ROUTE 72,MANAHAWKIN,NJ,8050,OCEAN,(609) 597-2500,farryn.harte@atriaseniorliving.com,94,"HCP MANAHAWKIN NJ OPCO, LLC",,39.7233054,-74.2885783
ASSISTED LIVING RESIDENCE,NJ55A004,55A004,Atria Tinton Falls,44 PINE STREET,TINTON FALLS,NJ,7753,MONMOUTH,(732) 918-1960,michael.ciecierski@atriaseniorliving.com,156,"WG TINTON FALLS SH, LLC",Profit - LLC,40.2402504,-74.0826848
