FACILITY_TYPE,FACID,LIC#,LICENSED_NAME,ALPHA_NAME,ADDRESS,FAC_ADDR_2,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,TELEPHONE,FAXPHONE,FACEMAIL,Lic_Expires,Lic_Beds_Slots,ADMIN,LICENSED_OWNER,OWNADDR,owncsz,OwnDesc,RunDate,LAT,LNG
ADULT DAY HEALTH CARE SERVICES,NJ80770,80770,1st Cerebral Palsy of New Jersey,1ST CEREBRAL PALSY OF NEW JERS,7 SANFORD AVENUE, ,BELLEVILLE,NJ,07109,"BELLEVILLE, NJ  07109",ESSEX,(973) 751-0200,          ,pcolligan@cerebralpalsycenter.org,3/31/22,27,. CRISTIAN GARCIA,"1ST CEREBRAL PALSY OF NEW JERSEY, INC.",7 SANFORD AVENUE,"BELLEVILLE, NJ  07109",Non-Profit - Corporation,6/15/21,40.3416488,-74.4625941
ADULT DAY HEALTH CARE SERVICES,NJ708112,708112,2nd Home Adult Medical Day Care,2ND HOME ADULT MEDICAL DAY,100 HAMILTON PLAZA GROUND FLOOR, ,PATERSON,NJ,07505,"PATERSON, NJ  07505",PASSAIC,(973) 523-3179,(973) 523-3482,Marilyn@2ndHome.org,1/31/22,120,. EUGENYA KIM,"2ND HOME PATERSON OPERATIONS, LLC","25 E. SALEM STREET, SUITE 500","HACKENSACK, NJ  07601",Profit - LLC,6/15/21,40.9163004,-74.172438
ADULT DAY HEALTH CARE SERVICES,NJ308113,308113,2nd Home East Orange,2ND HOME EAST ORANGE,115 EVERGREEN PLACE, ,EAST ORANGE,NJ,07018,"EAST ORANGE, NJ  07018",ESSEX,(973) 676-2600,(973) 676-2800,jay@2ndhome.org,3/31/22,150,. JAY SHAIN,2ND HOME EAST ORANGE LLC,"25 E SALEM ST, SUITE 500","HACKENSACK, NJ  07601",Profit - LLC,6/15/21,40.762161,-74.22247
ADULT DAY HEALTH CARE SERVICES,NJ308116,308116,"2nd Home Newark Operations, LLC","2ND HOME NEWARK OPERATIONS, LLC",717-727 BROADWAY, ,NEWARK,NJ,07104,"NEWARK, NJ  07104",ESSEX,(973) 268-1212,(973) 268-1016,ralph@2ndhome.org,2/28/22,240,Ms. YANA BOJADSCHIJEW,"2ND HOME NEWARK OPERATIONS, LLC","25 E SALEM STREET, SUITE 500","HACKENSACK, NJ  07601",Profit - LLC,6/15/21,40.7744572,-74.1595088
ADULT DAY HEALTH CARE SERVICES,NJ308117,308117,"2nd Home Orange Operations, LLC","2ND HOME ORANGE OPERATIONS, LLC",37 NORTH DAY STREET, ,ORANGE,NJ,07050,"ORANGE, NJ  07050",ESSEX,(973) 395-9800,(973) 395-4242,marilyn@2ndhome.org,6/30/21,110,Ms. FLORENCE CADET,PREMIER OF ORANGE LLC,37 NORTH DAY STREET,"ORANGE, NJ  07050",Profit - LLC,6/15/21,40.7733703,-74.2288349
ADULT DAY HEALTH CARE SERVICES,NJ708116,708116,"2nd Home Passaic, Llc","2ND HOME PASSAIC, LLC",63 GROVE STREET, ,PASSAIC,NJ,07055,"PASSAIC, NJ  07055",PASSAIC,(973) 779-4228,(973) 779-4238,ralph@2ndhome.org,1/31/22,120,. RALPH MULLER,"2ND HOME PASSAIC OPERATIONS, LLC",25 E SALEM STREET SUITE 500,"HACKENSACK, NJ  07601",Profit - LLC,6/15/21,40.8596327,-74.1284281
ADULT DAY HEALTH CARE SERVICES,Z0SFLR,Z0SFLR,"2nd Home Perth Amboy, LLC","2ND HOME PERTH AMBOY, LLC",420 FAYETTE STREET, ,PERTH AMBOY,NJ,08861,"PERTH AMBOY, NJ  08861",MIDDLESEX,(732) 826-8012,(732) 826-1961,marilyn@2ndhome.org,1/31/22,150,Ms. NORA RIVERA,"2ND HOME PERTH AMBOY OPERATIONS, LLC","25 E SALEM STREET, SUITE 500","HACKENSACK, NJ  07601",Profit - LLC,6/15/21,40.5140042,-74.2800102
ADULT DAY HEALTH CARE SERVICES,NJ908116,908116,"2nd Home Sweet Home Operations, LLC","2ND HOME SWEET HOME OPERATIONS, LLC",550 NORTH BROAD STREET, ,ELIZABETH,NJ,07208,"ELIZABETH, NJ  07208",UNION,(908) 994-0050,(908) 994-0056,marilyn@2ndhome.org,12/31/21,155,Mrs. SHERLIE DIAZ-JIMENEZ,"HOME SWEET HOME OPERATIONS, LLC","25 E SALEM STREET, SUITE 500","HACKENSACK, NJ  07601",Profit - LLC,6/15/21,40.675209,-74.2130329
ADULT DAY HEALTH CARE SERVICES,NJ82305,082305,2nd Home Totowa,2ND HOME TOTOWA,120 COMMERCE WAY, ,TOTOWA,NJ,07512,"TOTOWA, NJ  07512",PASSAIC,(973) 890-5888,(973) 890-2755,alba@2ndhome.org,9/30/21,104,Ms. ALBA FERMAN,2ND HOME TOTOWA LLC,120 COMMERCE WAY,"TOTOWA, NJ  07512",,6/15/21,40.908826,-74.2403544
ADULT DAY HEALTH CARE SERVICES,NJ408111,408111,"2nd Home Union City, LLC","2ND HOME UNION CITY, LLC",3610 PALISADES AVENUE, ,UNION CITY,NJ,07087,"UNION CITY, NJ  07087",HUDSON,(201) 864-0400,(201) 864-6833,Angie@2ndhome.org,1/31/22,120,Ms. ANGIE CORTEZ-MORO,"2ND HOME UNION CITY OPERATIONS, LLC",25 E SALEM STREET SUITE 500,"HACKENSACK, NJ  07601",Profit - LLC,6/15/21,40.77314,-74.0249259
