Facility Name,Address,License Number,Licensee,City,Zip Code,Phone Number,Capacity,Date Accessed,State
 The Village At Alameda,8810 HORIZON BOULEVARD NE,2244,ALBUQUERQUE OPERATING COMPANY LLC,Albuquerque,87113,(505) 857-7000  ,86,6/29/21,NM
"A Love For Life, Llc",7534 BEAR CANYON ROAD NE,2188,"A LOVE FOR LIFE, LLC",Albuquerque,87109,(505) 350-2563  ,10,6/29/21,NM
"A Love For Life, Llc",4108 ALCAZAR NE,2278,"A LOVE FOR LIFE, LLC",Albuquerque,87109,(505) 884-3912  ,15,6/29/21,NM
A New Day,11212 MIRAVISTA PLACE SE,2126,ATENOGENES VAZQUEZ,Albuquerque,87123,(505) 263-0480  ,3,6/29/21,NM
A New Day Assisted Living #2,11208 MIRA VISTA PLACE SE,2277,ATENOGENES VAZQUEZ,Albuquerque,87123,(505) 373-9285  ,3,6/29/21,NM
Abundant Living,"804 RINCON DE RAMOS DRIVE, SE",5880,HARMONY RESIDENTIAL CARE CORP.,Rio,,(505) 349-3989  ,9,6/29/21,NM
Adelante Ventana,3609 LAFAYETTE DR NE,4045,"ADELANTE DEVELOPMENT CENTER, INC.",Albuquerque,87107,(505) 341-2000  ,8,6/29/21,NM
Adobe Assisted Living #1 (The),1111 E MOUNTAIN AVENUE,5772,"ARISTOCRAT, LLC",Las,,(575) 527-2795  ,41,6/29/21,NM
Advantage Assisted Living,1729 WELLSPRING AVE SE,4050,ADVANTAGE ASSISTED LIVING LLC,Rio,,(505) 431-4792  ,30,6/29/21,NM
Albuquerque Grand Senior Living,1501 TIJERAS NE,5544,"161 MANAGEMENT GROUP, LLC",Albuquerque,87106,(505) 842-1972  ,50,6/29/21,NM
"Albuquerque Uptown Assisted Living, Inc",7611 INDIAN SCHOOL RD NE,4029,"ALBUQUERQUE UPTOWN ASSISTED LIVING, INC",Albuquerque,87110,(505) 916-5065  ,29,6/29/21,NM
All-Care Assisted Living Llc,1001 YORK DRIVE,2043,MARJORIE C. RAYLE,Clovis,88101,(575) 763-5932  ,7,6/29/21,NM
Amaran Senior Living,9100 HOLLY AVE NE,7028,HIRA LLC,Albuquerque,87122,(505) 377-9962  ,82,6/29/21,NM
"Ambassadors Of Care, Llc",6001 ROGERS DRIVE NE,5605,"AMBASSADORS OF CARE, LLC",Albuquerque,87110,(505) 299-2100  ,10,6/29/21,NM
American Heritage Home,7813 AMERICAN HERITAGE NE,2077,"CASA DE PALOMAS, INC.",Albuquerque,87109,(505) 255-9081  ,10,6/29/21,NM
Angel Wings Home Care,19 GARDEN PARK CIRCLE NW,2257,"ANGEL WINGS HOME CARE, LLC",Albuquerque,87107,(505) 974-7383  ,10,6/29/21,NM
Arbors Of Del Rey,3731 DEL REY BLVD,5805,"VLC II, LLC",Las,,(575) 382-5200  ,24,6/29/21,NM
Arca Mesquite Wood,7317 MESQUITE WOOD NW,4117,ARCA,Albuquerque,87120,(505) 332-6700  ,3,6/29/21,NM
Aristocrat Assisted Living (The),2969 CLAUDE DOVE DRIVE,5686,THE ARISTOCRAT LLC,Las,,(575) 521-3326  ,63,6/29/21,NM
Aristocrat Assisted Living (The),252 ROBERT H BRADLEY DRIVE,5729,ARISTOCRAT LLC,Alamogordo,88310,(575) 437-3020  ,49,6/29/21,NM
Aristocrat Of Alamogordo Ii (The),252 ROBERT H BRADLEY DRIVE,5873,ARISTOCRAT LLC,Alamogordo,88310,(575) 437-3020  ,40,6/29/21,NM
"Aspen Care, Inc.",3225 GEORGIA STREET NE,5719,"ASPEN CARE, INC.",Albuquerque,87110,(505) 889-3040  ,8,6/29/21,NM
Aspen Ridge Lodge,1010 SOMBRILLO COURT,2044,LOS ALAMOS RETIREMENT COMMUNITY,Los,,(505) 661-0066  ,66,6/29/21,NM
Atria Vista Del Rio,1620 INDIAN SCHOOL ROAD NE,2185,"HCP ALBUQUERQUE NM OPCO, LLC",Albuquerque,87102,(505) 242-3370  ,294,6/29/21,NM
Autumn Blessings Assisted Living,400 SUNSET BOULEVARD,5869,"AUTUMN BLESSINGS ASSISTED LIVING, LLC",Logan,88426,(575) 487-2300  ,25,6/29/21,NM
Autumn Glow,4101 MALAGA COURT SE,2145,SENIOR SERVICES LLC,Rio,,(505) 450-4304  ,8,6/29/21,NM
Avamere At Rio Rancho,1000 RIVERVIEW DRIVE SE,4047,"RIO RANCHO OPERATIONS, LLC",Rio,,(505) 892-8400  ,134,6/29/21,NM
Avamere At Roswell,2725 N PENNSYLVANIA AVENUE,4043,"ROSWELL OPERATIONS, LLC",Roswell,88201,(575) 625-8426  ,121,6/29/21,NM
Avista Senior Living Albuquerque,3920 JUAN TABO BLVD NE,2267,"S-H OPCO THE COTTAGES, LLC",Albuquerque,87111,(505) 291-0113  ,54,6/29/21,NM
Aztec Healthcare Assisted Living,520 CARE LANE,4110,AZTEC HEALTHCARE LLC,Aztec,87410,(505) 334-9445  ,26,6/29/21,NM
Bee Hive Homes Of Albuquerque - West,6000 WHITEMAN DRIVE NW,2091,"R & G HEALTHCARE MANAGEMENT, LLC",Albuquerque,87120,(505) 792-8344  ,15,6/29/21,NM
Bee Hive Homes Of Edgewood,102 QUAIL TRAIL,2184,ROBIN'S ELDER CARE LLC,Edgewood,87015,(505) 281-2001  ,15,6/29/21,NM
Bee Hive Homes Of Edgewood Ii,102 B QUAIL TRAIL,2225,"PAT'S ELDER CARE, LLC",Edgewood,87015,(505) 286-7773  ,15,6/29/21,NM
Bee Hive Homes Of Rio Rancho Ii,2709 CHESSMAN DRIVE NE,2106,SAN PEDRO HOPE LLC,Rio,,(505) 891-0835  ,16,6/29/21,NM
Bee Hive Homes Of Santa Fe,3838 THOMAS ROAD,2179,SAN PEDRO HOPE LLC,Santa,,(505) 480-1445  ,15,6/29/21,NM
Bee Hive Homes Of Taylor Ranch,6004 WHITEMAN DRIVE NW,2133,"HAMILTON MANAGEMENT I, LLC",Albuquerque,87120,(505) 792-1218  ,15,6/29/21,NM
Bee Hive Memory Loss Home,508 AIRPORT DRIVE,2127,"WORKER BEE, LLC",Farmington,87401,(505) 480-1445  ,16,6/29/21,NM
Beehive Homes Of Alamogordo,1106 SAN CRISTO,2083,"ALAMOCARE,LLC",Alamogordo,88310,(505) 554-2702  ,16,6/29/21,NM
Beehive Homes Of Bernalillo,200 SHERIFFS POSE ROAD,2288,"BERNALILLO HIVE, LLC",Bernalillo,87004,(505) 480-1445  ,15,6/29/21,NM
Beehive Homes Of Bernalillo 2,180 SHERIFFS POSSE RD,4026,"BERNALILLO HIVE 2, LLC",Bernalillo,87004,(505) 480-1445  ,15,6/29/21,NM
Beehive Homes Of Bosque Farms,1935 BOSQUE FARMS BLVD,2286,"HOLMES MANAGEMENT, INC",Bosque,,(505) 553-5552  ,15,6/29/21,NM
Beehive Homes Of Bosque Farms #2,1935-B BOSQUE FARMS BLVD,4048,"HOLMES MANAGEMENT 2, LLC",Bosque,,(505) 553-5552  ,16,6/29/21,NM
Beehive Homes Of Clovis,2305 NORTH NORRIS,2274,"CLOVIS HIVE, LLC",Clovis,88101,(505) 480-1445  ,14,6/29/21,NM
Beehive Homes Of Deming,1721 SOUTH SANTA MONICA,2056,"CLOVIS HIVE, LLC",Deming,88030,(505) 480-1445  ,14,6/29/21,NM
Beehive Homes Of Enchanted Hills,6336 ENCHANTED HILLS BLVD,2183,SAN PEDRO HOPE LLC,Rio,,(505) 480-1445  ,15,6/29/21,NM
Beehive Homes Of Farmington,400 NORTH LOCKE ST,5870,"WORKER BEE, LLC",Farmington,87401,(505) 480-1445  ,12,6/29/21,NM
Beehive Homes Of Farmington #2,404 NORTH LOCKE ROAD,2035,"WORKER BEE, LLC",Farmington,87401,(505) 480-1445  ,12,6/29/21,NM
Beehive Homes Of Farmington 4,508 B N AIRPORT DR,2211,"WORKER BEE, LLC",Farmington,87401,(505) 480-1445  ,15,6/29/21,NM
Beehive Homes Of Four Hills 2,13450 WENONAH SE,3004,"FOUR HILLS II, LLC",Albuquerque,87123,(505) 480-1445  ,15,6/29/21,NM
Beehive Homes Of Gallup,600 GURLEY ROAD,3570,"BEEHIVE OF GALLUP, LLC",Gallup,87301,(505) 821-1834  ,21,6/29/21,NM
Beehive Homes Of Hobbs,1928 W COLLEGE LANE,2268,"CLOVIS HIVE, LLC",Hobbs,88242,(505) 480-1445  ,21,6/29/21,NM
Beehive Homes Of Portales,1420 S MAIN STREET,2279,"BEEHIVE OF PORTALES, LLC",Portales,88130,(505) 480-1445  ,14,6/29/21,NM
Beehive Homes Of Raton,1465 TURNESA ST,4033,M&M CARE LLC,Raton,87740,(505) 480-1445  ,14,6/29/21,NM
Beehive Homes Of Rio Rancho I,204 SILENT SPRING ROAD,2045,SAN PEDRO HOPE LLC,Rio,,(505) 480-1445  ,12,6/29/21,NM
"Beehive Homes Of Roswell, Llc",2903 NORTH WASHINGTON AVENUE,2130,"BEEHIVE HOMES OF ROSWELL, LLC",Roswell,88201,(575) 420-0359  ,16,6/29/21,NM
Beehive Homes Of San Pedro - Building A,6401 CORONA NE,2143,SAN PEDRO HOPE LLC,Albuquerque,87113,(505) 480-1445  ,16,6/29/21,NM
Beehive Homes Of San Pedro - Building B,6401 CORONA NE,2144,SAN PEDRO HOPE LLC,Albuquerque,87113,(505) 480-1445  ,16,6/29/21,NM
Beehive Homes Of San Pedro E,6100 WILSHIRE AVE NE ,4011,"SAN PEDRO HOPE, LLC",Albuquerque,87109,(505) 480-1445  ,15,6/29/21,NM
Beehive Homes Of San Pedro F,6100 WILSHIRE AVE NE BUILDING F,4007,"SAN PEDRO HOPE, LLC",Albuquerque,87113,(505) 480-1445  ,15,6/29/21,NM
"Beehive Homes Of San Pedro, Building C",6401 CORONA NE,2141,SAN PEDRO HOPE LLC,Albuquerque,87113,(505) 480-1445  ,16,6/29/21,NM
