Facility Name,State Facility Type 1 Literal,License Number,State Facility Type 2 Literal,Address,State,County,Phone Number,Capacity
A & J CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,49-AGC-37,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5217 W GOWAN ROAD LAS VEGAS NV 89130-3118,NV,CLARK,702-645-2291,7
A BENEVOLENT HEART CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,9793-AGC-1,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",508 PEARBERRY AVENUE LAS VEGAS NV 89123,NV,CLARK,702-807-9971,9
A GOOD OLD DAYS HOME CARE II,RESIDENTIAL FACILITY FOR GROUPS,8927-AGC-3,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4205 MIRA LOMA DR RENO NV 89502,NV,WASHOE,775-315-9503,8
A PRECIOUS GEMS ADULT CARE,RESIDENTIAL FACILITY FOR GROUPS,3171-AGC-23,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1733 HUNTERS BLUFF DRIVE NORTH LAS VEGAS NV 89032,NV,CLARK,702-636-5501,7
A R C H OF LAS  VEGAS,RESIDENTIAL FACILITY FOR GROUPS,2311-AGC-30,ALZHEIMER DISEASE,9483 LIGHTNING BAY CT LAS VEGAS NV 89123,NV,CLARK,702-616-2588,6
A SUMMERDALE HOMES @ RIATA LLC,RESIDENTIAL FACILITY FOR GROUPS,4241-AGC-21,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,14315 RIATA CIRCLE RENO NV 89521,NV,WASHOE,775-851-4185,8
A SUMMERDALE HOMES @ RIBEIRO LLC,RESIDENTIAL FACILITY FOR GROUPS,2194-AGC-31,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1868 RIBEIRO CIRCLE RENO NV 89503,NV,WASHOE,775-746-1949,6
ABINGTON MANOR,RESIDENTIAL FACILITY FOR GROUPS,3062-AGC-25,ALZHEIMER DISEASE,478 PEARBERRY AVE LAS VEGAS NV 89183,NV,CLARK,702-837-6968,6
ABSOLUTE CIRCLE OF CARE ACKERMAN,RESIDENTIAL FACILITY FOR GROUPS,3980-AGC-21,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7385 ACKERMAN AVE LAS VEGAS NV 89131,NV,CLARK,702-655-1544,10
ACACIA OASIS,RESIDENTIAL FACILITY FOR GROUPS,8944-AGC-3,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,8630 W. NEVSO DRIVE LAS VEGAS NV 89147,NV,CLARK,702-942-8700,50
ADULT CARE AT PAH RAH,RESIDENTIAL FACILITY FOR GROUPS,10178-AGC-0,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7300 PAH RAH DR SPARKS NV 89436,NV,WASHOE,775-870-3413,10
ADULT COMFORT AND CARE HOME 2,RESIDENTIAL FACILITY FOR GROUPS,8317-AGC-7,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",10315 QUEENSBURY AVENUE LAS VEGAS NV 89135,NV,CLARK,702-629-4663,10
ADULT COMFORT AND CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,7437-AGC-13,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2105 CARROLL ST LAS VEGAS NV 89030,NV,CLARK,702-629-4663,10
ADVANCED CARE FOR THE ELDERLY LLC,RESIDENTIAL FACILITY FOR GROUPS,3596-AGC-26,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,9501 MULROONA COURT LAS VEGAS NV 89129,NV,CLARK,702-838-5818,8
AEGIS LIVING LAS VEGAS,RESIDENTIAL FACILITY FOR GROUPS,10333-AGC-0,ALZHEIMER DISEASE,9100 WEST DESERT INN RD. LAS VEGAS NV 89117,NV,CLARK,425-861-9993,72
"ALOHA PARADISE CARE, LLC",RESIDENTIAL FACILITY FOR GROUPS,9545-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1809 WESTWIND ROAD LAS VEGAS NV 89146,NV,CLARK,702-629-6247,8
