,,,,,,,,,,,,,,,,,,,
LICENSEE LIST,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Business Unit,,Health Facilities,,,Entity Type,,,Agency,,,,,,,,,,,
Facility Name,,,,,,,,,,,,,,,,,,,
Credential Number ,,,,,Credential Type,,,RESIDENTIAL FACILITY FOR GROUPS,,,,,,,,,,,
Address Information,,,,,,,,,,,,,,,,,,,
City,,,,,NV County,,,All,,,,,,,,,,,
Zip,,,,,Phone #,,,,,,,,,,,,,,
Address Type,,Physical Address,,,Physical Address,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,
Role,,ADM,,,Last Name,,,,,,,,,,,,,,
First Name,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Name,Credential Type,,Credential Number,Status,Expiration Date,Endorsement,Disciplinary Action,,Address,,State,County,,Phone#,First Issue Date,Primary Contact Name,Primary Contact Role,Bed Count,Low Income Bed Count
A & J CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,,49-AGC-37,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,5217 W GOWAN ROAD LAS VEGAS NV 89130-3118,,NV,CLARK,,702-645-2291,01/01/1998,DENNIS O'SHEA,Administrator,7,0
A BENEVOLENT HEART CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,,9793-AGC-1,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,508 PEARBERRY AVENUE LAS VEGAS NV 89123,,NV,CLARK,,702-807-9971,11/15/2019,CHRIS LANE,Administrator,9,0
A GOOD OLD DAYS HOME CARE II,RESIDENTIAL FACILITY FOR GROUPS,,8927-AGC-3,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,4205 MIRA LOMA DR RENO NV 89502,,NV,WASHOE,,775-315-9503,12/22/2017,DIETMAR INGENSIEP,Administrator,8,0
