Facility Name,Address,County,City,Zip Code,Phone Number,Facility ID,Licensee,License Number,Capacity,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal,Ownership Type,State
Home Sweet Home Of Athens,71 SECOND STREET,Greene,Athens,12015,(518) 945-1673,AF0015B,"THE W GROUP AT HUDSON, LLC",300-F-034,24,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Rockaway Manor Hfa,145 BEACH 8TH STREET,Queens,Far Rockaway,11691,(718) 327-6300,AF0371A,FOUNDATION FOR THE ELDERLY,590-E-292,120,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Echo Arms Adult Home,204 PATCHOGUE ROAD,Suffolk,Port Jefferson Stat.,11776,(631) 473-0166,AF0241A,"KATZ, HARRY",700-F-020,49,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Kendal On Hudson,1010 KENDAL WAY,Westchester,Sleepy Hollow,10591,(914) 922-1000,AF0636A,KENDAL ON HUDSON,800-S-134,47,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Elizabeth Brewster House,41 SOUTH MAIN STREET,Cortland,Homer,13077,(607) 749-3061,AF0039A,ELIZABETH BREWSTER HOUSE,210-E-001,45,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Meadowbrook Terrace Assisted Living Facility,21957 COLE ROAD,Jefferson,Carthage,13619,(315) 519-1246,AF0704A,MEADOWBROOK TERRACE INC.,330-E-004,60,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Fox Run At Orchard Park,ONE FOX RUN LANE,Erie,Orchard Park,14127,(716) 662-5001,AF0662A,"ORCHARD PARK CCRC, INC.",240-S-111,52,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Brandywine Senior Living At Huntington Terrace,70 PINELAWN ROAD,Suffolk,Melville,11747,(631) 531-0000,AF0590B,BRANDYWINE SENIOR LIVING AT HUNTINGTON TERRACE LLC,700-F-919,54,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Atria Kew Gardens,117-01 84TH AVENUE,Queens,Kew Gardens,11418,(718) 441-0300,AF0810B,"ATR NEW YORK LH, INC.",590-S-315,175,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Bishop'S Commons At St. Luke,4 BURKLE STREET,Oswego,Oswego,13126,(315) 349-0799,AF0829A,"BISHOP'S COMMONS, INC.",560-S-002,68,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
The Bristal At Massapequa,400 COUNTY LINE ROAD,Nassau,Massapequa,11758,(516) 691-0706,AF0647B,"EB CARE AT MASSAPEQUA, LLC",400-F-315,84,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Maryville Assisted Living,70 GREENLAWN ROAD,Suffolk,Huntington,11743,(631) 427-7685,AF0306A,"MARYVILLE ADULT HOME, INC.",700-F-891,32,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Arbors At Westbury,45 JERICHO TURNPIKE,Nassau,Jericho,11753,(516) 333-6400,AF0434C,"ARCADIA MANAGEMENT, INC.",400-F-307,200,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Atria Delmar Place,467 DELAWARE AVE,Albany,Delmar,12054,(518) 434-4663,AF0622B,"ATR NEW YORK LH, INC.",000-S-008,106,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
"Bristol Village, Inc.",8455 CLARENCE CENTER ROAD,Erie,Clarence Center,14032,(716) 319-9500,AF0609A,"BRISTOL VILLAGE, INC.",240-S-107,142,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Sunrise Of Dix Hills,337 DEER PARK AVENUE,Suffolk,Dix Hills,11746,(631) 385-1733,AF0840B,"GWC - DIX HILLS, INC.",700-F-923,114,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Brandywine Assisted Living At The Savoy,55-15 LITTLE NECK PARKWAY,Queens,Little Neck,11362,(718) 423-7900,AF0380B,"BRANDYWINE ASSISTED LIVING AT THE SAVOY, LLC",590-S-305,160,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
The Terrace At Glen Eddy,1 ASCOT LANE,Schenectady,Niskayuna,12309,(518) 280-8361,AF0126A,GLEN EDDY INC.,650-S-067,53,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Cobbs Hill Manor,1175 MONROE AVENUE,Monroe,Rochester,14620,(585) 851-8696,AF0742A,"COBBS HILL MANOR, INC.",370-F-242,118,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Bristal At Armonk,90 BUSINESS PARK DRIVE,Westchester,Armonk,10504,(914) 269-2375,AF0712A,ARMONK SENIOR CARE LLC,800-S-151,171,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Symphony Manor At Lancaster,5539 BROADWAY,Erie,Lancaster,14086,(716) 683-5150,AF0556C,"SYMPHONY MANOR, LLC",240-F-902,117,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Atria Plainview,12 WASHINGTON AVENUE,Nassau,Plainview,11803,(516) 933-0002,AF0223C,"ATR NEW YORK LH, INC.",400-F-329,99,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Lutheran Home Of Central New York,108 UTICA ROAD,Oneida,Clinton,13323,(315) 853-5515,AF0075A,LUTHERAN HOME OF CENTRAL NY,510-E-007,68,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Sedgwick Heights,1100 JAMES STREET,Onondaga,Syracuse,13203,(315) 475-4388,AF0185A,"LORETTO ADULT COMMUNITY, INC.",520-E-091,154,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Elderwood Village At Colonie,626 WATERVLIET-SHAKER ROAD,Albany,Latham,12110,(518) 783-8695,AF0032D,"626 WATERVLIET SHAKER ROAD OPERATING COMPANY, LLC",000-F-314,94,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
