Facility Name,Address,County,City,Zip Code,Phone Number,Facility ID,Licensee,License Number,Capacity,Type,Classification
Home Sweet Home of Athens,71 Second Street,Greene,Athens,12015,(518) 945-1673,AF0015B,"The W Group at Hudson, LLC",300-F-034,24,AH/ALP,PPHA
Rockaway Manor HFA,145 Beach 8th Street,Queens,Far Rockaway,11691,(718) 327-6300,AF0371A,Foundation For The Elderly,590-E-292,120,AH,NFP
Echo Arms Adult Home,204 Patchogue Road,Suffolk,Port Jefferson Stat.,11776,(631) 473-0166,AF0241A,"Katz, Harry",700-F-020,49,AH,PPHA
Kendal on Hudson,1010 Kendal Way,Westchester,Sleepy Hollow,10591,(914) 922-1000,AF0636A,Kendal On Hudson,800-S-134,47,EHP,NFP
Elizabeth Brewster House,41 South Main Street,Cortland,Homer,13077,(607) 749-3061,AF0039A,Elizabeth Brewster House,210-E-001,45,AH,NFP
Meadowbrook Terrace Assisted Living Facility,21957 Cole Road,Jefferson,Carthage,13619,(315) 519-1246,AF0704A,Meadowbrook Terrace Inc.,330-E-004,60,AH/ALP,NFP
Fox Run at Orchard Park,One Fox Run Lane,Erie,Orchard Park,14127,(716) 662-5001,AF0662A,"Orchard Park CCRC, Inc.",240-S-111,52,EHP,NFP
Brandywine Senior Living at Huntington Terrace,70 Pinelawn Road,Suffolk,Melville,11747,(631) 531-0000,AF0590B,Brandywine Senior Living at Huntington Terrace LLC,700-F-919,54,AH,PPHA
Atria Kew Gardens,117-01 84th Avenue,Queens,Kew Gardens,11418,(718) 441-0300,AF0810B,"ATR New York LH, Inc.",590-S-315,175,EHP,PPHA
Bishop's Commons at St. Luke,4 Burkle Street,Oswego,Oswego,13126,(315) 349-0799,AF0829A,"Bishop's Commons, Inc.",560-S-002,68,EHP,NFP
The Bristal at Massapequa,400 County Line Road,Nassau,Massapequa,11758,(516) 691-0706,AF0647B,"EB CARE at Massapequa, LLC",400-F-315,84,AH,PPHA
Maryville Assisted Living,70 Greenlawn Road,Suffolk,Huntington,11743,(631) 427-7685,AF0306A,"Maryville Adult Home, Inc.",700-F-891,32,AH,PPHA
The Arbors at Westbury,45 Jericho Turnpike,Nassau,Jericho,11753,(516) 333-6400,AF0434C,"Arcadia Management, Inc.",400-F-307,200,AH,PPHA
Atria Delmar Place,467 Delaware Ave,Albany,Delmar,12054,(518) 434-4663,AF0622B,"ATR New York LH, Inc.",000-S-008,106,EHP,PPHA
"Bristol Village, Inc.",8455 Clarence Center Road,Erie,Clarence Center,14032,(716) 319-9500,AF0609A,"Bristol Village, Inc.",240-S-107,142,EHP,NFP
Sunrise of Dix Hills,337 Deer Park Avenue,Suffolk,Dix Hills,11746,(631) 385-1733,AF0840B,"GWC - Dix Hills, Inc.",700-F-923,114,AH,PPHA
Brandywine Assisted Living at The Savoy,55-15 Little Neck Parkway,Queens,Little Neck,11362,(718) 423-7900,AF0380B,"Brandywine Assisted Living at The Savoy, LLC",590-S-305,160,EHP,PPHA
The Terrace at Glen Eddy,1 Ascot Lane,Schenectady,Niskayuna,12309,(518) 280-8361,AF0126A,Glen Eddy Inc.,650-S-067,53,EHP,NFP
Cobbs Hill Manor,1175 Monroe Avenue,Monroe,Rochester,14620,(585) 851-8696,AF0742A,"Cobbs Hill Manor, Inc.",370-F-242,118,AH/ALP,PPHA
The Bristal at Armonk,90 Business Park Drive,Westchester,Armonk,10504,(914) 269-2375,AF0712A,Armonk Senior Care LLC,800-S-151,171,EHP,PPHA
Symphony Manor at Lancaster,5539 Broadway,Erie,Lancaster,14086,(716) 683-5150,AF0556C,"Symphony Manor, LLC",240-F-902,117,AH,PPHA
Atria Plainview,12 Washington Avenue,Nassau,Plainview,11803,(516) 933-0002,AF0223C,"ATR New York LH, Inc.",400-F-329,99,AH,PPHA
Lutheran Home of Central New York,108 Utica Road,Oneida,Clinton,13323,(315) 853-5515,AF0075A,Lutheran Home of Central NY,510-E-007,68,AH,NFP
Sedgwick Heights,1100 James Street,Onondaga,Syracuse,13203,(315) 475-4388,AF0185A,"Loretto Adult Community, Inc.",520-E-091,154,AH/ALP,NFP
Elderwood Village at Colonie,626 Watervliet-Shaker Road,Albany,Latham,12110,(518) 783-8695,AF0032D,"626 Watervliet Shaker Road Operating Company, LLC",000-F-314,94,AH,PPHA
The Bristal at West Babylon,520 Montauk Highway (Unit A),Suffolk,West Babylon,11704,(631) 635-5501,AF0755A,EB Care at West Babylon LLC,700-S-313,187,EHP,PPHA
Elderwood Village at Ticonderoga,101 Adirondack Drive Suite 201,Essex,Ticonderoga,12883,(518) 585-3871,AF0608B,"1019 Wicker Street AL Operating Company, LLC",260-F-020,23,AH,PPHA
Atria Tanglewood,125 Ocean Avenue,Nassau,Lynbrook,11563,(516) 596-3400,AF0639C,"ATR New York LH, Inc.",400-F-306,160,AH,PPHA
L'Dor,156 West Clarkstown Road,Rockland,New City,10956,(845) 356-4108,AF0290B,Elliot Markowitz,620-F-076,44,AH,PPHA
Dominican Village Enriched Housing Program 1,565-567 Albany Avenue,Suffolk,Amityville,11701,(631) 842-6091,AF0237A,Dominican Village EHP,700-S-287,66,EHP,NFP
The Terrace at Newark,208 Route 88 South,Wayne,Newark,14513,(315) 331-5282,AF0671A,"The Terrace at Newark, Inc.",770-F-037,71,AH/ALP,PPHA
Lockport Presbyterian Home,327 High Street,Niagara,Lockport,14094,(716) 434-8805,AF0524B,"Lockport Presbyterian Home, Inc.",500-E-016,60,AH,NFP
Heather Heights of Pittsford,160 West Jefferson Road,Monroe,Pittsford,14534,(585) 264-1600,AF0508A,"Heather Heights of Pittsford, Inc.",370-F-220,120,AH,PPHA
Marjorie Doyle Rockwell Center,18 Pasinella Way,Albany,Cohoes,12047,(518) 238-4150,AF0077A,"Marjorie Doyle Rockwell Center, Inc.",000-E-283,52,AH,NFP
Sunrise of New City,233 North Main Street,Rockland,New City,10956,(845) 708-7855,AF0802A,"SZR New York LH, Inc.",620-F-089,120,AH,PPHA
Artis Senior Living of Chestnut Ridge,801 Chestnut Ridge Road,Rockland,Chestnut Ridge,10977,(845) 920-8341,AF0916A,"Artis Senior Living Operator of Chestnut Ridge, LLC",620-F-099,64,AH,PPHA
Orchard Grove Residences,2000 Southwestern Drive W. E.,Chautauqua,Jamestown,14701,(716) 338-1600,AF0698A,The Gerry Homes,060-E-040,36,AH/ALP,NFP
Marian Woods,152 Ridge Road,Westchester,Hartsdale,10530,(914) 750-6000,AF0304A,"Marian Woods, Inc.",800-E-130,50,AH,NFP
The Cloisters,171 North Maple Street,Wyoming,Warsaw,14569,(585) 786-8727,AF0472C,"Sunrise Assets, LLC",900-F-005,48,AH,PPHA
Brooklyn Boulevard ALP,636 Louisiana Avenue,Kings,Brooklyn,11239,(718) 557-0777,AF0749A,Brooklyn Boulevard ALP LLC,331-S-014,184,EHP/ALP,PPHA
Woodland Pond at New Paltz,100 Woodland Pond Circle,Ulster,New Paltz,12561,(845) 256-5910,AF0677B,"Woodland Pond, Inc.",740-S-010,60,EHP,NFP
"Fairlawn Adult Home, Inc.",301 Eighth Avenue,Suffolk,East Northport,11731,(631) 757-7666,AF0245B,"Fairlawn Adult Home, Inc.",700-F-898,30,AH,PPHA
Gallagher Home,517 North Lake Boulevard,Putnam,Mahopac,10541,(845) 628-7000,AF0730A,"Lake Mahopac Heights, LLC",580-F-003,16,AH,PPHA
The Country House in Westchester,2000 Baldwin Road,Westchester,Yorktown Heights,10598,(914) 962-3625,AF0226B,"The Country House in Westchester, an Adult Home LLC",800-F-007,100,AH,PPHA
Brooklyn Adult Care Center,2830 Pitkin Avenue,Kings,Brooklyn,11208,(718) 235-0900,AF0213B,"Brooklyn Adult Care Center, LLC",331-F-278,210,AH/ALP,PPHA
Legacy at Cranberry Landing,300 Cranberry Landing Drive,Monroe,Rochester,14609,(585) 244-3630,AF0724B,"Rochester Operating Company, LLC",370-F-252,78,AH,PPHA
Home of the Good Shepherd Moreau,186-200 Bluebird Road,Saratoga,Moreau,12803,(518) 792-1000,AF0708A,"The Church Aid of the Protestant Episcopal Church in the Town of Saratoga Springs, Inc.",640-E-040,72,AH,NFP
"Evergreen Place, Enhanced, Assisted Living & Memory Care",90 West Avenue,Monroe,Brockport,14420,(585) 637-3140,AF0567B,Wegman Family (Brockport) LLC II,370-S-849,114,EHP,PPHA
Underwood Manor,"4460 Union Hill Road, R.D. #1",Cattaraugus,Hinsdale,14743,(716) 557-2322,AF0569A,"Johnson, Ronald",040-F-024,32,AH/ALP,PPHA
Claddagh Care (L.B.S.H.) EHP #1,34 Church Street Suite 1,St. Lawrence,Brasher Falls,13613,(315) 389-5149,AF0027A,L.B.S.H. Housing,630-S-016,28,EHP,NFP
Bronxwood,799 East Gun Hill Road,Bronx,Bronx,10467,(718) 881-9100,AF0211A,"Bronxwood Home For The Aged, Inc.",020-E-004,320,AH/ALP,NFP
Loretto EHP #3 Nottingham,1301 Nottingham Road,Onondaga,Jamesville,13078,(315) 445-9242,AF0176A,"Loretto Adult Community, Inc.",520-S-114,64,EHP,NFP
Brookdale Liverpool,4055 Long Branch Road,Onondaga,Liverpool,13090,(315) 451-3221,AF0189C,"Painted Post, LLC",520-F-165,80,AH,PPHA
The Sentinel of Port Jervis,2247 Greenville Turnpike,Orange,Port Jervis,12771,(845) 896-0400,AF0905A,"The Sentinel of Port Jervis, LLC",540-F-040,160,AH/ALP,PPHA
Atria Huntington,165 Beverly Road,Suffolk,Huntington,11746,(631) 549-3533,AF0389B,"ATR New York LH, Inc.",700-F-931,198,AH,PPHA
Metro Interfaith Housing,21 New Street,Broome,Binghamton,13903,(607) 772-6766,AF0597A,Metro Interfaith Housing Management Corporation,030-S-046,11,EHP,NFP
The W Assisted Living at Riverdale Home for Adults,6355 Broadway,Bronx,Bronx,10471,(718) 549-3300,AF0370B,"Elener Associates, LLC",020-F-133,256,AH/ALP,PPHA
Vista on 5th,1261 Fifth Avenue,New York,New York,10029,(212) 534-6464,AF0234C,Vista on 5th Corp.,420-S-395,127,EHP/ALP,NFP
"Evergreen Court Home for Adults SP, LLC",65 Lafayette Street,Rockland,Spring Valley,10977,(845) 356-7700,AF0201C,"Evergreen Court Home for Adults SP, LLC",620-F-078,200,AH/ALP,PPHA
Memory Garden,560 Fairmount Avenue,Chautauqua,Jamestown,14701,(716) 483-2876,AF0687B,"Memory Garden at Tanglewood, Inc.",060-F-040,56,AH/ALP,PPHA
RiverSpring Assisted Living,5901 Palisades Avenue,Bronx,Bronx,10471,(718) 581-1780,AF0706A,The Hebrew Home for the Aged at Riverdale,020-E-136,35,AH/ALP,NFP
The Northfield,4560 Nine Mile Point Road,Monroe,Fairport,14450,(585) 377-1810,AF0632A,"Family Service of Rochester, Inc.",370-S-847,79,EHP,NFP
Sunrise of Staten Island,801 Narrows Road,Richmond,Staten Island,10304,(718) 727-8498,AF0877A,"SZR New York LH, Inc.",610-S-003,121,EHP,PPHA
The Landing at Queensbury,27 Woodvale Road,Warren,Queensbury,12804,(518) 793-5556,AF0125B,Wegman Family (Glens Falls) LLC V,750-S-003,88,EHP,PPHA
Absolutcare of Orchard Brooke,6060 Armor Road,Erie,Orchard Park,14127,(716) 662-6753,AF0537C,"Absolut at Orchard Brooke, LLC",240-F-878,80,AH/ALP,PPHA
Alice Hyde Assisted Living Program,45 Sixth Street,Franklin,Malone,12953,(518) 481-8401,AF0725A,Alice Hyde Medical Center,270-E-007,30,AH/ALP,NFP
"Madison York Assisted Living Community, LLC",112-14 Corona Avenue,Queens,Flushing,11368,(718) 699-4100,AF0381C,"Madison York Assisted Living Community, LLC",590-F-320,226,AH/ALP,PPHA
New Gloria's Manor Home for Adults,140 Beach 119th Street,Queens,Rockaway Park,11694,(718) 945-5700,AF0327B,Gloria's Manor LLC,590-F-307,172,AH,PPHA
Woodcrest Commons,4455 West Henrietta Road,Monroe,Henrietta,14467,(585) 334-1800,AF0481A,"DePaul Adult Care Communities, Inc.",370-E-198,120,AH/ALP,NFP
Palisade Gardens,185 Palisade Avenue,Westchester,Yonkers,10703,(914) 966-1300,AF0350A,Israel Orzel,800-F-971,106,AH,PPHA
New South Shore Manor,1041 East 83rd Street,Kings,Brooklyn,11236,(718) 241-7035,AF0332A,George Katz Batsheva Katz David J. Deutsch,331-F-266,74,AH,PPHA
The Village at Mill Landing,45 Mill Road,Monroe,Rochester,14626,(585) 720-3033,AF0748A,WRP Operating Greece LLC,370-S-859,150,EHP,PPHA
Amber Court of Pelham Gardens,1800 Waring Avenue,Bronx,Bronx,10469,(718) 379-4400,AF0285B,"Judith Lynn Home for Adults, LLC",020-F-817,200,AH/ALP,PPHA
Updyke's Willow Ridge Quality Care Facility,131 Hornell Street,Steuben,Hornell,14843,(607) 324-5417,AF0571A,"Updyke, Josephine",690-F-035,40,AH,PPHA
Westminster Manor,81 South Street,Cayuga,Auburn,13021,(315) 252-0507,AF0190A,Cayuga-Syracuse Presbyterian Home for the Elderly,050-E-002,37,AH,NFP
Elderwood Assisted Living at Hamburg,76 Buffalo Street,Erie,Hamburg,14075,(716) 649-7676,AF0548B,"76 Buffalo Street Operating Company, LLC",240-S-117,103,EHP/ALP,PPHA
Pounder Hall EHP,1400 Utica Street,Oneida,Oriskany,13424,(315) 736-1759,AF0095A,"Pounder Hall, Inc.",510-S-062,10,EHP,NFP
Maplewood Assisted Living,205 State Street Road,St. Lawrence,Canton,13617,(315) 386-4541,AF0673A,"United Helpers Canton Nursing Home, Inc",630-E-008,48,AH/ALP,NFP
Mount Alverno Center,20 Grand Street,Orange,Warwick,10990,(845) 986-2267,AF0322A,"St. Francis Center At The Knolls, Inc.",540-E-051,85,AH/ALP,NFP
Garden of Eden Assisted Living Program,1608-1620 Stillwell Avenue,Kings,Brooklyn,11223,(718) 236-5757,AF0251B,"Garden of Eden Home, LLC",331-F-280,201,AH/ALP,PPHA
The Bristal at Garden City,1001 Axinn Avenue,Nassau,Garden City,11530,(516) 570-7010,AF0766A,"EB Care at Garden City, LLC",400-S-330,170,EHP,PPHA
E.R.I.E.  EHP #1 Toomey Abbott Tower,1207 Almond Street,Onondaga,Syracuse,13210,(315) 428-8562,AF0155A,Enriched Resources for the Independent Elderly Inc,520-S-118,95,EHP,NFP
The Bristal at Lake Grove,2995 Middle Country Road,Suffolk,Lake Grove,11755,(631) 676-7580,AF0718B,Lake Grove Senior Care LLC,700-S-311,155,EHP,PPHA
Frewsburg Rest Home,106 West Main Street,Chautauqua,Frewsburg,14738,(716) 483-2876,AF0497B,"Frewsburg Rest Home, Inc.",060-F-035,81,AH/ALP,PPHA
Ashton Place,190 Ashton Court,Ontario,Clifton Springs,14432,(315) 462-3140,AF0634A,"Clifton Park Associates, LLC",530-S-005,60,EHP,PPHA
"Hedgewood Assisted Living, LLC",355 Fishkill Avenue,Dutchess,Beacon,12508,(845) 831-6000,AF0263B,"Hedgewood Assisted Living, LLC",230-F-082,192,AH/ALP,PPHA
Carnegie East House,1844 Second Avenue,New York,New York,10128,(212) 360-2275,AF0598B,"Carnegie East House Housing Development Fund Company, Inc.",420-S-387,112,EHP,NFP
Ideal Senior Living Center,600 High Avenue,Broome,Endicott,13760,(607) 786-7300,AF0065A,Ideal Senior Living Housing Corporation,030-E-039,70,AH/ALP,NFP
Sunrise of North Lynbrook,53 Franklin Avenue,Nassau,Lynbrook,11563,(516) 596-2377,AF0866A,"SZR New York LH, Inc.",400-F-328,138,AH,PPHA
Gables Home for Adults,127 Rider Avenue,Suffolk,Patchogue,11772,(631) 475-3857,AF0250B,"Gables Holding Company, Inc.",700-F-909,24,AH,PPHA
Bridges Cornell Heights - The Tudor,407 Wyckoff Avenue,Tompkins,Ithaca,14850,(607) 257-5777,AF0641A,"Ambrose, Elizabeth Classen",730-F-003,15,AH,PPHA
Morgan Estates,4588 Morgan View Road,Livingston,Geneseo,14454,(585) 243-6000,AF0535A,Peter S. Bruckel,350-F-008,78,AH,PPHA
Family Srvs/Rochester EHP3 Hudson-Ridge Towers,401 Seneca Manor Drive,Monroe,Rochester,14621,(585) 266-5610,AF0496A,"Family Service of Rochester, Inc.",370-S-191,47,EHP,NFP
Sunrise of Holbrook,320 Patchogue-Holbrook Road,Suffolk,Holbrook,11741,(631) 289-8400,AF0820B,"GWC - Holbrook, Inc.",700-F-925,109,AH,PPHA
The W Senior Living at Goshen,46 Harriman Drive,Orange,Goshen,10924,(845) 388-1251,AF0196B,"The W Group of Goshen, LLC",540-F-038,120,AH,PPHA
The Brielle at Seaview,140 Friendship Lane,Richmond,Staten Island,10314,(917) 281-6810,AF0729A,Seaview Senior Living Housing Development Fund Corporation,610-E-012,188,AH,NFP
Sunrise of Plainview,1231 Old Country Road,Nassau,Plainview,11803,(516) 932-5151,AF0836B,"GWC - Plainview, Inc.",400-F-323,65,AH,PPHA
The 80th Street Residence,430 East 80th Street,New York,New York,10075,(212) 717-8888,AF0242B,"Upper East Side Senior Residence, LLC",420-F-379,70,AH,PPHA
The New Swan Lake Adult Home LLC,Route 55 Box 247,Sullivan,Swan Lake,12783,(845) 292-6298,AF0411B,The New Swan Lake Adult Home LLC,710-F-058,27,AH,PPHA
Mary Agnes Manor ALP,307 Porter Avenue,Erie,Buffalo,14201,(716) 881-0565,AF0532B,"Mary Agnes Manor, LLC",240-F-868,230,AH/ALP,PPHA
The Bristal at East Meadow,40 Merrick Ave.,Nassau,East Meadow,11554,(516) 542-0800,AF0416A,"Engel Burman Senior Housing at East Meadow, Inc.",400-S-299,151,EHP,PPHA
Keene Valley Neighborhood House,1782 Route 73,Essex,Keene Valley,12943,(518) 576-4474,AF0070A,"Keene Valley Neighborhood Services, Inc.",260-E-006,50,AH,NFP
Maple House,15 Maple Place,Westchester,Ossining,10562,(914) 941-9415,AF0302A,"Family Services of Westchester, Inc.",800-S-123,25,EHP,NFP
"Central Assisted Living, LLC",1509 Central Avenue,Queens,Far Rockaway,11691,(718) 471-7700,AF0326B,"Central Assisted Living, LLC",590-F-322,186,AH/ALP,PPHA
Brompton Heights,275 Brompton Road,Erie,Williamsville,14221,(716) 634-5734,AF0460A,"Brompton Heights, Inc.",240-F-133,200,AH,PPHA
Castle Senior Living at Forest Hills,108-25 Horace Harding Expressway,Queens,Forest Hills,11368,(718) 760-4600,AF0218D,"Midway A.L., LLC",590-S-307,177,EHP/ALP,PPHA
Braemar Living at Medford,1529 North Ocean Avenue,Suffolk,Medford,11763,(631) 289-0600,AF0660A,Medford Hamlet LLC,700-F-921,200,AH/ALP,PPHA
Cumberland Gardens NY Foundation EHP #6,425 Cumberland Street,Kings,Brooklyn,11201,(718) 623-8181,AF0230A,"New York Foundation for Senior Citizens, Inc.",331-S-003,47,EHP,NFP
Home of the Good Shepherd at Highpointe,26 Rock Rose Way,Saratoga,Malta,12020,(518) 581-2800,AF0613A,"The Church Aid of the Protestant Episcopal Church in the Town of Saratoga Springs, Inc.",640-E-036,86,AH,NFP
Adirondack Manor HFA D.B.A. Willow Park HFA,1550 Herkimer Road,Oneida,Utica,13502,(315) 732-2257,AF0009A,James E. Kane Sr. James E. Kane Jr.,510-F-055,60,AH/ALP,PPHA
Bida Adult Home,4 Washington Park Rd,Chenango,Oxford,13830,(607) 843-6769,AF0017A,William J. Lyons,080-F-010,28,AH,PPHA
The Bristal at Lake Success,69 North Service Road,Nassau,Lake Success,11020,(516) 600-1800,AF0750A,EB Care at Lake Success LLC,400-F-337,110,AH,PPHA
The Hearth on James,830 James Street,Onondaga,Syracuse,13203,(315) 422-2173,AF0612B,"Hearth Management, L.L.C.",520-S-135,60,EHP,PPHA
"The Shores at Peconic Landing Assisted Living Residence, Inc.",1600 Brecknock Road,Suffolk,Greenport,11944,(631) 477-3800,AF0601B,"The Shores at Peconic Landing Assisted Living Residence, Inc.",700-S-298,47,EHP,PPHA
The Eliot at Catskill,122 Jefferson Heights,Greene,Catskill,12414,(518) 943-7100,AF0091C,"The Eliot at Catskill, LLC",300-F-033,98,AH/ALP,PPHA
Woodlawn Commons,156 Lawrence Street,Saratoga,Saratoga Springs,12866,(518) 587-4100,AF0138A,"Woodlawn Apartments, Inc.",640-S-001,42,EHP,PPHA
Eden Heights of West Seneca,3030 Clinton Street,Erie,West Seneca,14224,(716) 822-4466,AF0486B,"Eden Management of West Seneca, Inc.",240-F-848,120,AH,PPHA
Heritage Home for Women,1519 Union Street,Schenectady,Schenectady,12309,(518) 374-6921,AF0058A,Heritage Home For Women,650-E-003,36,AH,NFP
Elderwood Village at Bassett Park,245 Bassett Road,Erie,Williamsville,14221,(716) 688-4011,AF0446D,"245 Bassett Road Operating Company, LLC",240-F-898,105,AH,PPHA
The Regency at Glen Cove,94 School Street,Nassau,Glen Cove,11542,(516) 674-3007,AF0422A,"National Healthplex, Inc.",400-E-290,143,AH,NFP
Birchwood Suites,423 Clay Pitts Road,Suffolk,East Northport,11731,(631) 368-5252,AF0208C,Birchwood Suites Operator LLC,700-F-943,95,AH,PPHA
Atria Crossgate,140 Washington Avenue Extension,Albany,Albany,12203,(518) 869-0211,AF0113B,"ATR New York LH, Inc.",000-S-009,83,EHP,PPHA
NY Found-Sr Citizens EHP#4 Ridge Street Gardens,80-92 Ridge Street,New York,New York,10002,(212) 598-4148,AF0341A,"New York Foundation for Senior Citizens, Inc.",420-S-375,47,EHP,NFP
Holbrook Adult Home,73 North Street,Washington,Granville,12832,(518) 642-3476,AF0062C,"73 North of Granville, Inc.",760-F-014,33,AH,PPHA
The Eliot at New Rochelle,41 Lockwood Ave.,Westchester,New Rochelle,10801,(914) 303-9710,AF0331C,"The Eliot at New Rochelle, LLC",800-F-011,200,AH/ALP,PPHA
Quail Summit,5102 Parrish Street Ext.,Ontario,Canandaigua,14424,(585) 396-1010,AF0545A,"Quail Summit, Inc.",530-S-001,55,EHP,NFP
Dutchess Care,186 Washington Street,Dutchess,Poughkeepsie,12601,(845) 471-7930,AF0239A,Azzy Reckess Paula Reckess,230-F-044,92,AH/ALP,PPHA
Arkell Hall,55 Montgomery Street,Montgomery,Canajoharie,13317,(518) 673-5514,AF0014A,Arkell Hall Foundation,380-E-002,24,AH,NFP
Brookdale Bellevue,4330 Onondaga Boulevard,Onondaga,Syracuse,13219,(315) 468-5108,AF0148C,"Painted Post, LLC",520-F-163,91,AH,PPHA
