Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal,Date Accessed
Abbewood Assisted Living The,OHL40131,2406R,4403668980,argilgenbach@centurypa.com,1210 SOUTH ABBE ROAD,Elyria,OH,44035,Lorain,75,"ELYRIA RETIREMENT INVESTORS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Abbington Arlington Assisted Living,OHL01187,2193R,6144514575,mike@abbingtononline.com,1320 OLD HENDERSON ROAD,Columbus,OH,43220,Franklin,48,ABBINGTON ARLINGTON PARTNERS LIMITED PARTNER,RESIDENTIAL CARE FACILITY,6/29/21
Abbington Of Pickerington Partners,OHL39990,2286R,6145770822,mike@abbingtononline.com,9480 BLACKLICK-EASTERN ROAD,Pickerington,OH,43147,Fairfield,54,ABBINGTON PICKERINGTON PARTNERS LIMITED PARTNERSHI,RESIDENTIAL CARE FACILITY,6/29/21
Abbington Of Powell,OHL499867,2363R,6147899868,katie@abbingtononline.com,3971 BRADFORD COURT,Powell,OH,43065,Delaware,54,ABBINGTON  POWELL PARTNERS LIMITED PARTNERSHIP,RESIDENTIAL CARE FACILITY,6/29/21
Aberdeen Crossings,OHL41215,2543R,4404600686,jocelynz@walsdc.com,399 BISHOP ROAD,Cleveland,OH,44143,Cuyahoga,99,"ABERDEEN COMMONS ASSISTED LIVING, LTD.",RESIDENTIAL CARE FACILITY,6/29/21
"Abode Advantage, Llc",OHL42281,2900R,5137622633,ghagan@abodeadvantage.com,7901 SOUTH STATE ROUTE 48,Maineville,OH,45039,Warren,14,"ABODE ADVANTAGE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Algart Health Care,OHL00027,0588R,2166311550,administrator@algart.com,8902 DETROIT AVENUE,Cleveland,OH,44102,Cuyahoga,47,"ALGART HEALTH CARE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Allan-Dell The,OHL00395,1851R,3304208753,tmaroni@hollandmgmt.com,2200 MILTON BLVD.,Newton Falls,OH,44444,Trumbull,36,"HOOBERRY & ASSOCIATES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Allay Senior Care Of Meyers Lake,OHL42067,2794R,3304546914,ddamico@outlook.com,3328 & 3332 13TH STREET NW,Canton,OH,44708,Stark,32,"D'AMICO SENIOR HEALTH CARE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Alois Alzheimer Center The,OHL01890,1799R,5136051000,lbrockman@hcmg.com,70 DAMON ROAD,Cincinnati,OH,45218,Hamilton,20,,RESIDENTIAL CARE FACILITY,6/29/21
Alpine House Of Columbus,OHL41716,2640R,6145053531,info@alpinehouse.net,1001 SCHROCK ROAD,Columbus,OH,43229,Franklin,55,,RESIDENTIAL CARE FACILITY,6/29/21
Alpine House Of Maple Heights,OHL42286,2903R,2164047448,info@alpinehouse.net,5500 NORTHFIELD ROAD,Maple Heights,OH,44137,Cuyahoga,99,"ALPINE HOUSE OF MAPLE HEIGHTS, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Alpine House Of Ravenna,OHL41879,2705R,3302977000,jwells@thesaigroup.org,7000 STATE ROUTE 88,Ravenna,OH,44266,Portage,36,"ALPINE HOUSE OF RAVENNA, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Alpine House Of Toledo,OHL41377,2565R,4195760183,joewellsot@yahoo.com,2901 TREMAINSVILLE RD,Toledo,OH,43613,Lucas,32,"ALPINE HOUSE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Alpine House Of West Union,OHL42305,2912R,9377794990,info@alpinehouse.net,210 NORTH WILSON DRIVE,West Union,OH,45693,Adams,80,"ALPINE HOUSE OF WEST UNION, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Alpine Village Assisted Living,OHL39983,2323R,4195921688,jkirkendall@genacross.org,1032 PERRY STREET,Napoleon,OH,43545,Henry,44,"LUTHERAN ORPHANS AND OLD FOLKS HOME, INC. #2",RESIDENTIAL CARE FACILITY,6/29/21
"Altercare Newark South Al, Inc",OHL41318,2555R,7403459197,scleary@altercareonline.net,17 FORRY STREET,Newark,OH,43055,Licking,9,NEWARK NH LLC,RESIDENTIAL CARE FACILITY,6/29/21
Ambassador Suites At Forum/Knightsbridge,OHL00979,1921R,6144516793,licensing@5ssl.com,4590 KNIGHTSBRIDGE BLVD,Columbus,OH,43214,Franklin,59,"SNH OHIO TENANT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Amber Park Assisted Living,OHL41263,2550R,6148343113,jhenry@hawthorncg.com,401 HILL ROAD NORTH,Pickerington,OH,43147,Fairfield,172,PICKERINGTON ASSISTED LIVING LLC,RESIDENTIAL CARE FACILITY,6/29/21
American House Macedonia,OHL41881,2707R,3308138855,macedonia@americanhouse.com,8400 SOUTH BEDFORD ROAD,Macedonia,OH,44056,Summit,140,HSRE-AHR MACEDONIA TRS LLC,RESIDENTIAL CARE FACILITY,6/29/21
Amherst Manor,OHL00387,0416R,4409884415,kgollinger@sprengerhealthcare.com,175 NORTH LAKE STREET,Amherst,OH,44001,Lorain,36,AUTUMN AEGIS INC,RESIDENTIAL CARE FACILITY,6/29/21
Amherst Meadows Care Center,OHL41594,2388R,3308308500,emoore@amherstmeadowscarecenter.com,1610 FIRST STREET NE,Massillon,OH,44646,Stark,44,"AMHERST ALLIANCE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Anchor Lodge Limited,OHL00026,0556R,4402442019,rcarroll@sprengerhealthcare.com,3756 WEST ERIE AVENUE,Lorain,OH,44053,Lorain,80,"ANCHOR LODGE NURSING HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Ancora At Mount Alverna Village,OHL42180,2855R,4408437800,pwelsh@franciscancommunities.org,6763 STATE ROAD,Parma,OH,44134,Cuyahoga,42,"FRANCISCAN COMMUNITIES, INC. II",RESIDENTIAL CARE FACILITY,6/29/21
"Anna Maria Of Aurora, Inc.",OHL00015,0062R,3305626171,pwilliams@annamariaofaurora.com,889 NORTH AURORA ROAD,Aurora,OH,44202,Portage,106,"ANNA MARIA OF AURORA, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Anthology Of Anderson Township,OHL42182,2856R,5139093160,ihecht@stonecrestseniorliving.com,6849 BEECHMONT AVENUE,Cincinnati,OH,45230,Hamilton,99,"CA SENIOR ANDERSON TOWNSHIP OPERATOR, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Anthology Of Mason,OHL42049,2786R,5138981287,nderminio@anthologyseniorliving.com,5373 MERTEN DRIVE,Mason,OH,45040,Warren,115,"CA SENIOR MASON OPERATOR, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Anthology Of Mayfield,OHL42265,2891R,4407961472,kwosotowsky@anthologyseniorliving.com,6200 LANDERHAVEN DRIVE,Mayfield Heights,OH,44124,Cuyahoga,132,"CA SENIOR MAYFIELD OPERATOR, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Antonine Village,OHL41835,2681R,3305389822,anto9srs@aol.com,2675 NORTH LIPKEY ROAD,North Jackson,OH,44451,Mahoning,73,"ANTONINE MARONITE SISTERS OF YOUNGSTOWN, INC.",RESIDENTIAL CARE FACILITY,6/29/21
"Apostolic Christian Home, Inc.",OHL00039,1610R,3309271010,administrator@apostolichome.com,10680 STEINER ROAD,Rittman,OH,44270,Wayne,24,"APOSTOLIC CHRISTIAN HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Arbors At Milford,OHL01629,1832R,5132481655,chudson@prestigehcm.com,5900 MEADOWCREEK DRIVE,Milford,OH,45150,Clermont,42,"OH SNF MILFORD OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Arden Courts (Anderson),OHL3282,2307R,5132330831,shannon.schwarm@hcr-manorcare.com,6870 CLOUGH PIKE,Cincinnati,OH,45244,Hamilton,60,"ARDEN COURTS ANDERSON OF CINCINNATI OH, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Arden Courts (Bath),OHL00425,2259R,3306686889,5358-admin@hcr-manorcare.com,171 N. CLEVELAND MASSILLON ROAD,Akron,OH,44333,Summit,56,HCR-MANOR CARE,RESIDENTIAL CARE FACILITY,6/29/21
Arden Courts (Chagrin Falls),OHL00413,2243R,4405436766,5323-admin@hcr-manorcare.com,8100 EAST WASHINGTON STREET,Bainbridge,OH,44023,Geauga,64,"ARDEN COURTS BAINBRIDGE OF CHAGRIN FALLS OH, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Arden Courts (Kenwood),OHL32927,2304R,5137459600,andrew.mosher@hcr-manorcare.com,4580 E GALBRAITH ROAD,Kenwood,OH,45236,Hamilton,62,"ARDEN COURTS OF KENWOOD OH, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Arden Courts (Parma),OHL00408,2234R,4408865858,5313-admin@hcr-manorcare.com,9205 SPRAGUE ROAD,Parma,OH,44133,Cuyahoga,59,"ARDEN COURTS OF PARMA OH, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Arden Courts (Westlake),OHL00367,2117R,4408089275,juadams@hcr-manorcare.com,28400 CENTER RIDGE ROAD,Westlake,OH,44145,Cuyahoga,64,"ARDEN COURTS OF WESTLAKE OH, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Armstrong Memory Care Assisted Living,OHL41976,2752R,2348063320,dyankle@windsorhouseinc.com,2 WINDSOR PLACE,Warren,OH,44483,Trumbull,44,"ARMSTRONG MEMORY CARE ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Artis Senior Living Of Bridgetown,OHL41985,2757R,5138321597,jtepe@artismgmt.com,5799 BRIDGETOWN ROAD,Cincinnati,OH,45248,Hamilton,64,"ARTIS SENIOR LIVING OF GREEN TOWNSHIP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Artis Senior Living Of Mason,OHL41845,2687R,5132297450,dkloenne@artismgmt.com,6200 SNIDER ROAD,Mason,OH,45040,Warren,64,"ARTIS SLM OF MASON, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Ashford At Sturbridge, The",OHL42148,2838R,6146334811,ashfordatsturbridge@wallick.com,3700 STURBRIDGE COURT,Hilliard,OH,43026,Franklin,165,"ASHFORD AT STURBRIDGE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Ashford Of Grove City,OHL42298,2908R,6143628169,ashfordgrovecity@wallick.com,3197 SOUTHWEST BLVD,Grove City,OH,43123,Franklin,165,"ASHFORD OF GROVE CITY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Ashford Of Mount Washington The,OHL41963,2746R,5132310008,info@theashfordofmtwashington.com,1131 DELIQUIA DRIVE,Cincinnati,OH,45230,Hamilton,135,"THE ASHFORD AT MT. WASHINGTON, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Ashford On Broad The,OHL41945,2738R,6146412995,info@theashfordonbroad.com,4801 EAST BROAD STREET,Columbus,OH,43213,Franklin,165,"WHITEHALL ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Ashley Place,OHL03217,2322R,5136591048,bwenning@hillandale.com,8073 TYLERSVILLE ROAD,West Chester,OH,45069,Butler,133,"ASHLEY PLACE CARE, LTD",RESIDENTIAL CARE FACILITY,6/29/21
"Ashley Place At Doverwood, Llc",OHL41628,2608R,5138682266,jbrown@hillandale.com,4195 HAMILTON - MASON ROAD,Hamilton,OH,45011,Butler,42,"ASHLEY PLACE AT DOVERWOOD, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Assisted Living Ministry Services, Llc",OHL41425,2570R,3303850700,assistedlivingministryservices@gmail.com ,650 ST CLAIR AVENUE,East Liverpool,OH,43920,Columbiana,17,"ASSISTED LIVING MINISTRY SERVICES, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Astor House, A Villa Center",OHL00883,1823R,4198662164,tblakely@villahc.com,1125 CLARION AVENUE,Holland,OH,43528,Lucas,61,"SPRING MEADOWS EXTENDED CARE FACILITY, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Athenian Assisted Living,OHL02954,2321R,4408771900,advanceamb@aol.com,12799 DOULA LANE,North Royalton,OH,44133,Cuyahoga,100,DOULA GAITANAROS,RESIDENTIAL CARE FACILITY,6/29/21
Atrium At Anna Maria The,OHL41746,2651R,3305627777,nlippencott@annamariaofaurora.com,800 NORTH AURORA ROAD,Aurora,OH,44202,Portage,64,,RESIDENTIAL CARE FACILITY,6/29/21
Austintown Healthcare Center,OHL00050,1892R,3307927799,msebest@chs-corp.com,650 SOUTH MERIDIAN ROAD,Youngstown,OH,44509,Mahoning,26,ESSEX HEALTHCARE CORPORATION,RESIDENTIAL CARE FACILITY,6/29/21
Avenue Assisted Living,OHL40663,2462R,4409306600,bmalanowski@sprengerhealthcare.com,400 COMMUNITY DRIVE,Avon Lake,OH,44012,Lorain,174,"TOWNE ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Avenue At Wooster Assisted Living,OHL42097,2810R,3306011001,lpolasko@avenueatwooster.com,1700 EAST SMITHVILLE WESTERN ROAD,Wooster,OH,44691,Wayne,50,"PROGRESSIVE WOOSTER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Barrington Of Oakley,OHL41254,2548R,5135619100,clang@seniorlifestyle.com,4855 BABSON PLACE,Cincinnati,OH,45227,Hamilton,212,"SLH OAKLEY MANAGER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Barrington Of West Chester,OHL40892,2495R,5137774457,swehrman@seniorlifestyle.com,7222 HERITAGESPRING DRIVE,West Chester,OH,45069,Butler,210,"SLH WEST CHESTER MANAGER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Bayley Senior Care,OHL01641,1937R,5133474170,paul.kocsis@srcharitycinti.org,990 BAYLEY DRIVE,Cincinnati,OH,45233,Hamilton,167,SENIOR CARE CORPORATION,RESIDENTIAL CARE FACILITY,6/29/21
"Beachwood Commons Assisted Living, Ltd",OHL41885,2709R,2162951700,karries@walsdc.com,3995 GREEN ROAD,Beachwood,OH,44122,Cuyahoga,114,"BEACHWOOD COMMONS ASSISTED LIVING, LTD",RESIDENTIAL CARE FACILITY,6/29/21
Beehive Homes Of Springboro,OHL42161,2845R,9373501211,asharp.beehivehomes@gmail.com,1325 W LYTLE FIVE POINTS ROAD,Springboro,OH,45066,Warren,48,"LIFESTYLE GARDENS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Bell Gardens Place,OHL01917,2126R,9373938830,bwillcocks@enlivant.com,251 HARRY SAUNDER ROAD,Hillsboro,OH,45133,Highland,50,HIGHLAND AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Belmont Tower,OHL02982,2336R,4192891585,mbartholomew@brethrencarevillage.org,2140 CENTER STREET,Ashland,OH,44805,Ashland,80,"BRETHREN CARE VILLAGE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Belpre Landing Nursing And Rehabilitation Center,OHL41931,2730R,7402812192,bparsons@continuinghc.com,1915 HILL STREET,Belpre,OH,45714,Washington,24,"BELPRE LANDING NURSING & REHABILITATION, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Belvedere Of Westlake The,OHL32938,2318R,4408354000,apahler@rae-ann.net,29591 DETROIT ROAD,Westlake,OH,44145,Cuyahoga,66,"THE BELVEDERE OF WESTLAKE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Berkeley Square Retirement Center,OHL01960,2063R,5138568600,msitchanoff@community-first.org,100 BERKELEY DRIVE,Hamilton,OH,45013,Butler,92,FORT HAMILTON HEALTHCARE CORPORATION,RESIDENTIAL CARE FACILITY,6/29/21
Bethany,OHL01477,1433R,3304927171,jabaum@bethanynh.com,"626 34TH STREET, NW",Canton,OH,44709,Stark,36,"BETHANY NURSING HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Bethany Place,OHL41759,2656R,4193345500,bpeiffer@genacross.org,916 NORTH STREET,Fremont,OH,43420,Sandusky,16,"LUTHERAN HOMES SOCIETY, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Bethany Village,OHL500117,0632R,9374366841,lcoyle@graceworks.org,6445 FAR HILLS AVENUE,Centerville,OH,45459,Montgomery,195,GRACEWORKS LUTHERAN SVS,RESIDENTIAL CARE FACILITY,6/29/21
Bickford Of Bexley,OHL00983,1976R,6142353900,molly.britt@bickfordseniorliving.com,2600 EAST MAIN STREET,Bexley,OH,43209,Franklin,75,SUNRISE SENIOR LIVING MANAGEMENT INC,RESIDENTIAL CARE FACILITY,6/29/21
Bickford Of Lancaster,OHL40602,2461R,7406899944,emily.lightbody@bickfordseniorliving.com,1834 COUNTRY SIDE DRIVE,Lancaster,OH,43130,Fairfield,113,"BICKFORD OF LANCASTER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Bickford Of Middletown,OHL41133,2534R,9375504911,kenetta.lawson@bickfordseniorliving.com,4375 UNION ROAD,Middletown,OH,45005,Warren,151,"BICKFORD OF MIDDLETOWN, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Bickford Of Rocky River,OHL00390,2190R,4403569797,cheyenne.wurm@bickfordseniorliving.com,21600 DETROIT ROAD,Rocky River,OH,44116,Cuyahoga,72,"BICKFORD OF ROCKY RIVER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Bickford Of Scioto,OHL00986,1994R,6144573500,susan.walker@bickfordseniorliving.com,3500 RIVERSIDE DRIVE,Upper Arlington,OH,43221,Franklin,75,"BICKFORD OF SCIOTO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Bickford Of Worthington,OHL00988,2013R,6148466500,matt.kelly@bickfordseniorliving.com,6525 NORTH HIGH STREET,Worthington,OH,43085,Franklin,105,"BICKFORD OF WORTHINGTON, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Birch Place,OHL01891,1461R,9373924318,sandy.leedy@hcmg.com,5280 US ROUTES 62 & 68,Ripley,OH,45167,Brown,32,"OVM INVESTMENT GROUP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Birchaven Heights,OHL50058,2383R,4194253233,bmundy@bvhealthsystem.org,15100 BIRCHAVEN LANE,Findlay,OH,45840,Hancock,169,BLANCHARD VALLEY CONTINUING CARE SERVICES,RESIDENTIAL CARE FACILITY,6/29/21
Blanchard Place,OHL00845,2119R,4196739821,bberger@enlivant.com,825 RICHARD LANE,Kenton,OH,43326,Hardin,41,BLANCHARD AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Bloom At Lakewood,OHL00074,2014R,2162282266,admin@bloomatlakewood.com,1341 MARLOWE AVENUE,Lakewood,OH,44107,Cuyahoga,121,"BLOOMFIELD SENIOR LIVING OF LAKEWOOD, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Bluebird Retirement Community,OHL41836,2682R,7405060937,fheckel@bluebirdretirement.com,2260 ST RT 56 SW,London,OH,43140,Madison,130,"BLUEBIRD RETIREMENT COMMUNITY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Bluebird Retirement Community,OHL42021,2773R,9376456900,fheckel@bluebirdretirement.com,145 COLEMANS CROSSING BLVD,Marysville,OH,43040,Union,125,"BLUEBIRD MARYSVILLE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brethren Retirement Community,OHL500104,0543R,9375478000,john.warner@bhrc.org,750 CHESTNUT STREET,Greenville,OH,45331,Darke,210,BRETHREN'S HOME RETIREMENT COMMUNITY,RESIDENTIAL CARE FACILITY,6/29/21
Briar Hill Health Campus,OHL00854,1652R,4192572421,amber.morris@briarhillhc.com,600 STERLING DRIVE,North Baltimore,OH,45872,Wood,30,"TRILOGY HEALTHCARE OF NORTH BALTIMORE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Briarfield Manor,OHL02955,0607R,3302703468,kmcguire@briarfield.net,461 SOUTH CANFIELD-NILES ROAD,Austintown,OH,44515,Mahoning,36,"EDJ, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Briarwood The,OHL00064,1963R,3306881828,licensing@providencehcm.com,3700 ENGLEWOOD DRIVE,Stow,OH,44224,Summit,160,"BRIARWOOD LEASING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Briarwood Village,OHL41107,2526R,4196782311,administrator@briarwood-village.com,100 DON DESCH DRIVE,Coldwater,OH,45828,Mercer,144,"HCF OF BRIARWOOD, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Bridgeway Pointe,OHL39979,2306R,5134184371,amanda.dunford@uchealth.com,165 WEST GALBRAITH ROAD,Cincinnati,OH,45216,Hamilton,114,"DRAKE DEVELOPMENT, INC.",RESIDENTIAL CARE FACILITY,6/29/21
