Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal
ABBEWOOD ASSISTED LIVING THE,OHL40131,2406R,4403668980,argilgenbach@centurypa.com,1210 SOUTH ABBE ROAD,ELYRIA,OH,44035,LORAIN,75,"ELYRIA RETIREMENT INVESTORS, LLC",Residential Care Facility
ABBINGTON ARLINGTON ASSISTED LIVING,OHL01187,2193R,6144514575,mike@abbingtononline.com,1320 OLD HENDERSON ROAD,COLUMBUS,OH,43220,FRANKLIN,48,ABBINGTON ARLINGTON PARTNERS LIMITED PARTNER,Residential Care Facility
ABBINGTON ARLINGTON ASSISTED LIVING,OHL01187,2193R,6144514575,mike@abbingtononline.com,1320 OLD HENDERSON ROAD,COLUMBUS,OH,43220,FRANKLIN,48,MARK T. HAMMERLE,Residential Care Facility
ABBINGTON ARLINGTON ASSISTED LIVING,OHL01187,2193R,6144514575,mike@abbingtononline.com,1320 OLD HENDERSON ROAD,COLUMBUS,OH,43220,FRANKLIN,48,DIANE HAEMMERLE,Residential Care Facility
ABBINGTON OF PICKERINGTON PARTNERS,OHL39990,2286R,6145770822,mike@abbingtononline.com,9480 BLACKLICK-EASTERN ROAD,PICKERINGTON,OH,43147,FAIRFIELD,54,ABBINGTON PICKERINGTON PARTNERS LIMITED PARTNERSHI,Residential Care Facility
ABBINGTON OF PICKERINGTON PARTNERS,OHL39990,2286R,6145770822,mike@abbingtononline.com,9480 BLACKLICK-EASTERN ROAD,PICKERINGTON,OH,43147,FAIRFIELD,54,ABBINGTON PICKERINGTON PARTNERS LIMITED,Residential Care Facility
ABBINGTON OF POWELL,OHL499867,2363R,6147899868,katie@abbingtononline.com,3971 BRADFORD COURT,POWELL,OH,43065,DELAWARE,54,ABBINGTON  POWELL PARTNERS LIMITED PARTNERSHIP,Residential Care Facility
ABERDEEN CROSSINGS,OHL41215,2543R,4404600686,jocelynz@walsdc.com,399 BISHOP ROAD,CLEVELAND,OH,44143,CUYAHOGA,99,"ABERDEEN COMMONS ASSISTED LIVING, LTD.",Residential Care Facility
"ABODE ADVANTAGE, LLC",OHL42281,2900R,5137622633,ghagan@abodeadvantage.com,7901 SOUTH STATE ROUTE 48,MAINEVILLE,OH,45039,WARREN,14,"ABODE ADVANTAGE, LLC",Residential Care Facility
ALGART HEALTH CARE,OHL00027,0588R,2166311550,administrator@algart.com,8902 DETROIT AVENUE,CLEVELAND,OH,44102,CUYAHOGA,47,"ALGART HEALTH CARE, INC.",Residential Care Facility
ALGART HEALTH CARE,OHL00027,0588R,2166311550,administrator@algart.com,8902 DETROIT AVENUE,CLEVELAND,OH,44102,CUYAHOGA,47,GARTH IRELAND,Residential Care Facility
ALLAN-DELL THE,OHL00395,1851R,3304208753,tmaroni@hollandmgmt.com,2200 MILTON BLVD.,NEWTON FALLS,OH,44444,TRUMBULL,36,"HOOBERRY & ASSOCIATES, INC.",Residential Care Facility
ALLAY SENIOR CARE OF MEYERS LAKE,OHL42067,2794R,3304546914,ddamico@outlook.com,3328 & 3332 13TH STREET NW,CANTON,OH,44708,STARK,32,"D'AMICO SENIOR HEALTH CARE, LLC",Residential Care Facility
ALOIS ALZHEIMER CENTER THE,OHL01890,1799R,5136051000,lbrockman@hcmg.com,70 DAMON ROAD,CINCINNATI,OH,45218,HAMILTON,20,,Residential Care Facility
ALPINE HOUSE OF COLUMBUS,OHL41716,2640R,6145053531,info@alpinehouse.net,1001 SCHROCK ROAD,COLUMBUS,OH,43229,FRANKLIN,55,,Residential Care Facility
ALPINE HOUSE OF MAPLE HEIGHTS,OHL42286,2903R,2164047448,info@alpinehouse.net,5500 NORTHFIELD ROAD,MAPLE HEIGHTS,OH,44137,CUYAHOGA,99,"ALPINE HOUSE OF MAPLE HEIGHTS, INC.",Residential Care Facility
ALPINE HOUSE OF RAVENNA,OHL41879,2705R,3302977000,jwells@thesaigroup.org,7000 STATE ROUTE 88,RAVENNA,OH,44266,PORTAGE,36,"ALPINE HOUSE OF RAVENNA, INC.",Residential Care Facility
ALPINE HOUSE OF TOLEDO,OHL41377,2565R,4195760183,joewellsot@yahoo.com,2901 TREMAINSVILLE RD,TOLEDO,OH,43613,LUCAS,32,"ALPINE HOUSE, INC.",Residential Care Facility
ALPINE HOUSE OF WEST UNION,OHL42305,2912R,9377794990,info@alpinehouse.net,210 NORTH WILSON DRIVE,WEST UNION,OH,45693,ADAMS,80,"ALPINE HOUSE OF WEST UNION, INC.",Residential Care Facility
