NAME,FACID,STATEID,MCARE_ID,TELEPHONE,FAXPHONE,FACEMAIL,ABBREV,ADDRESS,FAC_CITY,FAC_ST,FAC_ZIP,FACTYPE,OPERSTDESC,CLOSEDDATE,CNTYNAME,LIC_BED_TOTAL,OPENDATE,BED_EFFECTIVE_DATE,CERT_BED_TOTAL,OWNCOMP,OWNPHONE,OWNADDR,OWNCITY,OWNST,OWNZIP,PRIMARYOWN,OWNEROFCODE
ABBEWOOD ASSISTED LIVING THE,OHL40131,2406R,,4403668980,4403658461,argilgenbach@centurypa.com,SL-R,1210 SOUTH ABBE ROAD,ELYRIA,OH,44035,L12,ACTIVE,,LORAIN,75,4/27/04,5/4/04,0,"ELYRIA RETIREMENT INVESTORS, LLC",,1210 SOUTH ABBE ROAD,ELYRIA,OH,44035,1,2
ABBINGTON ARLINGTON ASSISTED LIVING,OHL01187,2193R,,6144514575,6144513821,mike@abbingtononline.com,SL-R,1320 OLD HENDERSON ROAD,COLUMBUS,OH,43220,L12,ACTIVE,,FRANKLIN,48,7/15/98,1/11/02,0,ABBINGTON ARLINGTON PARTNERS LIMITED PARTNER,6148895002,1320 OLD HENDERSON RD,COLUMBUS,OH,43220,1,1
ABBINGTON ARLINGTON ASSISTED LIVING,OHL01187,2193R,,6144514575,6144513821,mike@abbingtononline.com,SL-R,1320 OLD HENDERSON ROAD,COLUMBUS,OH,43220,L12,ACTIVE,,FRANKLIN,48,7/15/98,1/11/02,0,MARK T. HAMMERLE,,,,,,0,2
ABBINGTON ARLINGTON ASSISTED LIVING,OHL01187,2193R,,6144514575,6144513821,mike@abbingtononline.com,SL-R,1320 OLD HENDERSON ROAD,COLUMBUS,OH,43220,L12,ACTIVE,,FRANKLIN,48,7/15/98,1/11/02,0,DIANE HAEMMERLE,,,,,,0,2
ABBINGTON OF PICKERINGTON PARTNERS,OHL39990,2286R,,6145770822,6148563083,mike@abbingtononline.com,SL-R,9480 BLACKLICK-EASTERN ROAD,PICKERINGTON,OH,43147,L12,ACTIVE,,FAIRFIELD,54,11/28/00,1/18/08,0,ABBINGTON PICKERINGTON PARTNERS LIMITED PARTNERSHI,,,,,,0,2
ABBINGTON OF PICKERINGTON PARTNERS,OHL39990,2286R,,6145770822,6148563083,mike@abbingtononline.com,SL-R,9480 BLACKLICK-EASTERN ROAD,PICKERINGTON,OH,43147,L12,ACTIVE,,FAIRFIELD,54,11/28/00,1/18/08,0,ABBINGTON PICKERINGTON PARTNERS LIMITED,,,,,,1,
ABBINGTON OF POWELL,OHL499867,2363R,,6147899868,6147899816,katie@abbingtononline.com,SL-R,3971 BRADFORD COURT,POWELL,OH,43065,L12,ACTIVE,,DELAWARE,54,2/21/03,1/18/08,0,ABBINGTON  POWELL PARTNERS LIMITED PARTNERSHIP,,,,,,1,2
ABERDEEN CROSSINGS,OHL41215,2543R,,4404600686,4406468967,jocelynz@walsdc.com,SL-R,399 BISHOP ROAD,CLEVELAND,OH,44143,L12,ACTIVE,,CUYAHOGA,99,7/30/09,7/30/09,0,"ABERDEEN COMMONS ASSISTED LIVING, LTD.",,,,,,1,
"ABODE ADVANTAGE, LLC",OHL42281,2900R,,5137622633,,ghagan@abodeadvantage.com,SL-R,7901 SOUTH STATE ROUTE 48,MAINEVILLE,OH,45039,L12,ACTIVE,,WARREN,14,9/8/20,9/8/20,0,"ABODE ADVANTAGE, LLC",,7905 SOUTH STATE ROUTE 48,MAINEVILLE,OH,45039,1,2
ALGART HEALTH CARE,OHL00027,0588R,,2166311550,2166312343,administrator@algart.com,SL-R,8902 DETROIT AVENUE,CLEVELAND,OH,44102,L12,ACTIVE,,CUYAHOGA,47,3/10/63,11/7/07,0,"ALGART HEALTH CARE, INC.",2166311550,8902 DETROIT AVE,CLEVELAND,OH,44109,1,
ALGART HEALTH CARE,OHL00027,0588R,,2166311550,2166312343,administrator@algart.com,SL-R,8902 DETROIT AVENUE,CLEVELAND,OH,44102,L12,ACTIVE,,CUYAHOGA,47,3/10/63,11/7/07,0,GARTH IRELAND,,1867 EAST 82ND,CLEVELAND,OH,44103,0,
ALLAN-DELL THE,OHL00395,1851R,,3304208753,3308720189,tmaroni@hollandmgmt.com,SL-R,2200 MILTON BLVD.,NEWTON FALLS,OH,44444,L12,ACTIVE,,TRUMBULL,36,7/15/98,1/24/02,0,"HOOBERRY & ASSOCIATES, INC.",3308721990,2200 MILTON BLVD,NEWTON FALLS,OH,44444,0,2
ALLAY SENIOR CARE OF MEYERS LAKE,OHL42067,2794R,,3304546914,3304547986,ddamico@outlook.com,SL-R,3328 & 3332 13TH STREET NW,CANTON,OH,44708,L12,ACTIVE,,STARK,32,3/13/18,3/13/18,0,"D'AMICO SENIOR HEALTH CARE, LLC",,,,,,1,2
