Facility ID,Facility Name,City,State,County,Email Address,Phone Number,Capacity,State Facility Type 1 Literal
AL7201,ABERDEEN HEIGHTS ASSISTED LIVING COMMUNITY,TULSA,OK,TULSA,Abeatt@aberdeenheights.com,9184960123,96,Assisted Living Facilities
AL7258,ABERDEEN MEMORY CARE OF TULSA,TULSA,OK,TULSA,jrose@sagora.com,9185912525,66,Assisted Living Facilities
AL2002,ANGELWOOD ASSISTED LIVING AND MEMORY CARE,CLINTON,OK,CUSTER,mcarter@seniorlifestyle.com,5803230990,45,Assisted Living Facilities
AL1405,ARBOR HOUSE ASSISTED LIVING CENTER,NORMAN,OK,CLEVELAND,shaye@arborhouseliving.com,4052929200,62,Assisted Living Facilities
AL5530,ARBOR HOUSE ASSISTED LIVING OF MIDWEST CITY,MIDWEST CITY,OK,OKLAHOMA,shaye@arborhouseliving.com,4054553900,65,Assisted Living Facilities
AL0903,ARBOR HOUSE ASSISTED LIVING OF MUSTANG,MUSTANG,OK,CANADIAN,shaye@arborhouseliving.com,4053762872,65,Assisted Living Facilities
AL1408,ARBOR HOUSE REMINISCE,NORMAN,OK,CLEVELAND,tonya@arborhouseliving.com,4053102499,48,Assisted Living Facilities
AL4201,ASH STREET PLACE,GUTHRIE,OK,LOGAN,thastings@companionhealth.net,4052822000,37,Assisted Living Facilities
AL6902,ASHBROOK VILLAGE,DUNCAN,OK,STEPHENS,hweaver@oxfordseniorliving.com,5802528300,43,Assisted Living Facilities
AL5598,AUTUMN LEAVES OF EDMOND,EDMOND,OK,OKLAHOMA,klandis@lasallegroup.com,4053411450,50,Assisted Living Facilities
AL5543,AUTUMN LEAVES OF SOUTHWEST OKLAHOMA CITY,OKLAHOMA CITY,OK,CLEVELAND,apompa@jmfm.com,4052377070,50,Assisted Living Facilities
AL7238,AUTUMN LEAVES OF TULSA,TULSA,OK,TULSA,ddwise@autumnleaves.com,9182491300,46,Assisted Living Facilities
AL6701,AVONLEA COTTAGE OF SEMINOLE,SEMINOLE,OK,SEMINOLE,vicky@unitedresource.biz,4053824450,33,Assisted Living Facilities
