4/12/21,189,Assisted Living Facilities,,,,,,,
FACID,NAME,FAC_CITY,FAC_ST,CNTYNAME,FACEMAIL,TELEPHONE,FACTYPE,ABBREV,BEDTOTAL
AL7201,ABERDEEN HEIGHTS ASSISTED LIVING COMMUNITY,TULSA,OK,TULSA,Abeatt@aberdeenheights.com,9184960123,43S,ALC,96
AL7258,ABERDEEN MEMORY CARE OF TULSA,TULSA,OK,TULSA,jrose@sagora.com,9185912525,43S,ALC,66
AL2002,ANGELWOOD ASSISTED LIVING AND MEMORY CARE,CLINTON,OK,CUSTER,mcarter@seniorlifestyle.com,5803230990,43S,ALC,45
AL1405,ARBOR HOUSE ASSISTED LIVING CENTER,NORMAN,OK,CLEVELAND,shaye@arborhouseliving.com,4052929200,43S,ALC,62
AL5530,ARBOR HOUSE ASSISTED LIVING OF MIDWEST CITY,MIDWEST CITY,OK,OKLAHOMA,shaye@arborhouseliving.com,4054553900,43S,ALC,65
AL0903,ARBOR HOUSE ASSISTED LIVING OF MUSTANG,MUSTANG,OK,CANADIAN,shaye@arborhouseliving.com,4053762872,43S,ALC,65
AL1408,ARBOR HOUSE REMINISCE,NORMAN,OK,CLEVELAND,tonya@arborhouseliving.com,4053102499,43S,ALC,48
AL4201,ASH STREET PLACE,GUTHRIE,OK,LOGAN,thastings@companionhealth.net,4052822000,43A,ALC-AC,37
AL6902,ASHBROOK VILLAGE,DUNCAN,OK,STEPHENS,hweaver@oxfordseniorliving.com,5802528300,43S,ALC,43
AL5598,AUTUMN LEAVES OF EDMOND,EDMOND,OK,OKLAHOMA,klandis@lasallegroup.com,4053411450,43S,ALC,50
AL5543,AUTUMN LEAVES OF SOUTHWEST OKLAHOMA CITY,OKLAHOMA CITY,OK,CLEVELAND,apompa@jmfm.com,4052377070,43S,ALC,50
AL7238,AUTUMN LEAVES OF TULSA,TULSA,OK,TULSA,ddwise@autumnleaves.com,9182491300,43S,ALC,46
AL6701,AVONLEA COTTAGE OF SEMINOLE,SEMINOLE,OK,SEMINOLE,vicky@unitedresource.biz,4053824450,43S,ALC,33
AL6302,"AVONLEA COTTAGE OF SHAWNEE, LLC",SHAWNEE,OK,POTTAWATOMIE,vicky@unitedresource.biz,4052733323,43S,ALC,16
NH5520AL,BAPTIST VILLAGE OF OKLAHOMA CITY,OKLAHOMA CITY,OK,OKLAHOMA,jduehning@okc.baptistvillage.org,4057212466,43C,CAL,50
AL7221,BAPTIST VILLAGE OF OWASSO,OWASSO,OK,TULSA,mepperson@owa.baptistvillage.org,9182722281,43C,CAL,85
AL7405,BARTLESVILLE ASSISTED LIVING,BARTLESVILLE,OK,WASHINGTON,reggie@mlcconsult.com,9188763700,43S,ALC,75
AL7269,BEEHIVE HOMES OF BROKEN ARROW,BROKEN ARROW,OK,TULSA,jharris@beehivebrokenarrow.com/mjames@beehivebrokenarrow.com,9185059995,43S,ALC,22
AL7242,BEEHIVE HOMES OF GLENPOOL,GLENPOOL,OK,TULSA,lmeacham@beehivehomes.com,9186931012,43S,ALC,24
AL6102,BELFAIR OF MCALESTER,MCALESTER,OK,PITTSBURG,rsamples@belfairofmcalester.com,9184237020,43S,ALC,80
AL6304,BELFAIR OF SHAWNEE,SHAWNEE,OK,POTTAWATOMIE,gmanion@belfairseniorliving.com,4052751199,43S,ALC,66
AL7240,BELLAROSE SENIOR LIVING,TULSA,OK,TULSA,tnail@bellaroselife.com,9183550151,43S,ALC,110
AL5505,BLUE RIDGE PLACE,MIDWEST CITY,OK,OKLAHOMA,LegalHelp@enlivant.com,4057412000,43S,ALC,39
NH5526AL,BRADFORD VILLAGE HEALTHCARE CENTER,EDMOND,OK,OKLAHOMA,Josh.woodbridgesok.com,4053410810,43C,CAL,55
AL7262,BROKEN ARROW ASSISTED LIVING,BROKEN ARROW,OK,TULSA,kmoore@oxfordseniorliving.com,9184519626,43S,ALC,45
AL6201,BROOKDALE ADA,ADA,OK,PONTOTOC,kcross@brookdale.com,5804219800,43S,ALC,43
AL7401,BROOKDALE BARTLESVILLE NORTH,BARTLESVILLE,OK,WASHINGTON,smerrill@brookdale.com,9183339400,43S,ALC,44
