Facility ID,Facility Name,City,State,County,Email Address,Phone Number,Capacity,State Facility Type 1 Literal,Date Accessed
AL7201,Aberdeen Heights Assisted Living Community,Tulsa,OK,Tulsa,abeatt@aberdeenheights.com,9184960123,96,ASSISTED LIVING FACILITIES,7/2/21
AL7258,Aberdeen Memory Care Of Tulsa,Tulsa,OK,Tulsa,jrose@sagora.com,9185912525,66,ASSISTED LIVING FACILITIES,7/2/21
AL2002,Angelwood Assisted Living And Memory Care,Clinton,OK,Custer,mcarter@seniorlifestyle.com,5803230990,45,ASSISTED LIVING FACILITIES,7/2/21
AL1405,Arbor House Assisted Living Center,Norman,OK,Cleveland,shaye@arborhouseliving.com,4052929200,62,ASSISTED LIVING FACILITIES,7/2/21
AL5530,Arbor House Assisted Living Of Midwest City,Midwest City,OK,Oklahoma,shaye@arborhouseliving.com,4054553900,65,ASSISTED LIVING FACILITIES,7/2/21
AL0903,Arbor House Assisted Living Of Mustang,Mustang,OK,Canadian,shaye@arborhouseliving.com,4053762872,65,ASSISTED LIVING FACILITIES,7/2/21
AL1408,Arbor House Reminisce,Norman,OK,Cleveland,tonya@arborhouseliving.com,4053102499,48,ASSISTED LIVING FACILITIES,7/2/21
AL4201,Ash Street Place,Guthrie,OK,Logan,thastings@companionhealth.net,4052822000,37,ASSISTED LIVING FACILITIES,7/2/21
AL6902,Ashbrook Village,Duncan,OK,Stephens,hweaver@oxfordseniorliving.com,5802528300,43,ASSISTED LIVING FACILITIES,7/2/21
AL5598,Autumn Leaves Of Edmond,Edmond,OK,Oklahoma,klandis@lasallegroup.com,4053411450,50,ASSISTED LIVING FACILITIES,7/2/21
AL5543,Autumn Leaves Of Southwest Oklahoma City,Oklahoma City,OK,Cleveland,apompa@jmfm.com,4052377070,50,ASSISTED LIVING FACILITIES,7/2/21
AL7238,Autumn Leaves Of Tulsa,Tulsa,OK,Tulsa,ddwise@autumnleaves.com,9182491300,46,ASSISTED LIVING FACILITIES,7/2/21
