Facility ID,Facility Name,City,State,County,Email Address,Phone Number,Capacity,State Facility Type 1 Literal
RC4101,3C OLD FASHIONED BOARDING HOME,PRAGUE,OK,LINCOLN,threecbuckingbulls@yahoo.com,4055672280,25,Residential Care Facilities
RC7280,BETHESDA RESIDENTIAL CARE HOME,TULSA,OK,TULSA,darcia.alexandre@yahoo.com,9186459688,0,Residential Care Facilities
RC5401,BOLEY RESIDENTIAL CARE HOME #1,BOLEY,OK,OKFUSKEE,spears.larry1@gmail.com,9186673778,30,Residential Care Facilities
RC5405,BOLEY RESIDENTIAL CARE HOME #2,BOLEY,OK,OKFUSKEE,boyce@cotc.net,9186673779,45,Residential Care Facilities
RC6601,"COPP'S RESIDENTIAL CARE, INC",CLAREMORE,OK,ROGERS,tcopp91758@aol.com,9183412543,55,Residential Care Facilities
RC7208,COUNTRY CLUB AT WOODLAND HILLS,TULSA,OK,TULSA,tbehrens@countryclubwh.com,9182525451,43,Residential Care Facilities
RC4601,CROSSROADS RESIDENTIAL CARE,CHECOTAH,OK,MCINTOSH,northfork@treatmentservices.org,9186897416,55,Residential Care Facilities
RC6901,DUNCAN COMMUNITY RESIDENCE,DUNCAN,OK,STEPHENS,dwight2650@sbcglobal.net,5802553926,25,Residential Care Facilities
RC1806,EDNA LEE'S RESIDENTIAL CARE,VINITA,OK,CRAIG,edna-lees1986@yahoo.com,9182563131,75,Residential Care Facilities
RC5803,FEATHERSTONE OF MIAMI,MIAMI,OK,OTTAWA,holli@featherstoneretirement.com,9185424040,40,Residential Care Facilities
RC5406,FIRM FOUNDATION,BOLEY,OK,OKFUSKEE,boyce@cotc.net,9186673388,31,Residential Care Facilities
RC1802,GOLDEN LIFE RESIDENTIAL,BLUEJACKET,OK,CRAIG,goldrescare@gmail.com,9187842359,57,Residential Care Facilities
RC2406,GOLDEN OAKS RESIDENTIAL CARE,ENID,OK,GARFIELD,sbushong@goldenoaks.com,5802492600,26,Residential Care Facilities
RC6701,GOLDEN YEARS RESIDENTIAL CARE,KONAWA,OK,SEMINOLE,twebbgoldenyears@sbcglobal.net,5809253618,51,Residential Care Facilities
RC7215,HEATHERIDGE RESIDENTIAL CARE CENTER,TULSA,OK,TULSA,ddonley@mgmhealthcare.com,9186229191,78,Residential Care Facilities
RC1404,HIGH CEDAR RESIDENTIAL CARE,NOBLE,OK,CLEVELAND,mistywigley@gmail.com,4054472532,23,Residential Care Facilities
RC1811,HOMESTEAD RESIDENTIAL CARE,VINITA,OK,CRAIG,millersrescare@yahoo.com,9187829969,46,Residential Care Facilities
RC4903,"LARIS RESIDENTIAL CARE, LLC",LANGLEY,OK,MAYES,laria@wavelinx.net,9187823747,32,Residential Care Facilities
RC7279,MARSHA'S PLACE,BROKEN ARROW,OK,TULSA,evandiver@windstream.net,9187065686,5,Residential Care Facilities
RC6304,MAUD RESIDENTIAL CARE,MAUD,OK,POTTAWATOMIE,middleej@yahoo.com,4053749992,65,Residential Care Facilities
RC1803,"MILLER'S RESIDENTIAL CARE, LLC",VINITA,OK,CRAIG,millersrescare@yahoo.com,9182563796,54,Residential Care Facilities
RC7301,NEW BEGINNINGS RESIDENTIAL CARE HOME,REDBIRD,OK,WAGONER,burdibarb@windstream.net,9184831425,36,Residential Care Facilities
RC6105,NEW HOPE RETIREMENT & CARE CENTER,MCALESTER,OK,PITTSBURG,tina@msihealthcare.net,9184239095,55,Residential Care Facilities
RC4102,"ROYAL RESIDENTIAL LIVING CARE CENTER, INC",PRAGUE,OK,LINCOLN,jrthornton81@hotmail.com,4055673202,46,Residential Care Facilities
RC5810,"RT 66 RESIDENTIAL CARE HOME, LLC",AFTON,OK,OTTAWA,twheatley@aftonschools.net,9182574061,40,Residential Care Facilities
RC1804,SANTA FE RESIDENTIAL CARE HOME,VINITA,OK,CRAIG,vickie_tipton@yahoo.com,9182563424,23,Residential Care Facilities
RC7262,SARAH'S RESIDENTIAL LIVING HOME INC,TULSA,OK,TULSA,Mcdondle @cox.net,9189512443,5,Residential Care Facilities
RC5512,SHILOH MANOR,OKLAHOMA CITY,OK,OKLAHOMA,smanor.inc@yahoo.com,4057453270,41,Residential Care Facilities
RC0201,"SUGAR MOUNTAIN RETREAT, INC",WELLING,OK,CHEROKEE,davetta_mcintosh@hotmail.com,9184561010,54,Residential Care Facilities
RC5537,SUNBEAM EMERGENCY SHELTER FOR SENIORS,OKLAHOMA CITY,OK,OKLAHOMA,khubbard@sunbeamfamilyservices.org,4055287731,11,Residential Care Facilities
RC7243,TRUSTED KARE,TULSA,OK,TULSA,trustedkare1@hotmail.com,9184992379,6,Residential Care Facilities
RC5521,VETERANS HARBOR,OKLAHOMA CITY,OK,OKLAHOMA,okcharbor@sbcglobal.net,4059432273,77,Residential Care Facilities
RC5403,"V-J'S RESIDENTIAL CARE HOME, LLC",PADEN,OK,OKFUSKEE,von@cotc.net,4059324702,37,Residential Care Facilities
RC7303,WAGONER HEALTH & REHAB RES CARE,WAGONER,OK,WAGONER,shanyce.templeton@intermgm.com,9184852203,15,Residential Care Facilities
RC5510,WELLSPRINGS COVE,OKLAHOMA CITY,OK,OKLAHOMA,gammel.tony@gmail.com,4055210919,0,Residential Care Facilities
