Facility Name,State Facility Type 1 Literal,Facility ID,Address,Zip Code,County,Phone Number,Capacity,Email Address,Licensee,Date Accessed,State
Aaren Brooke Place,RESIDENTIAL CARE FACILITY,50M098,995 N OREGON ST,97914,Malheur,5418811188,14,noregon@ashleycares.com,"ASHLEY MANOR, L.L.C.",7/6/21,OR
Ackerly At Sherwood Memory Care  The,RESIDENTIAL CARE FACILITY,50R474,16872 SW EDY ROAD,97140,Washington,5032472345,28,dpatel@leisurecare.com,"ACKERLY AT SHERWOOD, LLC",7/6/21,OR
Ackerly At Sherwood  The,ASSISTED LIVING FACILITY,70A340,16872 SE EDY RD,97140,Washington,5032172345,131,mspacy@leisurecare.com,"ACKERLY AT SHERWOOD, LLC",7/6/21,OR
Ackerly At Timberland  The,ASSISTED LIVING FACILITY,70A325,11795 NW CEDAR FALLS DRIVE,97229,Washington,5033503400,65,mryan@leisurecare.com,"ACKERLY AT TIMBERLAND, LLC",7/6/21,OR
Ackerly Memory Care  The,RESIDENTIAL CARE FACILITY,50R437,11795 NW CEDAR FALLS DRIVE,97229,Washington,5033503400,23,tfox@leisurecare.com,"ACKERLY AT TIMBERLAND, LLC",7/6/21,OR
Adams House Assisted Living,ASSISTED LIVING FACILITY,70M001,121 CORDELIA DRIVE,97457,Douglas,5418634444,40,director@adamshousealf.org,"MYRTLE CREEK ALF, LLC",7/6/21,OR
Adara Oaks Manor,RESIDENTIAL CARE FACILITY,50R378,931 NE LINDEN AVENUE,97030,Multnomah,5039123211,60,adebisi@adaraoaks.com,"ADARA OAKS MANOR, LLC",7/6/21,OR
Advocate Care,RESIDENTIAL CARE FACILITY,50R417,13033 SOUTH EAST HOLGATE BLVD,97236,Multnomah,9712718457,34,leahpedigo@gmail.com,"ADVOCATE CARE, LLC",7/6/21,OR
Alderwood Assisted Living,ASSISTED LIVING FACILITY,70A002,131 ALDER ST,97502,Jackson,5416643757,64,admin@alderwoodassistedliving.com,"ALDERWOOD ASSISTED LIVING, LLC",7/6/21,OR
Alpine House Assisted Living,ASSISTED LIVING FACILITY,70M003,204 N PARK ST,97846,Wallowa,5414327402,36,alpinehouseinfo@gmail.com,"JOSEPH ALF, INC.",7/6/21,OR
Amber Assisted Living  The,ASSISTED LIVING FACILITY,70A287,365 SW BEL AIR DRIVE,97016,Columbia,5037282744,40,ed@theamber.net,"AMBER INVESTORS, LLC",7/6/21,OR
Applegate House Of Grants Pass,RESIDENTIAL CARE FACILITY,50R371,1635 KELLENBECK AVE,97527,Josephine,5414746493,15,applegate@pacificlivingcenters.com,"PACIFIC LIVING CENTERS, INC.",7/6/21,OR
Applegate Place,ASSISTED LIVING FACILITY,70M022,1465 EAST CENTRAL,97479,Douglas,5414596300,36,director@applegateplace.net,"SUTHERLIN ALF, LLC",7/6/21,OR
