Facility Name,State Facility Type 1 Literal,Facility ID,Address,Zip Code,County,Phone Number,Capacity,Medicaid,Email Address,Licensee
AAREN BROOKE PLACE,RCF,50M098,995 N OREGON ST,97914,Malheur,5418811188,14,TRUE,noregon@ashleycares.com,"ASHLEY MANOR, L.L.C."
ACKERLY AT SHERWOOD MEMORY CARE  THE,RCF,50R474,16872 SW EDY ROAD,97140,Washington,5032472345,28,FALSE,dpatel@leisurecare.com,"ACKERLY AT SHERWOOD, LLC"
ACKERLY AT SHERWOOD  THE,ALF,70A340,16872 SE EDY RD,97140,Washington,5032172345,131,FALSE,mspacy@leisurecare.com,"ACKERLY AT SHERWOOD, LLC"
ACKERLY AT TIMBERLAND  THE,ALF,70A325,11795 NW CEDAR FALLS DRIVE,97229,Washington,5033503400,65,FALSE,mryan@leisurecare.com,"ACKERLY AT TIMBERLAND, LLC"
ACKERLY MEMORY CARE  THE,RCF,50R437,11795 NW CEDAR FALLS DRIVE,97229,Washington,5033503400,23,FALSE,tfox@leisurecare.com,"ACKERLY AT TIMBERLAND, LLC"
ADAMS HOUSE ASSISTED LIVING,ALF,70M001,121 CORDELIA DRIVE,97457,Douglas,5418634444,40,TRUE,director@adamshousealf.org,"MYRTLE CREEK ALF, LLC"
ADARA OAKS MANOR,RCF,50R378,931 NE LINDEN AVENUE,97030,Multnomah,5039123211,60,TRUE,adebisi@adaraoaks.com,"ADARA OAKS MANOR, LLC"
ADVOCATE CARE,RCF,50R417,13033 SOUTH EAST HOLGATE BLVD,97236,Multnomah,9712718457,34,TRUE,leahpedigo@gmail.com,"ADVOCATE CARE, LLC"
ALDERWOOD ASSISTED LIVING,ALF,70A002,131 ALDER ST,97502,Jackson,5416643757,64,TRUE,admin@alderwoodassistedliving.com,"ALDERWOOD ASSISTED LIVING, LLC"
ALPINE HOUSE ASSISTED LIVING,ALF,70M003,204 N PARK ST,97846,Wallowa,5414327402,36,TRUE,alpinehouseinfo@gmail.com,"JOSEPH ALF, INC."
AMBER ASSISTED LIVING  THE,ALF,70A287,365 SW BEL AIR DRIVE,97016,Columbia,5037282744,40,TRUE,ed@theamber.net,"AMBER INVESTORS, LLC"
APPLEGATE HOUSE OF GRANTS PASS,RCF,50R371,1635 KELLENBECK AVE,97527,Josephine,5414746493,15,TRUE,applegate@pacificlivingcenters.com,"PACIFIC LIVING CENTERS, INC."
APPLEGATE PLACE,ALF,70M022,1465 EAST CENTRAL,97479,Douglas,5414596300,36,TRUE,director@applegateplace.net,"SUTHERLIN ALF, LLC"
ARBOR AT AVAMERE COURT  THE,RCF,50R414,450 CLAGGETT COURT N,97303,Marion,5038567440,49,TRUE,ccoffman@avamere.com,
ARBOR AT BEND  THE,RCF,50R455,1290 SW SILVER LAKE BLVD,97702,Deschutes,4582027020,36,TRUE,ahunter@avamere.com,"BEND ARBOR, LLC"
ARBOR HOUSE OF GRANTS PASS,RCF,50R328,820 GOLD COURT,97527,Josephine,5414747887,15,TRUE,arbor@pacificlivingcenters.com,"PACIFIC LIVING CENTERS, INC."
ARBOR OAKS TERRACE MEMORY CARE RESIDENCE,RCF,50R367,317 WERTH BLVD,97132,Yamhill,5035382288,48,TRUE,administrator@arboroaksterrace.com,"NEWBERG MEMORY ASSOCIATES, LLC"
ARCADIA SENIOR LIVING,ALF,70A330,13031 SE FOSTER ROAD,97236,Multnomah,5032068930,68,FALSE,ed@arcadiaretirement.com,"ARCADIA SENIOR LIVING, LLC"
ASHLEY MANOR - ALAMEDA,RCF,5MA166,1310 SW 12TH,97914,Malheur,5418896280,14,TRUE,alameda@ashleycares.com,"ASHLEY MANOR, L.L.C."
ASHLEY MANOR - ANIQUE,RCF,50R295,525 ANIQUE LANE,97526,Josephine,5414744376,15,TRUE,anique@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - ARROWHEAD,RCF,50R274,3853 ARROWHEAD DRIVE,97504,Jackson,5412820467,11,FALSE,arrowhead@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - ATHENS,RCF,50R288,1514 ATHENS AVE,97801,Umatilla,5412786776,15,TRUE,athens@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - BROOKHURST,RCF,5MA246,2146 BROOKHURST,97504,Jackson,5416189050,14,TRUE,brookhurst@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - CONNERS,RCF,50R281,2853 NE CONNERS AVE,97701,Deschutes,5413834400,15,TRUE,conners@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - HEIDI LANE,RCF,5MA255,2144 NW HEIDI LANE,97526,Josephine,5419551816,15,TRUE,heidi@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - HOMEDALE,RCF,50R306,44 NORTH HOMEDALE RD,97603,Klamath,5418503770,15,TRUE,rdavidson@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - LUND LANE,RCF,50M204,1040 LUND LANE,97814,Baker,5415249880,9,TRUE,lund@ashleycares.com,
ASHLEY MANOR - MEADOW LAKES,RCF,5MA238,228 SW MEADOW LAKES DR,97754,Crook,5414475816,15,TRUE,meadowlakes@ashleycares.com,"ASHLEY MANOR, LLC"
ASHLEY MANOR - OAK,RCF,5MA241,572 NE OAK STREET,97741,Jefferson,5414757635,15,TRUE,oak@ashleycares.com,"ASHLEY MANOR, LLC"
