,,,,,,,,,,,,,,,,,,,
,CBC Facility List (Quarterly List) KL,,,,,,,,,,,,,,,,,,
,As of 2021-03-09 15:14:29 Pacific Standard Time/PST • Generated by Kimberly Lindberg • Sorted by Person/Service Provider Name (Ascending),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Filtered By,,,,,,,,,,,,,,,,,,
,Show: All person/service provider,,,,,,,,,,,,,,,,,,
,"Facility Program Type equals ALF,RCF",,,,,,,,,,,,,,,,,,
,Operating Status equals ACTIVE,,,,,,,,,,,,,,,,,,
,"License Status not equal to ,Inactive,Expired",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Person/Service Provider Name,,Facility Program Type,Service Provider #,Physical Address Line 1,Physical Zip/Postal Code,County,Phone,Licensed Bed Capacity,Units,Medicaid Contract,Memory Care Endorsement,Administrator Name,Primary Contact Email,Initial License Date,License Expiration Date,Owner Name,Operator Name,
,AAREN BROOKE PLACE,,RCF,50M098,995 N OREGON ST,97914,Malheur,5418811188,14,8,TRUE,0,TERESA KUDER,noregon@ashleycares.com,1/1/1980,4/30/2022,"ASHLEY MANOR, L.L.C.",,
,ACKERLY AT SHERWOOD MEMORY CARE  THE,,RCF,50R474,16872 SW EDY ROAD,97140,Washington,5032472345,28,20,FALSE,1,PATEL DHRASTI,dpatel@leisurecare.com,6/24/2019,6/30/2021,"ACKERLY AT SHERWOOD, LLC","LEISURE CARE, LLC",
,ACKERLY AT SHERWOOD  THE,,ALF,70A340,16872 SE EDY RD,97140,Washington,5032172345,131,,FALSE,0,MELISSA SPACY,mspacy@leisurecare.com,6/24/2019,6/30/2021,"ACKERLY AT SHERWOOD, LLC","LEISURE CARE, LLC",
,ACKERLY AT TIMBERLAND  THE,,ALF,70A325,11795 NW CEDAR FALLS DRIVE,97229,Washington,5033503400,65,,FALSE,0,MATTHEW RYAN,mryan@leisurecare.com,8/30/2016,8/31/2020,"ACKERLY AT TIMBERLAND, LLC",,
,ACKERLY MEMORY CARE  THE,,RCF,50R437,11795 NW CEDAR FALLS DRIVE,97229,Washington,5033503400,23,,FALSE,1,TRINA FOX,tfox@leisurecare.com,8/30/2016,8/31/2020,"ACKERLY AT TIMBERLAND, LLC",,
,ADAMS HOUSE ASSISTED LIVING,,ALF,70M001,121 CORDELIA DRIVE,97457,Douglas,5418634444,40,,TRUE,0,AMY PERKETT,director@adamshousealf.org,4/1/1996,7/31/2020,"MYRTLE CREEK ALF, LLC","CONCEPTS IN COMMUNITY LIVING, INC.",
,ADARA OAKS MANOR,,RCF,50R378,931 NE LINDEN AVENUE,97030,Multnomah,5039123211,60,42,TRUE,0,ADEBISI ADEOSUN,adebisi@adaraoaks.com,6/30/2011,11/30/2020,"ADARA OAKS MANOR, LLC",,
,ADVOCATE CARE,,RCF,50R417,13033 SOUTH EAST HOLGATE BLVD,97236,Multnomah,9712718457,34,,TRUE,0,LEAH PEDIGO,leahpedigo@gmail.com,4/27/2015,4/30/2021,"ADVOCATE CARE, LLC",,
,ALDERWOOD ASSISTED LIVING,,ALF,70A002,131 ALDER ST,97502,Jackson,5416643757,64,,TRUE,0,KENDYL BERKOWITZ,admin@alderwoodassistedliving.com,8/1/1995,2/29/2020,"ALDERWOOD ASSISTED LIVING, LLC","TIERRA SENIOR LIVING, LLC",
,ALPINE HOUSE ASSISTED LIVING,,ALF,70M003,204 N PARK ST,97846,Wallowa,5414327402,36,,TRUE,0,STEVE ZOLLMAN,alpinehouseinfo@gmail.com,4/1/1995,4/30/2021,"JOSEPH ALF, INC.",,
,AMBER ASSISTED LIVING  THE,,ALF,70A287,365 SW BEL AIR DRIVE,97016,Columbia,5037282744,40,,TRUE,0,WANDA HARRIS,ed@theamber.net,3/21/2003,8/31/2020,"AMBER INVESTORS, LLC",,
,APPLEGATE HOUSE OF GRANTS PASS,,RCF,50R371,1635 KELLENBECK AVE,97527,Josephine,5414746493,15,,TRUE,1,LINDA AYALA,applegate@pacificlivingcenters.com,1/6/2011,1/31/2021,"PACIFIC LIVING CENTERS, INC.",,
,APPLEGATE PLACE,,ALF,70M022,1465 EAST CENTRAL,97479,Douglas,5414596300,36,30,TRUE,0,PAMELA SESSIONS,director@applegateplace.net,2/1/1997,1/31/2021,"SUTHERLIN ALF, LLC","H2 MANAGEMENT, LLC",
,ARBOR AT AVAMERE COURT  THE,,RCF,50R414,450 CLAGGETT COURT N,97303,Marion,5038567440,49,48,TRUE,1,CATHI DAVENPORT,ccoffman@avamere.com,10/20/2014,10/31/2022,,"KEIZER RIVER OPERATIONS, LLC",
,ARBOR AT BEND  THE,,RCF,50R455,1290 SW SILVER LAKE BLVD,97702,Deschutes,4582027020,36,24,TRUE,1,ANGELINA HUNTER,ahunter@avamere.com,12/12/2017,10/31/2022,"BEND ARBOR, LLC",,
,ARBOR HOUSE OF GRANTS PASS,,RCF,50R328,820 GOLD COURT,97527,Josephine,5414747887,15,,TRUE,1,REBECCA SCRIBER,arbor@pacificlivingcenters.com,8/20/2004,8/31/2020,"PACIFIC LIVING CENTERS, INC.",,
,ARBOR OAKS TERRACE MEMORY CARE RESIDENCE,,RCF,50R367,317 WERTH BLVD,97132,Yamhill,5035382288,48,,TRUE,1,KATRINA HOLLO,administrator@arboroaksterrace.com,4/14/2010,4/30/2020,"NEWBERG MEMORY ASSOCIATES, LLC",,
,ARCADIA SENIOR LIVING,,ALF,70A330,13031 SE FOSTER ROAD,97236,Multnomah,5032068930,68,,FALSE,0,KRISTYN SPEARS,ed@arcadiaretirement.com,8/2/2017,7/31/2021,"ARCADIA SENIOR LIVING, LLC",AVANT SENIOR HOUSING & CONSULTANTS,
,ASHLEY MANOR - ALAMEDA,,RCF,5MA166,1310 SW 12TH,97914,Malheur,5418896280,14,9,TRUE,0,NATHANIEL FIGUEROA,alameda@ashleycares.com,4/24/1998,4/30/2022,"ASHLEY MANOR, L.L.C.",,
,ASHLEY MANOR - ANIQUE,,RCF,50R295,525 ANIQUE LANE,97526,Josephine,5414744376,15,,TRUE,0,CORRINE SANFORD,anique@ashleycares.com,3/18/2002,5/31/2021,"ASHLEY MANOR, LLC",,
,ASHLEY MANOR - ARROWHEAD,,RCF,50R274,3853 ARROWHEAD DRIVE,97504,Jackson,5412820467,11,,FALSE,0,VENUS MOODY,arrowhead@ashleycares.com,4/16/2001,5/31/2021,"ASHLEY MANOR, LLC",,
,ASHLEY MANOR - ATHENS,,RCF,50R288,1514 ATHENS AVE,97801,Umatilla,5412786776,15,,TRUE,0,DAWN CLARK,athens@ashleycares.com,10/1/2001,4/30/2021,"ASHLEY MANOR, LLC",,
