State Facility Type 1 Literal,Facility Name,Licensee,Address,City,State,Zip,Phone Number,County,Capacity,Ownership Type,License Number
ASSISTED LIVING,AMBER SPRINGS AT LAURELWOOD CARE CENTER,LAURELWOOD CARE CENTER LLC,"100 WOODMONT ROAD,",JOHNSTOWN,PA,15905,8142551488,CAMBRIA,106,PROFIT,333640
ASSISTED LIVING,ANN'S CHOICE,ANNS CHOICE INC,"16000 ANN'S CHOICE WAY,",WARMINSTER,PA,18974,2154433900,BUCKS,98,NON-PROFIT,144390
ASSISTED LIVING,"COLUMBIA COTTAGE HANOVER, LLC",COLUMBIA COTTAGE HANOVER LLC,2288 GRANDVIEW ROAD,HANOVER,PA,17331,7176309178,YORK,48,PROFIT,330220
ASSISTED LIVING,"COLUMBIA COTTAGE WYOMISSING, LLC",COLUMBIA COTTAGE WYOMISSING LLC,3121 STATE HILL ROAD,WYOMISSING,PA,19610,6109270310,BERKS,50,PROFIT,224640
ASSISTED LIVING,"COLUMBIA COTTAGE-COLLEGEVILLE, LLC",COLUMBIA COTTAGE-COLLEGEVILLE LLC,901 E. MAIN STREET,COLLEGEVILLE,PA,19426,6104098910,MONTGOMERY,50,PROFIT,138920
ASSISTED LIVING,"COLUMBIA COTTAGE-HERSHEY, LLC",COLUMBIA COTTAGE-HERSHEY LLC,103 N. LARKSPUR DRIVE,PALMYRA,PA,17078,7178322900,LEBANON,60,PROFIT,330240
ASSISTED LIVING,CUMBERLAND CROSSING MANOR,CRANBERRY PLACE,"1201 CUMBERLAND ROAD,",PITTSBURGH,PA,15237,4126350798,ALLEGHENY,115,NON-PROFIT,446160
ASSISTED LIVING,HAWTHORNE WOODS ASSISTED LIVING,HAWTHORNE WOODS ASSISTED LIVING LTD,"791 LOCUST AVENUE,",WASHINGTON,PA,15301,7242221005,WASHINGTON,81,PROFIT,445510
ASSISTED LIVING,LUTHER RIDGE AT SEIDERS HILL,LUTHER RIDGE FACILITY OPERATIONS LLC,160 RED HORSE ROAD,POTTSVILLE,PA,17901,5706217200,SCHUYLKILL,135,PROFIT,224660
ASSISTED LIVING,MORAVIAN MANOR,MORAVIAN MANORS INC,"300 WEST LEMON STREET,",LITITZ,PA,17543,7176256134,LANCASTER,40,NON-PROFIT,333090
