Service Type,Program Office,Facility Name,Legal Entity Name,Address,City,State,Zip,Phone,County,Region,Capacity,Type of Operation,License Status,License Number,Type of License,Inspection Summary Link,Quality Service Review Link,Waiver Link
ASSISTED LIVING,Assisted Living,AMBER SPRINGS AT LAURELWOOD CARE CENTER,LAURELWOOD CARE CENTER LLC,"100 WOODMONT ROAD,",JOHNSTOWN,PA,15905,8142551488,CAMBRIA,CENTRAL,106,PROFIT,LICENSED,333640,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,ANN'S CHOICE,ANNS CHOICE INC,"16000 ANN'S CHOICE WAY,",WARMINSTER,PA,18974,2154433900,BUCKS,SOUTHEAST,98,NON-PROFIT,LICENSED,144390,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,"COLUMBIA COTTAGE HANOVER, LLC",COLUMBIA COTTAGE HANOVER LLC,2288 GRANDVIEW ROAD,HANOVER,PA,17331,7176309178,YORK,CENTRAL,48,PROFIT,LICENSED,330220,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,"COLUMBIA COTTAGE WYOMISSING, LLC",COLUMBIA COTTAGE WYOMISSING LLC,3121 STATE HILL ROAD,WYOMISSING,PA,19610,6109270310,BERKS,NORTHEAST,50,PROFIT,LICENSED,224640,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,"COLUMBIA COTTAGE-COLLEGEVILLE, LLC",COLUMBIA COTTAGE-COLLEGEVILLE LLC,901 E. MAIN STREET,COLLEGEVILLE,PA,19426,6104098910,MONTGOMERY,SOUTHEAST,50,PROFIT,LICENSED,138920,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,"COLUMBIA COTTAGE-HERSHEY, LLC",COLUMBIA COTTAGE-HERSHEY LLC,103 N. LARKSPUR DRIVE,PALMYRA,PA,17078,7178322900,LEBANON,CENTRAL,60,PROFIT,LICENSED,330240,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,CUMBERLAND CROSSING MANOR,CRANBERRY PLACE,"1201 CUMBERLAND ROAD,",PITTSBURGH,PA,15237,4126350798,ALLEGHENY,WESTERN,115,NON-PROFIT,LICENSED,446160,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,HAWTHORNE WOODS ASSISTED LIVING,HAWTHORNE WOODS ASSISTED LIVING LTD,"791 LOCUST AVENUE,",WASHINGTON,PA,15301,7242221005,WASHINGTON,WESTERN,81,PROFIT,LICENSED,445510,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,LUTHER RIDGE AT SEIDERS HILL,LUTHER RIDGE FACILITY OPERATIONS LLC,160 RED HORSE ROAD,POTTSVILLE,PA,17901,5706217200,SCHUYLKILL,NORTHEAST,135,PROFIT,LICENSED,224660,FULL,Inspection Summary,,Waiver
ASSISTED LIVING,Assisted Living,MORAVIAN MANOR,MORAVIAN MANORS INC,"300 WEST LEMON STREET,",LITITZ,PA,17543,7176256134,LANCASTER,CENTRAL,40,NON-PROFIT,LICENSED,333090,FULL,Inspection Summary,,Waiver
