State Facility Type 1 Literal,Facility Name,Licensee,Address,City,State,Zip Code,Phone Number,County,Capacity,Ownership Type,License Number,Date Accessed
ASSISTED LIVING RESIDENCE,Amber Springs At Laurelwood Care Center,LAURELWOOD CARE CENTER LLC,"100 WOODMONT ROAD,",Johnstown,PA,15905,8142551488.0,Cambria,106,PROFIT,333640,6/30/21
ASSISTED LIVING RESIDENCE,Ann'S Choice,ANNS CHOICE INC,"16000 ANN'S CHOICE WAY,",Warminster,PA,18974,2154433900.0,Bucks,98,NON-PROFIT,144390,6/30/21
ASSISTED LIVING RESIDENCE,"Columbia Cottage Hanover, Llc",COLUMBIA COTTAGE HANOVER LLC,2288 GRANDVIEW ROAD,Hanover,PA,17331,7176309178.0,York,48,PROFIT,330220,6/30/21
ASSISTED LIVING RESIDENCE,"Columbia Cottage Wyomissing, Llc",COLUMBIA COTTAGE WYOMISSING LLC,3121 STATE HILL ROAD,Wyomissing,PA,19610,6109270310.0,Berks,50,PROFIT,224640,6/30/21
ASSISTED LIVING RESIDENCE,"Columbia Cottage-Collegeville, Llc",COLUMBIA COTTAGE-COLLEGEVILLE LLC,901 E. MAIN STREET,Collegeville,PA,19426,6104098910.0,Montgomery,50,PROFIT,138920,6/30/21
ASSISTED LIVING RESIDENCE,"Columbia Cottage-Hershey, Llc",COLUMBIA COTTAGE-HERSHEY LLC,103 N. LARKSPUR DRIVE,Palmyra,PA,17078,7178322900.0,Lebanon,60,PROFIT,330240,6/30/21
ASSISTED LIVING RESIDENCE,Cumberland Crossing Manor,CRANBERRY PLACE,"1201 CUMBERLAND ROAD,",Pittsburgh,PA,15237,4126350798.0,Allegheny,115,NON-PROFIT,446160,6/30/21
ASSISTED LIVING RESIDENCE,Hawthorne Woods Assisted Living,HAWTHORNE WOODS ASSISTED LIVING LTD,"791 LOCUST AVENUE,",Washington,PA,15301,7242221005.0,Washington,81,PROFIT,445510,6/30/21
ASSISTED LIVING RESIDENCE,Luther Ridge At Seiders Hill,LUTHER RIDGE FACILITY OPERATIONS LLC,160 RED HORSE ROAD,Pottsville,PA,17901,5706217200.0,Schuylkill,135,PROFIT,224660,6/30/21
ASSISTED LIVING RESIDENCE,Moravian Manor,MORAVIAN MANORS INC,"300 WEST LEMON STREET,",Lititz,PA,17543,7176256134.0,Lancaster,40,NON-PROFIT,333090,6/30/21
ASSISTED LIVING RESIDENCE,Oakbridge Terrace Assisted Livingat Brittany Pointe Estates,ACTS RETIREMENT-LIFE COMMUNITIES INC,"1001 VALLEY FORGE ROAD,",Landsdale,PA,19446,2158554109.0,Montgomery,41,NON-PROFIT,138930,6/30/21
ASSISTED LIVING RESIDENCE,Oakbridge Terrace At Fort Washington Estates,ACTS RETIREMENT-LIFE COMMUNITIES INC,735 SUSQUEHANNA ROAD,Fort Washington,PA,19034,2155428787.0,Montgomery,18,NON-PROFIT,138940,6/30/21
ASSISTED LIVING RESIDENCE,Oakbridge Terrace At Granite Farms Estates,ACTS RETIREMENT-LIFE COMMUNITIES INC,1343 W. BALTIMORE PIKE,Media,PA,19063,6103584946.0,Delaware,44,NON-PROFIT,138900,6/30/21
ASSISTED LIVING RESIDENCE,Oakbridge Terrace At Gwynedd Estates,ACTS RETIREMENT-LIFE COMMUNITIES INC,301 NORRISTOWN ROAD,Ambler,PA,19002,2156288840.0,Montgomery,20,NON-PROFIT,138970,6/30/21
ASSISTED LIVING RESIDENCE,Oakbridge Terrace At Lima Estates,ACTS RETIREMENT - LIFE COMMUNITIES INC,"411 N. MIDDLETOWN ROAD,",Media,PA,19063,6108920844.0,Delaware,36,NON-PROFIT,138910,6/30/21
ASSISTED LIVING RESIDENCE,Quality Life Services Mercer,COUNTRYSIDE CONVALESCENT HOME LIMITED PARTNERSHIP,"8221 LAMOR ROAD,",Mercer,PA,16137,7246625860.0,Mercer,64,PROFIT,450290,6/30/21
ASSISTED LIVING RESIDENCE,Quality Life Services Of Grove City,TRINITY LIVING CENTER LP,"400 HILLCREST AVENUE,",Grove City,PA,16127,7244589501.0,Mercer,20,PROFIT,451830,6/30/21
ASSISTED LIVING RESIDENCE,Richland Woods Assisted Living,RICHLAND WOODS ASSISTED LIVING LTD,"3324 ELTON ROAD,",Johnstown,PA,15904,8142667113.0,Cambria,70,PROFIT,331060,6/30/21
ASSISTED LIVING RESIDENCE,Saucon Valley Manor,SAUCON VALLEY MANOR INC,"1050 MAIN STREET,",Hellertown,PA,18055,6107488888.0,Northampton,22,PROFIT,226450,6/30/21
ASSISTED LIVING RESIDENCE,Seneca Manor,UPMC SENIOR COMMUNITIES,"5340 SALTSBURG ROAD,",Verona,PA,15147,4127986000.0,Allegheny,100,NON-PROFIT,444990,6/30/21
ASSISTED LIVING RESIDENCE,Southwoods Assisted Living,SOUTHWOODS ASSISTED LIVING LTD,"322 SOUTH MARTIN STREET,",Titusville,PA,16354,8148278727.0,Crawford,52,PROFIT,445000,6/30/21
ASSISTED LIVING RESIDENCE,Steward Place,PRESBYTERIAN HOMES INC,"7 EAST LOCUST STREET,",Oxford,PA,19633,6109982439.0,Chester,64,NON-PROFIT,144830,6/30/21
ASSISTED LIVING RESIDENCE,Strabane Woods Of Washington,UPMC SENIOR COMMUNITIES,"319 WELLNESS WAY,",Washington,PA,15301,7242259400.0,Washington,100,NON-PROFIT,445420,6/30/21
