State Facility Type 1 Literal,Facility Name,Licensee,Address,City,State,Zip,Phone Number,County,Capacity,Ownership Type,License Number
PERSONAL CARE HOMES,ABINGTON MANOR AT MORGAN HILL,"CEDAR PARK ASSISTED LIVING, LLC","215 CEDAR PARK BOULEVARD,",EASTON,PA,18042,6108290100,NORTHAMPTON,75,PROFIT,219620
PERSONAL CARE HOMES,ABINGTON MANOR AT MORGAN HILL-MEMORY CARE VILLAGE,MORGAN HILL SENIOR LIVING LLC,"5 CEDAR PARK BOULEVARD,",EASTON,PA,18042,6104389400,NORTHAMPTON,50,PROFIT,226140
PERSONAL CARE HOMES,ABODE CARE OF MONROEVILLE,ABODE CARE OF MONROEVILLE LLC,"2560 STROSCHEIN ROAD,",MONROEVILLE,PA,15146,3479571340,ALLEGHENY,66,PROFIT,451191
PERSONAL CARE HOMES,ABOVE & BEYOND,ABOVE AND BEYOND INCORPORATED,"514 NORTH 22ND STREET,",ALLENTOWN,PA,18104,6104322122,LEHIGH,36,PROFIT,217510
PERSONAL CARE HOMES,ABOVE & BEYOND AT THE KNIGHTS,ABOVE AND BEYOND AT THE KNIGHTS LLC,"1545 GREENLEAF STREET,",ALLENTOWN,PA,18102,6104347433,LEHIGH,150,PROFIT,226470
PERSONAL CARE HOMES,ABOVE & BEYOND MOUNTAIN VIEW,ABOVE AND BEYOND INCOPORATED,"2232 SW TWENTYNINTH STREET,",ALLENTOWN,PA,18103,6107974651,LEHIGH,150,PROFIT,221140
PERSONAL CARE HOMES,ACADIA ACQUISITION 1,ACADIA ACQUISITION INC,"1604/1614 BENTLEY RIDGE BLVD,",LANCASTER,PA,17602,7175177893,LANCASTER,6,PROFIT,331380
PERSONAL CARE HOMES,ACADIA ACQUISITION 2,ACADIA ACQUISITION INC,"306/312 BENTLEY RIDGE BLVD,",LANCASTER,PA,17602,7175179836,LANCASTER,6,PROFIT,331430
PERSONAL CARE HOMES,ACADIA ACQUISITION 3,ACADIA ACQUISITION INC,"1104/1114 BENTLEY RIDGE BLVD.,",LANCASTER,PA,17602,7174359329,LANCASTER,6,PROFIT,331440
PERSONAL CARE HOMES,ACADIA ACQUISITION 4,ACADIA ACQUISITION INC,"950 BENTLEY RIDGE BOULEVARD,",LANCASTER,PA,17602,7172083229,LANCASTER,8,PROFIT,331450
PERSONAL CARE HOMES,ACADIA ACQUISITION 5,ACADIA ACQUISITION INC,"649/653 PATRIOT DRIVE,",LANCASTER,PA,17601,7173979070,LANCASTER,5,PROFIT,331470
PERSONAL CARE HOMES,ACCOLADE PERSONAL CARE HOME,BETTRE ESTATES LLC,"101 SOUTH BROAD STREET,",NEW FREEDOM,PA,17349,7172270945,YORK,17,PROFIT,335250
PERSONAL CARE HOMES,ACCOLADES SENIOR CARE,ACCOLADES SENIOR CARE LLC,"246 MELROSE AVENUE,",EAST LANSDOWNE,PA,19050,6106232233,DELAWARE,45,PROFIT,135710
PERSONAL CARE HOMES,ACTION RECOVERY,MOUNT TREXLER MANOR CORPORATION,"5201 ST. JOSEPH'S ROAD,",LIMESPORT,PA,18060,6109659021,LEHIGH,8,PROFIT,226870
PERSONAL CARE HOMES,ACTION RECOVERY,MOUNT TREXLER MANOR CORPORATION,"5201 ST. JOSEPHS ROAD,",LIMEPORT,PA,18060,6109659021,LEHIGH,8,PROFIT,227290
PERSONAL CARE HOMES,ADULT LIVING AT ROSEBROOK,ROSEBROOK OPCO LLC,"723 SOUTH PIKE ROAD,",SARVER,PA,16055,7242954300,BUTLER,100,PROFIT,449610
PERSONAL CARE HOMES,ADULT PERSONAL CARE HOME,SHARON AHEARN,"44 BROAD STREET,",PITTSTON,PA,18640,5702992383,LUZERNE,8,PROFIT,243860
PERSONAL CARE HOMES,ADVANCED PERSONAL CARE HOME,ADVANCED PERSONAL CARE HOME INC,"245 CENTER STREET, PO BOX 5,",CLARKSVILLE,PA,15322,7243770662,GREENE,39,PROFIT,440480
PERSONAL CARE HOMES,ALC FAMILY CARE,ALC FAMILY CARE INC,"897 HOBBIE ROAD,",WAPWALLOPEN,PA,18660,5703793673,LUZERNE,18,PROFIT,228380
PERSONAL CARE HOMES,ALEXANDRIA MANOR,ALEXANDRIA MANOR OF ALLENTOWN INC,"7 SOUTH NEW STREET,",NAZARETH,PA,18064,6107594060,NORTHAMPTON,93,PROFIT,210640
PERSONAL CARE HOMES,ALEXANDRIA MANOR II,ALEXANDRIA MANOR OF ALLENTOWN INC,"313 S. WALNUT ST.,",BATH,PA,18014,6108373500,NORTHAMPTON,78,PROFIT,205260
PERSONAL CARE HOMES,ALEXANDRIA MANOR OF ALLENTOWN - BETHLEHEM CAMPUS,"ALEXANDRIA MANOR OF ALLENTOWN, INC.","3534 LINDEN STREET,",BETHLEHEM,PA,18017,6108673060,NORTHAMPTON,58,PROFIT,214560
PERSONAL CARE HOMES,ALLEGHENY PLACE,GRAINGER AID OPCO LLC,"10960 FRANKSTOWN ROAD,",PENN HILLS,PA,15235,4122417080,ALLEGHENY,47,PROFIT,444890
PERSONAL CARE HOMES,ALLEGRIA AT THE OAKS,BENSALEM PCH LLC,"6400 HULMEVILLE ROAD,",BENSALEM,PA,19020,2157529140,BUCKS,95,PROFIT,143670
PERSONAL CARE HOMES,ALLIANCE ADULT LIVING,ALLIANCE ADULT LIVING LLC,"1036 PENNSYLVANIA AVENUE,",MATAMORAS,PA,18336,5704093198,PIKE,6,PROFIT,226110
PERSONAL CARE HOMES,ALLIANCE SENIOR HOME,ALLIANCE SENIOR HOME LLC,"104 PENNSYLVANIA AVENUE,",MATAMORAS,PA,18336,5704915302,PIKE,8,PROFIT,227330
PERSONAL CARE HOMES,ALLIED SERVICES CENTER CITY RESIDENCE,ALLIED SERVICES PERSONAL CARE INC,"80 EAST NORTHAMPTON STREET,",WILKES-BARRE,PA,18701,5703481329,LUZERNE,80,NON-PROFIT,228090
PERSONAL CARE HOMES,ALLIED SERVICES MEADE STREET RESIDENCE,ALLIED SERVICES PERSONAL CARE INC,"260 SOUTH MEADE STREET,",WILKES-BARRE,PA,18702,5703481329,LUZERNE,76,NON-PROFIT,228120
PERSONAL CARE HOMES,ALLIED TERRACE,ALLIED SERVICES PERSONAL CARE INC,"100 TERRACE LANE,",SCRANTON,PA,18508,5703414659,LACKAWANNA,84,NON-PROFIT,200250
PERSONAL CARE HOMES,ALWAYS ON CARE,ALWAYS ON CARE LLC,"600 NORTH LAUREL STREET,",HAZELTON,PA,18201,9083490574,LUZERNE,26,PROFIT,230060
PERSONAL CARE HOMES,AM/PM PERSONAL CARE HOME,"AM PM PERSONAL CARE HOME, INC.","P.O. BOX 123,555 ADRIAN ROAD,",DELANCEY,PA,15733,8149392676,JEFFERSON,32,PROFIT,407360
PERSONAL CARE HOMES,AMBER HOUSE AT HARMON HOUSE CARE CENTER,HARMON HOUSE CARE CENTER LLC,"601 SOUTH CHURCH STREET,",MT. PLEASANT,PA,15666,7245471890,WESTMORELAND,70,PROFIT,429140
PERSONAL CARE HOMES,AMERICAN HOUSE T/A HOTEL LEBANON,HOTEL LEBANON CORPORATION,"23-25 SOUTH NINTH STREET,",LEBANON,PA,17042,7172726678,LEBANON,74,PROFIT,344040
PERSONAL CARE HOMES,AMITY PLACE,DOUGLASSVILLE AID II OPCO LLC,"139 OLD SWEDE ROAD,",DOUGLASSVILLE,PA,19518,6103857600,BERKS,100,PROFIT,226560
PERSONAL CARE HOMES,AMITY SERENITY PINES PERSONAL CARE HOME,AMITY SERENITY PINES PERSONAL CARE HOME LLC,"223 JONES DRIVE,",BRIDGEVILLE,PA,15017,8558797733,ALLEGHENY,26,PROFIT,448030
PERSONAL CARE HOMES,AMITY SLIPPERY ROCK PERSONAL CARE HOME,AMITY SENIOR LIVING LLC,"276 RALSTON ROAD,",SLIPPERY ROCK,PA,16057,7247945680,BUTLER,20,PROFIT,444380
PERSONAL CARE HOMES,ANDSHER PERSONAL CARE HOME,ANDSHER PERSONAL CARE HOME INC,"20 NORTH KENNEDY DRIVE,",MCADOO,PA,18237,5709291777,SCHUYLKILL,27,PROFIT,242510
PERSONAL CARE HOMES,ANGEL'S FAMILY MANOR PERSONAL CARE HOME,ANGELS FAMILY MANOR PERSONAL CARE HOME INC,"218 NORTH MAIN AVENUE,",SCRANTON,PA,18504,5703415012,LACKAWANNA,53,PROFIT,210620
PERSONAL CARE HOMES,ANGELS 211 LLC,ANGELS 211 LLC,"211 GARNIER STREET,",SHARPSBURG,PA,15215,4127848344,ALLEGHENY,40,PROFIT,445810
PERSONAL CARE HOMES,ANN'S CHOICE,ANNS CHOICE INC,"16000 ANN'S CHOICE WAY,",WARMINSTER,PA,18974,2154433801,BUCKS,44,NON-PROFIT,129010
PERSONAL CARE HOMES,ANN'S GROVE PERSONAL CARE HOME,"ANN'S GROVE PERSONAL CARE HOME, INC.","601 SUGAR HOLLOW ROAD,",TUNKHANNOCK,PA,18657,5708361381,WYOMING,22,PROFIT,208250
PERSONAL CARE HOMES,ANNA'S HOUSE,CITIZENS ACTING TOGETHER CAN HELP INC,"1208-1212 SOUTH 15TH STREET,",PHILADELPHIA,PA,19146,2155516540,PHILADELPHIA,16,NON-PROFIT,140300
PERSONAL CARE HOMES,ANNALISA'S A TOUCH OF HOME,LELO MANAGEMENT LLC,"414 PERRY ROAD,",PERRYOPOLIS,PA,15473,7247364100,FAYETTE,49,PROFIT,443441
PERSONAL CARE HOMES,ANTHOLOGY OF KING OF PRUSSIA,CA SENIOR VALLEY FORGE OPERATOR LLC,"350 GUTHRIE ROAD,",KING OF PRUSSIA,PA,19406,4849567300,MONTGOMERY,128,PROFIT,147880
PERSONAL CARE HOMES,ANTHOLOGY OF MCCANDLESS,CA SENIOR MCCANDLESS II OPERATOR LLC,"8651 CAREY LANE,",PITTSBURGH,PA,15237,4123927000,ALLEGHENY,94,PROFIT,449980
PERSONAL CARE HOMES,APPLE BLOSSOM SENIOR LIVING,BRODHEAD SENIOR LIVING LLC,"125 APPLE BLOSSOM WAY,",MOON TOWNSHIP,PA,15108,4123758400,ALLEGHENY,150,PROFIT,450720
PERSONAL CARE HOMES,APPLE BLOSSOM SENIOR LIVING,BRODHEAD SENIOR LIVING LLC,"115 APPLE BLOSSOM WAY,",MOON TOWNSHIP,PA,15108,4123758400,ALLEGHENY,40,PROFIT,450730
PERSONAL CARE HOMES,APRONTREE PERSONAL CARE HOME,BETTY K. SHATZER,"18015 PATH VALLEY ROAD,",SPRING RUN,PA,17262,7173497329,FRANKLIN,21,PROFIT,360120
PERSONAL CARE HOMES,ARBOR TERRACE WILLISTOWN,SHP V WILLISTOWN LLC,"1713 WEST CHESTER PIKE,",WEST CHESTER,PA,19382,6107251713,CHESTER,104,PROFIT,142450
PERSONAL CARE HOMES,ARBOR TERRACE EXTON,CSH EXTON LESSEE LLC,"100 OAKLANDS BOULEVARD,",EXTON,PA,19341,4142659360,CHESTER,99,PROFIT,147930
PERSONAL CARE HOMES,ARBOUR SQUARE AT WEST CHESTER,WARD SENIOR CARE LLC,"1201 WARD AVENUE,",WEST CHESTER,PA,19380,4844019800,CHESTER,94,PROFIT,144100
PERSONAL CARE HOMES,ARBUTUS PARK MANOR,ARBUTUS PARK MANOR INC,"207 OTTAWA STREET,",JOHNSTOWN,PA,15904,8142668621,CAMBRIA,35,NON-PROFIT,300060
PERSONAL CARE HOMES,ARC HOUSING OF LAWRENCE COUNTY,LAWRENCE COUNTY ASSOCIATION FOR RESPONSIBLE CARE,"1111 1/2 SOUTH CASCADE STREET,",NEW CASTLE,PA,16101,7246588615,LAWRENCE,29,NON-PROFIT,467060
PERSONAL CARE HOMES,ARCADIA AT LIMERICK POINTE,ARCADIA AT LIMERICK POINTE LLC,"51 WEST ARCADIA DRIVE,",LIMERICK,PA,19468,6109811904,MONTGOMERY,110,PROFIT,147950
PERSONAL CARE HOMES,ARDEN COURTS OF ALLENTOWN,ARDEN COURTS OF ALLENTOWN PA LLC,"5151 HAMILTON BOULEVARD,",ALLENTOWN,PA,18106,6103669010,LEHIGH,56,PROFIT,217870
PERSONAL CARE HOMES,ARDEN COURTS OF JEFFERSON HILLS,ARDEN COURTS OF JEFFERSON HILLS PA LLC,"380 WRAY LARGE ROAD,",JEFFERSON HILLS,PA,15025,4123840300,ALLEGHENY,60,PROFIT,435510
PERSONAL CARE HOMES,ARDEN COURTS OF KING OF PRUSSIA,ARDEN COURTS OF KING OF PRUSSIA PA LLC,"620 WEST VALLEY FORGE ROAD,",KING OF PRUSSIA,PA,19406,6103371214,MONTGOMERY,64,PROFIT,129950
PERSONAL CARE HOMES,ARDEN COURTS OF MONROEVILLE,ARDEN COURTS OF MONROEVILLE PA LLC,"120 WYNGATE DRIVE,",MONROEVILLE,PA,15146,4123801300,ALLEGHENY,56,PROFIT,435520
PERSONAL CARE HOMES,ARDEN COURTS OF NORTH HILLS,ARDEN COURTS NORTH HILLS OF PITTSBURGH PA LLC,"1125 PERRY HIGHWAY,",PITTSBURGH,PA,15237,4123697887,ALLEGHENY,56,PROFIT,435530
PERSONAL CARE HOMES,ARDEN COURTS OF OLD ORCHARD,OLD ORCHARD HEALTH CARE CENTER - EASTON PA LLC,"4098 FREEMANSBURG AVENUE,",EASTON,PA,18045,4843735135,NORTHAMPTON,64,PROFIT,226040
PERSONAL CARE HOMES,ARDEN COURTS OF SUSQUEHANNA,ARDEN COURTS SUSQUEHANNA OF HARRISBURG PA LLC,"2625 AILANTHUS LANE,",HARRISBURG,PA,17110,7175407018,DAUPHIN,64,PROFIT,324310
PERSONAL CARE HOMES,ARDEN COURTS OF WARMINSTER,ARDEN COURTS WARMINSTER OF HATBORO PA LLC,"779 WEST COUNTY LINE ROAD,",HATBORO,PA,19040,2159575182,BUCKS,60,PROFIT,129960
PERSONAL CARE HOMES,ARDEN COURTS OF YARDLEY,ARDEN COURTS OF YARDLEY PA LLC,"493 STONY HILL ROAD,",YARDLEY,PA,19067,2153216166,BUCKS,66,PROFIT,129970
PERSONAL CARE HOMES,ARK MANOR,ARK MANOR LLC,"105 SANDRA DRIVE,",DELMONT,PA,15626,7244686200,WESTMORELAND,70,PROFIT,446860
PERSONAL CARE HOMES,AROTIN'S HUMMINGBIRD ESTATE,AROTINS HUMMINGBIRD ESTATE INC,"400 PARK AVENUE,",PATTON,PA,16668,8145238195,CAMBRIA,15,PROFIT,333070
PERSONAL CARE HOMES,ARTIS SENIOR LIVING OF HUNTINGDON VALLEY,ARTIS SENIOR LIVING OF LOWER MORELAND LLC,"2085 LIEBERMAN DRIVE,",HUNTINGDON VALLEY,PA,19006,2675712699,MONTGOMERY,72,PROFIT,142790
PERSONAL CARE HOMES,ARTIS SENIOR LIVING OF SOUTH HILLS,ARTIS SENIOR LIVING OF BETHEL PARK LLC,"1001 HIGBEE DRIVE,",BETHEL PARK,PA,15102,4125958917,ALLEGHENY,72,PROFIT,449160
PERSONAL CARE HOMES,ARTIS SENIOR LIVING OF WEST SHORE,ARTIS SENIOR LIVING OF LEMOYNE LLC,"150 NORTH 12TH STREET,",LEMOYNE,PA,17043,7174098921,CUMBERLAND,64,PROFIT,333700
