Service Type,Program Office,Facility Name,Legal Entity Name,Address,City,State,Zip,Phone,County,Region,Capacity,Type of Operation,License Status,License Number,Type of License,Inspection Summary Link,Quality Service Review Link,Waiver Link
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ABINGTON MANOR AT MORGAN HILL,"CEDAR PARK ASSISTED LIVING, LLC","215 CEDAR PARK BOULEVARD,",EASTON,PA,18042,6108290100,NORTHAMPTON,NORTHEAST,75,PROFIT,LICENSED,219620,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ABINGTON MANOR AT MORGAN HILL-MEMORY CARE VILLAGE,MORGAN HILL SENIOR LIVING LLC,"5 CEDAR PARK BOULEVARD,",EASTON,PA,18042,6104389400,NORTHAMPTON,NORTHEAST,50,PROFIT,LICENSED,226140,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ABODE CARE OF MONROEVILLE,ABODE CARE OF MONROEVILLE LLC,"2560 STROSCHEIN ROAD,",MONROEVILLE,PA,15146,3479571340,ALLEGHENY,WESTERN,66,PROFIT,LICENSED,451191,PROVISIONAL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ABOVE & BEYOND,ABOVE AND BEYOND INCORPORATED,"514 NORTH 22ND STREET,",ALLENTOWN,PA,18104,6104322122,LEHIGH,NORTHEAST,36,PROFIT,LICENSED,217510,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ABOVE & BEYOND AT THE KNIGHTS,ABOVE AND BEYOND AT THE KNIGHTS LLC,"1545 GREENLEAF STREET,",ALLENTOWN,PA,18102,6104347433,LEHIGH,NORTHEAST,150,PROFIT,LICENSED,226470,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ABOVE & BEYOND MOUNTAIN VIEW,ABOVE AND BEYOND INCOPORATED,"2232 SW TWENTYNINTH STREET,",ALLENTOWN,PA,18103,6107974651,LEHIGH,NORTHEAST,150,PROFIT,LICENSED,221140,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ACADIA ACQUISITION 1,ACADIA ACQUISITION INC,"1604/1614 BENTLEY RIDGE BLVD,",LANCASTER,PA,17602,7175177893,LANCASTER,CENTRAL,6,PROFIT,LICENSED,331380,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ACADIA ACQUISITION 2,ACADIA ACQUISITION INC,"306/312 BENTLEY RIDGE BLVD,",LANCASTER,PA,17602,7175179836,LANCASTER,CENTRAL,6,PROFIT,LICENSED,331430,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ACADIA ACQUISITION 3,ACADIA ACQUISITION INC,"1104/1114 BENTLEY RIDGE BLVD.,",LANCASTER,PA,17602,7174359329,LANCASTER,CENTRAL,6,PROFIT,LICENSED,331440,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ACADIA ACQUISITION 4,ACADIA ACQUISITION INC,"950 BENTLEY RIDGE BOULEVARD,",LANCASTER,PA,17602,7172083229,LANCASTER,CENTRAL,8,PROFIT,LICENSED,331450,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ACADIA ACQUISITION 5,ACADIA ACQUISITION INC,"649/653 PATRIOT DRIVE,",LANCASTER,PA,17601,7173979070,LANCASTER,CENTRAL,5,PROFIT,LICENSED,331470,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ACCOLADE PERSONAL CARE HOME,BETTRE ESTATES LLC,"101 SOUTH BROAD STREET,",NEW FREEDOM,PA,17349,7172270945,YORK,CENTRAL,17,PROFIT,LICENSED,335250,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ACCOLADES SENIOR CARE,ACCOLADES SENIOR CARE LLC,"246 MELROSE AVENUE,",EAST LANSDOWNE,PA,19050,6106232233,DELAWARE,SOUTHEAST,45,PROFIT,LICENSED,135710,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ACTION RECOVERY,MOUNT TREXLER MANOR CORPORATION,"5201 ST. JOSEPH'S ROAD,",LIMESPORT,PA,18060,6109659021,LEHIGH,NORTHEAST,8,PROFIT,LICENSED,226870,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ACTION RECOVERY,MOUNT TREXLER MANOR CORPORATION,"5201 ST. JOSEPHS ROAD,",LIMEPORT,PA,18060,6109659021,LEHIGH,NORTHEAST,8,PROFIT,LICENSED,227290,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ADULT LIVING AT ROSEBROOK,ROSEBROOK OPCO LLC,"723 SOUTH PIKE ROAD,",SARVER,PA,16055,7242954300,BUTLER,WESTERN,100,PROFIT,LICENSED,449610,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ADULT PERSONAL CARE HOME,SHARON AHEARN,"44 BROAD STREET,",PITTSTON,PA,18640,5702992383,LUZERNE,NORTHEAST,8,PROFIT,LICENSED,243860,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ADVANCED PERSONAL CARE HOME,ADVANCED PERSONAL CARE HOME INC,"245 CENTER STREET, PO BOX 5,",CLARKSVILLE,PA,15322,7243770662,GREENE,WESTERN,39,PROFIT,LICENSED,440480,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALC FAMILY CARE,ALC FAMILY CARE INC,"897 HOBBIE ROAD,",WAPWALLOPEN,PA,18660,5703793673,LUZERNE,NORTHEAST,18,PROFIT,LICENSED,228380,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALEXANDRIA MANOR,ALEXANDRIA MANOR OF ALLENTOWN INC,"7 SOUTH NEW STREET,",NAZARETH,PA,18064,6107594060,NORTHAMPTON,NORTHEAST,93,PROFIT,LICENSED,210640,FULL,Inspection Summary,,Waiver
PERSONAL CARE HOMES,Bureau of Adult Residential Services,ALEXANDRIA MANOR II,ALEXANDRIA MANOR OF ALLENTOWN INC,"313 S. WALNUT ST.,",BATH,PA,18014,6108373500,NORTHAMPTON,NORTHEAST,78,PROFIT,LICENSED,205260,FULL,Inspection Summary,,Waiver
