Facility Name,License Number,State Facility Type 1 Literal,Address,City,State,Zip Code,Email Address,Phone Number,Capacity,Date Accessed
All American Assisted Living At Warwick,ALR01495,ASSISTED LIVING RESIDENCE,55 TOLL GATE HILL FARM ROAD,Warwick,RI,2886,jcardullo@allamericanatwarwick.com,(401) 889-5905 ,112,6/30/21
Anchor Bay At East Providence,ALR01503,ASSISTED LIVING RESIDENCE,1440 WAMPANOAG TRAIL,Riverside,RI,2915,executivedirector@anchorbayeastprovidence.c,(401) 433-5000 ,115,6/30/21
Anchor Bay At Greenwich,ALR01504,ASSISTED LIVING RESIDENCE,945 MAIN STREET,East Greenwich,RI,2818,executivedirector@anchorbaygreenwich.com,(401) 855-3334 ,122,6/30/21
Anchor Bay At Pocasset,ALR01505,ASSISTED LIVING RESIDENCE,12 OLD POCASSET LANE,Johnston,RI,2919,executivedirector@anchorbaypocasset.com,(401) 421-6610 ,75,6/30/21
Andrew Matthew Assisted Living,ALR01511,ASSISTED LIVING RESIDENCE,226 STERRY ST,Pawtucket,RI,2860,support@andrewmatthew.com,(609) 941-1749 ,15,6/30/21
Arbor Hill,ALR01483,ASSISTED LIVING RESIDENCE,153 DEAN STREET,Providence,RI,2903,administrator@arbor-hill.org,(401) 400-1800 ,53,6/30/21
Atria  Harborhill,ALR01466,ASSISTED LIVING RESIDENCE,159 DIVISION STREET,East Greenwich,RI,2818,robert.ingram@atriaseniorliving.com,(401) 884-2704 ,99,6/30/21
Atria Aquidneck Place,ALR01465,ASSISTED LIVING RESIDENCE,125 QUAKER HILL LANE,Portsmouth,RI,2871,andrea.santo@atriaseniorliving.com,(401) 683-0725 ,97,6/30/21
Atria Bay Spring,ALR01467,ASSISTED LIVING RESIDENCE,147 BAY SPRING AVENUE,Barrington,RI,2806,lynnmarie.almeida@atriaseniorliving.com,(401) 246-2500 ,148,6/30/21
Atria Lincoln Place,ALR01468,ASSISTED LIVING RESIDENCE,612 GEORGE WASHINGTON HIGHWAY,Lincoln,RI,2865,stephen.squatrito@atriaseniorliving.com,(401) 334-1686 ,115,6/30/21
Autumn Villa  Assisted Living,ALR01416,ASSISTED LIVING RESIDENCE,3579 DIAMOND HILL ROAD,Cumberland,RI,2864,autumnvilla@me.com,(401) 333-5050 ,48,6/30/21
Bella Villa,ALR01486,ASSISTED LIVING RESIDENCE,336 WILLET AVENUE,Riverside,RI,2915,bellavilla336@verizon.net,(401) 437-0336 ,23,6/30/21
Blackstone Valley Assisted Living,ALR01512,ASSISTED LIVING RESIDENCE,649 BROAD STREET,Central Falls,RI,2863,,(401) 725-7045 ,30,6/30/21
Blenheim Newport,ALR01507,ASSISTED LIVING RESIDENCE,303 VALLEY ROAD,Middletown,RI,2842,cpeckham@benchmarkquality.com,(401) 849-0031 ,126,6/30/21
