Facility Name,License Number,State Facility Type 1 Literal,Address,City,State,Zip,Email Address,Phone Number,Capacity
ALL AMERICAN ASSISTED LIVING AT WARWICK,ALR01495,Assisted Living Residence,55 TOLL GATE HILL FARM ROAD,WARWICK,RI,2886,jcardullo@allamericanatwarwick.com,(401) 889-5905 ,112
ANCHOR BAY AT EAST PROVIDENCE,ALR01503,Assisted Living Residence,1440 WAMPANOAG TRAIL,RIVERSIDE,RI,2915,executivedirector@anchorbayeastprovidence.c,(401) 433-5000 ,115
ANCHOR BAY AT GREENWICH,ALR01504,Assisted Living Residence,945 MAIN STREET,EAST GREENWICH,RI,2818,executivedirector@anchorbaygreenwich.com,(401) 855-3334 ,122
ANCHOR BAY AT POCASSET,ALR01505,Assisted Living Residence,12 OLD POCASSET LANE,JOHNSTON,RI,2919,executivedirector@anchorbaypocasset.com,(401) 421-6610 ,75
ANDREW MATTHEW ASSISTED LIVING,ALR01511,Assisted Living Residence,226 STERRY ST,PAWTUCKET,RI,2860,SUPPORT@ANDREWMATTHEW.COM,(609) 941-1749 ,15
ARBOR HILL,ALR01483,Assisted Living Residence,153 DEAN STREET,PROVIDENCE,RI,2903,ADMINISTRATOR@ARBOR-HILL.ORG,(401) 400-1800 ,53
ATRIA  HARBORHILL,ALR01466,Assisted Living Residence,159 DIVISION STREET,EAST GREENWICH,RI,2818,ROBERT.INGRAM@ATRIASENIORLIVING.COM,(401) 884-2704 ,99
ATRIA AQUIDNECK PLACE,ALR01465,Assisted Living Residence,125 QUAKER HILL LANE,PORTSMOUTH,RI,2871,andrea.santo@atriaseniorliving.com,(401) 683-0725 ,97
ATRIA BAY SPRING,ALR01467,Assisted Living Residence,147 BAY SPRING AVENUE,BARRINGTON,RI,2806,Lynnmarie.Almeida@atriaseniorliving.com,(401) 246-2500 ,148
ATRIA LINCOLN PLACE,ALR01468,Assisted Living Residence,612 GEORGE WASHINGTON HIGHWAY,LINCOLN,RI,2865,stephen.squatrito@atriaseniorliving.com,(401) 334-1686 ,115
AUTUMN VILLA  ASSISTED LIVING,ALR01416,Assisted Living Residence,3579 DIAMOND HILL ROAD,CUMBERLAND,RI,2864,AUTUMNVILLA@ME.COM,(401) 333-5050 ,48
BELLA VILLA,ALR01486,Assisted Living Residence,336 WILLET AVENUE,RIVERSIDE,RI,2915,BELLAVILLA336@VERIZON.NET,(401) 437-0336 ,23
BLACKSTONE VALLEY ASSISTED LIVING,ALR01512,Assisted Living Residence,649 BROAD STREET,CENTRAL FALLS,RI,2863,,(401) 725-7045 ,30
BLENHEIM NEWPORT,ALR01507,Assisted Living Residence,303 VALLEY ROAD,MIDDLETOWN,RI,2842,cpeckham@benchmarkquality.com,(401) 849-0031 ,126
BRENTWOOD BY THE BAY,ALR01498,Assisted Living Residence,4040 POST ROAD,WARWICK,RI,2886,michael.mcmahon19@verizon.net,(401) 884-8022 ,74
BRIARCLIFFE GARDENS LLC,ALR01458,Assisted Living Residence,53 OLD POCASSET ROAD,JOHNSTON,RI,2919,ATALWAR@BRIARCLIFFEMANOR.COM,(401) 944-2450 ,68
BRIGHTVIEW COMMONS,ALR01489,Assisted Living Residence,57 GRANDE VILLE COURT,WAKEFIELD,RI,2879,dlepore@bvsl.net,(401) 789-8777 ,88
BROOKDALE CENTRE OF NEW ENGLAND,ALR01477,Assisted Living Residence,600 CENTRE OF NEW ENGLAND BLVD,COVENTRY,RI,2816,Thomas.Gaccione@brookdale.com,(401) 821-2445 ,160
BROOKDALE SAKONNET BAY,ALR01474,Assisted Living Residence,1215 MAIN ROAD,TIVERTON,RI,2878,tsmith222@brookdale.com,(401) 624-1880 ,87
BROOKDALE SOUTH BAY,ALR01473,Assisted Living Residence,1959 KINGSTOWN ROAD,WAKEFIELD,RI,2879,kdzikiewicz@brookdale.com,(401) 789-4880 ,80
CAPITOL RIDGE AT PROVIDENCE,ALR01506,Assisted Living Residence,700 SMITH STREET,PROVIDENCE,RI,2908,TDELAROCA@BENCHMARKQUALITY.COM,(401) 521-0090 ,168
CARRIAGE HOUSE AT THE ELMS INC THE,ALR01408,Assisted Living Residence,29 CHESTNUT STREET,WESTERLY,RI,2891,ELMSAL@VERIZON.NET,(401) 596-8010 ,25
CHAPEL HILL,ALR01501,Assisted Living Residence,10 OLD DIAMOND HILL ROAD,CUMBERLAND,RI,2864,CHPL.ADM@MERIDIANSENIOR.COM,(844) 458-7373 ,150
CHARLESGATE SENIOR LIVING CENTER,ALR01499,Assisted Living Residence,670 NORTH MAIN STREET,PROVIDENCE,RI,2904,LYABUT@CHARLESGATEAPTS.NET,(401) 453-9317 ,60
CHESTNUT COTTAGE AT THE ELMS INC,ALR01459,Assisted Living Residence,25 CHESTNUT ST,WESTERLY,RI,2891,ELMSAL@VERIZON.NET,(401) 596-4630 ,30
COLONIAL MANOR ASSISTED LIVING,ALR01404,Assisted Living Residence,172 CENTRAL AVENUE,EAST PROVIDENCE,RI,2914,CMANORDOT@COX.COM,(401) 434-0107 ,15
COMMONWEALTH HOUSE,ALR01493,Assisted Living Residence,655 COMMONWEALTH AVE,WARWICK,RI,2886,mandi@commonwealthhouseri.com,(401) 368-1920 ,10
DARLINGTON ASSISTED LIVING CENTER NO 1,ALR01324,Assisted Living Residence,123 ARMISTICE BOULEVARD,PAWTUCKET,RI,2860,,(401) 725-2400 ,38
DARLINGTON ASSISTED LIVING CENTER NO 2,ALR01388,Assisted Living Residence,56 MAYNARD STREET,PAWTUCKET,RI,2860,,(401) 725-0700 ,20
DARLINGTON MEMORY LANE,ALR01461,Assisted Living Residence,1073 & 1081 MINERAL SPRING AVE,NORTH PROVIDENCE,RI,2904,MBUBIS@DARLINGTONLIVING.COM,(401) 475-1000 ,78
"ELMS RETIREMENT RESIDENCE INC, THE",ALR01306,Assisted Living Residence,22 ELM STREET,WESTERLY,RI,2891,ELMSAL@VERIZON.NET,(401) 596-4630 ,64
ETHAN PLACE,ALR01311,Assisted Living Residence,85 ETHAN STREET,WARWICK,RI,2888,AD@Ethanplaceri.com,(401) 781-5460 ,32
EVERGREEN ASSISTED LIVING,ALR01460,Assisted Living Residence,116 GREENE STREET,WOONSOCKET,RI,2895,ejones@communitycarealliance.org,(401) 765-1019 ,26
FOREST FARM ASSISTED LIVING,ALR01308,Assisted Living Residence,191 FOREST AVENUE,MIDDLETOWN,RI,2842,jmello@royalhealthgroup.com,(401) 849-1090 ,55
FOUR SEASONS ASSISTED LIVING,ALR01497,Assisted Living Residence,1057 CHOPMIST HILL ROAD,NORTH SCITUATE,RI,2857,DSOUCIE@USA.COM,(401) 764-5092 ,27
FRANCISCAN MISSIONARIES OF MARY ASSISTED LIVING RESIDENCE,ALR01359,Assisted Living Residence,399 FRUIT HILL AVENUE,NORTH PROVIDENCE,RI,2911,ALRFMM@AOL.COM,(401) 353-5800 ,39
FRANKLIN COURT ASSISTED LIVING,ALR01409,Assisted Living Residence,180 FRANKLIN STREET,BRISTOL,RI,2809,acabral@ebcdc.org,(401) 253-3679 ,107
GOLDEN YEARS ASSISTED LIVING COMMUNITY,ALR01479,Assisted Living Residence,118 HIGH STREET,WESTERLY,RI,2891,NICOLE@GOLDENYEARSRI.COM,(401) 596-1333 ,26
GREENWICH FARMS AT WARWICK,ALR01508,Assisted Living Residence,75 MINNESOTA AVENUE,WARWICK,RI,2888,LSILVEIRA@BENCHMARKQUALITY.COM,(401) 737-7222 ,149
HALCYON AT WEST BAY LLC,ALR01515,Assisted Living Residence,2783 WEST SHORE ROAD,WARWICK,RI,2889,,,165
HIGHLANDS ON THE EAST SIDE,ALR01496,Assisted Living Residence,101 HIGHLAND AVENUE,PROVIDENCE,RI,2906,HIGHLANDS@HALLKEEN.COM,(401) 654-5259 ,86
JEANNE JUGAN RESIDENCE,ALR01346,Assisted Living Residence,964 MAIN STREET,PAWTUCKET,RI,2860,pwadministrator@littlesistersofthepoor.org,(401) 723-4314 ,26
