Name,First,Middle,Last,Owner Manager Name,License No,Profession,License Type,Status,Issue Date,Specialty,Expiration Date,Address Line 1,Address Line 2,Address Line 3,City,State,Zip,Email,Phone,Fax,Total Capacity Beds,Alzheimer/Special Care Unit Beds,Skilled Nursing Facility Beds,Long-Term Care Beds,Skilled/Long-Term Care Beds,Private Pay Beds
ALL AMERICAN ASSISTED LIVING AT WARWICK,,,,ADMINISTRATOR,ALR01495,Assisted Living Residence,Assisted Living Residence,Active,1/5/17,,12/31/21,55 TOLL GATE HILL FARM ROAD,,,WARWICK,RI,2886,jcardullo@allamericanatwarwick.com,(401) 889-5905 ,(401) 889-5906 ,112,24,,,,
ANCHOR BAY AT EAST PROVIDENCE,,,,ADRIENNE SHRAIBMAH,ALR01503,Assisted Living Residence,Assisted Living Residence,Active,1/8/19,,12/31/21,1440 WAMPANOAG TRAIL,,,RIVERSIDE,RI,2915,executivedirector@anchorbayeastprovidence.c,(401) 433-5000 ,(401) 433-4541 ,115,,,,,
ANCHOR BAY AT GREENWICH,,,,ADRIENNE SHRAIBMAN,ALR01504,Assisted Living Residence,Assisted Living Residence,Active,1/8/19,,12/31/21,945 MAIN STREET,,,EAST GREENWICH,RI,2818,executivedirector@anchorbaygreenwich.com,(401) 855-3334 ,(401) 855-1260 ,122,,,,,
ANCHOR BAY AT POCASSET,,,,ADRIENNE SHRAIBMAN,ALR01505,Assisted Living Residence,Assisted Living Residence,Active,1/8/19,,12/31/21,12 OLD POCASSET LANE,,,JOHNSTON,RI,2919,executivedirector@anchorbaypocasset.com,(401) 421-6610 ,(401) 421-0074 ,75,,,,,
ANDREW MATTHEW ASSISTED LIVING,,,,AUDREY ASHONG-KATAI,ALR01511,Assisted Living Residence,Assisted Living Residence,Active,2/24/20,,12/31/21,226 STERRY ST,,,PAWTUCKET,RI,2860,SUPPORT@ANDREWMATTHEW.COM,(609) 941-1749 ,(401) 400-4542 ,15,,,,,
ARBOR HILL,,,,SHERRY VIEIRA,ALR01483,Assisted Living Residence,Assisted Living Residence,Active,2/25/13,,12/31/21,ATTN:  SHERRY VIEIRA,153 DEAN STREET,,PROVIDENCE,RI,2903,ADMINISTRATOR@ARBOR-HILL.ORG,(401) 400-1800 ,(401) 270-1496 ,53,,,,,
ATRIA  HARBORHILL,,,,ROBERT INGRAM,ALR01466,Assisted Living Residence,Assisted Living Residence,Active,5/12/11,,12/31/21,159 DIVISION STREET,,,EAST GREENWICH,RI,2818,ROBERT.INGRAM@ATRIASENIORLIVING.COM,(401) 884-2704 ,(401) 884-2685 ,99,,,,,
ATRIA AQUIDNECK PLACE,,,,"ANDREA SANTO, ADMINISTRATOR",ALR01465,Assisted Living Residence,Assisted Living Residence,Active,5/12/11,,12/31/21,125 QUAKER HILL LANE,,,PORTSMOUTH,RI,2871,andrea.santo@atriaseniorliving.com,(401) 683-0725 ,(401) 683-3072 ,97,,,,,
ATRIA BAY SPRING,,,,"LYNN-MARIE ALMEIDA, ADMINISTRATOR",ALR01467,Assisted Living Residence,Assisted Living Residence,Active,5/12/11,,12/31/21,147 BAY SPRING AVENUE,,,BARRINGTON,RI,2806,Lynnmarie.Almeida@atriaseniorliving.com,(401) 246-2500 ,(401) 246-2145 ,148,,,,,
ATRIA LINCOLN PLACE,,,,"STEPHEN SQUATRITO,  ADMINISTRATOR",ALR01468,Assisted Living Residence,Assisted Living Residence,Active,5/12/11,,12/31/21,612 GEORGE WASHINGTON HIGHWAY,,,LINCOLN,RI,2865,stephen.squatrito@atriaseniorliving.com,(401) 334-1686 ,(401) 334-1747 ,115,,,,,
