Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Ownership Type,Licensee,Capacity,Longitude,Latitude,Date Accessed,State Facility Type 1 Literal,License Number
Abundant Life Adult Care,260 SEMINOLE DR,Orangeburg,SC,29115-7622,Orangeburg,803-662-9701,abundantlife260@gmail.com,LIMITED LIABILITY,ABUNDANT LIFE ADULT CARE LLC,5,-80.854558,33.472626,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1949
Acline Place,200 S ACLINE ST,Lake City,SC,29560-2635,Florence,843-394-5677,djohnson@fcdsn.org,STATE,FLORENCE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-79.75396593,33.87595697,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1257
Addison'S Community Care Home,4013 PERCIVAL RD,Columbia,SC,29229-8321,Richland,803-736-0455,sardocgwade@universalcaresolutions.com,CORPORATION,ADDISON'S COMMUNITY CARE HOME INC,9,-80.86475718,34.08643913,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0815
Aldersgate At The Oaks,921 METHODIST OAKS DR,Orangeburg,SC,29115-1814,Orangeburg,803-531-2332,921aoaks@gmail.com,NON-PROFIT CORPORATION,ALDERSGATE SPECIAL NEEDS MINISTRY,6,-80.85059391,33.42385988,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1488
A'Lelia Residential Care,10 JACOB WHITE RD,Yemassee,SC,29945-7820,Beaufort,843-466-0356,gloria215m@outlook.com,CORPORATION,MILES RESIDENTIAL CARE FACILITY INC,20,-80.73506288,32.61899455,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1115
Alexander'S Golden Starr Community Care Home,218 GOLDEN STARR RD,Santee,SC,29142-9363,Orangeburg,803-854-2496,donnaoutlaw62@yahoo.com,SOLE PROPRIETORSHIP,"OUTLAW-THOMAS, DONNA S.",8,-80.51165525,33.44531602,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0171
Anderson Oaks Assisted Living,997 HWY 90,Conway,SC,29526-7520,Horry,843-347-9280,wyattwise@andersonoaksassistedliving.com,CORPORATION,HERMAN L ANDERSON INC,80,-78.99511205,33.82307859,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1506
Angelic'S Place,903 W BARTLETTE ST,Sumter,SC,29150-8005,Sumter,803-775-1404,bbettmou@aol.com,LTD. LIABILITY,ANGELIC'S PLACE LLC,11,-80.3563225,33.9173358,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1400
Anointed Residential Care,551 S SUMTER ST,Sumter,SC,29150-5765,Sumter,803-883-4427,daisy78bradley@gmail.com,PARTNERSHIP,COREY T WRIGHT & DAISY BRADLEY,8,-80.34449769,33.90927628,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1435
Anointed Residential Care #2,511 S SUMTER ST,Sumter,SC,29150-5754,Sumter,803-883-4032,daisy78bradley@outlook.com,,COREY T WRIGHT & DAISY BRADLEY,5,-80.34411929,33.91188496,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1502
