Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,License / Expiration,Ownership Type,Licensee,Capacity,Longitude,Latitude
ABUNDANT LIFE ADULT CARE,260 SEMINOLE DR,ORANGEBURG,SC,29115-7622,Orangeburg,803-662-9701,ABUNDANTLIFE260@GMAIL.COM,CRC-1949 / 06/30/2021,Orangeburg / Limited Liability,ABUNDANT LIFE ADULT CARE LLC,5,-80.854558,33.472626
ACLINE PLACE,200 S ACLINE ST,LAKE CITY,SC,29560-2635,Florence,843-394-5677,DJOHNSON@FCDSN.ORG,CRC-1257 / 01/31/2022,Florence / State,FLORENCE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-79.75396593,33.87595697
ADDISON'S COMMUNITY CARE HOME,4013 PERCIVAL RD,COLUMBIA,SC,29229-8321,Richland,803-736-0455,SARDOCGWADE@UNIVERSALCARESOLUTIONS.COM,CRC-0815 / 05/31/2022,Richland / Corporation,ADDISON'S COMMUNITY CARE HOME INC,9,-80.86475718,34.08643913
ALDERSGATE AT THE OAKS,921 METHODIST OAKS DR,ORANGEBURG,SC,29115-1814,Orangeburg,803-531-2332,921AOAKS@GMAIL.COM,CRC-1488 / 02/28/2022,Orangeburg / Non-Profit Corporation,ALDERSGATE SPECIAL NEEDS MINISTRY,6,-80.85059391,33.42385988
A'LELIA RESIDENTIAL CARE,10 JACOB WHITE RD,YEMASSEE,SC,29945-7820,Beaufort,843-466-0356,GLORIA215M@OUTLOOK.COM,CRC-1115 / 09/30/2021,Beaufort / Corporation,MILES RESIDENTIAL CARE FACILITY INC,20,-80.73506288,32.61899455
ALEXANDER'S GOLDEN STARR COMMUNITY CARE HOME,218 GOLDEN STARR RD,SANTEE,SC,29142-9363,Orangeburg,803-854-2496,DONNAOUTLAW62@YAHOO.COM,CRC-0171 / 08/31/2021,Orangeburg / Sole Proprietorship,"OUTLAW-THOMAS, DONNA S.",8,-80.51165525,33.44531602
ANDERSON OAKS ASSISTED LIVING,997 HWY 90,CONWAY,SC,29526-7520,Horry,843-347-9280,WYATTWISE@ANDERSONOAKSASSISTEDLIVING.COM,CRC-1506 / 07/31/2021,Horry / Corporation,HERMAN L ANDERSON INC,80,-78.99511205,33.82307859
ANGELIC'S PLACE,903 W BARTLETTE ST,SUMTER,SC,29150-8005,Sumter,803-775-1404,BBETTMOU@AOL.COM,CRC-1400 / 09/30/2021,Sumter / Ltd. Liability,ANGELIC'S PLACE LLC,11,-80.3563225,33.9173358
ANOINTED RESIDENTIAL CARE,551 S SUMTER ST,SUMTER,SC,29150-5765,Sumter,803-883-4427,DAISY78BRADLEY@GMAIL.COM,CRC-1435 / 03/31/2022,Sumter / Partnership,COREY T WRIGHT & DAISY BRADLEY,8,-80.34449769,33.90927628
ANOINTED RESIDENTIAL CARE #2,511 S SUMTER ST,SUMTER,SC,29150-5754,Sumter,803-883-4032,DAISY78BRADLEY@OUTLOOK.COM,CRC-1502 / 03/31/2022,Sumter / ,COREY T WRIGHT & DAISY BRADLEY,5,-80.34411929,33.91188496
ARBOR LANDING AT PAWLEYS,7419 OCEAN HWY,PAWLEYS ISLAND,SC,29585,Georgetown,843-314-3720,ANITA.WILLIAMS@RIDGECARE.COM,CRC-1937 / 09/30/2021,Georgetown / Limited Liability,ARBOR LANDING AT PAWLEYS LLC,100,-79.175663,33.420791
ARBORETUM AT THE WOODLANDS AT FURMAN,50 ARBORETUM LN,GREENVILLE,SC,29617-6228,Greenville,864-371-3100,DLILLY@TWAFSC.ORG,CRC-1492 / 05/31/2022,Greenville / Non-Profit Corporation,UPSTATE SENIOR LIVING INC,64,-82.44419575,34.93543101
ASHLAN VILLAGE,415 BRENDA WAY,LYMAN,SC,29365-9264,Spartanburg,864-949-7825,LHILL@ASHLANVILLAGE.COM,CRC-1483 / 10/31/2021,Spartanburg / Limited Liability,ASHLAN PROPERTIES LLC,75,-82.14195628,34.97392741
