Name of Facility,Location Street,Location City,Location State,ZIP Code,County,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,# of Licensed Beds,Max # of Beds,X,Y,Permit Type,x,y
ABUNDANT LIFE ADULT CARE,260 SEMINOLE DR,ORANGEBURG,SC,29115-7622,Orangeburg,803-662-9701,"PHAIRE, LONELL PH#: 803-662-9701",ABUNDANTLIFE260@GMAIL.COM,ABUNDANTLIFE260@GMAIL.COM,CRC-1949 / 06/30/2021,Orangeburg / Limited Liability,260 SEMINOLE DR,ORANGEBURG,SC,29115-7622,ABUNDANT LIFE ADULT CARE LLC,N,N,5,,-80.854558,33.472626,HLRESIDENTIALCARE,513513.807,3703693.715
ACLINE PLACE,200 S ACLINE ST,LAKE CITY,SC,29560-2635,Florence,843-394-5677,"UWAGBAI, LINDA G. PH#: 843-394-5677",DJOHNSON@FCDSN.ORG,LUWAGBAI@FCDSN.ORG,CRC-1257 / 01/31/2022,Florence / State,1211 E NATIONAL CEMETERY RD,FLORENCE,SC,29506-3240,FLORENCE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-79.75396593,33.87595697,HLRESIDENTIALCARE,615239.001,3749100.996
ADDISON'S COMMUNITY CARE HOME,4013 PERCIVAL RD,COLUMBIA,SC,29229-8321,Richland,803-736-0455,"DOCTOR-GREENWADE, SARAH PH#: 803-736-0455",SARDOCGWADE@UNIVERSALCARESOLUTIONS.COM,SARDOCGWADE@UNIVERSALCARESOLUTIONS.COM,CRC-0815 / 05/31/2022,Richland / Corporation,PO BOX 23328,COLUMBIA,SC,29224-3328,ADDISON'S COMMUNITY CARE HOME INC,N,N,9,10,-80.86475718,34.08643913,HLRESIDENTIALCARE,512476.7208,3771748.497
ALDERSGATE AT THE OAKS,921 METHODIST OAKS DR,ORANGEBURG,SC,29115-1814,Orangeburg,803-531-2332,"JENKINS, LAVEDA B. PH#: 803-531-2332; RAY-HILL, ROSEMARY PH#: 803-376-8991",921AOAKS@GMAIL.COM,COLUMBIAHOMECARE73@ATT.NET,CRC-1488 / 02/28/2022,Orangeburg / Non-Profit Corporation,921 METHODIST OAKS DR,ORANGEBURG,SC,29115-1814,ALDERSGATE SPECIAL NEEDS MINISTRY,N,N,6,,-80.85059391,33.42385988,HLRESIDENTIALCARE,513889.7842,3698287.667
A'LELIA RESIDENTIAL CARE,10 JACOB WHITE RD,YEMASSEE,SC,29945-7820,Beaufort,843-466-0356,"MILES, CARRIE R. PH#: 843-466-0356",GLORIA215M@OUTLOOK.COM,GLORIA215M@OUTLOOK.COM,CRC-1115 / 09/30/2021,Beaufort / Corporation,10 JACOB WHITE RD,YEMASSEE,SC,29945-7820,MILES RESIDENTIAL CARE FACILITY INC,N,N,20,21,-80.73506288,32.61899455,HLRESIDENTIALCARE,524855.1842,3609080.909
ALEXANDER'S GOLDEN STARR COMMUNITY CARE HOME,218 GOLDEN STARR RD,SANTEE,SC,29142-9363,Orangeburg,803-854-2496,"OUTLAW-THOMAS, DONNA S. PH#: 803-854-2496",DONNAOUTLAW62@YAHOO.COM,DONNAOUTLAW62@YAHOO.COM,CRC-0171 / 08/31/2021,Orangeburg / Sole Proprietorship,PO BOX 405,SANTEE,SC,29142-0405,"OUTLAW-THOMAS, DONNA S.",N,N,8,9,-80.51165525,33.44531602,HLRESIDENTIALCARE,545388.8028,3700763.097
ANDERSON OAKS ASSISTED LIVING,997 HWY 90,CONWAY,SC,29526-7520,Horry,843-347-9280,"WISE, WYATT E. PH#: 843-347-9280",WYATTWISE@ANDERSONOAKSASSISTEDLIVING.COM,WYATTWISE@ANDERSONOAKSASSISTEDLIVING.COM,CRC-1506 / 07/31/2021,Horry / Corporation,997 HWY 90,CONWAY,SC,29526-2750,HERMAN L ANDERSON INC,N,N,80,,-78.99511205,33.82307859,HLRESIDENTIALCARE,685544.5338,3744346.985
ANGELIC'S PLACE,903 W BARTLETTE ST,SUMTER,SC,29150-8005,Sumter,803-775-1404,"GREENE, SHIRLEY H. PH#: 803-775-1404",BBETTMOU@AOL.COM,GREENESRESIDENTIALCARE@GMAIL.COM,CRC-1400 / 09/30/2021,Sumter / Ltd. Liability,903 W BARTLETTE ST,SUMTER,SC,29150-8005,ANGELIC'S PLACE LLC,N,N,11,5,-80.3563225,33.9173358,HLRESIDENTIALCARE,559500.2154,3753176.895
ANOINTED RESIDENTIAL CARE,551 S SUMTER ST,SUMTER,SC,29150-5765,Sumter,803-883-4427,"BRADLEY, DAISY E. PH#: 803-883-4427",DAISY78BRADLEY@GMAIL.COM,DAISY78BRADLEY@OUTLOOK.COM,CRC-1435 / 03/31/2022,Sumter / Partnership,551 S SUMTER ST,SUMTER,SC,29150-5765,COREY T WRIGHT & DAISY BRADLEY,N,N,8,5,-80.34449769,33.90927628,HLRESIDENTIALCARE,560598.999,3752290.178
ANOINTED RESIDENTIAL CARE #2,511 S SUMTER ST,SUMTER,SC,29150-5754,Sumter,803-883-4032,"BRADLEY, DAISY E. PH#: 803-883-4427",DAISY78BRADLEY@OUTLOOK.COM,DAISY78BRADLEY@OUTLOOK.COM,CRC-1502 / 03/31/2022,Sumter / ,511 S SUMTER ST,SUMTER,SC,29150-5754,COREY T WRIGHT & DAISY BRADLEY,N,N,5,,-80.34411929,33.91188496,HLRESIDENTIALCARE,560632.1346,3752579.65
ARBOR LANDING AT PAWLEYS,7419 OCEAN HWY,PAWLEYS ISLAND,SC,29585,Georgetown,843-314-3720,"WILLIAMS, ANITA PH#: 843-314-3720",ANITA.WILLIAMS@RIDGECARE.COM,ANITA.WILLIAMS@RIDGECARE.COM,CRC-1937 / 09/30/2021,Georgetown / Limited Liability,853 OLD WINSTON RD STE 118,KERNERSVILLE,NC,27284,ARBOR LANDING AT PAWLEYS LLC,Y,Y,100,,-79.175663,33.420791,HLRESIDENTIALCARE,669619.8817,3699425.144
ARBORETUM AT THE WOODLANDS AT FURMAN,50 ARBORETUM LN,GREENVILLE,SC,29617-6228,Greenville,864-371-3100,"LILLY, DONALD R. PH#: 864-371-3100",DLILLY@TWAFSC.ORG,DLILLY@TWAFSC.ORG,CRC-1492 / 05/31/2022,Greenville / Non-Profit Corporation,1500 TRAILHEAD CT,GREENVILLE,SC,29617-6226,UPSTATE SENIOR LIVING INC,Y,Y,64,,-82.44419575,34.93543101,HLRESIDENTIALCARE,368106.4623,3866834.66
